Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
./references/D3/Escherichia_coli_str__K_12_substr__MG1655_NZ_AKVX01000001.LargeContigs.fna	data/e.coli-K12.fasta	100.00	99.98	99.82	gi|452723576|ref|NZ_AKVX01000001.1| Escherichia coli str. K-12 substr. MG1655 chromosome, whole genome shotgun sequence	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_NZ_CP011320.LargeContigs.fna	data/e.coli-K12.fasta	100.00	99.94	99.66	gi|819393907|ref|NZ_CP011320.1| Escherichia coli strain SQ37, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_str__K_12_substr__W3110_NC_007779.LargeContigs.fna	data/e.coli-K12.fasta	100.00	100.00	100.00	gi|388476123|ref|NC_007779.1| Escherichia coli str. K12 substr. W3110 DNA, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_NZ_CP012869.LargeContigs.fna	data/e.coli-K12.fasta	100.00	99.98	99.88	gi|938149557|ref|NZ_CP012869.1| Escherichia coli strain K-12 substrain MG1655_TMP32XR1, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_NZ_CP012870.LargeContigs.fna	data/e.coli-K12.fasta	100.00	99.99	99.89	gi|938151181|ref|NZ_CP012870.1| Escherichia coli strain K-12 substrain MG1655_TMP32XR2, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_str__K_12_substr__MG1655_GCA_000482265.LargeContigs.fna	data/e.coli-K12.fasta	100.00	99.84	99.68	AYEK01000001.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 cont1.1, whole genome shotgun sequence	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_str__K_12_substr__MDS42_NC_020518.LargeContigs.fna	data/e.coli-K12.fasta	100.00	100.00	85.74	gi|471332236|ref|NC_020518.1| Escherichia coli str. K-12 substr. MDS42 DNA, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_str__K_12_substr__MG1655_NZ_CP012868.LargeContigs.fna	data/e.coli-K12.fasta	100.00	100.00	99.90	gi|938151182|ref|NZ_CP012868.1| Escherichia coli str. K-12 substr. MG1655, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_NCTC_50110_GCA_000766965.LargeContigs.fna	data/e.coli-K12.fasta	99.99	94.74	96.35	ASRI01000001.1 Escherichia coli NCTC 50110 50110.1, whole genome shotgun sequence	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_NZ_LM995446.LargeContigs.fna	data/e.coli-K12.fasta	99.99	100.00	98.74	gi|771462547|ref|NZ_LM995446.1| Escherichia coli genome assembly EcRV308Chr, chromosome : 1	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_K_12_NZ_CP010443.LargeContigs.fna	data/e.coli-K12.fasta	99.99	99.92	99.07	gi|814566399|ref|NZ_CP010443.1| Escherichia coli K-12 strain ER3446, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_str__K_12_substr__MG1655_NZ_AKBV01000001.LargeContigs.fna	data/e.coli-K12.fasta	99.99	100.00	99.90	gi|469801541|ref|NZ_AKBV01000001.1| Escherichia coli str. K-12 substr. MG1655 chromosome, whole genome shotgun sequence	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_CP011323.LargeContigs.fna	data/e.coli-K12.fasta	99.99	99.88	98.87	gi|817585806|gb|CP011323.1| Escherichia coli strain SQ171, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_NZ_CP011321.LargeContigs.fna	data/e.coli-K12.fasta	99.99	99.89	99.13	gi|819356445|ref|NZ_CP011321.1| Escherichia coli strain SQ88, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_str__K_12_substr__MG1655_NC_000913.LargeContigs.fna	data/e.coli-K12.fasta	99.99	100.00	100.00	gi|556503834|ref|NC_000913.3| Escherichia coli str. K-12 substr. MG1655, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_str__K_12_substr__MG1655_NZ_CP009685.LargeContigs.fna	data/e.coli-K12.fasta	99.99	99.80	99.60	gi|749204315|ref|NZ_CP009685.1| Escherichia coli str. K-12 substr. MG1655, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
./references/D3/Escherichia_coli_BW25113_NZ_CP009273.LargeContigs.fna	data/e.coli-K12.fasta	99.99	99.91	99.59	gi|749300132|ref|NZ_CP009273.1| Escherichia coli BW25113, complete genome	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
