Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name	ANI_5_percentile	ANI_95_percentile	Standard_deviation	Ref_mean_ctg_len	Query_mean_ctg_len
references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	100.00	98.72	98.72	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	100.00	100.00	0.00	1834814.6	1834814.6
references/D2/Bacillus_anthracis_8903_G_NZ_CM002401.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.71	98.72	NZ_CM002401.1 Bacillus anthracis 8903-G chromosome, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	100.00	0.02	1834922.4	1834814.6
references/D2/Bacillus_anthracis_NZ_CP014179.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.82	98.80	NZ_CP014179.1 Bacillus anthracis strain Stendal, complete genome	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.02	1834482	1834814.6
references/D2/Bacillus_anthracis_str___Ames_Ancestor__NC_007530.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.85	98.84	NC_007530.2 Bacillus anthracis str. 'Ames Ancestor', complete genome	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.02	1834642	1834814.6
references/D2/Bacillus_anthracis_str__A0248_NC_012659.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.72	98.72	NC_012659.1 Bacillus anthracis str. A0248, complete genome	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.02	1834642	1834814.6
references/D2/Bacillus_anthracis_9080_G_NZ_CM002398.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.63	98.70	NZ_CM002398.1 Bacillus anthracis 9080-G chromosome, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.03	1836221	1834814.6
references/D2/Bacillus_anthracis_NZ_CP010813.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.80	98.79	NZ_CP010813.1 Bacillus anthracis strain Pollino sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.02	1834631.6	1834814.6
references/D2/Bacillus_anthracis_NZ_CP012519.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.77	98.75	NZ_CP012519.1 Bacillus anthracis strain Larissa, complete genome	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.02	1834429.4	1834814.6
references/D2/Bacillus_anthracis_str__Ames_NC_003997.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.79	93.82	NC_003997.3 Bacillus anthracis str. Ames chromosome, complete genome	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.02	5227293	1834814.6
references/D2/Bacillus_anthracis_GCA_001273025.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.66	97.83	LFYH01000001.1 Bacillus anthracis strain K2883 contig_1, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.03	181928.83	1834814.6
references/D2/Bacillus_anthracis_GCA_001273065.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.32	97.35	LFYJ01000001.1 Bacillus anthracis strain K4834 contig_1, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.98	99.99	0.10	81342.195	1834814.6
references/D2/Bacillus_anthracis_GCA_900013485.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.66	97.51	FBXO01000001.1 Bacillus anthracis isolate ANSES_92 genome assembly, contig: Contig_1, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.03	93800.19	1834814.6
references/D2/Bacillus_anthracis_NZ_CP009981.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.75	98.74	NZ_CP009981.1 Bacillus anthracis strain Ames, complete genome	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.02	1834657.4	1834814.6
references/D2/Bacillus_anthracis_str__Australia_94_GCA_000167335.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	97.75	97.75	AAES01000048.1 Bacillus anthracis str. Australia 94 plasmid pXO1 cont73, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.03	112338	1834814.6
references/D2/Bacillus_anthracis_GCA_001015025.LargeContigs.fna	references/D2/Bacillus_anthracis_52_G_NZ_CM002395.LargeContigs.fna	99.99	98.40	97.42	BBWY01000001.1 Bacillus anthracis DNA, contig:BA5240-contig1, strain: 52-40-NIAH, whole genome shotgun sequence	NZ_CM002395.1 Bacillus anthracis 52-G chromosome, whole genome shotgun sequence	99.99	99.99	0.03	151383.92	1834814.6
