	QinJ_2012__DLM022__bin.16	BritoIL_2016__W1.13.ST__bin.62	LiJ_2014__O2.UC48-1__bin.24	CosteaPI_2017__SID713A062-11-90-0__bin.59	QinJ_2012__T2D-051__bin.12	VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	ZeeviD_2015__PNP_Main_706__bin.57	XieH_2016__YSZC12003_37255__bin.24	BritoIL_2016__W2.43.ST__bin.21	BritoIL_2016__WL.14.ST__bin.72	Obregon-TitoAJ_2015__SM31__bin.23	QinJ_2012__T2D-049__bin.53	ZeeviD_2015__PNP_Main_203__bin.18	GeversD_2014__SKBSTL013__bin.55	LiJ_2014__MH0252__bin.78	ZellerG_2014__CCIS45793747ST-4-0__bin.81	ZeeviD_2015__PNP_Main_531__bin.7	XieH_2016__YSZC12003_37182R1__bin.25	CosteaPI_2017__SID713A052-11-90-0__bin.33	CosteaPI_2017__SID713A005-11-90-0__bin.76	BritoIL_2016__W1.1.ST__bin.13	HMP_2012__SRS042628__bin.54	YuJ_2015__SZAXPI003413-4__bin.43	XieH_2016__YSZC12003_36699__bin.3	ZeeviD_2015__PNP_Main_625__bin.19	FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.10	LiJ_2014__MH0391__bin.68	ZellerG_2014__CCIS44757994ST-4-0__bin.11	ZellerG_2014__CCIS11015875ST-4-0__bin.14	CosteaPI_2017__pluto1-11-7-0__bin.43	XieH_2016__YSZC12003_37137__bin.63	HeQ_2017__SZAXPI029584-102__bin.27	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.58	ZeeviD_2015__PNP_Main_448__bin.21	LiJ_2017__nHM512811__bin.17	ZellerG_2014__CCIS46047672ST-4-0__bin.1	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.43	BritoIL_2016__W2.67.ST__bin.48	XieH_2016__YSZC12003_37798__bin.56	XieH_2016__YSZC12003_37207R1__bin.4	CosteaPI_2017__SID713B061-11-90-0__bin.58	NielsenHB_2014__V1_UC35_4__bin.63	CosteaPI_2017__SID713A052-11-0-0__bin.94
QinJ_2012__DLM022__bin.16	1.0	0.5869714219938679	0.5468740890452223	0.8202532061870927	0.6181841896370531	0.47997805486582523	0.6003997362996139	0.6418417319315157	0.7130759663408283	0.7616411611786391	0.45892612352957884	0.710230050183798	0.6579847849062922	0.6170544188500929	0.5895422765236397	0.5888972271097151	0.38769749499582173	0.49314887262105334	0.6203521685768999	0.45709898182350905	0.5195297492603982	0.6740631834496615	0.7728289938873534	0.6670012751498263	0.6904054318691782	0.6880917001648875	0.6100067121016652	0.5765433722854482	0.6884956969299235	0.6804893854614982	0.3614590075955877	0.534145388008808	0.5862912424264622	0.5133584277238202	0.7915802738956051	0.6967206375450152	0.6250794165703701	0.645410806035211	0.6659167250923475	0.7411748569754283	0.5624599179897778	0.7056560294555124	0.44080942863421435
BritoIL_2016__W1.13.ST__bin.62	0.867924955791335	1.0	0.6705349248452697	0.8606487621573828	0.7330083996463307	0.5959493810786914	0.718511273209549	0.7677000442086649	0.8685317197170646	0.9129034040671972	0.5673546640141468	0.8097424845269672	0.7713118921308577	0.7269534703801945	0.7074458443854996	0.7078453801945183	0.4836798187444739	0.5941865605658709	0.7418335543766579	0.5592600574712644	0.6292622679045092	0.7902845932802829	0.858568744473917	0.7895590185676392	0.7936555039787798	0.8050950486295314	0.7268517904509284	0.6846993810786913	0.822695623342175	0.7944943633952255	0.44327365163572063	0.65315649867374	0.6793755526083112	0.5993225022104333	0.8659106984969054	0.8276116268788684	0.7496551724137931	0.8031167108753317	0.7749143457117594	0.8607609416445624	0.6669114721485411	0.8236820291777188	0.5424557913351017
LiJ_2014__O2.UC48-1__bin.24	0.849739614787836	0.7046195727917197	1.0	0.8442154298562655	0.7987682223192634	0.6496965269583477	0.8155428601956722	0.8442514331639241	0.8285650242964256	0.8552150210445141	0.6003899971197354	0.8263043649945647	0.8196141374536602	0.8073021676314005	0.7370469390220108	0.7606035548040027	0.47924583523028175	0.6028742253481869	0.755705943565396	0.5926167668565164	0.65652438004627	0.8466833985264195	0.8580035352925327	0.829261862509175	0.8260174999303161	0.8748310167334082	0.7777858430348698	0.6816697869533304	0.8451712596047535	0.8983266591717846	0.48936276468238116	0.6821006652482138	0.7711002610820504	0.6119517044662683	0.858385054214013	0.8491310427487015	0.8501135846286781	0.7701781118471788	0.7976834775014169	0.8381721004561968	0.7558458919064565	0.8776787622295106	0.5355857854295775
CosteaPI_2017__SID713A062-11-90-0__bin.59	0.7200264284779315	0.5109297962389284	0.476930687904805	1.0	0.5403144188408541	0.422961938202109	0.5178305290255614	0.5563706377510599	0.6126512231536563	0.6591054406381153	0.40300410697759714	0.6078002064806852	0.5742862982317262	0.534446417540426	0.5196424019602215	0.5125681256678063	0.33944519223797964	0.42996502557060223	0.5418307101144371	0.398911564000975	0.4584481405092206	0.5945554579760628	0.6881941535194065	0.5793095461722503	0.6088335940860048	0.625292014013392	0.5246738513896767	0.5029812412264573	0.5994199250908807	0.5960907767039659	0.3120407371235804	0.46839949911866796	0.5048482281667342	0.4490269261442799	0.6811320154306093	0.6176082030636171	0.5469946956050189	0.5561970942452776	0.5773182246597777	0.6367239054046828	0.48622100650640515	0.6387201478105141	0.3940169154068906
QinJ_2012__T2D-051__bin.12	0.8539381934216225	0.6847819072679338	0.7101184640712673	0.850265585224489	1.0	0.5978550811726947	0.747379898123067	0.8217948698092918	0.8251179762142606	0.8634568256874009	0.5626209640157704	0.8204949502927916	0.8421625126545977	0.7604782134418285	0.7175751906385145	0.723095460451833	0.4621213881158033	0.6005612678706668	0.7339083334753024	0.5535963837663903	0.6151974943251131	0.8462166301935475	0.8526325951463132	0.8098157862267384	0.8115545189239475	0.8698650468781539	0.7676964321390903	0.6709339957863609	0.8161734148390098	0.8391135354248719	0.4366273748182152	0.7011857764644357	0.7327560616878407	0.6413244311045238	0.8622808063631009	0.8402012758622293	0.7844771644202012	0.7584348927721274	0.7885281844543461	0.8481123031342103	0.7049203347576692	0.8770460955177557	0.5205392962365832
VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	0.8022151819667298	0.6736179473213437	0.6988460615933519	0.8053233326170928	0.7233639734358057	1.0	0.7522005656634303	0.7845275810892519	0.7872965585476641	0.8094202699393861	0.5812148021926953	0.7578503290542128	0.7729544670920802	0.7301861642322818	0.7091062068069499	0.7162132281292631	0.4840788480853892	0.5863779801018394	0.7109020133020852	0.5600080452130982	0.6332788240996607	0.793674638590039	0.8066481693392431	0.795935168574698	0.7929950429494451	0.8208990650562915	0.7405843523103753	0.6831697639904256	0.8016011723024801	0.8098075395139891	0.45676385050894713	0.6597305853017454	0.6875490333251716	0.6038063602156717	0.8090192585411681	0.80577618816804	0.7760663655125201	0.7283547539214168	0.7692054477585837	0.7962462334910728	0.6937940675298198	0.8308025474842469	0.5215359361180097
ZeeviD_2015__PNP_Main_706__bin.57	0.863885432451413	0.6991719965111789	0.7552033872967767	0.848794990896156	0.7784819111512142	0.6475597073434091	1.0	0.8291268160636334	0.8357232044240488	0.8690078907151546	0.5935959054748894	0.8119790025456348	0.8249120535325388	0.833692719183246	0.7381340830068388	0.7467109473052513	0.49426398674161964	0.6164582228737173	0.7498695993985978	0.5896328026611403	0.6506780293538476	0.852730131519089	0.8739195570788975	0.8319128181909108	0.8418926316400792	0.8775288306319348	0.7934793246485636	0.6873321596382983	0.8488735001242167	0.9266121547341603	0.4790412625144247	0.6771673655421923	0.7826574190682782	0.6378987704164323	0.8725160701937027	0.8542438539642321	0.8550025972573393	0.7738176026293063	0.808305200859945	0.8474329095627466	0.7590137735299147	0.8889944043354301	0.5354254070918568
XieH_2016__YSZC12003_37255__bin.24	0.7953611646780518	0.6433729203831626	0.6733017118574051	0.7854167014002739	0.737210159626396	0.5816679726502946	0.7140715567880583	1.0	0.76950917245097	0.8078152468494304	0.5356468694368339	0.7565493689598257	0.7820757915094392	0.7253896184490101	0.6768894619162208	0.7012738434635056	0.44457349909136884	0.5643817510554385	0.6900428473777516	0.5290632299846431	0.6027031082410347	0.8100136526231747	0.8144021281049529	0.7876604924206637	0.7803682873830866	0.812464919056802	0.7254248151708986	0.6395767686815864	0.7892336932661261	0.7916988531426041	0.4232785561193206	0.6295313463857598	0.6876133473379237	0.6120955387228777	0.8107305542742713	0.8075614599600239	0.7531876189047151	0.7077889419309662	0.7517788237996529	0.8053815787767472	0.6750129209018512	0.8427540138156395	0.4904751186963134
BritoIL_2016__W2.43.ST__bin.21	0.8544462914432803	0.7038326917599769	0.6389649681243428	0.8362993786082903	0.7157419531654434	0.5644400578222092	0.6959784187739471	0.7440914945106518	1.0	0.9001066701536731	0.5337927643422544	0.7907119941676235	0.7657797489713629	0.7010633876864488	0.6760285922584875	0.683725233447318	0.4457155498394126	0.5745307319310075	0.7126766416545607	0.5348988738282853	0.6129687082969855	0.7659664889129317	0.8469426596424982	0.7576760415789691	0.7726165803572869	0.7826208256681886	0.7047117577199277	0.6595041226088779	0.7921329194304477	0.7671876875236223	0.41724823246391035	0.6136341652590266	0.6666624870356803	0.573513738148507	0.8556236039286143	0.8017896582793416	0.728587601184388	0.7813526062089015	0.7713505999860282	0.8412298504468324	0.6523117240440438	0.8043099757641111	0.5097821277784843
BritoIL_2016__WL.14.ST__bin.72	0.8363827385960233	0.677975909547945	0.6044097428846983	0.8245349147394989	0.6864149549586522	0.5318133502965137	0.663227792255761	0.7158635831982435	0.824896887119611	1.0	0.5088030697884391	0.7668585968440277	0.7227648615927607	0.6725040526952988	0.6476404079371267	0.6499686044364188	0.4248817023372253	0.5398112162189892	0.6836254693944555	0.5051710340016006	0.5749529066546282	0.7365776783698931	0.8268036033078202	0.7232347690476679	0.7501639546098126	0.7552820470728254	0.669683376767283	0.6342182915067818	0.7584507417971396	0.7380358278784396	0.3919873596946628	0.5852531139063879	0.6317870847269818	0.5551544128208811	0.8268187880902058	0.759683171567521	0.6891317998071123	0.7367537397656619	0.735142100835163	0.8280417786715367	0.6173718014487103	0.7752676830894877	0.4778962920403012
