	QinJ_2012__DLM022__bin.16	BritoIL_2016__W1.13.ST__bin.62	LiJ_2014__O2.UC48-1__bin.24	CosteaPI_2017__SID713A062-11-90-0__bin.59	QinJ_2012__T2D-051__bin.12	VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	ZeeviD_2015__PNP_Main_706__bin.57	XieH_2016__YSZC12003_37255__bin.24	BritoIL_2016__W2.43.ST__bin.21	BritoIL_2016__WL.14.ST__bin.72	Obregon-TitoAJ_2015__SM31__bin.23	QinJ_2012__T2D-049__bin.53	ZeeviD_2015__PNP_Main_203__bin.18	GeversD_2014__SKBSTL013__bin.55	LiJ_2014__MH0252__bin.78	ZellerG_2014__CCIS45793747ST-4-0__bin.81	ZeeviD_2015__PNP_Main_531__bin.7	XieH_2016__YSZC12003_37182R1__bin.25	CosteaPI_2017__SID713A052-11-90-0__bin.33	CosteaPI_2017__SID713A005-11-90-0__bin.76	BritoIL_2016__W1.1.ST__bin.13	HMP_2012__SRS042628__bin.54	YuJ_2015__SZAXPI003413-4__bin.43	XieH_2016__YSZC12003_36699__bin.3	ZeeviD_2015__PNP_Main_625__bin.19	FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.10	LiJ_2014__MH0391__bin.68	ZellerG_2014__CCIS44757994ST-4-0__bin.11	ZellerG_2014__CCIS11015875ST-4-0__bin.14	CosteaPI_2017__pluto1-11-7-0__bin.43	XieH_2016__YSZC12003_37137__bin.63	HeQ_2017__SZAXPI029584-102__bin.27	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.58	ZeeviD_2015__PNP_Main_448__bin.21	LiJ_2017__nHM512811__bin.17	ZellerG_2014__CCIS46047672ST-4-0__bin.1	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.43	BritoIL_2016__W2.67.ST__bin.48	XieH_2016__YSZC12003_37798__bin.56	XieH_2016__YSZC12003_37207R1__bin.4	CosteaPI_2017__SID713B061-11-90-0__bin.58	NielsenHB_2014__V1_UC35_4__bin.63	CosteaPI_2017__SID713A052-11-0-0__bin.94
QinJ_2012__DLM022__bin.16	2675764.0	1614749.0	1509132.0	2220910.0	1698893.0	1325275.0	1657760.0	1769499.0	1960669.0	2095136.0	1266173.0	1952742.0	1813201.0	1703569.0	1625502.0	1624486.0	1071730.0	1362493.0	1707267.0	1258956.0	1433025.0	1857753.0	2125402.0	1839940.0	1902858.0	1897147.0	1680904.0	1586458.0	1896265.0	1877563.0	994562.0	1470900.0	1617009.0	1415199.0	2158824.0	1919722.0	1724783.0	1774795.0	1832941.0	2039440.0	1551302.0	1944334.0	1215471.0
BritoIL_2016__W1.13.ST__bin.62	1614749.0	1809600.0	1251668.0	1602486.0	1364527.0	1112736.0	1340621.0	1430775.0	1585828.0	1667392.0	1058721.0	1507477.0	1437928.0	1356465.0	1319108.0	1320633.0	903488.0	1110625.0	1381553.0	1041930.0	1172861.0	1473932.0	1597446.0	1472986.0	1479399.0	1501928.0	1354770.0	1274422.0	1532602.0	1481564.0	824298.0	1217810.0	1267050.0	1118000.0	1611625.0	1542853.0	1398470.0	1466068.0	1442154.0	1601695.0	1244334.0	1535193.0	1011650.0
LiJ_2014__O2.UC48-1__bin.24	1509132.0	1251668.0	1722064.0	1500020.0	1418403.0	1147774.0	1417376.0	1496423.0	1471292.0	1517976.0	1065849.0	1468194.0	1452947.0	1407517.0	1306169.0	1348073.0	851029.0	1073338.0	1342253.0	1050565.0	1167128.0	1500684.0	1523810.0	1470802.0	1463995.0	1550230.0	1375871.0	1208803.0	1497435.0	1556608.0	859659.0	1212672.0	1343970.0	1083673.0	1524103.0	1504543.0	1485056.0	1368349.0	1412996.0	1486658.0	1317518.0	1555228.0	951508.0
CosteaPI_2017__SID713A062-11-90-0__bin.59	2220910.0	1602486.0	1500020.0	3048227.0	1691642.0	1330060.0	1628718.0	1747771.0	1919032.0	2067427.0	1266727.0	1905022.0	1803024.0	1681899.0	1632863.0	1612167.0	1068729.0	1353122.0	1699409.0	1251772.0	1440401.0	1867766.0	2155938.0	1821460.0	1912580.0	1963288.0	1646731.0	1576630.0	1881322.0	1874173.0	978523.0	1468772.0	1586631.0	1410687.0	2117069.0	1938162.0	1719900.0	1742782.0	1809112.0	1996681.0	1527987.0	2003267.0	1237625.0
QinJ_2012__T2D-051__bin.12	1698893.0	1364527.0	1418403.0	1691642.0	1937043.0	1194177.0	1492719.0	1638590.0	1642941.0	1719587.0	1123581.0	1635176.0	1678781.0	1517482.0	1431249.0	1443116.0	924020.0	1200819.0	1463943.0	1103814.0	1228702.0	1687058.0	1698363.0	1615825.0	1618455.0	1734875.0	1530692.0	1336794.0	1628479.0	1675443.0	869250.0	1375526.0	1461747.0	1277773.0	1716034.0	1676093.0	1565642.0	1511015.0	1569990.0	1690235.0	1406707.0	1748113.0	1039080.0
VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	1325275.0	1112736.0	1147774.0	1330060.0	1194177.0	1600952.0	1235483.0	1293273.0	1300488.0	1336675.0	960009.0	1252143.0	1274665.0	1198304.0	1168219.0	1180745.0	799708.0	970652.0	1174293.0	923452.0	1046530.0	1308454.0	1332587.0	1312597.0	1307141.0	1354995.0	1220528.0	1126859.0	1321731.0	1328499.0	749466.0	1090432.0	1128197.0	994997.0	1336471.0	1328616.0	1274072.0	1203447.0	1267941.0	1313604.0	1139632.0	1369904.0	862219.0
ZeeviD_2015__PNP_Main_706__bin.57	1657760.0	1340621.0	1417376.0	1628718.0	1492719.0	1235483.0	1859654.0	1587387.0	1603416.0	1666759.0	1138473.0	1558251.0	1579021.0	1568070.0	1412582.0	1429610.0	948281.0	1185594.0	1438672.0	1129617.0	1248976.0	1633078.0	1677059.0	1593635.0	1612117.0	1680286.0	1516216.0	1316818.0	1625014.0	1735196.0	907936.0	1300793.0	1470931.0	1219902.0	1674725.0	1634178.0	1611791.0	1484380.0	1546515.0	1624148.0	1429344.0	1701527.0	1028125.0
XieH_2016__YSZC12003_37255__bin.24	1769499.0	1430775.0	1496423.0	1747771.0	1638590.0	1293273.0	1587387.0	2159292.0	1711698.0	1796035.0	1192091.0	1683191.0	1736072.0	1611523.0	1502756.0	1558958.0	989439.0	1257795.0	1534681.0	1175452.0	1341593.0	1797889.0	1811331.0	1747313.0	1732359.0	1805502.0	1609896.0	1419529.0	1752164.0	1758113.0	937183.0	1400906.0	1526974.0	1357302.0	1802448.0	1793371.0	1673598.0	1574341.0	1665616.0	1788612.0	1500448.0	1870865.0	1091623.0
BritoIL_2016__W2.43.ST__bin.21	1960669.0	1585828.0	1471292.0	1919032.0	1642941.0	1300488.0	1603416.0	1711698.0	2233052.0	2033727.0	1228806.0	1815955.0	1760623.0	1614560.0	1554155.0	1573461.0	1027068.0	1324373.0	1637968.0	1229553.0	1410568.0	1762560.0	1943640.0	1744207.0	1776534.0	1800164.0	1620141.0	1514257.0	1820592.0	1765525.0	957780.0	1410863.0	1534327.0	1318716.0	1963785.0	1843204.0	1677876.0	1759293.0	1771074.0	1930275.0	1502013.0	1849412.0	1172838.0
BritoIL_2016__WL.14.ST__bin.72	2095136.0	1667392.0	1517976.0	2067427.0	1719587.0	1336675.0	1666759.0	1796035.0	2033727.0	2436650.0	1277811.0	1920847.0	1812469.0	1690075.0	1624159.0	1632456.0	1068337.0	1357444.0	1713221.0	1266569.0	1441642.0	1849096.0	2072092.0	1814961.0	1882114.0	1896419.0	1679631.0	1587179.0	1901394.0	1853607.0	981744.0	1468385.0	1586752.0	1392913.0	2072128.0	1905895.0	1730772.0	1816102.0	1840714.0	2072362.0	1550842.0	1944253.0	1199156.0
