	QinJ_2012__DLM022__bin.16	BritoIL_2016__W1.13.ST__bin.62	LiJ_2014__O2.UC48-1__bin.24	CosteaPI_2017__SID713A062-11-90-0__bin.59	QinJ_2012__T2D-051__bin.12	VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	ZeeviD_2015__PNP_Main_706__bin.57	XieH_2016__YSZC12003_37255__bin.24	BritoIL_2016__W2.43.ST__bin.21	BritoIL_2016__WL.14.ST__bin.72	Obregon-TitoAJ_2015__SM31__bin.23	QinJ_2012__T2D-049__bin.53	ZeeviD_2015__PNP_Main_203__bin.18	GeversD_2014__SKBSTL013__bin.55	LiJ_2014__MH0252__bin.78	ZellerG_2014__CCIS45793747ST-4-0__bin.81	ZeeviD_2015__PNP_Main_531__bin.7	XieH_2016__YSZC12003_37182R1__bin.25	CosteaPI_2017__SID713A052-11-90-0__bin.33	CosteaPI_2017__SID713A005-11-90-0__bin.76	BritoIL_2016__W1.1.ST__bin.13	HMP_2012__SRS042628__bin.54	YuJ_2015__SZAXPI003413-4__bin.43	XieH_2016__YSZC12003_36699__bin.3	ZeeviD_2015__PNP_Main_625__bin.19	FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.10	LiJ_2014__MH0391__bin.68	ZellerG_2014__CCIS44757994ST-4-0__bin.11	ZellerG_2014__CCIS11015875ST-4-0__bin.14	CosteaPI_2017__pluto1-11-7-0__bin.43	XieH_2016__YSZC12003_37137__bin.63	HeQ_2017__SZAXPI029584-102__bin.27	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.58	ZeeviD_2015__PNP_Main_448__bin.21	LiJ_2017__nHM512811__bin.17	ZellerG_2014__CCIS46047672ST-4-0__bin.1	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.43	BritoIL_2016__W2.67.ST__bin.48	XieH_2016__YSZC12003_37798__bin.56	XieH_2016__YSZC12003_37207R1__bin.4	CosteaPI_2017__SID713B061-11-90-0__bin.58	NielsenHB_2014__V1_UC35_4__bin.63	CosteaPI_2017__SID713A052-11-0-0__bin.94
QinJ_2012__DLM022__bin.16	0.0	44152.0	45826.0	26106.0	44778.0	40967.0	51232.0	52082.0	52646.0	57164.0	38195.0	52334.0	52589.0	52477.0	48026.0	48736.0	34343.0	42943.0	47351.0	35867.0	42886.0	54119.0	57494.0	55202.0	55496.0	55976.0	48670.0	43764.0	54013.0	56734.0	27383.0	41653.0	48232.0	41573.0	40742.0	55462.0	52218.0	47828.0	51105.0	56231.0	46292.0	56165.0	35969.0
BritoIL_2016__W1.13.ST__bin.62	44152.0	0.0	38268.0	45056.0	38075.0	34306.0	40403.0	41545.0	14133.0	15402.0	32036.0	42167.0	42162.0	40970.0	38914.0	39716.0	28221.0	35385.0	39131.0	29893.0	34148.0	43833.0	43780.0	44200.0	43200.0	45028.0	39459.0	35390.0	43852.0	43847.0	22150.0	35858.0	37652.0	33466.0	44673.0	45207.0	41894.0	12748.0	39869.0	44062.0	37491.0	44658.0	30022.0
LiJ_2014__O2.UC48-1__bin.24	45826.0	38268.0	0.0	46227.0	42873.0	28955.0	12959.0	42568.0	44450.0	45241.0	31939.0	45245.0	41519.0	17291.0	36927.0	38265.0	25737.0	35150.0	40879.0	30041.0	36551.0	42641.0	46273.0	42760.0	41540.0	43715.0	36474.0	34924.0	41996.0	9632.0	16945.0	38051.0	16086.0	29853.0	45909.0	42285.0	21106.0	42053.0	39334.0	43272.0	15903.0	43809.0	29195.0
CosteaPI_2017__SID713A062-11-90-0__bin.59	26106.0	45056.0	46227.0	0.0	44641.0	40776.0	50253.0	51827.0	51532.0	58324.0	38279.0	52309.0	52469.0	52785.0	48875.0	49743.0	34023.0	42491.0	47786.0	35799.0	42947.0	55426.0	58166.0	55593.0	56717.0	57256.0	47406.0	43429.0	54154.0	57153.0	27352.0	40984.0	47739.0	41951.0	40824.0	55552.0	52536.0	47367.0	49315.0	55802.0	45875.0	56303.0	36572.0
QinJ_2012__T2D-051__bin.12	44778.0	38075.0	42873.0	44641.0	0.0	36106.0	45012.0	46738.0	44652.0	47034.0	33760.0	45842.0	47476.0	44403.0	41275.0	42449.0	28871.0	37506.0	42331.0	31474.0	37038.0	47900.0	46777.0	47177.0	46439.0	49909.0	43631.0	37166.0	47516.0	50044.0	23484.0	17299.0	42367.0	35500.0	45759.0	48587.0	46076.0	41894.0	42577.0	47405.0	41246.0	49237.0	30773.0
VogtmannE_2016__MMRS77018926ST-27-0-0__bin.32	40967.0	34306.0	28955.0	40776.0	36106.0	0.0	31246.0	37282.0	40064.0	40832.0	29512.0	38861.0	37202.0	29311.0	32974.0	34122.0	24721.0	31889.0	36173.0	26906.0	32681.0	37819.0	41182.0	38343.0	37594.0	40775.0	34888.0	33137.0	38406.0	32036.0	18209.0	34235.0	27464.0	28332.0	41270.0	38607.0	31627.0	37386.0	36480.0	38852.0	28901.0	39829.0	27265.0
ZeeviD_2015__PNP_Main_706__bin.57	51232.0	40403.0	12959.0	50253.0	45012.0	31246.0	0.0	45498.0	49260.0	50705.0	34590.0	48251.0	44970.0	17690.0	39908.0	40986.0	29121.0	39195.0	44174.0	33104.0	38940.0	47295.0	51871.0	46565.0	46488.0	48386.0	40619.0	38618.0	46403.0	12018.0	17085.0	41496.0	15459.0	33631.0	52147.0	45580.0	21782.0	45347.0	43347.0	48216.0	17841.0	48305.0	32419.0
XieH_2016__YSZC12003_37255__bin.24	52082.0	41545.0	42568.0	51827.0	46738.0	37282.0	45498.0	0.0	50103.0	51726.0	35473.0	49580.0	47342.0	45195.0	41154.0	44703.0	29475.0	39130.0	44677.0	33050.0	40181.0	48833.0	52799.0	46524.0	47316.0	51153.0	43492.0	38496.0	47978.0	48604.0	23201.0	41564.0	42216.0	35609.0	51844.0	49610.0	47246.0	46018.0	42306.0	49558.0	42898.0	51113.0	32544.0
BritoIL_2016__W2.43.ST__bin.21	52646.0	14133.0	44450.0	51532.0	44652.0	40064.0	49260.0	50103.0	0.0	23742.0	36819.0	50254.0	50597.0	49049.0	44548.0	46667.0	31762.0	41416.0	46524.0	35096.0	41777.0	52117.0	52373.0	52277.0	51241.0	52531.0	46483.0	41550.0	51718.0	52355.0	26043.0	40586.0	45635.0	38030.0	53133.0	52766.0	50902.0	14492.0	48608.0	51765.0	45367.0	53346.0	34468.0
BritoIL_2016__WL.14.ST__bin.72	57164.0	15402.0	45241.0	58324.0	47034.0	40832.0	50705.0	51726.0	23742.0	0.0	38036.0	52281.0	51344.0	51418.0	46086.0	48710.0	33049.0	42113.0	47465.0	35644.0	40683.0	54314.0	57461.0	52691.0	54227.0	56061.0	47847.0	41811.0	53315.0	55272.0	26608.0	42328.0	47308.0	40196.0	57460.0	54813.0	51599.0	20891.0	49430.0	54714.0	46523.0	55197.0	34690.0
