	NielsenHB_2014__V1_UC11_5__bin.53	VincentC_2016__MM063__bin.1	FengQ_2015__SID531333__bin.47	NielsenHB_2014__V1_CD7_4__bin.41	IjazUZ_2017__S46_a_WGS__bin.2	FengQ_2015__SID531403__bin.12	BackhedF_2015__SID546_12M__bin.24	LiuW_2016__SRR3992985__bin.73	LiJ_2014__V1.CD3-0-PN__bin.36	BackhedF_2015__SID39_12M__bin.41	NielsenHB_2014__V1_UC11_0__bin.24	XieH_2016__YSZC12003_37179__bin.80	IjazUZ_2017__S102_a_WGS__bin.2	HeQ_2017__SZAXPI029501-104__bin.36	HeQ_2017__RSZAXPI003080-114__bin.30	BackhedF_2015__SID87_12M__bin.39	IjazUZ_2017__S48_a_WGS__bin.2	HeQ_2017__RSZAXPI003099-133__bin.1	RaymondF_2016__P20E7__bin.20	QinJ_2012__DLF012__bin.15	LoombaR_2017__SID1048_bav__bin.25	BackhedF_2015__SID546_4M__bin.12	FengQ_2015__SID31137__bin.48	GeversD_2014__SKBSTL041__bin.56	IjazUZ_2017__S47_a_WGS__bin.1	IjazUZ_2017__S56_a_WGS__bin.7	LomanNJ_2013__OBK1196__bin.13	BackhedF_2015__SID577_12M__bin.28	GeversD_2014__SKBSTL016__bin.45	FengQ_2015__SID31537__bin.55
NielsenHB_2014__V1_UC11_5__bin.53	1.0	0.49463089488195433	0.7772769667310344	0.9053495830568605	0.6772163550373915	0.855832449038987	0.5923427585892583	0.8247051684298127	0.7756577840092069	0.7760589910754754	0.6756344939031239	0.8085467153234902	0.7777589176165429	0.9269422746287489	0.880703698533441	0.7965517723986046	0.519100578448721	0.8739815064356412	0.7384933777508074	0.827468760216336	0.8701747045045362	0.6765406189857069	0.6209005914395044	0.7923986691983144	0.8048630028590489	0.6151835701758888	0.843672071000014	0.5538372872086359	0.6371458890091872	0.7008728586290561
VincentC_2016__MM063__bin.1	0.8705687074176839	1.0	0.8026681707391788	0.8389206553326466	0.7148921495373145	0.8541026504225151	0.6284185069132807	0.8512496707736015	0.7792291459946175	0.8034084169531541	0.6995724635987713	0.8310924884589173	0.7985816579367722	0.8810540550270739	0.8645374692800979	0.8303642428234961	0.5547690614979122	0.8791143825670753	0.7668742345683613	0.8396255314203569	0.8442148053032451	0.7121124365785214	0.6635277784971108	0.8122269473623044	0.8275055786900042	0.6287343116120756	0.8700312078203349	0.5777773286333173	0.6593111541588005	0.7322759349871815
FengQ_2015__SID531333__bin.47	0.9207770234365369	0.5402476714378632	1.0	0.9033218410838707	0.7520713681445048	0.9349464993984636	0.6617873494564918	0.9008476773894597	0.826177672160557	0.8606803525045593	0.7175146983178238	0.8882477224515476	0.8587962470932827	0.9576624679570295	0.9525423944973239	0.8917260055009756	0.5813362184405967	0.951386084317118	0.820568717558485	0.9070543423273293	0.9201572071708236	0.7564453664695555	0.6976078833146991	0.8726307331941794	0.8829448499560006	0.6728679468267362	0.930918543899401	0.6219975258363056	0.7220659691962369	0.7908332660236108
NielsenHB_2014__V1_CD7_4__bin.41	0.9243345593852325	0.48664465659860545	0.7785324528817593	1.0	0.6716647913776028	0.8711821135893912	0.5792844248663697	0.819654592638486	0.760870783851288	0.7637667040258933	0.6550748033327997	0.8008457669700226	0.7700212907289152	0.9324771365563391	0.8900594535636049	0.7927332335051809	0.5080350426858781	0.8763672176267158	0.7301221496491664	0.817487415534135	0.8753035971476065	0.6632356998369946	0.6189087759497933	0.7871623243130158	0.800065729767121	0.6108061349248193	0.8495700635717497	0.5553776951860823	0.6288360225503663	0.6997714113617236
IjazUZ_2017__S46_a_WGS__bin.2	0.9056601690933584	0.5431959767740189	0.8490205648507152	0.8797869751946177	1.0	0.9074372954660962	0.6577373625102642	0.9043207254783676	0.8038178222307327	0.8403782500464319	0.705748569492456	0.8669281245245839	0.8413894315931124	0.9322134029786423	0.9198814993130012	0.8795383790668623	0.5987428138682085	0.9314935300218218	0.8200106445214549	0.8916658388127663	0.89877674388024	0.7488871963875815	0.6979168316375526	0.8551922756671902	0.896466911519455	0.665823935391882	0.9100389163320457	0.6245214644519536	0.7067410343422593	0.7928215228576461
FengQ_2015__SID531403__bin.12	0.8774300956585724	0.4975217071376012	0.8091552612214864	0.8748222958057396	0.6956688741721855	1.0	0.6006949963208241	0.8363609271523179	0.7573233995584989	0.7857472406181015	0.6714621044885946	0.8296894775570273	0.7987693156732892	0.9477689477557028	0.934542310522443	0.8166265636497425	0.5268984547461368	0.9067284768211921	0.7555894039735099	0.8446806475349522	0.8918977189109639	0.6897910228108903	0.6414036055923473	0.8049628403237675	0.821027961736571	0.6222972774098602	0.8783627667402502	0.5846445916114791	0.6630507726269316	0.7307200147167034
BackhedF_2015__SID546_12M__bin.24	0.9130670239388595	0.5503725027271138	0.8611312709788623	0.8745981240997205	0.7581310032459846	0.9031498441175104	1.0	0.9208727649283206	0.8314007518647263	0.8696627672073691	0.7414131870612002	0.8642317725907913	0.8411967880905336	0.9299159407270385	0.918500784390952	0.8894783191685677	0.5866962205410859	0.920958505829275	0.8328577940138469	0.9018454760887988	0.9011982705783694	0.8136817032236366	0.7011846626676372	0.8649387201483373	0.8775902049594749	0.6860942640996763	0.897161810228281	0.6374266223837962	0.7169017995632193	0.7788388137442112
LiuW_2016__SRR3992985__bin.73	0.897393083627503	0.5262827621755022	0.8274784449095623	0.8735786136015744	0.7358150323326357	0.8876749398644216	0.6500609165599325	1.0	0.7892451032457592	0.8299459560775984	0.6941156946049796	0.8467604885820499	0.8259340539189653	0.917527959139046	0.8999308831339227	0.8671058386179751	0.5697865577457749	0.9290119021586329	0.8131068226547125	0.8952289837868233	0.898714894879885	0.7388733560338634	0.6737090375183531	0.8493642810283965	0.8596107588016619	0.6631142419793196	0.9042032426353441	0.5920375027334354	0.6912573021773766	0.7689665271312986
LiJ_2014__V1.CD3-0-PN__bin.36	0.9570351865594321	0.5462621697109024	0.8605032774313298	0.9195085535555835	0.741613371140539	0.9114132716043917	0.6654854866733142	0.8949229480410684	1.0	0.854750725710612	0.7499402251783946	0.888211785292383	0.837721985976384	0.9536373200335093	0.9142629808773705	0.8771676121419931	0.5831503190647145	0.9325673595823024	0.832099610533829	0.9041716626610157	0.895353326756627	0.753494391793404	0.6944479374587111	0.8556252092118756	0.8701810424374666	0.6805412145181087	0.904560863166135	0.6288886842277713	0.7111530076033573	0.7798404764983112
BackhedF_2015__SID39_12M__bin.41	0.917134056531237	0.5394518041708211	0.8586205916742191	0.8840685119677958	0.7426343951724229	0.9057267044762979	0.6667444177216425	0.901371655838772	0.818690618515297	1.0	0.7264860665161689	0.8662403364274012	0.8363775698667446	0.938675198360612	0.9197185015986323	0.877997992326395	0.5684120930315405	0.936961423743391	0.8135751645601078	0.9137506133497996	0.9045884290314523	0.7660271430346576	0.6741648370429776	0.8596435128265916	0.8756616438071497	0.6620742652631328	0.9176925918370722	0.6129829559791904	0.7048825824772589	0.7703385097158425
