	NielsenHB_2014__V1_UC11_5__bin.53	VincentC_2016__MM063__bin.1	FengQ_2015__SID531333__bin.47	NielsenHB_2014__V1_CD7_4__bin.41	IjazUZ_2017__S46_a_WGS__bin.2	FengQ_2015__SID531403__bin.12	BackhedF_2015__SID546_12M__bin.24	LiuW_2016__SRR3992985__bin.73	LiJ_2014__V1.CD3-0-PN__bin.36	BackhedF_2015__SID39_12M__bin.41	NielsenHB_2014__V1_UC11_0__bin.24	XieH_2016__YSZC12003_37179__bin.80	IjazUZ_2017__S102_a_WGS__bin.2	HeQ_2017__SZAXPI029501-104__bin.36	HeQ_2017__RSZAXPI003080-114__bin.30	BackhedF_2015__SID87_12M__bin.39	IjazUZ_2017__S48_a_WGS__bin.2	HeQ_2017__RSZAXPI003099-133__bin.1	RaymondF_2016__P20E7__bin.20	QinJ_2012__DLF012__bin.15	LoombaR_2017__SID1048_bav__bin.25	BackhedF_2015__SID546_4M__bin.12	FengQ_2015__SID31137__bin.48	GeversD_2014__SKBSTL041__bin.56	IjazUZ_2017__S47_a_WGS__bin.1	IjazUZ_2017__S56_a_WGS__bin.7	LomanNJ_2013__OBK1196__bin.13	BackhedF_2015__SID577_12M__bin.28	GeversD_2014__SKBSTL016__bin.45	FengQ_2015__SID31537__bin.55
NielsenHB_2014__V1_UC11_5__bin.53	0.0	16521.0	10057.0	894.0	6424.0	6875.0	10241.0	13621.0	4013.0	10072.0	2354.0	7016.0	10833.0	6427.0	6708.0	10263.0	4993.0	11060.0	8464.0	10495.0	5987.0	10211.0	15713.0	10613.0	7927.0	8418.0	8198.0	5728.0	7498.0	8951.0
VincentC_2016__MM063__bin.1	16521.0	0.0	15856.0	16396.0	14304.0	16663.0	14262.0	18325.0	16286.0	16541.0	14220.0	16487.0	15197.0	16578.0	16369.0	16929.0	10281.0	16819.0	15039.0	17130.0	15737.0	15734.0	15112.0	16801.0	16098.0	13194.0	13600.0	12146.0	13010.0	14941.0
FengQ_2015__SID531333__bin.47	10057.0	15856.0	0.0	8644.0	7755.0	7656.0	10366.0	11882.0	9978.0	11014.0	8763.0	8371.0	8316.0	8414.0	7818.0	10576.0	5842.0	8343.0	6889.0	11512.0	8256.0	10585.0	12776.0	9463.0	9503.0	7060.0	7564.0	6572.0	6455.0	7908.0
NielsenHB_2014__V1_CD7_4__bin.41	894.0	16396.0	8644.0	0.0	6226.0	6431.0	9602.0	13207.0	3631.0	9330.0	2291.0	5743.0	10266.0	5386.0	6075.0	9686.0	4459.0	8814.0	7834.0	10037.0	5074.0	9777.0	14723.0	9640.0	7792.0	7941.0	7645.0	5396.0	6770.0	8125.0
IjazUZ_2017__S46_a_WGS__bin.2	6424.0	14304.0	7755.0	6226.0	0.0	7951.0	7309.0	9777.0	7468.0	6873.0	6162.0	8120.0	7946.0	7691.0	7649.0	8061.0	348.0	7104.0	6728.0	7675.0	6195.0	7602.0	13410.0	7358.0	279.0	5693.0	6704.0	7103.0	6000.0	6782.0
FengQ_2015__SID531403__bin.12	6875.0	16663.0	7656.0	6431.0	7951.0	0.0	10457.0	12733.0	7287.0	10487.0	6610.0	3559.0	8643.0	2408.0	3576.0	10464.0	6142.0	8356.0	7799.0	11438.0	4530.0	11132.0	14563.0	10168.0	9878.0	8290.0	7687.0	3512.0	6776.0	7684.0
BackhedF_2015__SID546_12M__bin.24	10241.0	14262.0	10366.0	9602.0	7309.0	10457.0	0.0	11890.0	9978.0	8122.0	8840.0	10128.0	10564.0	10291.0	10234.0	8950.0	5681.0	10334.0	9748.0	10040.0	8997.0	4225.0	14480.0	10312.0	8431.0	7606.0	9728.0	7994.0	7876.0	9202.0
LiuW_2016__SRR3992985__bin.73	13621.0	18325.0	11882.0	13207.0	9777.0	12733.0	11890.0	0.0	12211.0	12408.0	11167.0	11786.0	13198.0	11912.0	12218.0	13027.0	6716.0	12531.0	10428.0	10003.0	12127.0	12059.0	18616.0	9015.0	11861.0	6516.0	11971.0	9423.0	9176.0	11252.0
LiJ_2014__V1.CD3-0-PN__bin.36	4013.0	16286.0	9978.0	3631.0	7468.0	7287.0	9978.0	12211.0	0.0	10684.0	4555.0	7659.0	10781.0	6551.0	7060.0	10841.0	5673.0	10788.0	9027.0	10770.0	7093.0	10722.0	15169.0	10377.0	8749.0	8365.0	8141.0	5875.0	7531.0	8719.0
BackhedF_2015__SID39_12M__bin.41	10072.0	16541.0	11014.0	9330.0	6873.0	10487.0	8122.0	12408.0	10684.0	0.0	8753.0	10388.0	11637.0	10400.0	10225.0	8603.0	5492.0	10760.0	9590.0	10843.0	8665.0	8543.0	16102.0	10173.0	8544.0	7766.0	10063.0	8134.0	8133.0	9552.0
NielsenHB_2014__V1_UC11_0__bin.24	2354.0	14220.0	8763.0	2291.0	6162.0	6610.0	8840.0	11167.0	4555.0	8753.0	0.0	6307.0	9143.0	6141.0	6687.0	9047.0	4685.0	9167.0	8086.0	9223.0	5920.0	9466.0	13079.0	9405.0	7475.0	7276.0	8290.0	5313.0	6860.0	7746.0
XieH_2016__YSZC12003_37179__bin.80	7016.0	16487.0	8371.0	5743.0	8120.0	3559.0	10128.0	11786.0	7659.0	10388.0	6307.0	0.0	8666.0	2761.0	3353.0	10540.0	5716.0	9449.0	7236.0	10617.0	4417.0	10398.0	14531.0	9344.0	9558.0	7910.0	7233.0	3544.0	6476.0	7434.0
IjazUZ_2017__S102_a_WGS__bin.2	10833.0	15197.0	8316.0	10266.0	7946.0	8643.0	10564.0	13198.0	10781.0	11637.0	9143.0	8666.0	0.0	8877.0	8348.0	11395.0	5976.0	8233.0	7372.0	12100.0	8836.0	11196.0	14682.0	10384.0	10260.0	9089.0	7614.0	6882.0	6562.0	7892.0
HeQ_2017__SZAXPI029501-104__bin.36	6427.0	16578.0	8414.0	5386.0	7691.0	2408.0	10291.0	11912.0	6551.0	10400.0	6141.0	2761.0	8877.0	0.0	1972.0	10290.0	5552.0	9414.0	7348.0	10802.0	4170.0	10574.0	14337.0	9170.0	9487.0	8001.0	7496.0	2828.0	6087.0	7430.0
HeQ_2017__RSZAXPI003080-114__bin.30	6708.0	16369.0	7818.0	6075.0	7649.0	3576.0	10234.0	12218.0	7060.0	10225.0	6687.0	3353.0	8348.0	1972.0	0.0	10384.0	5551.0	7886.0	7208.0	10958.0	4665.0	10567.0	14234.0	9575.0	9578.0	7523.0	7907.0	3807.0	6405.0	7242.0
BackhedF_2015__SID87_12M__bin.39	10263.0	16929.0	10576.0	9686.0	8061.0	10464.0	8950.0	13027.0	10841.0	8603.0	9047.0	10540.0	11395.0	10290.0	10384.0	0.0	5704.0	10734.0	9347.0	11080.0	8872.0	9559.0	16691.0	9761.0	8665.0	6858.0	8655.0	7906.0	8592.0	9661.0
IjazUZ_2017__S48_a_WGS__bin.2	4993.0	10281.0	5842.0	4459.0	348.0	6142.0	5681.0	6716.0	5673.0	5492.0	4685.0	5716.0	5976.0	5552.0	5551.0	5704.0	0.0	5677.0	5091.0	5693.0	4797.0	5910.0	10535.0	5574.0	286.0	4076.0	4742.0	4845.0	4563.0	5368.0
HeQ_2017__RSZAXPI003099-133__bin.1	11060.0	16819.0	8343.0	8814.0	7104.0	8356.0	10334.0	12531.0	10788.0	10760.0	9167.0	9449.0	8233.0	9414.0	7886.0	10734.0	5677.0	0.0	6774.0	11915.0	8598.0	10704.0	15457.0	9936.0	9188.0	7657.0	7730.0	6300.0	6231.0	7770.0
