	NielsenHB_2014__V1_UC11_5__bin.53	VincentC_2016__MM063__bin.1	FengQ_2015__SID531333__bin.47	NielsenHB_2014__V1_CD7_4__bin.41	IjazUZ_2017__S46_a_WGS__bin.2	FengQ_2015__SID531403__bin.12	BackhedF_2015__SID546_12M__bin.24	LiuW_2016__SRR3992985__bin.73	LiJ_2014__V1.CD3-0-PN__bin.36	BackhedF_2015__SID39_12M__bin.41	NielsenHB_2014__V1_UC11_0__bin.24	XieH_2016__YSZC12003_37179__bin.80	IjazUZ_2017__S102_a_WGS__bin.2	HeQ_2017__SZAXPI029501-104__bin.36	HeQ_2017__RSZAXPI003080-114__bin.30	BackhedF_2015__SID87_12M__bin.39	IjazUZ_2017__S48_a_WGS__bin.2	HeQ_2017__RSZAXPI003099-133__bin.1	RaymondF_2016__P20E7__bin.20	QinJ_2012__DLF012__bin.15	LoombaR_2017__SID1048_bav__bin.25	BackhedF_2015__SID546_4M__bin.12	FengQ_2015__SID31137__bin.48	GeversD_2014__SKBSTL041__bin.56	IjazUZ_2017__S47_a_WGS__bin.1	IjazUZ_2017__S56_a_WGS__bin.7	LomanNJ_2013__OBK1196__bin.13	BackhedF_2015__SID577_12M__bin.28	GeversD_2014__SKBSTL016__bin.45	FengQ_2015__SID31537__bin.55
NielsenHB_2014__V1_UC11_5__bin.53	1.0	0.9880137905616491	0.9953567782865095	0.9996456373157383	0.9965958799761542	0.9971172251562463	0.9937956533829471	0.994072971077178	0.9981433682436855	0.9953425548158454	0.998749679319834	0.9968860528811778	0.9950016056874557	0.997511816644851	0.9972666829926806	0.9953763272279048	0.9965482699525274	0.99545870563256	0.9958870273713858	0.995448467939997	0.9975309517692234	0.9945837192254363	0.9909183699419025	0.9951935857716009	0.9964656165619772	0.9950894406640747	0.996512927222775	0.9962885160414121	0.9957768809861078	0.9954169026228773
VincentC_2016__MM063__bin.1	0.9880137905616491	1.0	0.9875231148147274	0.9876557245109457	0.9873623723117211	0.987677701987186	0.9856655825229057	0.9864032344349496	0.9867992737412055	0.9869960896287899	0.987161464893107	0.9874702944826586	0.9879804802429688	0.9881155752777011	0.9880412190373214	0.9871231021997748	0.9882949921556752	0.9879162044567573	0.987613648624274	0.9871139352296585	0.9882261753437243	0.9860447005961203	0.9856149485738219	0.9869350930508164	0.9877128948199982	0.9867456662728741	0.9901269198966521	0.986722345507614	0.9875366309051318	0.9871129507901198
FengQ_2015__SID531333__bin.47	0.9953567782865095	0.9875231148147274	1.0	0.9959320304598867	0.9956164275156082	0.9965188670494579	0.9933411659961368	0.9943928312049656	0.9948657679788168	0.9945598781381092	0.9948080864216915	0.995993651869358	0.9958834841880945	0.9962649580351566	0.9965108728396577	0.9949580857506808	0.9957279176413893	0.9962720430035457	0.9964309989679997	0.9946046090474032	0.9961857153747179	0.9940513455704583	0.9922144559077143	0.9953899696886731	0.9954245628225868	0.9955395332557491	0.9965458174662721	0.9955082627597939	0.9961996393337035	0.9957490384537853
NielsenHB_2014__V1_CD7_4__bin.41	0.9996456373157383	0.9876557245109457	0.9959320304598867	1.0	0.9966037770842777	0.9972953615724333	0.9939269129718153	0.9940964539387519	0.9982515428412935	0.9955243040364733	0.9987186320740207	0.9973725794837025	0.9951152967911602	0.9978837459033431	0.9974992693338383	0.9955233096634764	0.9967842412677258	0.9963150926097414	0.9960687768345875	0.9955015540860025	0.9978761130105449	0.9945989602294102	0.9912841584562844	0.9955130380223483	0.9964316870948612	0.9952366613320792	0.996703007616074	0.9964402199727673	0.9960555095267893	0.9957459084802238
IjazUZ_2017__S46_a_WGS__bin.2	0.9965958799761542	0.9873623723117211	0.9956164275156082	0.9966037770842777	1.0	0.9957949638994134	0.9946670188423732	0.9948114293962748	0.995541268935278	0.9960750318229087	0.9958097851919903	0.9955049188477313	0.9954677265167088	0.9960405754782352	0.9960094075517097	0.9956015594520637	0.9997210646673095	0.9963399441717836	0.9960624045668616	0.9958691363938502	0.9966920869594005	0.9951283502204803	0.9907787519339866	0.9958708504375787	0.9998506399196132	0.9958965761313787	0.9964645993221355	0.9945416793461388	0.9959256761849662	0.9958946805786673
FengQ_2015__SID531403__bin.12	0.9971172251562463	0.987677701987186	0.9965188670494579	0.9972953615724333	0.9957949638994134	1.0	0.993595228485033	0.9943987165393368	0.9964598803442472	0.9950895764824099	0.9963781496673486	0.9984217966773921	0.996018986161106	0.9990652304548538	0.9985921736508134	0.9952856179359171	0.9957112232998862	0.9966094377412266	0.9962024490527304	0.995017949841496	0.998131325339971	0.9940624646638775	0.9916464707012709	0.9953525978694532	0.9955734882507885	0.9950987463669235	0.9967801657877431	0.9977898939249772	0.9962400925105928	0.9961311053790424
BackhedF_2015__SID546_12M__bin.24	0.9937956533829471	0.9856655825229057	0.9933411659961368	0.9939269129718153	0.9946670188423732	0.993595228485033	1.0	0.9928576920674128	0.9933612023555822	0.9948338328609447	0.9934044912132005	0.9935173912876504	0.9930531626391143	0.9938783255486368	0.9938365734383657	0.9944339896043095	0.9946436636171724	0.9937929572228199	0.9935255778860095	0.9938417413396421	0.9944775255484265	0.9971277085368582	0.9885766759073574	0.9934050135199781	0.9946857293774972	0.993867622562892	0.9940019631732377	0.993062702959763	0.9939228160602471	0.9934643168890092
LiuW_2016__SRR3992985__bin.73	0.994072971077178	0.9864032344349496	0.9943928312049656	0.9940964539387519	0.9948114293962748	0.9943987165393368	0.9928576920674128	1.0	0.9939584258955987	0.9941620181124236	0.9937177469850305	0.9945647863083896	0.9937601590076771	0.9949303713400852	0.9946984637347236	0.9941334459778957	0.9953973361294722	0.9947328556152609	0.9949920015137333	0.9956367820624329	0.9947308300105019	0.9936268805168257	0.9892099174166864	0.9958554010813196	0.9946119671475815	0.9961628966950032	0.9948301833339379	0.9937848624497654	0.9948164839876468	0.9942860944195984
LiJ_2014__V1.CD3-0-PN__bin.36	0.9981433682436855	0.9867992737412055	0.9948657679788168	0.9982515428412935	0.995541268935278	0.9964598803442472	0.9933612023555822	0.9939584258955987	1.0	0.9944654932517766	0.9973106566484937	0.9961819636541285	0.9943017217457948	0.9969583525051688	0.9965808505352228	0.9945276826267931	0.9956925843051531	0.9948779330931198	0.9951965569737724	0.9947258882005827	0.9964923195000924	0.9936994233579688	0.9903283231126873	0.9946300188003678	0.995548223843589	0.994557530127145	0.9960150352753326	0.9958636373237205	0.995311066033589	0.995049541490679
BackhedF_2015__SID39_12M__bin.41	0.9953425548158454	0.9869960896287899	0.9945598781381092	0.9955243040364733	0.9960750318229087	0.9950895764824099	0.9948338328609447	0.9941620181124236	0.9944654932517766	1.0	0.9948903106793849	0.9949142103464584	0.9940993003028691	0.995301244447336	0.9952850917136121	0.9958445194316898	0.9959023762785488	0.995129703332849	0.9950009695721164	0.9949674669924222	0.9959376027027015	0.9952703271297092	0.9898707198884785	0.994981250607425	0.995862006839506	0.9950254301343889	0.9953495486802386	0.9943724336422476	0.9951067337312284	0.9947413101140594
NielsenHB_2014__V1_UC11_0__bin.24	0.998749679319834	0.987161464893107	0.9948080864216915	0.9987186320740207	0.9958097851919903	0.9963781496673486	0.9934044912132005	0.9937177469850305	0.9973106566484937	0.9948903106793849	1.0	0.9963753519333851	0.9944300401344149	0.9967401274859116	0.9963466842075359	0.9948057957834338	0.9958456147071446	0.9950270941184959	0.9950150055361427	0.9948913773783787	0.9967034044031825	0.993835979490599	0.9903399946673875	0.9945197449423452	0.9957093862556862	0.9945706314140759	0.9953770828221543	0.9957889313809024	0.9951213718759179	0.9950151649416666
XieH_2016__YSZC12003_37179__bin.80	0.9968860528811778	0.9874702944826586	0.995993651869358	0.9973725794837025	0.9955049188477313	0.9984217966773921	0.9935173912876504	0.9945647863083896	0.9961819636541285	0.9949142103464584	0.9963753519333851	1.0	0.9958449145273123	0.9988381981593794	0.9985342928695293	0.9950864463772332	0.995894147148422	0.9958182660652004	0.9963408251348297	0.9950640185221346	0.9980334925119562	0.994177259279958	0.9913528445279413	0.99555371774197	0.9954728413107257	0.9951640257315405	0.9967053809833114	0.9976770572037773	0.9961970733437508	0.996094240502106
IjazUZ_2017__S102_a_WGS__bin.2	0.9950016056874557	0.9879804802429688	0.9958834841880945	0.9951152967911602	0.9954677265167088	0.996018986161106	0.9930531626391143	0.9937601590076771	0.9943017217457948	0.9940993003028691	0.9944300401344149	0.9958449145273123	1.0	0.9960637009104437	0.9962075472898138	0.9944685432681759	0.9955246581897782	0.9962515883968154	0.9961749875733793	0.9942315356700858	0.9959625037411726	0.9935147383883928	0.9909844964286767	0.994850452866568	0.9950711583498468	0.9943683073693446	0.9965051688066808	0.99517520551998	0.9960300703116776	0.9957069661708716
