	ZeeviD_2015__PNP_Main_399__bin.40	ZeeviD_2015__PNP_Main_673__bin.15	FengQ_2015__SID31137__bin.38	ZeeviD_2015__PNP_Main_554__bin.3	SchirmerM_2016__G88838__bin.17	ZeeviD_2015__PNP_Main_297__bin.51	LiSS_2016__FAT_012-22-2-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.9	ZellerG_2014__CCMD46947453ST-21-0__bin.36	ZeeviD_2015__PNP_Main_329__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.37	ZeeviD_2015__PNP_Main_547__bin.17	HeQ_2017__SZAXPI029551-166__bin.67	BritoIL_2016__W3.16.ST__bin.17	CosteaPI_2017__SID713A055-11-0-0__bin.81	ZeeviD_2015__PNP_Main_332__bin.16	LiJ_2017__H1M511841__bin.27	LeChatelierE_2013__MH0288__bin.31	BritoIL_2016__M2.40.ST__bin.30	SchirmerM_2016__G89030__bin.25	SchirmerM_2016__G89127__bin.19	LeChatelierE_2013__MH0456__bin.68	BritoIL_2016__M1.22.ST__bin.92	BackhedF_2015__SID184_12M__bin.44	ZellerG_2014__CCIS35092938ST-4-0__bin.32	BritoIL_2016__M2.3.ST__bin.65	FengQ_2015__SID31333__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.73	SchirmerM_2016__G89023__bin.6	VatanenT_2016__G80547__bin.9	ZeeviD_2015__PNP_Main_165__bin.9	SchirmerM_2016__G88746__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.88	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.115	LeChatelierE_2013__MH0448__bin.77	ZeeviD_2015__PNP_Main_114__bin.9	ZeeviD_2015__PNP_Main_160__bin.36	BritoIL_2016__WL.44.ST__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.111	ZeeviD_2015__PNP_Main_366__bin.36	ZeeviD_2015__PNP_Validation_42__bin.95	LiSS_2016__FAT_012-22-14-0__bin.25	ZeeviD_2015__PNP_Main_303__bin.2	ZeeviD_2015__PNP_Validation_77__bin.59
ZeeviD_2015__PNP_Main_399__bin.40	3607734.0	2197686.0	2457074.0	2409566.0	2345000.0	2468029.0	2037051.0	2302712.0	2528964.0	2138209.0	2416367.0	1752569.0	2364370.0	2199666.0	2263281.0	2495111.0	2224891.0	2404093.0	2288494.0	2193628.0	1577291.0	2201081.0	2396808.0	2217555.0	2054503.0	1143469.0	2296861.0	2367678.0	1885611.0	1888996.0	2092787.0	1642343.0	2360804.0	2527160.0	1767009.0	2386055.0	1356386.0	2006656.0	2120486.0	2256050.0	2310534.0	2486872.0	2496779.0	2384122.0
ZeeviD_2015__PNP_Main_673__bin.15	2197686.0	2960830.0	2191527.0	2132070.0	2054930.0	2157941.0	1833117.0	2048152.0	2205176.0	1927404.0	2206244.0	1589090.0	2114301.0	1983402.0	2013890.0	2193654.0	2007769.0	2130772.0	2013786.0	1973124.0	1411127.0	1911898.0	2227606.0	1995308.0	1816546.0	994128.0	2048922.0	2117888.0	1675917.0	1711222.0	1869709.0	1491677.0	2083760.0	2211223.0	1582659.0	2111305.0	1157910.0	1813351.0	1891988.0	2039380.0	2066404.0	2142178.0	2221747.0	2136913.0
FengQ_2015__SID31137__bin.38	2457074.0	2191527.0	3291648.0	2421801.0	2410332.0	2440756.0	1994332.0	2277653.0	2569286.0	2083703.0	2489238.0	1714396.0	2360539.0	2146185.0	2217800.0	2516244.0	2201713.0	2358631.0	2257360.0	2139822.0	1533754.0	2061032.0	2442405.0	2199585.0	2005111.0	1149745.0	2204900.0	2318611.0	1830809.0	1836429.0	2065157.0	1599469.0	2504704.0	2571803.0	1730703.0	2444101.0	1295661.0	2003525.0	2054801.0	2251343.0	2338370.0	2434185.0	2587021.0	2309431.0
ZeeviD_2015__PNP_Main_554__bin.3	2409566.0	2132070.0	2421801.0	3667669.0	2272213.0	2385169.0	1924585.0	2176871.0	2483715.0	2043332.0	2428083.0	1690834.0	2266909.0	2076535.0	2176602.0	2407237.0	2198613.0	2289897.0	2163823.0	2090609.0	1514100.0	2048358.0	2339660.0	2101010.0	1966670.0	1042283.0	2196272.0	2314566.0	1763562.0	1780816.0	2058278.0	1565185.0	2207405.0	2451684.0	1665235.0	2365251.0	1214767.0	1898017.0	2047220.0	2160767.0	2363965.0	2386522.0	2470785.0	2239862.0
SchirmerM_2016__G88838__bin.17	2345000.0	2054930.0	2410332.0	2272213.0	4364471.0	2318792.0	1881115.0	2156815.0	2316722.0	1973282.0	2282675.0	1654889.0	2174879.0	2047995.0	2129022.0	2287313.0	2107685.0	2217659.0	2171232.0	2043387.0	1490227.0	2042908.0	2212241.0	2065390.0	1907172.0	1026009.0	2111162.0	2290517.0	1767555.0	1741204.0	1957710.0	1540366.0	2281987.0	2377982.0	1670270.0	2238940.0	1261757.0	1918934.0	2021658.0	2095795.0	2098809.0	2341213.0	2338357.0	2233940.0
ZeeviD_2015__PNP_Main_297__bin.51	2468029.0	2157941.0	2440756.0	2385169.0	2318792.0	3264363.0	1991121.0	2269499.0	2494689.0	2124977.0	2398157.0	1742732.0	2319238.0	2137409.0	2210424.0	2484877.0	2144140.0	2376807.0	2254792.0	2156725.0	1539899.0	2104055.0	2333931.0	2185016.0	2005728.0	1106092.0	2251347.0	2342002.0	1839994.0	1847944.0	2070597.0	1619858.0	2315672.0	2468408.0	1726997.0	2380996.0	1300091.0	1991953.0	2066006.0	2225529.0	2279891.0	2425645.0	2498189.0	2352893.0
LiSS_2016__FAT_012-22-2-0__bin.44	2037051.0	1833117.0	1994332.0	1924585.0	1881115.0	1991121.0	2145471.0	1945829.0	1993454.0	1861254.0	1981948.0	1584059.0	1984672.0	1877120.0	1921275.0	2006397.0	1879407.0	2018246.0	1892798.0	1915340.0	1396468.0	1832119.0	1972078.0	1923926.0	1824424.0	909040.0	1959880.0	1997095.0	1652137.0	1693823.0	1840557.0	1493957.0	1952065.0	2017648.0	1576804.0	1948935.0	1055120.0	1774350.0	1811519.0	1866767.0	1906424.0	2044143.0	1982130.0	1978114.0
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.9	2302712.0	2048152.0	2277653.0	2176871.0	2156815.0	2269499.0	1945829.0	2636671.0	2260310.0	2011794.0	2365422.0	1693448.0	2264569.0	2091086.0	2133055.0	2266698.0	2070547.0	2231864.0	2161588.0	2067043.0	1503849.0	2014924.0	2190160.0	2140043.0	1956636.0	1032155.0	2123568.0	2240873.0	1785765.0	1803128.0	1983310.0	1569252.0	2224989.0	2372404.0	1676565.0	2201799.0	1169566.0	1928374.0	1983130.0	2102711.0	2177549.0	2290719.0	2262662.0	2298713.0
ZellerG_2014__CCMD46947453ST-21-0__bin.36	2528964.0	2205176.0	2569286.0	2483715.0	2316722.0	2494689.0	1993454.0	2260310.0	3267906.0	2113350.0	2460791.0	1718131.0	2390901.0	2150911.0	2241894.0	2532216.0	2196992.0	2414461.0	2284378.0	2157580.0	1553386.0	2084393.0	2423891.0	2195787.0	2035406.0	1160877.0	2249578.0	2376148.0	1834463.0	1857068.0	2053764.0	1619773.0	2385654.0	2582506.0	1738543.0	2414877.0	1345779.0	1995272.0	2092762.0	2250257.0	2357736.0	2510351.0	2627691.0	2328291.0
ZeeviD_2015__PNP_Main_329__bin.14	2138209.0	1927404.0	2083703.0	2043332.0	1973282.0	2124977.0	1861254.0	2011794.0	2113350.0	3298442.0	2092024.0	1600226.0	2044428.0	1933717.0	1982760.0	2145843.0	1913541.0	2095416.0	1974706.0	1950209.0	1411573.0	1917392.0	2066961.0	1975022.0	1844081.0	947957.0	1998560.0	2072804.0	1654331.0	1686116.0	1864868.0	1499583.0	2023426.0	2133960.0	1573605.0	2036233.0	1108450.0	1805031.0	1842324.0	1962553.0	1991875.0	2091696.0	2132947.0	2059552.0
