	ZeeviD_2015__PNP_Main_399__bin.40	ZeeviD_2015__PNP_Main_673__bin.15	FengQ_2015__SID31137__bin.38	ZeeviD_2015__PNP_Main_554__bin.3	SchirmerM_2016__G88838__bin.17	ZeeviD_2015__PNP_Main_297__bin.51	LiSS_2016__FAT_012-22-2-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.9	ZellerG_2014__CCMD46947453ST-21-0__bin.36	ZeeviD_2015__PNP_Main_329__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.37	ZeeviD_2015__PNP_Main_547__bin.17	HeQ_2017__SZAXPI029551-166__bin.67	BritoIL_2016__W3.16.ST__bin.17	CosteaPI_2017__SID713A055-11-0-0__bin.81	ZeeviD_2015__PNP_Main_332__bin.16	LiJ_2017__H1M511841__bin.27	LeChatelierE_2013__MH0288__bin.31	BritoIL_2016__M2.40.ST__bin.30	SchirmerM_2016__G89030__bin.25	SchirmerM_2016__G89127__bin.19	LeChatelierE_2013__MH0456__bin.68	BritoIL_2016__M1.22.ST__bin.92	BackhedF_2015__SID184_12M__bin.44	ZellerG_2014__CCIS35092938ST-4-0__bin.32	BritoIL_2016__M2.3.ST__bin.65	FengQ_2015__SID31333__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.73	SchirmerM_2016__G89023__bin.6	VatanenT_2016__G80547__bin.9	ZeeviD_2015__PNP_Main_165__bin.9	SchirmerM_2016__G88746__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.88	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.115	LeChatelierE_2013__MH0448__bin.77	ZeeviD_2015__PNP_Main_114__bin.9	ZeeviD_2015__PNP_Main_160__bin.36	BritoIL_2016__WL.44.ST__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.111	ZeeviD_2015__PNP_Main_366__bin.36	ZeeviD_2015__PNP_Validation_42__bin.95	LiSS_2016__FAT_012-22-14-0__bin.25	ZeeviD_2015__PNP_Main_303__bin.2	ZeeviD_2015__PNP_Validation_77__bin.59
ZeeviD_2015__PNP_Main_399__bin.40	0.0	27231.0	51765.0	25797.0	44225.0	25223.0	20633.0	28525.0	24598.0	20867.0	31438.0	17069.0	28763.0	26263.0	21766.0	25492.0	26688.0	27211.0	29283.0	21863.0	15067.0	22172.0	27083.0	24151.0	21034.0	11167.0	23682.0	27888.0	17924.0	17430.0	21243.0	16509.0	47122.0	31252.0	19084.0	26890.0	13789.0	23235.0	24487.0	20176.0	23718.0	26503.0	29710.0	24214.0
ZeeviD_2015__PNP_Main_673__bin.15	27231.0	0.0	45731.0	25636.0	39377.0	25579.0	21678.0	25782.0	26201.0	23290.0	30072.0	18397.0	28755.0	24219.0	23044.0	26813.0	28430.0	26995.0	26745.0	23153.0	15728.0	23214.0	27412.0	23402.0	21112.0	10781.0	25449.0	27125.0	18991.0	19726.0	21893.0	16628.0	42207.0	28948.0	20454.0	27434.0	14507.0	21142.0	24396.0	23379.0	24553.0	26321.0	28209.0	24700.0
FengQ_2015__SID31137__bin.38	51765.0	45731.0	0.0	51982.0	43689.0	48873.0	41451.0	44691.0	52444.0	43068.0	50642.0	33985.0	47895.0	38767.0	46138.0	50952.0	44415.0	49109.0	42799.0	42694.0	30317.0	41854.0	46320.0	42497.0	40996.0	19346.0	46812.0	47851.0	34680.0	35755.0	42811.0	31985.0	31423.0	54580.0	35629.0	50369.0	25354.0	36745.0	41262.0	43432.0	49784.0	50337.0	52309.0	46289.0
ZeeviD_2015__PNP_Main_554__bin.3	25797.0	25636.0	51982.0	0.0	42384.0	23109.0	18436.0	26026.0	27120.0	20121.0	30548.0	16856.0	26605.0	25294.0	21595.0	24760.0	25601.0	25269.0	26655.0	20013.0	13546.0	22253.0	27113.0	20525.0	20674.0	11240.0	21632.0	25383.0	16189.0	16723.0	17733.0	15012.0	44983.0	31048.0	17060.0	25782.0	12658.0	20165.0	20913.0	19646.0	23525.0	25625.0	29095.0	22096.0
SchirmerM_2016__G88838__bin.17	44225.0	39377.0	43689.0	42384.0	0.0	43365.0	33877.0	40763.0	42467.0	35666.0	44831.0	29246.0	35952.0	36737.0	39909.0	42798.0	34693.0	41629.0	41258.0	35475.0	25953.0	39850.0	41283.0	35472.0	34434.0	16183.0	37898.0	42024.0	30704.0	30023.0	34997.0	26544.0	41382.0	45027.0	29528.0	40714.0	20947.0	32858.0	36655.0	36298.0	39460.0	42771.0	45318.0	40447.0
ZeeviD_2015__PNP_Main_297__bin.51	25223.0	25579.0	48873.0	23109.0	43365.0	0.0	18920.0	28241.0	25682.0	20294.0	31719.0	16642.0	27146.0	25699.0	21939.0	23238.0	24372.0	25926.0	28083.0	20778.0	13932.0	21040.0	25484.0	21262.0	19098.0	10909.0	22842.0	25651.0	16064.0	17481.0	19329.0	15808.0	45538.0	31652.0	17821.0	25671.0	12706.0	23310.0	21118.0	19769.0	22549.0	23454.0	27744.0	20720.0
LiSS_2016__FAT_012-22-2-0__bin.44	20633.0	21678.0	41451.0	18436.0	33877.0	18920.0	0.0	24160.0	20596.0	11254.0	24360.0	14751.0	23354.0	20913.0	18181.0	19194.0	23369.0	19366.0	23750.0	18515.0	12311.0	10597.0	20855.0	18919.0	17322.0	9064.0	19203.0	21152.0	15786.0	16370.0	18517.0	14109.0	38894.0	23944.0	15578.0	21119.0	10125.0	19989.0	18258.0	17576.0	18427.0	1828.0	20895.0	19596.0
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.9	28525.0	25782.0	44691.0	26026.0	40763.0	28241.0	24160.0	0.0	28489.0	24386.0	21815.0	20699.0	29308.0	27094.0	24174.0	28328.0	29144.0	26840.0	28215.0	24644.0	17317.0	24770.0	25362.0	25002.0	23125.0	10637.0	25544.0	26815.0	21174.0	20560.0	24437.0	18284.0	42736.0	26950.0	22330.0	29551.0	12542.0	23811.0	23102.0	24986.0	26057.0	27513.0	28073.0	27936.0
ZellerG_2014__CCMD46947453ST-21-0__bin.36	24598.0	26201.0	52444.0	27120.0	42467.0	25682.0	20596.0	28489.0	0.0	22600.0	32744.0	17057.0	30461.0	24715.0	23292.0	25659.0	25935.0	28208.0	27840.0	21779.0	15171.0	21954.0	27952.0	23297.0	19455.0	11572.0	23467.0	27421.0	17126.0	16538.0	20631.0	15519.0	48368.0	31616.0	17924.0	27555.0	14805.0	23099.0	22737.0	21257.0	24879.0	27631.0	29631.0	23154.0
ZeeviD_2015__PNP_Main_329__bin.14	20867.0	23290.0	43068.0	20121.0	35666.0	20294.0	11254.0	24386.0	22600.0	0.0	29089.0	14588.0	24242.0	22544.0	19248.0	21343.0	23639.0	21860.0	24879.0	18942.0	12159.0	13884.0	23604.0	20251.0	16648.0	8951.0	19754.0	22761.0	14795.0	15901.0	18625.0	15088.0	39887.0	26969.0	15447.0	22177.0	10901.0	19935.0	19910.0	18025.0	19072.0	12735.0	24012.0	18933.0
