	ZeeviD_2015__PNP_Main_399__bin.40	ZeeviD_2015__PNP_Main_673__bin.15	FengQ_2015__SID31137__bin.38	ZeeviD_2015__PNP_Main_554__bin.3	SchirmerM_2016__G88838__bin.17	ZeeviD_2015__PNP_Main_297__bin.51	LiSS_2016__FAT_012-22-2-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.9	ZellerG_2014__CCMD46947453ST-21-0__bin.36	ZeeviD_2015__PNP_Main_329__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.37	ZeeviD_2015__PNP_Main_547__bin.17	HeQ_2017__SZAXPI029551-166__bin.67	BritoIL_2016__W3.16.ST__bin.17	CosteaPI_2017__SID713A055-11-0-0__bin.81	ZeeviD_2015__PNP_Main_332__bin.16	LiJ_2017__H1M511841__bin.27	LeChatelierE_2013__MH0288__bin.31	BritoIL_2016__M2.40.ST__bin.30	SchirmerM_2016__G89030__bin.25	SchirmerM_2016__G89127__bin.19	LeChatelierE_2013__MH0456__bin.68	BritoIL_2016__M1.22.ST__bin.92	BackhedF_2015__SID184_12M__bin.44	ZellerG_2014__CCIS35092938ST-4-0__bin.32	BritoIL_2016__M2.3.ST__bin.65	FengQ_2015__SID31333__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.73	SchirmerM_2016__G89023__bin.6	VatanenT_2016__G80547__bin.9	ZeeviD_2015__PNP_Main_165__bin.9	SchirmerM_2016__G88746__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.88	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.115	LeChatelierE_2013__MH0448__bin.77	ZeeviD_2015__PNP_Main_114__bin.9	ZeeviD_2015__PNP_Main_160__bin.36	BritoIL_2016__WL.44.ST__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.111	ZeeviD_2015__PNP_Main_366__bin.36	ZeeviD_2015__PNP_Validation_42__bin.95	LiSS_2016__FAT_012-22-14-0__bin.25	ZeeviD_2015__PNP_Main_303__bin.2	ZeeviD_2015__PNP_Validation_77__bin.59
ZeeviD_2015__PNP_Main_399__bin.40	1.0	0.6016117041888343	0.6667090755582313	0.6607385688634473	0.6377341012391713	0.6771025801791374	0.5589153745813854	0.6303643783050524	0.694165922432197	0.5868897208053587	0.6610601003289045	0.4810498778457613	0.6473889150364189	0.6024288376027722	0.6213082782710698	0.684534669130263	0.6093029585884103	0.6588296143784436	0.6262132962130801	0.6019748129989627	0.43302083801078456	0.603955003334503	0.656845820673032	0.6079727607412297	0.5636416099413094	0.31385407017257927	0.6300849785488619	0.6485483685881499	0.5176897742461056	0.518764964379303	0.5741953259303485	0.45065240397435063	0.6413116931569789	0.6918215145573371	0.48449386789602555	0.6539187756081795	0.3721441214901099	0.5497691903006152	0.5809738190232429	0.619744692929135	0.6338649135440695	0.6819707328755391	0.6838278542708526	0.6541247220554509
ZeeviD_2015__PNP_Main_673__bin.15	0.7330562713833622	1.0	0.7247278634707159	0.7114336182759564	0.6807391846205286	0.7201906222241736	0.6118010828044839	0.6830415795570837	0.7359338428751399	0.6431014276402225	0.7349871488737955	0.5304907745463264	0.7043788397172415	0.6617006042224647	0.6723945650375064	0.7318356677012865	0.6685081548079423	0.7105362347720066	0.6711094524170587	0.6585893144827633	0.4712864298186657	0.6378900511005361	0.743100414410824	0.6659977101015594	0.6063955039634156	0.3321186964466045	0.6834141102326037	0.706140845641256	0.5596153781203244	0.5712911582225254	0.6240871647477227	0.4981876703491926	0.6895205060743103	0.7370483952135043	0.5276240108347997	0.7038131199697383	0.38617651131608366	0.6053062823600139	0.6307663729427222	0.68089049354404	0.689621153527896	0.7146161718166866	0.7408523961186559	0.7133854358406257
FengQ_2015__SID31137__bin.38	0.7307309287019754	0.6518910892051641	1.0	0.7199490954075284	0.7189842291763883	0.7266521207613936	0.5932836682415616	0.6783720495022554	0.764614563890185	0.6199432624630581	0.740843492378286	0.510507502624825	0.7025793766526676	0.6402318838466324	0.6597491590838389	0.7489537155856276	0.6553853875019443	0.7016309155778504	0.6727818405856276	0.6371057901695443	0.45674294456758435	0.61342464321823	0.7279286849626693	0.6553215896717997	0.5966965483551097	0.3434143018937627	0.6556253888629647	0.6898550513299113	0.5456625374280604	0.5470433047519054	0.6143870790558408	0.4762003713641313	0.7513807673238451	0.764730311382019	0.5149621101648779	0.7272138454658579	0.38591823913128015	0.5975061731995644	0.6117115195792503	0.6707615759643801	0.6952705757116192	0.7242110942603827	0.7700434554363041	0.6875407090916161
ZeeviD_2015__PNP_Main_554__bin.3	0.6499411479062043	0.574325000429428	0.6461376421918118	1.0	0.6079689852055897	0.6440221295869393	0.5197167465221099	0.5864337812381651	0.6697973563045084	0.551634021499759	0.6536944855165502	0.45641468736682617	0.6108250226506263	0.5592764777846637	0.5875685619394772	0.6495888805669214	0.5924776745120676	0.6174570278833778	0.5827047097216242	0.5645536715554212	0.4091301586920739	0.5524230785275334	0.6305222745018703	0.5672499344951795	0.530581140228303	0.281116698371636	0.592921553171783	0.6241520158989265	0.4764260351738393	0.4809847889763226	0.5563601840842235	0.4226589149675175	0.5895902820020018	0.6599930364490361	0.44937942873252745	0.6378626315515386	0.3277583118869233	0.5120014919557899	0.5524781543808889	0.5837825060004052	0.6381273773614794	0.6437050344510369	0.6657334672240052	0.604679975210413
SchirmerM_2016__G88838__bin.17	0.5271601071470059	0.46180923186338046	0.5422519705137232	0.5109047579878523	1.0	0.521352301344195	0.4232444206869515	0.4848358483765845	0.5210837693731956	0.44395208491475824	0.5127411775676823	0.37247194448078585	0.49007703339075914	0.46082514925634743	0.47866350813191333	0.5142696560476631	0.4749698187936179	0.49857817820303996	0.4880256965849928	0.4600585042265145	0.33549862056592883	0.4589463419507198	0.4974160671476566	0.4651005814908611	0.4290870531617692	0.23137420319667606	0.4750321402066825	0.5151811067137346	0.3979522375105711	0.392070654152588	0.4405374671982011	0.3468511991487628	0.5133737857348576	0.5345332802073837	0.3759314702744044	0.5036637888073949	0.2842979137677854	0.43214309363036213	0.4548095290357067	0.47187780603880747	0.4718438958581693	0.5266255635562705	0.5253876128401357	0.5025793503955004
ZeeviD_2015__PNP_Main_297__bin.51	0.7483254772830105	0.6532245341587317	0.7327258028595471	0.7235898703667454	0.6970508488179776	1.0	0.6041610568432494	0.6865835692905476	0.7563518518007954	0.6447453913673205	0.7249310202327376	0.5287677871609254	0.7021559795892798	0.6468980318671668	0.6704171686788509	0.754094749879226	0.6493665073400231	0.7201653124974152	0.6821266507431925	0.654322757609984	0.4674624115026423	0.6381076491799472	0.7071661454317427	0.6628411117268515	0.6085812147729893	0.33549669567998414	0.682676834653499	0.7095874447786596	0.5587399440564668	0.5607412533471309	0.6283823214513827	0.4913822390463315	0.69542939924267	0.7464721294782474	0.523586378108072	0.7215266807030958	0.39437556423718806	0.6030711045309606	0.6264278819481779	0.67570916592303	0.6915107174048964	0.7358835399126874	0.7567923665352168	0.7144343322112154
LiSS_2016__FAT_012-22-2-0__bin.44	0.9398486392964529	0.844308312720144	0.910234163034597	0.8884524656823607	0.860994159324456	0.9192391787164683	1.0	0.8956863085075492	0.9195454051814264	0.8622815223323923	0.9124280868862827	0.7314515087829199	0.914166632874553	0.8651745933643474	0.8870285359252117	0.9262315827154037	0.8650958227820371	0.9316742104647419	0.8711597593255747	0.8841065668098055	0.6451529757335335	0.8490079800659156	0.9094613723513392	0.8879201816291155	0.8422868451729247	0.41947712180682006	0.9045459015759244	0.9209833178821807	0.7627001250541257	0.7818576899897505	0.8492494188921687	0.6897543709516465	0.8917254066822623	0.9292616865946918	0.7276845037756279	0.8985514136522936	0.4870702050971558	0.8177043642165286	0.8358355810915179	0.8619044489531669	0.8799918526048592	0.9519191823147458	0.914127946730578	0.9128615581380499
Bengtsson-PalmeJ_2015__TRAVELRES58__bin.9	0.8625220969927611	0.7670164385317698	0.8468868508812817	0.8157426542788235	0.80254684790025	0.8500332426760866	0.7288239602134662	1.0	0.8464541082296578	0.753756536177627	0.8888507515727219	0.6344170357242144	0.8477587837086993	0.7828022532959175	0.799827130499027	0.8489379220994958	0.7742350107389204	0.8362909138076006	0.8091161164969009	0.7746127598020383	0.5637912352356438	0.7547980009640944	0.821034554557622	0.8021634098452177	0.7333152296968412	0.38742717616266875	0.7957094381513659	0.8397172040045952	0.6692495954178583	0.6760676625942335	0.7429341772257517	0.5882296274355049	0.8276546448153751	0.8895512561104514	0.6273953026373029	0.8238600872084533	0.4388200120530775	0.7223362338342554	0.7433722296031625	0.7880107150266378	0.815988039463399	0.8583573756452739	0.8475039168709331	0.8612287994975482
ZellerG_2014__CCMD46947453ST-21-0__bin.36	0.7663519085310287	0.6667801950239695	0.7701696438024839	0.7517336789981108	0.6959364804250795	0.7555318298629153	0.6037070833738791	0.6829514068030109	1.0	0.6397827844497362	0.7429978096065186	0.5205394524811914	0.7223096380373242	0.6506294856706404	0.6789063088105961	0.7670223684524585	0.6643572367136631	0.7302085800509561	0.690514965852751	0.653568676700003	0.4707035636887964	0.6311194385640223	0.7331725575949859	0.6647957438188247	0.6168938151831784	0.351694632587351	0.6812041105221508	0.7187253856139069	0.5561166692065194	0.5632138745728916	0.622151616356162	0.49091191729505074	0.7152243669187547	0.7805885481406136	0.5265203466684781	0.7305357008432922	0.40728650089690466	0.6034974690214469	0.6334408027648286	0.6820881628786141	0.713869064777261	0.7597280949941644	0.7950228678548281	0.7053865686467113
ZeeviD_2015__PNP_Main_329__bin.14	0.6419218528020199	0.5772767870406694	0.618666327920879	0.6133838339434193	0.5874337035485239	0.6380839802549204	0.5608708596361555	0.6025293153555527	0.633859864748266	1.0	0.6254270955802771	0.4807233233144618	0.6124667342945549	0.5794168883369785	0.5952846828896794	0.6440919682686553	0.5729680861449133	0.6286471006614638	0.5911357543955601	0.5855088553929401	0.4242651530631735	0.5770930639374591	0.6194915660181383	0.592634643871258	0.5540291446689073	0.2846816769856799	0.5999214174449634	0.6215185836222071	0.49706376525644536	0.5063648231498387	0.5597318370309375	0.45005945231112143	0.601356337325319	0.6387837045489961	0.47239211724808255	0.6106082811218145	0.33274770330962317	0.5411936908394933	0.5525075171853864	0.5895292383494996	0.5981014672988035	0.6302857530919143	0.6393730737117707	0.6186614771458767
