	HMP_2012__SRS017533__bin.4	CM_cf__CF_TNFC057SA_t1M16__bin.2	HMP_2012__SRS049389__bin.46	HMP_2012__SRS016037__bin.16	HMP_2012__SRS018145__bin.21	HMP_2012__SRS019126__bin.30	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	HMP_2012__SRS014888__bin.17	HMP_2012__SRS016225__bin.50	HMP_2012__SRS019122__bin.59	HMP_2012__SRS013164__bin.38	HMP_2012__SRS018439__bin.21	HMP_2012__SRS045127__bin.3	HMP_2012__SRS013948__bin.22	HMP_2012__SRS057205__bin.36	HMP_2012__SRS019327__bin.57	HMP_2012__SRS022621__bin.11	CM_cf__CF_TNFC057IS_t1M15__bin.1	HMP_2012__SRS015797__bin.21	HMP_2012__SRS023958__bin.14	HMP_2012__SRS052227__bin.2	HMP_2012__SRS050669__bin.56	HMP_2012__SRS019127__bin.45	HMP_2012__SRS015762__bin.43	HMP_2012__SRS044662__bin.6	HMP_2012__SRS013947__bin.11	HMP_2012__SRS024441__bin.49	HMP_2012__SRS013879__bin.23
HMP_2012__SRS017533__bin.4	0.0	36120.0	39573.0	40546.0	40553.0	31731.0	39597.0	35225.0	35673.0	36638.0	28228.0	37340.0	37291.0	48052.0	41602.0	11995.0	21329.0	43485.0	38985.0	36107.0	44020.0	36330.0	29791.0	30401.0	11084.0	41781.0	37779.0	30532.0	35611.0
CM_cf__CF_TNFC057SA_t1M16__bin.2	36120.0	0.0	51924.0	48059.0	47473.0	37540.0	47852.0	43688.0	42919.0	46953.0	36524.0	43323.0	43993.0	63272.0	54303.0	46316.0	29390.0	49265.0	822.0	43853.0	56513.0	52451.0	34676.0	43321.0	53617.0	55925.0	42829.0	42741.0	40010.0
HMP_2012__SRS049389__bin.46	39573.0	51924.0	0.0	52868.0	52925.0	40363.0	51306.0	47604.0	46562.0	54136.0	40272.0	49529.0	46767.0	70050.0	60624.0	50589.0	31189.0	54850.0	56589.0	48409.0	64850.0	58916.0	36404.0	47316.0	60464.0	61166.0	46639.0	49528.0	42481.0
HMP_2012__SRS016037__bin.16	40546.0	48059.0	52868.0	0.0	50645.0	42007.0	50528.0	47175.0	45410.0	50642.0	40047.0	48731.0	39373.0	52645.0	55111.0	50688.0	30213.0	51374.0	52938.0	47026.0	55113.0	49701.0	41366.0	42136.0	52455.0	52756.0	48939.0	42174.0	43684.0
HMP_2012__SRS018145__bin.21	40553.0	47473.0	52925.0	50645.0	0.0	40575.0	48382.0	45640.0	46164.0	48579.0	37012.0	47374.0	38783.0	59493.0	53478.0	49935.0	28890.0	53202.0	51916.0	46039.0	56423.0	49547.0	37104.0	41040.0	52263.0	52515.0	46670.0	41927.0	43025.0
HMP_2012__SRS019126__bin.30	31731.0	37540.0	40363.0	42007.0	40575.0	0.0	40811.0	38086.0	37516.0	40647.0	26275.0	37715.0	30782.0	48917.0	2023.0	41364.0	26044.0	44396.0	40055.0	36616.0	43434.0	41349.0	31723.0	6397.0	40573.0	42549.0	1899.0	30730.0	36341.0
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	39597.0	47852.0	51306.0	50528.0	48382.0	40811.0	0.0	45794.0	44224.0	37971.0	37393.0	46149.0	39254.0	57997.0	55561.0	50647.0	29335.0	50634.0	52204.0	45698.0	55154.0	36283.0	38326.0	41028.0	52730.0	33242.0	47219.0	40999.0	42387.0
FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	35225.0	43688.0	47604.0	47175.0	45640.0	38086.0	45794.0	0.0	41699.0	46195.0	36575.0	42627.0	35827.0	57116.0	49683.0	44763.0	28653.0	51275.0	46625.0	41943.0	51272.0	47975.0	33538.0	38172.0	47679.0	49527.0	43791.0	38330.0	38376.0
HMP_2012__SRS014888__bin.17	35673.0	42919.0	46562.0	45410.0	46164.0	37516.0	44224.0	41699.0	0.0	46108.0	35570.0	41953.0	35317.0	55809.0	47845.0	45080.0	28688.0	49993.0	45345.0	40655.0	48153.0	45468.0	33573.0	38060.0	46018.0	48359.0	42956.0	36668.0	37457.0
HMP_2012__SRS016225__bin.50	36638.0	46953.0	54136.0	50642.0	48579.0	40647.0	37971.0	46195.0	46108.0	0.0	39165.0	46081.0	40278.0	60441.0	54961.0	49719.0	30035.0	50634.0	51239.0	45729.0	55961.0	28709.0	38671.0	42612.0	53217.0	43073.0	47384.0	43375.0	41125.0
HMP_2012__SRS019122__bin.59	28228.0	36524.0	40272.0	40047.0	37012.0	26275.0	37393.0	36575.0	35570.0	39165.0	0.0	34838.0	31723.0	49574.0	34459.0	36178.0	24420.0	43880.0	39432.0	34448.0	42643.0	41138.0	28428.0	23884.0	39284.0	42778.0	30396.0	31419.0	31752.0
HMP_2012__SRS013164__bin.38	37340.0	43323.0	49529.0	48731.0	47374.0	37715.0	46149.0	42627.0	41953.0	46081.0	34838.0	0.0	39119.0	56050.0	50537.0	46564.0	28707.0	50207.0	47499.0	45664.0	52651.0	46565.0	34618.0	38732.0	48065.0	50224.0	44850.0	41418.0	39716.0
HMP_2012__SRS018439__bin.21	37291.0	43993.0	46767.0	39373.0	38783.0	30782.0	39254.0	35827.0	35317.0	40278.0	31723.0	39119.0	0.0	55407.0	49251.0	39441.0	22757.0	41931.0	47709.0	36903.0	50537.0	46043.0	26072.0	39011.0	48136.0	48660.0	38582.0	41287.0	29225.0
HMP_2012__SRS045127__bin.3	48052.0	63272.0	70050.0	52645.0	59493.0	48917.0	57997.0	57116.0	55809.0	60441.0	49574.0	56050.0	55407.0	0.0	71390.0	59854.0	37897.0	47365.0	68906.0	54101.0	73793.0	67704.0	43180.0	59599.0	70861.0	70223.0	57747.0	57923.0	48860.0
HMP_2012__SRS013948__bin.22	41602.0	54303.0	60624.0	55111.0	53478.0	2023.0	55561.0	49683.0	47845.0	54961.0	34459.0	50537.0	49251.0	71390.0	0.0	52555.0	31299.0	56558.0	59329.0	48355.0	65647.0	58595.0	38544.0	8357.0	60033.0	61674.0	211.0	49106.0	45198.0
HMP_2012__SRS057205__bin.36	11995.0	46316.0	50589.0	50688.0	49935.0	41364.0	50647.0	44763.0	45080.0	49719.0	36178.0	46564.0	39441.0	59854.0	52555.0	0.0	30149.0	53208.0	49493.0	45250.0	54004.0	48073.0	37759.0	39193.0	1119.0	53277.0	46709.0	39850.0	44513.0
HMP_2012__SRS019327__bin.57	21329.0	29390.0	31189.0	30213.0	28890.0	26044.0	29335.0	28653.0	28688.0	30035.0	24420.0	28707.0	22757.0	37897.0	31299.0	30149.0	0.0	34388.0	31573.0	28156.0	32903.0	32019.0	22591.0	26494.0	32496.0	32741.0	27573.0	24850.0	24128.0
HMP_2012__SRS022621__bin.11	43485.0	49265.0	54850.0	51374.0	53202.0	44396.0	50634.0	51275.0	49993.0	50634.0	43880.0	50207.0	41931.0	47365.0	56558.0	53208.0	34388.0	0.0	54304.0	49940.0	58725.0	54121.0	39330.0	44973.0	55231.0	57283.0	51635.0	42755.0	45462.0
CM_cf__CF_TNFC057IS_t1M15__bin.1	38985.0	822.0	56589.0	52938.0	51916.0	40055.0	52204.0	46625.0	45345.0	51239.0	39432.0	47499.0	47709.0	68906.0	59329.0	49493.0	31573.0	54304.0	0.0	47848.0	61413.0	57857.0	36068.0	47432.0	57946.0	62019.0	46009.0	46931.0	41910.0
HMP_2012__SRS015797__bin.21	36107.0	43853.0	48409.0	47026.0	46039.0	36616.0	45698.0	41943.0	40655.0	45729.0	34448.0	45664.0	36903.0	54101.0	48355.0	45250.0	28156.0	49940.0	47848.0	0.0	49798.0	46414.0	34999.0	37537.0	48304.0	52338.0	42957.0	37147.0	742.0
HMP_2012__SRS023958__bin.14	44020.0	56513.0	64850.0	55113.0	56423.0	43434.0	55154.0	51272.0	48153.0	55961.0	42643.0	52651.0	50537.0	73793.0	65647.0	54004.0	32903.0	58725.0	61413.0	49798.0	0.0	60878.0	39318.0	50081.0	62037.0	64252.0	51147.0	52119.0	45113.0
HMP_2012__SRS052227__bin.2	36330.0	52451.0	58916.0	49701.0	49547.0	41349.0	36283.0	47975.0	45468.0	28709.0	41138.0	46565.0	46043.0	67704.0	58595.0	48073.0	32019.0	54121.0	57857.0	46414.0	60878.0	0.0	36376.0	47685.0	58285.0	44270.0	46348.0	47869.0	40025.0
HMP_2012__SRS050669__bin.56	29791.0	34676.0	36404.0	41366.0	37104.0	31723.0	38326.0	33538.0	33573.0	38671.0	28428.0	34618.0	26072.0	43180.0	38544.0	37759.0	22591.0	39330.0	36068.0	34999.0	39318.0	36376.0	0.0	29390.0	37699.0	40618.0	34551.0	28650.0	36839.0
HMP_2012__SRS019127__bin.45	30401.0	43321.0	47316.0	42136.0	41040.0	6397.0	41028.0	38172.0	38060.0	42612.0	23884.0	38732.0	39011.0	59599.0	8357.0	39193.0	26494.0	44973.0	47432.0	37537.0	50081.0	47685.0	29390.0	0.0	47383.0	49221.0	6589.0	39641.0	33504.0
HMP_2012__SRS015762__bin.43	11084.0	53617.0	60464.0	52455.0	52263.0	40573.0	52730.0	47679.0	46018.0	53217.0	39284.0	48065.0	48136.0	70861.0	60033.0	1119.0	32496.0	55231.0	57946.0	48304.0	62037.0	58285.0	37699.0	47383.0	0.0	61928.0	46130.0	48420.0	43009.0
HMP_2012__SRS044662__bin.6	41781.0	55925.0	61166.0	52756.0	52515.0	42549.0	33242.0	49527.0	48359.0	43073.0	42778.0	50224.0	48660.0	70223.0	61674.0	53277.0	32741.0	57283.0	62019.0	52338.0	64252.0	44270.0	40618.0	49221.0	61928.0	0.0	49315.0	50588.0	46794.0
HMP_2012__SRS013947__bin.11	37779.0	42829.0	46639.0	48939.0	46670.0	1899.0	47219.0	43791.0	42956.0	47384.0	30396.0	44850.0	38582.0	57747.0	211.0	46709.0	27573.0	51635.0	46009.0	42957.0	51147.0	46348.0	34551.0	6589.0	46130.0	49315.0	0.0	36367.0	40656.0
HMP_2012__SRS024441__bin.49	30532.0	42741.0	49528.0	42174.0	41927.0	30730.0	40999.0	38330.0	36668.0	43375.0	31419.0	41418.0	41287.0	57923.0	49106.0	39850.0	24850.0	42755.0	46931.0	37147.0	52119.0	47869.0	28650.0	39641.0	48420.0	50588.0	36367.0	0.0	31270.0
HMP_2012__SRS013879__bin.23	35611.0	40010.0	42481.0	43684.0	43025.0	36341.0	42387.0	38376.0	37457.0	41125.0	31752.0	39716.0	29225.0	48860.0	45198.0	44513.0	24128.0	45462.0	41910.0	742.0	45113.0	40025.0	36839.0	33504.0	43009.0	46794.0	40656.0	31270.0	0.0
