	HMP_2012__SRS017533__bin.4	CM_cf__CF_TNFC057SA_t1M16__bin.2	HMP_2012__SRS049389__bin.46	HMP_2012__SRS016037__bin.16	HMP_2012__SRS018145__bin.21	HMP_2012__SRS019126__bin.30	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	HMP_2012__SRS014888__bin.17	HMP_2012__SRS016225__bin.50	HMP_2012__SRS019122__bin.59	HMP_2012__SRS013164__bin.38	HMP_2012__SRS018439__bin.21	HMP_2012__SRS045127__bin.3	HMP_2012__SRS013948__bin.22	HMP_2012__SRS057205__bin.36	HMP_2012__SRS019327__bin.57	HMP_2012__SRS022621__bin.11	CM_cf__CF_TNFC057IS_t1M15__bin.1	HMP_2012__SRS015797__bin.21	HMP_2012__SRS023958__bin.14	HMP_2012__SRS052227__bin.2	HMP_2012__SRS050669__bin.56	HMP_2012__SRS019127__bin.45	HMP_2012__SRS015762__bin.43	HMP_2012__SRS044662__bin.6	HMP_2012__SRS013947__bin.11	HMP_2012__SRS024441__bin.49	HMP_2012__SRS013879__bin.23
HMP_2012__SRS017533__bin.4	1.0	0.9688719440729148	0.9689474233494221	0.9674663538421172	0.9679632873002594	0.9694514429959555	0.9679294978642343	0.9686269794616933	0.9696803058402362	0.9690446317301397	0.9716192262951467	0.9691655711388425	0.9668967292644063	0.961577703361831	0.9690453709056844	0.9917571014683974	0.9696574819223804	0.9593358326265302	0.9685796148312922	0.9689194947169081	0.9679243825698676	0.970335931490944	0.9698140164046549	0.9719707768080559	0.9920029379318605	0.9682068257048282	0.9685877064760261	0.9682075567967645	0.9683689457677221
CM_cf__CF_TNFC057SA_t1M16__bin.2	0.9688719440729148	1.0	0.9713321253118053	0.9671401563712569	0.9692020147499208	0.9694051527134386	0.9691140524864892	0.9701039054887062	0.9701734525033132	0.9689508846944586	0.9717657899456404	0.9699964471937332	0.9692673855516963	0.9632973240435824	0.9700323500293038	0.9698092840558133	0.9701637996233674	0.9620589297637742	0.9995772133421594	0.9698227335911587	0.9695039295805353	0.9702769938685073	0.9703226204006737	0.9724161424241653	0.9705593757052391	0.9697704009928606	0.9693107915607364	0.9708192405533428	0.9697097710025376
HMP_2012__SRS049389__bin.46	0.9689474233494221	0.9713321253118053	1.0	0.9671417934658981	0.9687984714346101	0.9699997472911844	0.9697361691886526	0.9694102391262859	0.9699603294673542	0.9678245302890182	0.9712073851855877	0.9690324331320266	0.9696664653814248	0.963270821197324	0.9698060282356269	0.9692919279089629	0.9706387661673183	0.962018996733703	0.9712168337957676	0.9694127132260998	0.968566308608566	0.9699506130399324	0.9698779030704614	0.9724248379268625	0.9698696447534243	0.9699173496814237	0.9696138319968519	0.9693323178471693	0.9696911322250309
HMP_2012__SRS016037__bin.16	0.9674663538421172	0.9671401563712569	0.9671417934658981	1.0	0.9673643796493435	0.9680488558072177	0.967924961880422	0.9673729238494071	0.9694681432583495	0.9670031379662642	0.9683569008457755	0.9686509708157014	0.966618991219183	0.9656060476386783	0.9667862164395301	0.9683468458313793	0.9687847081954476	0.9619243422881117	0.9665686549406246	0.9680774731880236	0.9670004364974106	0.9685868143119892	0.9672867004454722	0.9695790917623276	0.9676939961519796	0.9678414725284639	0.9671644655092363	0.9670902057974113	0.9687942897636356
HMP_2012__SRS018145__bin.21	0.9679632873002594	0.9692020147499208	0.9687984714346101	0.9673643796493435	1.0	0.968911285873656	0.9692182796923482	0.9690954668385692	0.9695820196289671	0.9678869608329201	0.9718166360430593	0.9689675591970632	0.9688208972262553	0.9632908588419896	0.9686657178531816	0.9692333949055653	0.9706752012083157	0.9613378350292208	0.9686927303284802	0.9691125363962054	0.9678634365498945	0.9695412530460591	0.9694413056297707	0.9714382948160922	0.9687974824488451	0.9691010988041128	0.968814649296776	0.9681597639112601	0.9697381905090806
HMP_2012__SRS019126__bin.30	0.9694514429959555	0.9694051527134386	0.9699997472911844	0.9680488558072177	0.968911285873656	1.0	0.9686204645533735	0.9690142586804171	0.9704447390832008	0.9682485993982021	0.9763856521829004	0.969873190214678	0.9670847987202614	0.9618499093372848	0.9985703079173704	0.9693701645676102	0.970747497801345	0.9618751229079879	0.9691252871259655	0.969876440424606	0.9684837226852037	0.9684029783683163	0.9701854586089805	0.994698839910269	0.9694889150753622	0.968771903299981	0.9985250680185194	0.9696165235489245	0.9702756906990173
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	0.9679294978642343	0.9691140524864892	0.9697361691886526	0.967924961880422	0.9692182796923482	0.9686204645533735	1.0	0.9691402825314483	0.9697417332682883	0.97696922497448	0.9704772604716785	0.9691369253425106	0.9693688758625587	0.9640820729927189	0.9682283628237364	0.9685870141630408	0.9701617783925911	0.9617273415113293	0.96869045569889	0.9697158065225863	0.9685198016919879	0.9788682273842333	0.9687539489657073	0.9714054724634449	0.9689281599967001	0.9816946315192432	0.9680471683047182	0.9688602733982777	0.9696596616730527
FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	0.9686269794616933	0.9701039054887062	0.9694102391262859	0.9673729238494071	0.9690954668385692	0.9690142586804171	0.9691402825314483	1.0	0.969940448943313	0.9680573370626856	0.9706376781809248	0.969309954555665	0.9691301699232197	0.9619222097331834	0.9685532720218241	0.9696568731456243	0.9706499059153966	0.9612829811991214	0.9702009081932323	0.9698504924282995	0.9683053056097483	0.9686815572071586	0.9711109675474299	0.9715342086149065	0.9695088376983039	0.9686021898018452	0.9683415363438671	0.9695067136145006	0.9699877764474117
HMP_2012__SRS014888__bin.17	0.9696803058402362	0.9701734525033132	0.9699603294673542	0.9694681432583495	0.9695820196289671	0.9704447390832008	0.9697417332682883	0.969940448943313	1.0	0.9685212683522958	0.9713527048217175	0.9708807340723106	0.9686683818310858	0.9627859369530065	0.9697658297319209	0.9704300951838706	0.9705760179366494	0.9616211647457928	0.9702671920151231	0.9713438672492579	0.9703626973619828	0.9701890231509104	0.9709780985048616	0.9717595241116234	0.9702048585931835	0.9693716368905868	0.9698522651507177	0.9699817113404425	0.9718317591144267
HMP_2012__SRS016225__bin.50	0.9690446317301397	0.9689508846944586	0.9678245302890182	0.9670031379662642	0.9678869608329201	0.9682485993982021	0.97696922497448	0.9680573370626856	0.9685212683522958	1.0	0.9694468129589512	0.9687867677191195	0.96817002539096	0.9628225828773885	0.9677178914574965	0.9677936315354105	0.9694122798977524	0.9617164031837218	0.9688543034965434	0.969121889163187	0.9676952695428293	0.9831832996323745	0.9679452854180102	0.9702360954048672	0.9685255686505981	0.9754586441147295	0.9677379161869408	0.9678750344394443	0.9690247523298282
