	HMP_2012__SRS017533__bin.4	CM_cf__CF_TNFC057SA_t1M16__bin.2	HMP_2012__SRS049389__bin.46	HMP_2012__SRS016037__bin.16	HMP_2012__SRS018145__bin.21	HMP_2012__SRS019126__bin.30	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	HMP_2012__SRS014888__bin.17	HMP_2012__SRS016225__bin.50	HMP_2012__SRS019122__bin.59	HMP_2012__SRS013164__bin.38	HMP_2012__SRS018439__bin.21	HMP_2012__SRS045127__bin.3	HMP_2012__SRS013948__bin.22	HMP_2012__SRS057205__bin.36	HMP_2012__SRS019327__bin.57	HMP_2012__SRS022621__bin.11	CM_cf__CF_TNFC057IS_t1M15__bin.1	HMP_2012__SRS015797__bin.21	HMP_2012__SRS023958__bin.14	HMP_2012__SRS052227__bin.2	HMP_2012__SRS050669__bin.56	HMP_2012__SRS019127__bin.45	HMP_2012__SRS015762__bin.43	HMP_2012__SRS044662__bin.6	HMP_2012__SRS013947__bin.11	HMP_2012__SRS024441__bin.49	HMP_2012__SRS013879__bin.23
HMP_2012__SRS017533__bin.4	1.0	0.7734641939659597	0.8494656124226948	0.8307297186683038	0.8437611233537436	0.6923688627416476	0.8230021956750401	0.7484092354331559	0.7842585963944003	0.7889332378807936	0.6629798789779112	0.8072032005929789	0.7508922012875427	0.8336286229638014	0.8958454148785979	0.9699844423025392	0.4685579867512941	0.7128071712053283	0.8270475969556506	0.7743687267617726	0.9147859450134713	0.8163551794334438	0.6578459721294582	0.7229716668599714	0.9238692673484324	0.8759703563872547	0.8016693529357655	0.6401412590936542	0.7504382684695998
CM_cf__CF_TNFC057SA_t1M16__bin.2	0.5719899578586952	1.0	0.8928228660326493	0.7209446080178404	0.7598310404303155	0.6048374018005068	0.7637158880457999	0.7203447019719015	0.7093152050303378	0.7454298447589063	0.6376690717131729	0.7117680665624595	0.7056295045328151	0.8497799769403411	0.8932310190367885	0.7562237171401094	0.48556651686268365	0.6400613018207666	0.9583920546215194	0.7163282398007346	0.9134759995681859	0.8698686959955162	0.5759650132033554	0.7741696329235537	0.8977349972962329	0.9119400034801451	0.6879310438315905	0.7220059044162845	0.6511164315596917
HMP_2012__SRS049389__bin.46	0.5668265219162704	0.8056037404527187	1.0	0.7156453544125209	0.7544558427671949	0.5984217296391381	0.7540377461210417	0.6921754547023419	0.6894222438090561	0.7483591930556815	0.6221153555333757	0.7113794342707593	0.6857492202942332	0.8482927423759632	0.8930446509426745	0.7327441728891901	0.47247189412013785	0.6423312179422173	0.874464702857824	0.7039373139692316	0.9176211724141612	0.8720602023587768	0.5375424101225645	0.7632007344267895	0.8925682876362595	0.9043630608944422	0.6826877743203261	0.7183211729479017	0.6234101207854523
HMP_2012__SRS016037__bin.16	0.6533507660998397	0.7667263078375628	0.8434904187061832	1.0	0.813534229541095	0.6892335017370731	0.8258402668597272	0.7579924498786119	0.7797033738589235	0.8045801902890614	0.6634712419640381	0.8149150807934286	0.6183440374643713	0.802428180269764	0.869863419446936	0.8394972736837746	0.507408314150475	0.7073381706813929	0.8301275111807537	0.7722748764232492	0.8755419998437761	0.8294386582781089	0.6629034887725889	0.7261264501166175	0.8512062003052132	0.860016597475569	0.7813437244923904	0.6718166372130501	0.7338705407390438
HMP_2012__SRS018145__bin.21	0.6694893739904736	0.8152541494379444	0.8971264130725675	0.8207546471272064	1.0	0.6902786107858413	0.8313034381283922	0.7810738452392664	0.8026786365958689	0.8000844114837699	0.694573759029543	0.8074074779266085	0.6578796216080705	0.8571568350559411	0.9026597021903616	0.8584087271742569	0.5210520971176335	0.7277972939666945	0.877050654294778	0.7883376755531438	0.9285929621132066	0.8603476526097217	0.6421767584932444	0.759961983098663	0.8858768375100093	0.8988950346372686	0.7915089240286068	0.6964439282438921	0.7519598167488039
HMP_2012__SRS019126__bin.30	0.7300442788867023	0.8623868428450941	0.9456156873770031	0.9240413269609221	0.9173010964295755	1.0	0.9140856058476244	0.8638923249929716	0.8921499859432106	0.8997497891481585	0.7820290975541186	0.8798671633398931	0.6572891481585605	0.9011983412988473	0.9945108237278606	0.9491481585605848	0.6257499297160528	0.8184488332864773	0.9118217599100366	0.8543203542310936	0.968614703401743	0.919761034579702	0.7478289288726455	0.8481283384874895	0.9346211695248805	0.9576349451785212	0.9049177677818386	0.7108553556367726	0.8592929434917065
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	0.6249948114769118	0.7842581728097092	0.8581518531379682	0.79741576116393	0.7956293906294767	0.6583405635191651	1.0	0.7511670380468071	0.7398332788327493	0.8345711546463351	0.6411409891299176	0.7569078224705064	0.6486954787462909	0.8173614563095984	0.8852182267501015	0.816139495847663	0.49766035573526685	0.6696895086544565	0.8440086984956826	0.7638376645268017	0.8868689363882007	0.8691348175715282	0.6208951189411971	0.7263021168161805	0.8590346613590185	0.9192392460898784	0.7480443064437914	0.6664665499712986	0.7071835481803723
FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	0.6549384628038142	0.8524198097331376	0.9077644956131524	0.8434116205232485	0.8614484150941856	0.7169837294941636	0.8656103933375682	1.0	0.8091871513577615	0.84358661610461	0.7266073198318409	0.8102015424110541	0.6769896560111858	0.8749674070729714	0.9215908964965301	0.8605273550176191	0.5694642043621732	0.7725197438764672	0.9126865379982488	0.811493593120107	0.94362517346437	0.8935536877693838	0.677189150973938	0.7822174156769208	0.9121347185983554	0.9201285167549519	0.8068649599930935	0.7332303192677718	0.7458772499327725
HMP_2012__SRS014888__bin.17	0.6897056668366659	0.8435203911154882	0.9086265820187702	0.8718610226919672	0.8896558394738231	0.744098974728734	0.8567674351804629	0.8131901822509071	1.0	0.8586339095721295	0.7278622888931877	0.8445620761010382	0.6607694517231475	0.8791158867218871	0.9276571173991289	0.8936818903915258	0.5715415413655042	0.7636008183411591	0.8940101647820199	0.8316591339418133	0.952431282204597	0.8940846127241499	0.6781304773461361	0.79003394122716	0.9053807689827598	0.9255555750956979	0.8352531523134551	0.7160614107591932	0.7795109883990176
HMP_2012__SRS016225__bin.50	0.632383349095164	0.8079765549446734	0.8989714737578876	0.8200169907192203	0.8082613364963854	0.6839907886792654	0.880903072755542	0.7726957004931583	0.7826069533716961	1.0	0.6848985632690571	0.7888016199956187	0.6761082704195853	0.8686344911600173	0.9096563920902325	0.8248315621309995	0.5246445573597064	0.7066659186475815	0.8789966926870448	0.7912716858747282	0.9255587435416567	0.9121408840516988	0.6445819374762904	0.7649387425799178	0.9033938694492977	0.9377589348208227	0.7847366705670519	0.7214088405169881	0.7093748163345996
