	HMP_2012__SRS017533__bin.4	CM_cf__CF_TNFC057SA_t1M16__bin.2	HMP_2012__SRS049389__bin.46	HMP_2012__SRS016037__bin.16	HMP_2012__SRS018145__bin.21	HMP_2012__SRS019126__bin.30	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	HMP_2012__SRS014888__bin.17	HMP_2012__SRS016225__bin.50	HMP_2012__SRS019122__bin.59	HMP_2012__SRS013164__bin.38	HMP_2012__SRS018439__bin.21	HMP_2012__SRS045127__bin.3	HMP_2012__SRS013948__bin.22	HMP_2012__SRS057205__bin.36	HMP_2012__SRS019327__bin.57	HMP_2012__SRS022621__bin.11	CM_cf__CF_TNFC057IS_t1M15__bin.1	HMP_2012__SRS015797__bin.21	HMP_2012__SRS023958__bin.14	HMP_2012__SRS052227__bin.2	HMP_2012__SRS050669__bin.56	HMP_2012__SRS019127__bin.45	HMP_2012__SRS015762__bin.43	HMP_2012__SRS044662__bin.6	HMP_2012__SRS013947__bin.11	HMP_2012__SRS024441__bin.49	HMP_2012__SRS013879__bin.23
HMP_2012__SRS017533__bin.4	1.0	0.7493877572785894	0.8230875163809089	0.8037030519483117	0.8167297906576494	0.6712179930703589	0.7966081020009038	0.7249293771188531	0.7604801156095565	0.7645115189618603	0.6441639970617681	0.7823135509277961	0.7260352134550753	0.8015986967262179	0.8681148523351877	0.9619889589674062	0.45434075756787995	0.6838214610904253	0.8010614429064498	0.7503009554585922	0.885443621010757	0.7921387634630075	0.6379882444064945	0.7027073326481014	0.9164810274746005	0.848120478169231	0.776487079912173	0.6197896044718715	0.7267011149016612
CM_cf__CF_TNFC057SA_t1M16__bin.2	0.5541850224607386	1.0	0.8672275319904704	0.6972544809333887	0.7364297752545903	0.5863324938592198	0.740127799212383	0.6988092086810397	0.6881587813773784	0.7222849075567952	0.6196649891972547	0.6904124957915383	0.6839436650266606	0.8185907778124477	0.8664629845153257	0.7333927817056753	0.47107905696938507	0.6157766910128948	0.9579868592478451	0.6947114116720914	0.8856185711588637	0.8440135834108479	0.5588718808705884	0.7528150480294541	0.8713051185245763	0.8843724228563711	0.6668189846356026	0.7009372238004468	0.6313939657437381
HMP_2012__SRS049389__bin.46	0.5492250978968849	0.7825087933730792	1.0	0.6921305315520637	0.7309156672377689	0.5804689265235174	0.7312176753470647	0.6710019730603429	0.6687122267471547	0.7242803845065836	0.604203027731372	0.6893497440714785	0.6649480225807771	0.8171356465642241	0.866080085967787	0.7102430120038216	0.45859953635750644	0.6179348338555093	0.8492948399757325	0.6824057814760057	0.8887769516662486	0.845855327885623	0.5213505055411148	0.7421553504806332	0.8656748880479512	0.8771574231725174	0.6619435089161334	0.6962919275322869	0.6045152658649885
HMP_2012__SRS016037__bin.16	0.6320948834585658	0.741531801255977	0.8157748363187994	1.0	0.786984035283528	0.6672117027405756	0.7993514088195189	0.733261372494848	0.7558975821472813	0.7780315687550163	0.6424769556685935	0.7893682841429103	0.5977030897202072	0.7748295036641837	0.8409719641062553	0.8129245370557253	0.491569415560212	0.6804058046079751	0.8023752319111894	0.7476219109744123	0.8466494960207473	0.8033833476888042	0.6412177283686296	0.7040370240086731	0.8237071295226942	0.8323597300996739	0.7556878856776788	0.6497072899404934	0.7109695892937371
HMP_2012__SRS018145__bin.21	0.6480411352604116	0.7901459641684887	0.869134697668318	0.7939688100625258	1.0	0.6688187363875905	0.8057144882051348	0.7569351226875431	0.7782627735836483	0.7743912694408215	0.674998333983873	0.7823516531640026	0.6373675252732002	0.8256913438033191	0.8743755083993657	0.8319984048556701	0.5057723492096737	0.6996590749220674	0.8495925929451885	0.763987924291996	0.8987511754669342	0.8341425411664651	0.6225526751987848	0.7382561729864211	0.8582352499394417	0.8711201657765381	0.7668254406480433	0.6742689891460372	0.7292041520295249
HMP_2012__SRS019126__bin.30	0.7077424796176554	0.8360022490863087	0.9172469777902726	0.8945171492831038	0.8887833848748945	1.0	0.8854020241776778	0.8371239808827664	0.8657822603317403	0.8711814731515322	0.7635619904413832	0.8533595726736013	0.6356543435479336	0.8668175428732078	0.9930889794770875	0.9200759066629182	0.6074451785212257	0.7872455721113297	0.8836695248805173	0.8285851841439416	0.9380875737981446	0.8906993252741074	0.7255327523193703	0.8436322743885297	0.9061048636491426	0.9277298285071689	0.9035830756255271	0.6892570986786618	0.8337510542592071
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.2	0.6049509140405991	0.7600356160472667	0.8321808906441565	0.7718386202274446	0.7711385492585727	0.6376821424702634	1.0	0.7279862354809938	0.7174472061448312	0.815350334140887	0.6222127507069046	0.7335473198367614	0.6288252070094164	0.7880035271833052	0.8570933944279818	0.7905021174236173	0.482811055755616	0.6440587107962789	0.8175831707596098	0.7407054569089362	0.8589501263974845	0.8507684582341608	0.6014945983678173	0.7055338509370219	0.8323428738039822	0.90241223296823	0.7241421726193791	0.6457129638159993	0.6857273600693288
FerrettiP_2018__CA_C10019MS2313SA_t0M15__bin.8	0.634391064958943	0.8269357865380565	0.8799961967626984	0.8158935653541415	0.8348257539830453	0.6947674571217076	0.838897901161329	1.0	0.7848633488671077	0.8166402131679509	0.7052724418708427	0.7853364202553886	0.6560911003663825	0.8416505816561465	0.8926098782672405	0.8344162643226591	0.5527503763863295	0.742610082428752	0.8854893080616381	0.7870274608899459	0.9137172619724685	0.865568977716646	0.6576258116149234	0.7599509779044746	0.884322670852561	0.8912384962279702	0.781320854981745	0.7108717171558084	0.7234918151650004
HMP_2012__SRS014888__bin.17	0.6687940019579223	0.8183610901054582	0.8813317388577223	0.8452414868485072	0.8625943056117336	0.7221069353827035	0.8308431375997279	0.7887460504487394	1.0	0.8316052031490893	0.7070110030541242	0.8199690484146106	0.640066475564075	0.8464004126878052	0.8996101741612883	0.8672558019567498	0.5547245133039058	0.734294708334066	0.867428732216028	0.8078269993962095	0.9242037880519847	0.867431077033103	0.6584498414317453	0.7677230067589352	0.8784048209439062	0.8972073228637251	0.8100721617454818	0.6945664726330537	0.7575535351048427
HMP_2012__SRS016225__bin.50	0.6128076896361956	0.7828895977260221	0.870046644332954	0.792959003211139	0.7823056085402407	0.6622731231399703	0.8606151922676198	0.7480137421791933	0.757971479100881	1.0	0.663972729361352	0.7641805718071607	0.654587761339168	0.836340904355074	0.8802907657043936	0.7982667329197857	0.50859687648602	0.6796122055342727	0.8516197284690721	0.7668387110562565	0.8956588178092658	0.8968016841115404	0.6239200474457819	0.7421711788246482	0.8749600611238453	0.9147450590667927	0.7594194303300367	0.6982336063602994	0.6874017557076528
