	HMP_2012__SRS016541__bin.12	CM_cf__CF_TNFC048IS_t3M15__bin.10	HMP_2012__SRS045197__bin.65	HMP_2012__SRS014476__bin.16	HMP_2012__SRS013950__bin.23	CM_periimplantitis__SP_133SPT_T016__bin.2	HMP_2012__SRS011255__bin.46	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	HMP_2012__SRS047113__bin.78	HMP_2012__SRS016746__bin.2	CM_periimplantitis__SP_162SPI_T016__bin.5	CM_periimplantitis__SP_143SPI_T016__bin.33	HMP_2012__SRS023938__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.8	HMP_2012__SRS049318__bin.2	CM_periimplantitis__SP_502SPI_T016__bin.1	HMP_2012__SRS013170__bin.41	ZellerG_2014__CCIS14449628ST-4-0__bin.17	CM_periimplantitis__SP_287SPT_T016__bin.36	HMP_2012__SRS023964__bin.23	CM_periimplantitis__SP_163SPI_T016__bin.16	CM_periimplantitis__SP_201SPI_T016__bin.3	GeversD_2014__SKSTL0001__bin.9	CM_periimplantitis__SP_163SPT_T016__bin.32	HMP_2012__SRS017691__bin.60	CM_periimplantitis__SP_403SPT_T016__bin.4	CM_periimplantitis__SP_503SPT_T016__bin.9	HMP_2012__SRS019980__bin.24	CM_periimplantitis__SP_281SPI_T016__bin.25	HMP_2012__SRS014691__bin.17	HMP_2012__SRS017227__bin.83	CM_periimplantitis__SP_387SPT_T016__bin.3	HMP_2012__SRS024649__bin.3	HMP_2012__SRS022536__bin.41
HMP_2012__SRS016541__bin.12	0.0	41995.0	5645.0	28449.0	41743.0	24449.0	15035.0	44934.0	8088.0	39080.0	40105.0	43631.0	43901.0	38518.0	38957.0	43443.0	43034.0	30630.0	42000.0	43221.0	38128.0	23213.0	37679.0	24698.0	32368.0	43708.0	41565.0	39332.0	44490.0	40642.0	10602.0	22880.0	42498.0	43437.0
CM_cf__CF_TNFC048IS_t3M15__bin.10	41995.0	0.0	26067.0	29892.0	45717.0	4096.0	41394.0	48289.0	32515.0	27621.0	44138.0	46413.0	46391.0	40832.0	41047.0	48123.0	43019.0	32174.0	43284.0	43420.0	40880.0	45167.0	42049.0	26531.0	34083.0	45065.0	43878.0	41394.0	49068.0	44011.0	44798.0	24517.0	27253.0	46792.0
HMP_2012__SRS045197__bin.65	5645.0	26067.0	0.0	18643.0	27803.0	15202.0	10099.0	27514.0	7394.0	25266.0	26174.0	27959.0	28532.0	24566.0	26673.0	27667.0	27102.0	20336.0	26443.0	27218.0	26024.0	14710.0	24848.0	17047.0	21020.0	27954.0	26375.0	26104.0	28386.0	27188.0	8785.0	15484.0	27200.0	28890.0
HMP_2012__SRS014476__bin.16	28449.0	29892.0	18643.0	0.0	32078.0	17674.0	28847.0	31882.0	23778.0	29404.0	30358.0	31085.0	13700.0	31347.0	29364.0	31280.0	31497.0	22982.0	28862.0	30669.0	29236.0	30853.0	7837.0	12713.0	23935.0	30483.0	30390.0	28939.0	33085.0	10967.0	30399.0	18111.0	32254.0	30170.0
HMP_2012__SRS013950__bin.23	41743.0	45717.0	27803.0	32078.0	0.0	26510.0	44738.0	49195.0	34326.0	44003.0	46624.0	49872.0	50985.0	44157.0	43328.0	49782.0	48928.0	34455.0	44293.0	48838.0	43486.0	47260.0	44170.0	27607.0	37556.0	47697.0	47727.0	43777.0	8941.0	46791.0	47311.0	25279.0	49483.0	48589.0
CM_periimplantitis__SP_133SPT_T016__bin.2	24449.0	4096.0	15202.0	17674.0	26510.0	0.0	23510.0	28737.0	19642.0	16462.0	25402.0	26325.0	27670.0	23290.0	23620.0	28396.0	24659.0	20684.0	24488.0	25327.0	23945.0	26022.0	25221.0	16116.0	19986.0	25574.0	25221.0	23999.0	30366.0	24923.0	25758.0	15219.0	16134.0	27455.0
HMP_2012__SRS011255__bin.46	15035.0	41394.0	10099.0	28847.0	44738.0	23510.0	0.0	47993.0	10448.0	38691.0	42822.0	45426.0	45871.0	39656.0	40560.0	45433.0	43877.0	31907.0	44283.0	43466.0	39737.0	26869.0	39299.0	25891.0	33249.0	44356.0	43574.0	41278.0	45789.0	42068.0	13780.0	23468.0	43075.0	45535.0
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	44934.0	48289.0	27514.0	31882.0	49195.0	28737.0	47993.0	0.0	34457.0	44255.0	45380.0	50695.0	52086.0	42193.0	43666.0	22378.0	48990.0	34271.0	46901.0	49100.0	42606.0	51604.0	46403.0	27572.0	37858.0	49054.0	46757.0	44940.0	54808.0	46420.0	47751.0	25280.0	50350.0	50187.0
HMP_2012__SRS047113__bin.78	8088.0	32515.0	7394.0	23778.0	34326.0	19642.0	10448.0	34457.0	0.0	33636.0	32734.0	35406.0	36117.0	31700.0	32113.0	34717.0	34920.0	25123.0	32731.0	35321.0	32727.0	17380.0	32341.0	21086.0	26282.0	34799.0	33407.0	33168.0	36984.0	34252.0	2102.0	19289.0	34797.0	35945.0
HMP_2012__SRS016746__bin.2	39080.0	27621.0	25266.0	29404.0	44003.0	16462.0	38691.0	44255.0	33636.0	0.0	41289.0	44205.0	45873.0	40065.0	39758.0	44810.0	40590.0	31638.0	40549.0	41146.0	39099.0	43286.0	40031.0	25796.0	31951.0	43742.0	41262.0	39569.0	47207.0	41920.0	42457.0	24660.0	28422.0	45178.0
