	HMP_2012__SRS016541__bin.12	CM_cf__CF_TNFC048IS_t3M15__bin.10	HMP_2012__SRS045197__bin.65	HMP_2012__SRS014476__bin.16	HMP_2012__SRS013950__bin.23	CM_periimplantitis__SP_133SPT_T016__bin.2	HMP_2012__SRS011255__bin.46	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	HMP_2012__SRS047113__bin.78	HMP_2012__SRS016746__bin.2	CM_periimplantitis__SP_162SPI_T016__bin.5	CM_periimplantitis__SP_143SPI_T016__bin.33	HMP_2012__SRS023938__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.8	HMP_2012__SRS049318__bin.2	CM_periimplantitis__SP_502SPI_T016__bin.1	HMP_2012__SRS013170__bin.41	ZellerG_2014__CCIS14449628ST-4-0__bin.17	CM_periimplantitis__SP_287SPT_T016__bin.36	HMP_2012__SRS023964__bin.23	CM_periimplantitis__SP_163SPI_T016__bin.16	CM_periimplantitis__SP_201SPI_T016__bin.3	GeversD_2014__SKSTL0001__bin.9	CM_periimplantitis__SP_163SPT_T016__bin.32	HMP_2012__SRS017691__bin.60	CM_periimplantitis__SP_403SPT_T016__bin.4	CM_periimplantitis__SP_503SPT_T016__bin.9	HMP_2012__SRS019980__bin.24	CM_periimplantitis__SP_281SPI_T016__bin.25	HMP_2012__SRS014691__bin.17	HMP_2012__SRS017227__bin.83	CM_periimplantitis__SP_387SPT_T016__bin.3	HMP_2012__SRS024649__bin.3	HMP_2012__SRS022536__bin.41
HMP_2012__SRS016541__bin.12	1.0	0.633389363900719	0.39756243793388185	0.4331907523226865	0.6570638020329026	0.3787755177921581	0.6655632001561627	0.6611612115616107	0.5206975883101129	0.5996728021428981	0.6053922578666142	0.6520380925232501	0.6476326956176867	0.595025105309064	0.5997546016071735	0.6587143541018249	0.6572757370085254	0.4859545052449259	0.6284061033554822	0.6489470642822949	0.5834294115551039	0.6792069789815657	0.5553818005487381	0.4076906988741729	0.5085791835855742	0.6518748034411548	0.6210686294406806	0.5895482593600742	0.6793086086189989	0.6148819252619364	0.6813278779700719	0.3523233061856197	0.6559173701472235	0.600818614335666
CM_cf__CF_TNFC048IS_t3M15__bin.10	0.7753240940915883	1.0	0.5052173649197066	0.5639813698048229	0.8679562160071002	0.5343695241562934	0.8477413922581526	0.881628093970219	0.6606835370062732	0.8003569017439258	0.8173611269144119	0.8568516790690971	0.8440631424041751	0.7916019995600361	0.7947720152621958	0.8886075901357061	0.8762639479932337	0.6463198537499336	0.8308945679630431	0.8754371192984851	0.7875520560726396	0.8581916725454946	0.7330113252774427	0.5485974254526698	0.6789268673812288	0.8652644713985542	0.8349183411844131	0.7849797844176927	0.8904880564974322	0.8106653316038201	0.861146636931176	0.4780765233749782	0.8960498069468782	0.7982579705527615
HMP_2012__SRS045197__bin.65	0.8645202369000856	0.8975023076871248	1.0	0.6272596804948221	0.9404913183799699	0.5242478961304972	0.9365773462608731	0.9251817514166167	0.7649204605941368	0.8583410256237493	0.8864233881563433	0.9186818221632292	0.9080940862569652	0.8512279590612936	0.8789485032038109	0.9355046928586348	0.9306925756483422	0.698024485065727	0.8995937123105844	0.9258070167164139	0.8642985641806532	0.9484001158896892	0.79220776595673	0.5970502031438447	0.7132660005255462	0.9293483900092308	0.8858398970468343	0.8673352783036984	0.9543050998201015	0.9016601871753236	0.9464374027234077	0.528229919753128	0.9423623978385225	0.8616182782295828
HMP_2012__SRS014476__bin.16	0.7634385702802824	0.8119834259453415	0.5083612916754037	1.0	0.8676380006290627	0.495090908296638	0.8436129385964912	0.8479371985741245	0.670681309848326	0.8077459897253093	0.8194808485356818	0.8457802561683092	0.8653401743901586	0.8275303391696373	0.8077940431257427	0.8594345206891731	0.8603229625358216	0.6563488371077095	0.8192302063675124	0.850566484063745	0.7974729371985741	0.8541606599916125	0.7518058249458307	0.5636980586426225	0.6685549468791501	0.8363743490948486	0.825168077689243	0.7956338025092612	0.881300456070455	0.8414134034039281	0.8484515883833089	0.49520885755224714	0.8676188884811631	0.800159013070525
HMP_2012__SRS013950__bin.23	0.76985024192471	0.8307761339676233	0.5067382421105825	0.5768227124610104	1.0	0.49728451856111433	0.864540677040677	0.8582377106313277	0.662349123785294	0.7944779886269248	0.8189325689325689	0.8603258722939574	0.8673200521604777	0.8027892495977602	0.8004132033387352	0.8756890352635034	0.887506825006825	0.6488399666591156	0.8230014347035624	0.8728577465279593	0.7861035600397303	0.8658893419531717	0.7394223285180732	0.5390208874251428	0.6873453482496036	0.8603520106179681	0.8414151579045196	0.7918688756454714	0.9358572789423854	0.8264426176660219	0.8623893477616882	0.47336432176857707	0.8843887407717195	0.8004665690835904
CM_periimplantitis__SP_133SPT_T016__bin.2	0.7510124392413586	0.8655544579272518	0.4780046346126437	0.5570000835508112	0.8415335997129784	1.0	0.8101940590458497	0.8530568538696313	0.643535993197981	0.7992716335166536	0.7742334213074228	0.8146240950709936	0.8191038929763257	0.7581609483508545	0.7570022951899307	0.8695255788351051	0.8392850999415145	0.6558075185900555	0.7941584467412727	0.8390805233229632	0.7634965277265824	0.8277145412814728	0.7183655741169417	0.5458417498488713	0.69010082617008	0.8221915869247896	0.7976344062240439	0.7448567103588262	0.8882464896372421	0.7709307068890101	0.8288596788699999	0.4788229410868486	0.8607459858749982	0.767445532243241
HMP_2012__SRS011255__bin.46	0.8199062317380718	0.853150718186409	0.5305773622513849	0.5896892318415123	0.9089952413542235	0.5033831921745526	1.0	0.8950181746144741	0.7001221056215535	0.8136715545812891	0.8355547599244694	0.88927321772169	0.8794143052518395	0.8147758107962134	0.8253351415703798	0.9043831681274936	0.9018864726896024	0.6604375877669939	0.8585498554695418	0.8865959784920051	0.80558601728411	0.9176476021837783	0.753650095443922	0.5550637571506601	0.6923533787835471	0.8868337771860589	0.8550328776733745	0.811539382021121	0.9183758845405275	0.8432471468927956	0.9017273040613193	0.4841810430545414	0.9099380387447741	0.8188000670264056
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.38	0.7211282237414174	0.7855575978963327	0.4640474237611536	0.5247759142122248	0.7989397176027357	0.4692646863508665	0.7924321642650294	1.0	0.6064579423681398	0.7239342174765117	0.7564233194537522	0.7983087661028657	0.7958680956518418	0.7354991833453136	0.7421006866117634	0.855747995199767	0.8086141946176153	0.5953664435862783	0.7845288799715311	0.8009944498572671	0.7291257959130429	0.8081853368493587	0.6853616886384458	0.49810765242446575	0.6136241590552016	0.80743103382434	0.7773413724732792	0.7313116525285542	0.8295998375139362	0.7509762512829403	0.8025500308716762	0.43976204307975975	0.8117642208255901	0.7356674821385302
HMP_2012__SRS047113__bin.78	0.7780321573896299	0.8064787940770549	0.5256037323276259	0.5686345771801888	0.8446956140891015	0.4849752701349436	0.8492017598645147	0.8308211481898331	1.0	0.787447238093298	0.7891398784873092	0.8365676067703763	0.8298086195952756	0.7754820853737073	0.783598055315451	0.8413015367563621	0.8510485712790963	0.6228574047693014	0.8035546374226309	0.8484197933367563	0.7702851793499724	0.8661448309419849	0.721476856522337	0.530709895047962	0.6485683160496662	0.8335003905202878	0.8011652180918072	0.7760987694559892	0.866857351064081	0.8081510635254051	0.8730866936519966	0.4649242409160629	0.8587427700504505	0.7748413265374624
HMP_2012__SRS016746__bin.2	0.7379627454808343	0.804620820191199	0.48574701213448596	0.5640271058427336	0.8344556258502986	0.4960771872883786	0.8128199105623105	0.8167968678506281	0.6485292502730107	1.0	0.7672473354767468	0.8244899733395155	0.8213732284809625	0.7612414817616663	0.7581014776131241	0.838789098485172	0.8432758536540725	0.620627634781866	0.7777727361466144	0.8398266153386248	0.7490963193889442	0.8224141770329382	0.7089870083519916	0.5208334604332786	0.6530343078340339	0.8077970478241506	0.7778078157315161	0.7446118520190589	0.8496191577239145	0.7872148639827226	0.8171518579978403	0.46965577776015327	0.8694562816860164	0.7693082610897244
CM_periimplantitis__SP_162SPI_T016__bin.5	0.7142845130985026	0.7878360262470895	0.48095645628464545	0.5486283669342825	0.8246768558329364	0.46072423337229185	0.8002660681899357	0.8182653363013451	0.6231267289588428	0.7356134721606323	1.0	0.8222706167203275	0.8076079855552537	0.7937335421031524	0.8294217019955845	0.8235179713013396	0.8193244178433122	0.6432609767751497	0.8451441458600587	0.816565395269192	0.869736260546489	0.8068563557139405	0.6903913849181963	0.5374401958916994	0.617503397140224	0.8327133727597793	0.8543512458374294	0.8197510482055751	0.8388656969813069	0.7703328484540956	0.8090918695659008	0.47685173845474993	0.8217525916789166	0.7625090983403092
CM_periimplantitis__SP_143SPI_T016__bin.33	0.7485656639386803	0.8036187705670577	0.4850117261797412	0.5509593484135598	0.8429876449142742	0.471681622748184	0.8287380154814741	0.8402774442939765	0.6427557891898602	0.7691698049715587	0.8000872215765976	1.0	0.8411340085535483	0.7798402194625771	0.7829747893360596	0.8523803273370278	0.8597354681988069	0.612861767674019	0.8102735065172517	0.850371598776479	0.7550318703799154	0.8478093760349114	0.7161026610762331	0.5168917104286342	0.6447485105279502	0.8596365791356171	0.8022318336700186	0.7620914112002891	0.8740306292866008	0.7921038861623253	0.8439850727314832	0.4557373620310818	0.8553416634919009	0.7855423478184468
