	ChengpingW_2017__AS15raw__bin.20	LiJ_2017__H3M515128__bin.7	ZellerG_2014__CCMD40701343ST-21-0__bin.43	BackhedF_2015__SID172_12M__bin.11	LiJ_2017__nHM511615__bin.25	GeversD_2014__SKBSTL036__bin.19	QinJ_2012__T2D-048__bin.10	LiJ_2017__H1M513912__bin.21	ZeeviD_2015__PNP_Main_481__bin.1	CosteaPI_2017__SID713A009-11-90-0__bin.91	YuJ_2015__SZAXPI015226-14__bin.24	LiJ_2017__H1M513820__bin.13	QinN_2014__LD-85__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	QinJ_2012__CON-086__bin.7	WenC_2017__N253__bin.35	ZeeviD_2015__PNP_Main_397__bin.2	QinJ_2012__CON-076__bin.12	QinJ_2012__CON-016__bin.25	GeversD_2014__SKBSTL013__bin.56	XieH_2016__YSZC12003_37204__bin.13	QinJ_2012__T2D-086__bin.11	YuJ_2015__SZAXPI015258-57__bin.46	CosteaPI_2017__scavenger-11-7-0__bin.39	CosteaPI_2017__SID713A030-11-90-0__bin.46	LeChatelierE_2013__MH0419__bin.20	QinJ_2012__CON-084__bin.19	YuJ_2015__SZAXPI015222-123__bin.4	ZeeviD_2015__PNP_Validation_4__bin.42	QinN_2014__HD-16__bin.59	GeversD_2014__SKBSTL069__bin.74	QinN_2014__LD-97__bin.60	FengQ_2015__SID530623__bin.9	QinN_2014__HD-22__bin.50	ChengpingW_2017__AS138raw__bin.24	ZellerG_2014__MMPU72854103ST__bin.27
ChengpingW_2017__AS15raw__bin.20	1.0	0.9785471610146104	0.9770941081272638	0.9765429523789436	0.9780106464818609	0.9751403923597	0.9819877659982233	0.9813034125922911	0.9801220588268652	0.9783186547777215	0.9813052160212508	0.9783770738985512	0.9803810801197661	0.9776154954304893	0.9781156991721481	0.9824323957059383	0.976404066142148	0.9776258575808171	0.982141873246615	0.9782330644422839	0.9779060402836073	0.9776191679699402	0.9801345053389181	0.9779659610933913	0.9788038298558672	0.9774104591091233	0.9795114903193396	0.9796827038664891	0.9775641435952696	0.9794992952511735	0.9775548616383866	0.9821048284459778	0.9784171742867467	0.9799250001247088	0.9769544873958478	0.9780880132237043
LiJ_2017__H3M515128__bin.7	0.9785471610146104	1.0	0.9829277060325873	0.9845933564543791	0.9880583681997761	0.9798659939225338	0.9779477133026452	0.977117422814971	0.9769786820832299	0.9839917059791213	0.9764413989873328	0.9883608423604886	0.975846426701003	0.9829162217902858	0.9860871386946511	0.9793854998163054	0.9865819666124453	0.9875657485061674	0.9782669314089836	0.9830359582737955	0.9828312827841204	0.9883917673218321	0.9752049642113512	0.9807834669309959	0.9826909812530505	0.9885409457276271	0.9755622138001551	0.9746393211152293	0.9826722824362955	0.9784877767267489	0.981822126620257	0.9768439113214019	0.9834580331262418	0.9779243834936779	0.9860110322198007	0.9806121141901738
ZellerG_2014__CCMD40701343ST-21-0__bin.43	0.9770941081272638	0.9829277060325873	1.0	0.9838259077452908	0.9834520712978341	0.9833745875732239	0.9755185751422765	0.9758807110327604	0.9762989320893373	0.9856919002994065	0.9759855369352621	0.9833436382527107	0.9747500150387798	0.9862874860027736	0.9827228280288194	0.9781013047974908	0.9835158180395185	0.9833153177613901	0.9770451781804957	0.9871318909222676	0.9848835404373005	0.9827383374860559	0.9748329698296359	0.9817646609934501	0.9845976315488948	0.9836456893835916	0.9746751022141791	0.9753267209220963	0.988679526148734	0.9762826715367249	0.9854165395035238	0.9765568398213698	0.9858874006190415	0.9757172993870474	0.9831992995050581	0.9818682461596064
BackhedF_2015__SID172_12M__bin.11	0.9765429523789436	0.9845933564543791	0.9838259077452908	1.0	0.9863041499709672	0.9816359970183399	0.9753464230886546	0.9751839145855093	0.9757016552201841	0.9836238728903802	0.9752302444906839	0.9858578667165333	0.9741971388871769	0.9834048230231471	0.984172938266707	0.9781333520184983	0.9857707594189709	0.9847934889445639	0.9766222412271547	0.9841243597183211	0.9828724889546718	0.9853217740789338	0.9733177289858295	0.9799175322749174	0.9819366098980684	0.9864501169835436	0.9741852744291232	0.9740005094346192	0.9832231797134702	0.9764452582213988	0.9824704446749998	0.9758893296109072	0.9835622963550048	0.975882271342202	0.9858097485966669	0.9803679646992797
LiJ_2017__nHM511615__bin.25	0.9780106464818609	0.9880583681997761	0.9834520712978341	0.9863041499709672	1.0	0.9803675073698002	0.9763686925692683	0.9768296470753466	0.9759475257290355	0.9843785023627994	0.9755633843157473	0.9950511992404881	0.9751686750291252	0.9831422385931509	0.986207403937657	0.9790364106391312	0.9875294814649149	0.9878323850425212	0.977522902079955	0.9845408926671798	0.9830904346689351	0.9881820321924185	0.9748529178717167	0.9809101617083693	0.9828170961238646	0.9883701778165757	0.9752487936683116	0.9742748441990042	0.9829545089921313	0.9775452171389883	0.9825627186681263	0.9762730456265183	0.9834573973453131	0.9766675361756694	0.986735471738734	0.9808598351001178
GeversD_2014__SKBSTL036__bin.19	0.9751403923597	0.9798659939225338	0.9833745875732239	0.9816359970183399	0.9803675073698002	1.0	0.9729731945810152	0.9748737649997301	0.9742432600556331	0.9835162747560321	0.9738697693466528	0.9802253809120526	0.9726885649969526	0.9838290274361983	0.9796938427975735	0.9763756102558058	0.9802673718363144	0.9810383542554425	0.9753462503544	0.9841893398696342	0.9835546126678509	0.9801946746849431	0.9730353131590878	0.9791885534842639	0.9796248258941692	0.9808733259600674	0.9725336052577088	0.97347990060353	0.9840144508359251	0.9744613567467868	0.9834067226556585	0.9739262232323225	0.9839204723553155	0.9739932874446255	0.9804193752341178	0.9797797355735236
QinJ_2012__T2D-048__bin.10	0.9819877659982233	0.9779477133026452	0.9755185751422765	0.9753464230886546	0.9763686925692683	0.9729731945810152	1.0	0.983120820521642	0.9820596414012551	0.9762141728902453	0.9818218819294494	0.9765252535304282	0.9862167461714697	0.975787461827762	0.9767293875973972	0.9840841063534627	0.9749746375900261	0.9762299766855987	0.9852518513394369	0.9755362856480408	0.9753670135840149	0.976492815728045	0.9813848443028725	0.9765631486888403	0.9761376121464584	0.9766624065367081	0.9827242484283653	0.9812751162331179	0.9754632447853211	0.9807633637405369	0.9756391808818737	0.9849685370344082	0.9761568207007394	0.98168325057669	0.9757840993618273	0.9766920221763259
LiJ_2017__H1M513912__bin.21	0.9813034125922911	0.977117422814971	0.9758807110327604	0.9751839145855093	0.9768296470753466	0.9748737649997301	0.983120820521642	1.0	0.9819670573523281	0.9763680283073201	0.9830689560551835	0.9768797766918746	0.9827706877374491	0.9764278447392806	0.9768116814323597	0.982466890122459	0.9754695204467327	0.9764795462121051	0.9830548491811053	0.9769172366195163	0.9757335078944657	0.9759330039554326	0.9822870109047073	0.9774695956290251	0.9773924155456577	0.976579309311763	0.9825271520803855	0.9880911889529909	0.9764671892992817	0.981061185997165	0.9762825185103187	0.9827435674212865	0.9766020917750571	0.9819629756857614	0.9760332275896882	0.9776535729918763
ZeeviD_2015__PNP_Main_481__bin.1	0.9801220588268652	0.9769786820832299	0.9762989320893373	0.9757016552201841	0.9759475257290355	0.9742432600556331	0.9820596414012551	0.9819670573523281	1.0	0.9757348859785823	0.9812241276574521	0.9765123960934075	0.9817705935017711	0.9758094443363469	0.9763026496816852	0.979955399432594	0.9746552678176185	0.9765872790997591	0.981473374618802	0.9765261157604285	0.9764607666720706	0.9766593313500747	0.9836630689346075	0.9763149407002266	0.9754338743984351	0.9768559965516098	0.9805336816112047	0.9804967531130119	0.9761362881290176	0.9812855734175825	0.9756067635067072	0.9804686899393545	0.9769611972939476	0.9821753285949266	0.975686964342698	0.9765469071089505
CosteaPI_2017__SID713A009-11-90-0__bin.91	0.9783186547777215	0.9839917059791213	0.9856919002994065	0.9836238728903802	0.9843785023627994	0.9835162747560321	0.9762141728902453	0.9763680283073201	0.9757348859785823	1.0	0.9758426181245026	0.9841867250182349	0.9754194620767739	0.9856017741096212	0.9842633520793782	0.9792548861127217	0.9843921748688622	0.9833382964907775	0.9774412042245854	0.9862540294605793	0.9854843348977116	0.9833347347043053	0.9743257200990937	0.9825887593344688	0.9890819068576627	0.9842901682417358	0.9749138764111481	0.9750337166948082	0.9860749016419146	0.9762929866858094	0.9849304912128813	0.9766507785192247	0.9856204854691802	0.9754887269998417	0.9854489456788462	0.9827063201201534
YuJ_2015__SZAXPI015226-14__bin.24	0.9813052160212508	0.9764413989873328	0.9759855369352621	0.9752302444906839	0.9755633843157473	0.9738697693466528	0.9818218819294494	0.9830689560551835	0.9812241276574521	0.9758426181245026	1.0	0.9757784408638976	0.9818853050433044	0.9755889014888461	0.9764267830155544	0.9813054667574523	0.9744070389469826	0.9754661339679459	0.981647757531704	0.9760641734581571	0.9761759498900742	0.9759706326234696	0.9817983910080976	0.9769946256378417	0.9767164230379443	0.9759128136875723	0.9811691540974058	0.9815450634063096	0.9756380714875029	0.9811407938941021	0.9749860845808869	0.9812509395028493	0.9764122045262513	0.9816626590982386	0.9753355520418422	0.9765897457975232
LiJ_2017__H1M513820__bin.13	0.9783770738985512	0.9883608423604886	0.9833436382527107	0.9858578667165333	0.9950511992404881	0.9802253809120526	0.9765252535304282	0.9768797766918746	0.9765123960934075	0.9841867250182349	0.9757784408638976	1.0	0.9752473088720971	0.9835742032627364	0.9865503825900228	0.9790253848619821	0.9870953382563606	0.9876590101668277	0.977920740973566	0.9842899704840818	0.9831439201890751	0.9887006155969139	0.9754469123703082	0.9806605307871885	0.9818419218425373	0.9879870809914448	0.9750470535979625	0.9739381989272702	0.9830859050662689	0.9777205858085541	0.982605408277356	0.9760687920248697	0.9832828678948199	0.9771728504984216	0.9862922056421486	0.9808567658060016
QinN_2014__LD-85__bin.36	0.9803810801197661	0.975846426701003	0.9747500150387798	0.9741971388871769	0.9751686750291252	0.9726885649969526	0.9862167461714697	0.9827706877374491	0.9817705935017711	0.9754194620767739	0.9818853050433044	0.9752473088720971	1.0	0.9746250850722566	0.9752665963742383	0.9830237479646071	0.9733158052292414	0.9752461855234082	0.9842968426797902	0.9754155740650473	0.9745844206432314	0.9753091062471732	0.9816258807498892	0.9767837980320218	0.975816575117571	0.9754269108760044	0.9821184250716339	0.9812150239090768	0.9750473283110576	0.981121253691693	0.9749818938664154	0.9831452011358516	0.9757143700611188	0.9815767110756128	0.974495151676897	0.9763047772988506
