	ChengpingW_2017__AS15raw__bin.20	LiJ_2017__H3M515128__bin.7	ZellerG_2014__CCMD40701343ST-21-0__bin.43	BackhedF_2015__SID172_12M__bin.11	LiJ_2017__nHM511615__bin.25	GeversD_2014__SKBSTL036__bin.19	QinJ_2012__T2D-048__bin.10	LiJ_2017__H1M513912__bin.21	ZeeviD_2015__PNP_Main_481__bin.1	CosteaPI_2017__SID713A009-11-90-0__bin.91	YuJ_2015__SZAXPI015226-14__bin.24	LiJ_2017__H1M513820__bin.13	QinN_2014__LD-85__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.9	QinJ_2012__CON-086__bin.7	WenC_2017__N253__bin.35	ZeeviD_2015__PNP_Main_397__bin.2	QinJ_2012__CON-076__bin.12	QinJ_2012__CON-016__bin.25	GeversD_2014__SKBSTL013__bin.56	XieH_2016__YSZC12003_37204__bin.13	QinJ_2012__T2D-086__bin.11	YuJ_2015__SZAXPI015258-57__bin.46	CosteaPI_2017__scavenger-11-7-0__bin.39	CosteaPI_2017__SID713A030-11-90-0__bin.46	LeChatelierE_2013__MH0419__bin.20	QinJ_2012__CON-084__bin.19	YuJ_2015__SZAXPI015222-123__bin.4	ZeeviD_2015__PNP_Validation_4__bin.42	QinN_2014__HD-16__bin.59	GeversD_2014__SKBSTL069__bin.74	QinN_2014__LD-97__bin.60	FengQ_2015__SID530623__bin.9	QinN_2014__HD-22__bin.50	ChengpingW_2017__AS138raw__bin.24	ZellerG_2014__MMPU72854103ST__bin.27
ChengpingW_2017__AS15raw__bin.20	2012212.0	1703038.0	1543533.0	1280127.0	1714557.0	1299216.0	1774072.0	1634095.0	1763412.0	1095135.0	1523901.0	1520747.0	1816206.0	1574348.0	1799235.0	1655775.0	1485044.0	1444033.0	1742344.0	1714573.0	1771887.0	1578717.0	1695100.0	1313967.0	682010.0	1615128.0	1526807.0	1222013.0	1796633.0	1516143.0	1344701.0	1421389.0	1643946.0	1603736.0	1511010.0	1735671.0
LiJ_2017__H3M515128__bin.7	1703038.0	2538357.0	1858274.0	1624494.0	2169469.0	1510827.0	2098966.0	1854861.0	2086414.0	1295391.0	1749637.0	1826249.0	2144279.0	1904087.0	2338915.0	1916224.0	1869499.0	1811448.0	2080010.0	2045621.0	2118213.0	1994102.0	2036819.0	1430539.0	872782.0	2031494.0	1796603.0	1405128.0	2181476.0	1843696.0	1613170.0	1664573.0	1985435.0	1934895.0	1839521.0	2076606.0
ZellerG_2014__CCMD40701343ST-21-0__bin.43	1543533.0	1858274.0	2511051.0	1404221.0	1852679.0	1441468.0	1953767.0	1701750.0	1930124.0	1208057.0	1662165.0	1568830.0	1978219.0	1835185.0	1989909.0	1773302.0	1626529.0	1561612.0	1935846.0	1945585.0	2042211.0	1707715.0	1882145.0	1323529.0	753066.0	1749019.0	1643363.0	1354826.0	2082510.0	1652547.0	1490867.0	1574873.0	1838003.0	1767184.0	1610290.0	1922980.0
BackhedF_2015__SID172_12M__bin.11	1280127.0	1624494.0	1404221.0	2086621.0	1596469.0	1164452.0	1586788.0	1413156.0	1530310.0	1044264.0	1353344.0	1331553.0	1638733.0	1442166.0	1754337.0	1398614.0	1406470.0	1371452.0	1576199.0	1554394.0	1620142.0	1512785.0	1547432.0	1122621.0	555765.0	1524146.0	1384055.0	1091406.0	1635292.0	1381760.0	1269399.0	1276945.0	1498932.0	1506651.0	1395606.0	1553736.0
LiJ_2017__nHM511615__bin.25	1714557.0	2169469.0	1852679.0	1596469.0	2510189.0	1526500.0	2091759.0	1851245.0	2075379.0	1302692.0	1745700.0	1887528.0	2151919.0	1878126.0	2297102.0	1894666.0	1860067.0	1810626.0	2055381.0	2067131.0	2126607.0	1983759.0	2019280.0	1439876.0	866559.0	2064262.0	1786822.0	1396493.0	2181574.0	1809325.0	1602314.0	1648252.0	1966861.0	1912957.0	1820796.0	2074956.0
GeversD_2014__SKBSTL036__bin.19	1299216.0	1510827.0	1441468.0	1164452.0	1526500.0	2082055.0	1585463.0	1407692.0	1533618.0	1026467.0	1367420.0	1310670.0	1637446.0	1461755.0	1629555.0	1425222.0	1336416.0	1301733.0	1601298.0	1628648.0	1652135.0	1388162.0	1559447.0	1135577.0	626056.0	1452997.0	1410196.0	1113118.0	1671322.0	1374936.0	1307638.0	1278641.0	1563230.0	1464122.0	1342807.0	1612244.0
QinJ_2012__T2D-048__bin.10	1774072.0	2098966.0	1953767.0	1586788.0	2091759.0	1585463.0	2703066.0	1999801.0	2302964.0	1304180.0	1891835.0	1768624.0	2386229.0	1979842.0	2272394.0	2117129.0	1789065.0	1725114.0	2269573.0	2156500.0	2210613.0	1899079.0	2186874.0	1469310.0	916547.0	1961599.0	1962288.0	1528394.0	2263706.0	1907662.0	1638738.0	1845662.0	2044526.0	2046160.0	1777262.0	2172046.0
LiJ_2017__H1M513912__bin.21	1634095.0	1854861.0	1701750.0	1413156.0	1851245.0	1407692.0	1999801.0	2262327.0	1957584.0	1206755.0	1712830.0	1618929.0	2041753.0	1719147.0	1960513.0	1811544.0	1607225.0	1551033.0	1956784.0	1911123.0	1950797.0	1725475.0	1937787.0	1361893.0	755941.0	1762416.0	1740014.0	1384773.0	1952168.0	1717795.0	1499569.0	1587466.0	1843028.0	1831067.0	1616488.0	1916727.0
ZeeviD_2015__PNP_Main_481__bin.1	1763412.0	2086414.0	1930124.0	1530310.0	2075379.0	1533618.0	2302964.0	1957584.0	2794180.0	1291731.0	1904785.0	1760716.0	2377971.0	1994084.0	2277934.0	2065893.0	1807200.0	1746999.0	2295723.0	2090749.0	2226793.0	1921753.0	2212227.0	1463412.0	983061.0	1960335.0	1954761.0	1505134.0	2332705.0	1949138.0	1630042.0	1821076.0	2055836.0	2120544.0	1761154.0	2166452.0
CosteaPI_2017__SID713A009-11-90-0__bin.91	1095135.0	1295391.0	1208057.0	1044264.0	1302692.0	1026467.0	1304180.0	1206755.0	1291731.0	1730542.0	1152153.0	1131075.0	1328368.0	1218414.0	1395850.0	1195173.0	1149936.0	1171969.0	1322544.0	1304455.0	1352401.0	1236884.0	1287670.0	992290.0	425349.0	1256347.0	1165186.0	941670.0	1371265.0	1181296.0	1069577.0	1101450.0	1268958.0	1244611.0	1174073.0	1317649.0
