	FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	HMP_2012__SRS044373__bin.55	HMP_2012__SRS019045__bin.46	CM_cf__CF_TNFC041IS_t2M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.7	HMP_2012__SRS014684__bin.2	LiJ_2017__H3M518112__bin.15	CM_cf__CF_TNFC018SA_t1M16__bin.3	CM_cf__CF_TNFC060SA_t1M16__bin.3	CM_cf__CF_TNFC048SA_t1M16__bin.1	FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	HMP_2012__SRS018591__bin.11	HMP_2012__SRS014470__bin.8	Castro-NallarE_2015__ES_137__bin.11	HMP_2012__SRS015057__bin.45	HMP_2012__SRS018791__bin.39	CM_cf__CF_TNFC034SS_t1M15__bin.6	CM_cf__CF_TNFC060IS_t1M15__bin.6	HMP_2012__SRS017713__bin.25	FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	HMP_2012__SRS015272__bin.25	HMP_2012__SRS019022__bin.34	Castro-NallarE_2015__ES_114__bin.27	FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	HMP_2012__SRS015537__bin.16	CM_cf__CF_TNFC059SA_t1M16__bin.1	CM_cf__CF_TNFC034SA_t1M16__bin.2	FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	CM_cf__CF_TNFC038SA_t1M16__bin.15	HMP_2012__SRS016086__bin.6	CM_cf__CF_TNFC018IS_t3M15__bin.5	FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	HMP_2012__SRS015941__bin.16	HMP_2012__SRS051791__bin.41	BritoIL_2016__WL.15.SA__bin.6	CM_cf__CF_TNFC054IS_t1M15__bin.19	HMP_2012__SRS024637__bin.14	HMP_2012__SRS016319__bin.66	HMP_2012__SRS017076__bin.19	HMP_2012__SRS057791__bin.37
FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	1918805.0	1651397.0	1523748.0	1334947.0	1606408.0	1656893.0	1288026.0	1756641.0	1638841.0	1814447.0	1764430.0	1746254.0	1596142.0	1094985.0	1596179.0	1715134.0	918410.0	1691697.0	1563522.0	1800089.0	1835970.0	1636017.0	1248450.0	903207.0	996378.0	1612156.0	1446141.0	1449429.0	961464.0	1392649.0	1239843.0	1476557.0	1543581.0	1397047.0	1622945.0	1534910.0	1187332.0	1223457.0	1469246.0	1395179.0	1382324.0	1255062.0
HMP_2012__SRS044373__bin.55	1651397.0	1887987.0	1526696.0	1294315.0	1608152.0	1631832.0	1264583.0	1703511.0	1606755.0	1738786.0	1730534.0	1694838.0	1536903.0	1063926.0	1558848.0	1692863.0	896900.0	1630751.0	1548031.0	1737411.0	1780593.0	1609453.0	1193780.0	880812.0	991167.0	1552048.0	1409030.0	1400946.0	918807.0	1417557.0	1209705.0	1427531.0	1482560.0	1358786.0	1538715.0	1539823.0	1152530.0	1199948.0	1437419.0	1351901.0	1359679.0	1223425.0
HMP_2012__SRS019045__bin.46	1523748.0	1526696.0	1768147.0	1232978.0	1440222.0	1632199.0	1274479.0	1621361.0	1543206.0	1618347.0	1609786.0	1633988.0	1478742.0	1043771.0	1488242.0	1580345.0	787678.0	1636790.0	1524018.0	1669283.0	1682625.0	1540201.0	1111655.0	766399.0	867470.0	1520255.0	1366835.0	1244061.0	745733.0	1309645.0	1141527.0	1319055.0	1417361.0	1307408.0	1534848.0	1440711.0	1158675.0	1054008.0	1324243.0	1344166.0	1263140.0	1228308.0
CM_cf__CF_TNFC041IS_t2M15__bin.5	1334947.0	1294315.0	1232978.0	1618377.0	1300591.0	1365812.0	1036148.0	1489591.0	1424241.0	1450780.0	1474868.0	1440421.0	1341110.0	914994.0	1356315.0	1424836.0	582212.0	1386400.0	1255265.0	1487410.0	1506199.0	1264489.0	857529.0	555978.0	641839.0	1318604.0	1309965.0	1046665.0	708151.0	1112560.0	875357.0	1141051.0	1304091.0	1228502.0	1334632.0	1237348.0	1027939.0	844552.0	1074124.0	1155816.0	1011252.0	1101684.0
CM_cf__CF_TNFC041SA_t1M15__bin.7	1606408.0	1608152.0	1440222.0	1300591.0	1816273.0	1565190.0	1240627.0	1627858.0	1546948.0	1674660.0	1635254.0	1648436.0	1477839.0	1043510.0	1497479.0	1612716.0	905061.0	1585467.0	1486668.0	1695245.0	1711854.0	1632942.0	1235480.0	883546.0	987263.0	1518003.0	1349941.0	1444507.0	949778.0	1404282.0	1237592.0	1455902.0	1415369.0	1302796.0	1534809.0	1533155.0	1102479.0	1210414.0	1481802.0	1334844.0	1376742.0	1131778.0
HMP_2012__SRS014684__bin.2	1656893.0	1631832.0	1632199.0	1365812.0	1565190.0	1929154.0	1354081.0	1772803.0	1665773.0	1768356.0	1768535.0	1754935.0	1617062.0	1117344.0	1633857.0	1722345.0	871870.0	1745975.0	1605156.0	1806524.0	1836117.0	1619863.0	1210241.0	865043.0	951109.0	1639692.0	1475278.0	1360868.0	860848.0	1405532.0	1222494.0	1440834.0	1552055.0	1412097.0	1644880.0	1554089.0	1250931.0	1151355.0	1426386.0	1432227.0	1351563.0	1341882.0
LiJ_2017__H3M518112__bin.15	1288026.0	1264583.0	1274479.0	1036148.0	1240627.0	1354081.0	1461517.0	1352787.0	1272416.0	1374384.0	1334314.0	1367231.0	1245661.0	919329.0	1241336.0	1324654.0	650927.0	1368848.0	1265974.0	1411711.0	1411496.0	1272104.0	946509.0	631639.0	712994.0	1285556.0	1121992.0	1037137.0	641189.0	1097960.0	984158.0	1123385.0	1191535.0	1068939.0	1281477.0	1231780.0	988778.0	874771.0	1113520.0	1142898.0	1065114.0	987126.0
CM_cf__CF_TNFC018SA_t1M16__bin.3	1756641.0	1703511.0	1621361.0	1489591.0	1627858.0	1772803.0	1352787.0	2066243.0	1776286.0	1864424.0	1888706.0	1829919.0	1698696.0	1139983.0	1720530.0	1799936.0	881753.0	1785627.0	1614951.0	1897875.0	1945614.0	1670467.0	1198847.0	858555.0	965882.0	1687866.0	1588039.0	1436420.0	937003.0	1435267.0	1207366.0	1549663.0	1661266.0	1519635.0	1675087.0	1599112.0	1290695.0	1191392.0	1446199.0	1458436.0	1356663.0	1363221.0
CM_cf__CF_TNFC060SA_t1M16__bin.3	1638841.0	1606755.0	1543206.0	1424241.0	1546948.0	1665773.0	1272416.0	1776286.0	1962827.0	1757886.0	1782408.0	1758149.0	1596421.0	1084252.0	1622091.0	1702689.0	814949.0	1782453.0	1532129.0	1853135.0	1804102.0	1566121.0	1109509.0	786587.0	883911.0	1619744.0	1566433.0	1342297.0	883533.0	1365824.0	1128504.0	1395726.0	1556229.0	1464212.0	1569988.0	1533124.0	1212141.0	1108223.0	1349041.0	1375378.0	1269028.0	1291317.0
CM_cf__CF_TNFC048SA_t1M16__bin.1	1814447.0	1738786.0	1618347.0	1450780.0	1674660.0	1768356.0	1374384.0	1864424.0	1757886.0	2064427.0	1904476.0	1847147.0	1683994.0	1158441.0	1694834.0	1834533.0	957500.0	1793223.0	1662790.0	1934820.0	1946059.0	1739916.0	1284435.0	920060.0	1036836.0	1692959.0	1545697.0	1522949.0	993922.0	1487153.0	1269396.0	1537539.0	1628580.0	1486199.0	1694211.0	1609930.0	1267814.0	1279874.0	1542708.0	1477781.0	1427610.0	1360206.0
