	FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	HMP_2012__SRS044373__bin.55	HMP_2012__SRS019045__bin.46	CM_cf__CF_TNFC041IS_t2M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.7	HMP_2012__SRS014684__bin.2	LiJ_2017__H3M518112__bin.15	CM_cf__CF_TNFC018SA_t1M16__bin.3	CM_cf__CF_TNFC060SA_t1M16__bin.3	CM_cf__CF_TNFC048SA_t1M16__bin.1	FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	HMP_2012__SRS018591__bin.11	HMP_2012__SRS014470__bin.8	Castro-NallarE_2015__ES_137__bin.11	HMP_2012__SRS015057__bin.45	HMP_2012__SRS018791__bin.39	CM_cf__CF_TNFC034SS_t1M15__bin.6	CM_cf__CF_TNFC060IS_t1M15__bin.6	HMP_2012__SRS017713__bin.25	FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	HMP_2012__SRS015272__bin.25	HMP_2012__SRS019022__bin.34	Castro-NallarE_2015__ES_114__bin.27	FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	HMP_2012__SRS015537__bin.16	CM_cf__CF_TNFC059SA_t1M16__bin.1	CM_cf__CF_TNFC034SA_t1M16__bin.2	FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	CM_cf__CF_TNFC038SA_t1M16__bin.15	HMP_2012__SRS016086__bin.6	CM_cf__CF_TNFC018IS_t3M15__bin.5	FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	HMP_2012__SRS015941__bin.16	HMP_2012__SRS051791__bin.41	BritoIL_2016__WL.15.SA__bin.6	CM_cf__CF_TNFC054IS_t1M15__bin.19	HMP_2012__SRS024637__bin.14	HMP_2012__SRS016319__bin.66	HMP_2012__SRS017076__bin.19	HMP_2012__SRS057791__bin.37
FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	1.0	0.8433358262043303	0.77183246864585	0.6808597017414485	0.8203631948009308	0.8385187655858725	0.6445235446019788	0.8904688074087778	0.8299071557557959	0.9248891888440983	0.9016132436594652	0.883411289839249	0.816264289492679	0.5568226057363828	0.8163685210326219	0.875841474250901	0.4657148589877554	0.8563434012314957	0.7966770985066226	0.9111269774677467	0.9377555301346411	0.8278167922222425	0.6369766599524183	0.46499461904675043	0.5118555559319472	0.8158718577447943	0.732720104440003	0.7350105925302467	0.4930996114769348	0.7116767988409454	0.6315435909328984	0.7491829550162732	0.7858917399110383	0.7119842818837767	0.8291973389687852	0.7777251987565178	0.6006358123936513	0.6281743064042464	0.7506937911877445	0.7125945575501419	0.7064563621629087	0.6408764830193793
HMP_2012__SRS044373__bin.55	0.8571017702982066	1.0	0.7860265987000971	0.6708176486384705	0.8344040504516187	0.8393331098148451	0.6429270964259818	0.8770701281311789	0.8265210512572386	0.9013933888315968	0.8974521540667387	0.8715605562962033	0.7977639676544382	0.5498231714519222	0.8088191285215417	0.880314853862871	0.4622653651746543	0.8384920023284058	0.8010192866794104	0.8933875074351678	0.9241604947491693	0.8276619489435043	0.61933212463857	0.45543533933231534	0.5125469613932723	0.797840769030719	0.7259737487599226	0.72172901614259	0.4758698020696117	0.7365082492623095	0.6265435090389924	0.7359123765153045	0.7663516750909831	0.7041685138721825	0.7987163047203185	0.7924678506790566	0.5924188037311697	0.6230397772866021	0.7473504849344832	0.7014079016433906	0.7073772224067221	0.6344455761612765
HMP_2012__SRS019045__bin.46	0.8375977789177032	0.8393012571918511	1.0	0.6767124000436615	0.7911372753509748	0.901640531019197	0.6921754808847906	0.892980617561775	0.8448613152639458	0.8892744777442148	0.8834593503820666	0.8952191192248156	0.8129120486022938	0.5741015877073569	0.8173330611086069	0.8685816281112374	0.43447688455767536	0.8960482358084481	0.8362805807435694	0.9136864751629813	0.9244638596225314	0.8682773547674487	0.6120758059143273	0.421712674342122	0.47701180953846034	0.8327011272252816	0.7494054510173646	0.6853898459800005	0.40964636990024017	0.7206001537202507	0.6275830007346674	0.7273405435181577	0.7762182669201148	0.719489951910107	0.843557125058041	0.7903488793635371	0.6364340747686702	0.5800332212197289	0.7282290443045742	0.7383220965225177	0.6950983147894377	0.6743121471235141
CM_cf__CF_TNFC041IS_t2M15__bin.5	0.8072513388413206	0.7825710572999988	0.7393376203443327	1.0	0.8000404108560614	0.818868533104462	0.6141992873106822	0.8946710191753837	0.8553452007783107	0.8749982235288811	0.8901943119557434	0.8645593702826969	0.8102388998360703	0.5508413676170633	0.8189587469421524	0.860564009498405	0.3501563603536135	0.8323622987721649	0.7563355139130129	0.892589303975526	0.9091651697966544	0.7568681462971855	0.5184681937521357	0.3361898988925325	0.3876828452208601	0.790930049055319	0.7867221296397564	0.6287305121118256	0.4275425318081016	0.6727418889418226	0.5277497146832908	0.6865081498315906	0.7846879929707355	0.7413519841174214	0.805179510089429	0.7434757167211348	0.6159640182726275	0.5112214273929993	0.6497497183907087	0.6978176284017877	0.61145147267911	0.6638063936894804
CM_cf__CF_TNFC041SA_t1M15__bin.7	0.8666742279382009	0.8673497871740647	0.7701744176123303	0.7128702568391425	1.0	0.8367007602931937	0.6559311292960915	0.8722058853487333	0.8287994150659069	0.9012196954973178	0.8813680542517562	0.8816323317034388	0.7965327899495286	0.5602291065274879	0.8069447709678005	0.8690207914779331	0.4853906874131807	0.8490761025462582	0.7994497523224757	0.9076394352611088	0.9220656806548354	0.8721117365065715	0.6656444268014776	0.4757649318136646	0.5312015319282949	0.8121934312738228	0.7234776930560548	0.7738010750586504	0.5111357158312655	0.7576311490618426	0.6649061016708391	0.7806805474727643	0.7600647039294204	0.7015487209246628	0.8259854107835111	0.8211408747473535	0.5888844903822278	0.6535713518837752	0.7985203766173918	0.7182681237897607	0.7419407765242341	0.6084195492637946
HMP_2012__SRS014684__bin.2	0.8340205084715892	0.8214222400077962	0.8263897024291477	0.6869529337730425	0.7877427100169297	1.0	0.6745552713780237	0.89394885011772	0.8371270515469476	0.8897786283521171	0.8894157749977452	0.8814884659285884	0.8139552363367569	0.5625403674356739	0.8219421570284176	0.8664595983524385	0.44068850905630136	0.8773156523533113	0.8066821000293394	0.9065631878014923	0.9233627797469772	0.8196608461532879	0.6100694916009816	0.43524674546459224	0.47852374667859593	0.8233018203834427	0.7416375260865643	0.6865620888741905	0.4322718663206773	0.7085909160181095	0.6146502560189596	0.7272177337838244	0.7786143563448019	0.7119136160202867	0.828558528764422	0.7812217168769316	0.6297890163252907	0.579753093843208	0.7178478234500719	0.7206480146219535	0.6811001091670235	0.6744868476026279
LiJ_2017__H3M518112__bin.15	0.8461858466237477	0.830532932562536	0.83739566491529	0.6801193554368509	0.8151461803044372	0.8903906009988252	1.0	0.8898658038189087	0.8356693764082114	0.9023931983001224	0.8756524898444562	0.8968626434040795	0.8178125878795799	0.605071306047073	0.8144612755103089	0.869918037217494	0.4286176623330416	0.8984821935016836	0.8310850985653946	0.9262102322449892	0.9264497094457335	0.8355037950294112	0.6223355595590061	0.4155251016580717	0.46865140809172934	0.8437650742345111	0.7372250887263029	0.6824676004452908	0.4216372440416362	0.7219662857154587	0.6462962798243196	0.7403259763656529	0.7804904082538896	0.7028963741099145	0.8417822030123495	0.8089067728941914	0.6509051896077843	0.5750572863675208	0.7322220678924706	0.751701827621574	0.7009326610638125	0.6483058356488498
CM_cf__CF_TNFC018SA_t1M16__bin.3	0.8269288752581376	0.8014047718491968	0.7641506831481099	0.7007476855335989	0.7666881388103916	0.8346380362813086	0.6294293555985429	1.0	0.8345717323664255	0.8770139814145771	0.8883427554261527	0.8594758699726993	0.7997360426629395	0.5365670930282643	0.8093564019333641	0.8470354164539214	0.41765755528270393	0.8383331486180473	0.7588352386432767	0.891067507548725	0.9153410320083358	0.786577377394624	0.5651581154781892	0.40401056410112457	0.4551105557284405	0.7929038356088804	0.7464736722641044	0.6796204512247592	0.4406630778664465	0.6761155391694007	0.5681475992901125	0.7496610998803142	0.7791987680055057	0.7176305013495509	0.7874809497237256	0.7519744773485015	0.6073937092587851	0.5613429785364065	0.6813806507753444	0.6861530807363897	0.6395956332338452	0.6409468779809538
CM_cf__CF_TNFC060SA_t1M16__bin.3	0.8112941181265593	0.7950068956663017	0.7610650352781982	0.705243508470181	0.7669173085554661	0.822765837233745	0.6222377214089678	0.8785430402169931	1.0	0.8698509853390034	0.8812702291134165	0.87321348239045	0.789949903888626	0.5382201284168192	0.8023442718079586	0.8428246605533753	0.4040508919023429	0.9072292158198354	0.7590658779403381	0.9203577289287339	0.8918972482037387	0.7716288801814932	0.5503551764877903	0.38926966054573325	0.4379122561489117	0.8048080651020186	0.7784292757334191	0.6641853815950157	0.4368235203611933	0.6772930064646553	0.5582585729664408	0.6912876172989265	0.7676973059775517	0.7267604327839386	0.776488197890084	0.7619015837870582	0.59909355231001	0.549027499621719	0.6681037095984517	0.6812128628758419	0.628527628772174	0.6377322097158842
CM_cf__CF_TNFC048SA_t1M16__bin.1	0.8596487063964966	0.8243541670400553	0.761648631799526	0.6859419102734077	0.7928887773701855	0.8314752713464802	0.6388518460570416	0.8777854581440758	0.8270415955613835	1.0	0.9022503580896781	0.8683116428917079	0.7975588383604749	0.5470287881334628	0.8025466630692197	0.8715454700020878	0.45136447062550533	0.8433415180095978	0.7852832771514808	0.9095400321735765	0.9214227482977116	0.8175028712567701	0.6088435192913094	0.4354239699442024	0.4900173268417822	0.7956992424532329	0.7281046992700637	0.7175477747578384	0.4697918599204525	0.7047853956570032	0.6000032938922035	0.7245342170006496	0.7687624701672666	0.7031907643137781	0.8021998355960274	0.7574077455875166	0.5959348526249657	0.6070604579382075	0.732115013027828	0.6998513388945213	0.6778084185103179	0.6434410129299801
