	FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	HMP_2012__SRS044373__bin.55	HMP_2012__SRS019045__bin.46	CM_cf__CF_TNFC041IS_t2M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.7	HMP_2012__SRS014684__bin.2	LiJ_2017__H3M518112__bin.15	CM_cf__CF_TNFC018SA_t1M16__bin.3	CM_cf__CF_TNFC060SA_t1M16__bin.3	CM_cf__CF_TNFC048SA_t1M16__bin.1	FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	HMP_2012__SRS018591__bin.11	HMP_2012__SRS014470__bin.8	Castro-NallarE_2015__ES_137__bin.11	HMP_2012__SRS015057__bin.45	HMP_2012__SRS018791__bin.39	CM_cf__CF_TNFC034SS_t1M15__bin.6	CM_cf__CF_TNFC060IS_t1M15__bin.6	HMP_2012__SRS017713__bin.25	FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	HMP_2012__SRS015272__bin.25	HMP_2012__SRS019022__bin.34	Castro-NallarE_2015__ES_114__bin.27	FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	HMP_2012__SRS015537__bin.16	CM_cf__CF_TNFC059SA_t1M16__bin.1	CM_cf__CF_TNFC034SA_t1M16__bin.2	FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	CM_cf__CF_TNFC038SA_t1M16__bin.15	HMP_2012__SRS016086__bin.6	CM_cf__CF_TNFC018IS_t3M15__bin.5	FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	HMP_2012__SRS015941__bin.16	HMP_2012__SRS051791__bin.41	BritoIL_2016__WL.15.SA__bin.6	CM_cf__CF_TNFC054IS_t1M15__bin.19	HMP_2012__SRS024637__bin.14	HMP_2012__SRS016319__bin.66	HMP_2012__SRS017076__bin.19	HMP_2012__SRS057791__bin.37
FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	1.0	0.9798958094268065	0.971942867193263	0.9786433468894271	0.9798986309829134	0.9710669306949815	0.9601630712423507	0.9726722762362942	0.9716805962262355	0.9780842317245971	0.9804979511797011	0.9707030019687858	0.9812735959582544	0.975752179253597	0.9813761489156292	0.9798470556819467	0.9730033427336375	0.9713063273151161	0.9777080207377958	0.9712158676598768	0.9800650337423814	0.9709061702904065	0.9790011614401858	0.9878510684704613	0.9857212824851612	0.9710592523304197	0.9722060297024979	0.97303282878982	0.9840846875182014	0.9805550429433404	0.9773890726487144	0.973572980927929	0.9769315636821132	0.9778905076207172	0.9803585457301387	0.9722413692008001	0.9706661658238808	0.9851952295830585	0.9803906221286293	0.9800391204282748	0.9806326157977435	0.9798057785193082
HMP_2012__SRS044373__bin.55	0.9798958094268065	1.0	0.9720389651901885	0.9785060051069485	0.9795989433834613	0.9710864843930013	0.9598721475775018	0.9720494907282665	0.9711878911221686	0.9787397644103415	0.9791070270795026	0.9708863029976906	0.9800019910169998	0.9756872188479274	0.9795951882415732	0.9817823415125737	0.9730750362359237	0.9707564183618468	0.9769274646308762	0.9708146201445714	0.9798999546780202	0.9708981871480559	0.9794861699810685	0.9762083168712506	0.9763057083216047	0.9705324835314372	0.9727464993648113	0.9726392023675431	0.9778288585089143	0.980925634736381	0.9778466650960358	0.9732839426954651	0.9759213792359163	0.9784182351010388	0.9800164422911325	0.971649988342816	0.9704554328303818	0.9802849790157574	0.9816121812776929	0.9795458395252316	0.9822311001346642	0.9790751374215828
HMP_2012__SRS019045__bin.46	0.971942867193263	0.9720389651901885	1.0	0.9704366176849871	0.9712717900434794	0.9767393559241244	0.9602888709817894	0.9738244598211009	0.9680101036413804	0.9715889114015721	0.9703687322414284	0.968721312518819	0.9720072872752651	0.9725274988479273	0.9710551106607662	0.97180046129168	0.9752957426765759	0.9679586263356936	0.9702424774510537	0.9677999476421912	0.9714511551890647	0.9967802903646992	0.9735394524380316	0.9729266348207657	0.9722837677383656	0.9684809456308316	0.9694359597171568	0.9741242591802171	0.9712792648307101	0.972879673499307	0.9720830081110653	0.974974508265387	0.9683263473455246	0.9730428450797303	0.9717789644316571	0.9699745472894981	0.9712033141303644	0.9730324627517059	0.9723411790736293	0.9712059373619032	0.973000617508748	0.9706710369060528
CM_cf__CF_TNFC041IS_t2M15__bin.5	0.9786433468894271	0.9785060051069485	0.9704366176849871	1.0	0.9955220357514392	0.9702931296547401	0.9593282040789539	0.9720218502931341	0.9719359293827379	0.9760797639890266	0.9768128401999365	0.971370870044244	0.9777512657425566	0.9742894488925611	0.9771948256857735	0.9774577565418056	0.9733310203156239	0.9716358915175995	0.9751215878718836	0.9711821219435125	0.9768775573479999	0.9686901190915856	0.978482360363323	0.9786034699214717	0.977530190592968	0.970741026115498	0.9719442885878631	0.9721572805052238	0.9770868077571027	0.9785989070252391	0.9757139087252401	0.9736891690204907	0.9737978407948525	0.9766260046788691	0.9763620233892188	0.9724216631052864	0.969767661310642	0.9796306207314647	0.9789744945648733	0.9770863182375049	0.9785483736991373	0.975133522861365
CM_cf__CF_TNFC041SA_t1M15__bin.7	0.9798986309829134	0.9795989433834613	0.9712717900434794	0.9955220357514392	1.0	0.9709217411304698	0.960280567809664	0.9731585924570816	0.973094118225047	0.9774288512295033	0.9789335479381185	0.9713965237352253	0.9789435791043544	0.9751022989717396	0.9787329238006008	0.9787085884929523	0.974080200119108	0.9726812352448837	0.9766935186605213	0.9724382021477721	0.9783094820002173	0.9700240424950795	0.9785605594586719	0.9780124634144686	0.9772542878645305	0.9717800294202317	0.9734003189769034	0.9729506329841254	0.9774515728938763	0.9799064575348826	0.9758070511121597	0.9739178873303286	0.9753534237361423	0.9780533560127602	0.9774603875791711	0.9727757467444583	0.9701545335557412	0.9807090797033081	0.9787616699127144	0.977320945368897	0.9788086656759218	0.9763893625781734
HMP_2012__SRS014684__bin.2	0.9710669306949815	0.9710864843930013	0.9767393559241244	0.9702931296547401	0.9709217411304698	1.0	0.9610363043274368	0.9727899828689369	0.9694880394867728	0.9706868978870771	0.9701928432290002	0.9689971423443033	0.9710481107094224	0.9712559426640318	0.9704968060240278	0.9704989418496295	0.9750949109385574	0.9693592405389538	0.9695095056181455	0.9681022781872812	0.9701500503508219	0.9761640336250659	0.9724658146600553	0.970654637977534	0.9705995842747782	0.9686428914698614	0.969805690859621	0.9732641226041027	0.968718054755311	0.9725719514034543	0.9699475007648299	0.9736826032700505	0.9677923784917416	0.9725897016989626	0.9717529546228296	0.9697623495179492	0.9712446170092515	0.971405865263103	0.9708725408129356	0.9706848146278488	0.9721685189665594	0.9696746807841524
LiJ_2017__H3M518112__bin.15	0.9601630712423507	0.9598721475775018	0.9602888709817894	0.9593282040789539	0.960280567809664	0.9610363043274368	1.0	0.9613885999791542	0.9598629693433594	0.9596029930499773	0.9591303096572471	0.9587114393983167	0.9595283146859378	0.9619211403099435	0.9589257058524042	0.9597978038038613	0.9623690521364147	0.9593081189438126	0.9594549335136424	0.9588874776777967	0.95928149991215	0.9599081521636595	0.9609565255058324	0.9614621643058773	0.9606560504015461	0.9592557617093305	0.9603161163359454	0.9617225111050902	0.961073879932438	0.9610240810229881	0.9597777999061127	0.9631595579431806	0.9573365448769864	0.9610417432613086	0.9600476637505004	0.9597744727142834	0.9621057507347454	0.96077259076947	0.961055930742151	0.9612625098652723	0.9617984553766076	0.9598673320325876
CM_cf__CF_TNFC018SA_t1M16__bin.3	0.9726722762362942	0.9720494907282665	0.9738244598211009	0.9720218502931341	0.9731585924570816	0.9727899828689369	0.9613885999791542	1.0	0.9708053770620272	0.9719484409125821	0.9718463328861136	0.9704724635352713	0.9727749991758384	0.9725390641790272	0.9719836329503119	0.9723573504835727	0.9787117253924852	0.9700794174819265	0.9708889000347379	0.970117631561615	0.9720926144651508	0.972937507894499	0.9740642467304002	0.972312781359377	0.9735858003358588	0.9706528835819905	0.9712582625489676	0.9776117013129865	0.9717332815369855	0.9733512997930002	0.9723074858824913	0.9995605496162714	0.9691488298683053	0.9757599686766888	0.9713686512999027	0.9716405104833182	0.972362176966673	0.9735427130616959	0.9735160928751853	0.9721091635148885	0.9741254828944255	0.9714873817231395
CM_cf__CF_TNFC060SA_t1M16__bin.3	0.9716805962262355	0.9711878911221686	0.9680101036413804	0.9719359293827379	0.973094118225047	0.9694880394867728	0.9598629693433594	0.9708053770620272	1.0	0.9712615038745402	0.9704742124137683	0.9748701617439705	0.9712569554021151	0.9743426804838727	0.970884494149835	0.9715919936054088	0.973167646073558	0.9990355986946079	0.9724474897348722	0.9748361560274885	0.970366420523895	0.9670861957664829	0.9736306780747159	0.971372524590414	0.9724350075969187	0.9752769573463461	0.9754148437884034	0.971231404078233	0.970432343783424	0.973338438920388	0.970989026179792	0.9721664567400765	0.9682745919784299	0.9742475816343535	0.9707793944921872	0.9754468653546615	0.9701156878613957	0.9724089826686506	0.9720772015083308	0.9721712867299026	0.9721542787077984	0.9693653843324296
CM_cf__CF_TNFC048SA_t1M16__bin.1	0.9780842317245971	0.9787397644103415	0.9715889114015721	0.9760797639890266	0.9774288512295033	0.9706868978870771	0.9596029930499773	0.9719484409125821	0.9712615038745402	1.0	0.9780275519355455	0.9704511876964854	0.9777362627182757	0.9748455035690208	0.9775582741436625	0.9807629516612675	0.9731686684073108	0.9708870564341412	0.9749637657190625	0.9704670201879244	0.9774677951696223	0.9699749872982374	0.9785726798164174	0.9770025867878182	0.9756653897048327	0.9702910702503723	0.9724538509164474	0.9726688155676914	0.9757818017912875	0.9783647008747587	0.9757892730085804	0.9728195512439034	0.9745017131488781	0.9767776724382132	0.9774951290010512	0.9712304261675974	0.9703820907483275	0.9791838884140157	0.9797045195850413	0.9776766652162939	0.9801598475774196	0.9765704606508132
