	HMP_2012__SRS017227__bin.25	HMP_2012__SRS015899__bin.13	HMP_2012__SRS058808__bin.54	HMP_2012__SRS013836__bin.41	HMP_2012__SRS064493__bin.7	HMP_2012__SRS018337__bin.9	HMP_2012__SRS019333__bin.20	HMP_2012__SRS021477__bin.38	HMP_2012__SRS024355__bin.63	HMP_2012__SRS017814__bin.20	HMP_2012__SRS051930__bin.22	CM_periimplantitis__SP_201SPT_T016__bin.1	HMP_2012__SRS015060__bin.20	HMP_2012__SRS020226__bin.6	HMP_2012__SRS023595__bin.37	CM_periimplantitis__SP_288SPT_T016__bin.1	HMP_2012__SRS022536__bin.57	BritoIL_2016__W2.45.SA__bin.3	HMP_2012__SRS019225__bin.19	HMP_2012__SRS015378__bin.10	CM_periimplantitis__SP_344SPT_T016__bin.16	HMP_2012__SRS050628__bin.29	HMP_2012__SRS020222__bin.2	HMP_2012__SRS016746__bin.20	HMP_2012__SRS043755__bin.6	HMP_2012__SRS015921__bin.3	HMP_2012__SRS045049__bin.7	HMP_2012__SRS015755__bin.4	HMP_2012__SRS051941__bin.9	HMP_2012__SRS015063__bin.12	HMP_2012__SRS075406__bin.3	HMP_2012__SRS064809__bin.7	HMP_2012__SRS057022__bin.11	HMP_2012__SRS063603__bin.9	HMP_2012__SRS023938__bin.2	BritoIL_2016__W1.18.SA__bin.7	HMP_2012__SRS017304__bin.21	HMP_2012__SRS022602__bin.49	BritoIL_2016__W2.43.SA__bin.7	HMP_2012__SRS024561__bin.12	HMP_2012__SRS024381__bin.8	HMP_2012__SRS019073__bin.17	BritoIL_2016__W3.20.SA__bin.4	HMP_2012__SRS013945__bin.4	HMP_2012__SRS042984__bin.28	HMP_2012__SRS053584__bin.16
HMP_2012__SRS017227__bin.25	0.0	48949.0	60966.0	34916.0	41448.0	67278.0	67135.0	39933.0	33538.0	29894.0	45209.0	30287.0	48270.0	48436.0	65123.0	46721.0	46895.0	43866.0	60405.0	47051.0	47344.0	52550.0	43830.0	46531.0	44687.0	40048.0	48002.0	38726.0	56257.0	47963.0	45105.0	48412.0	29286.0	29854.0	46628.0	43385.0	48113.0	56554.0	39030.0	64087.0	29960.0	37458.0	33672.0	49273.0	45252.0	46882.0
HMP_2012__SRS015899__bin.13	48949.0	0.0	77378.0	43512.0	58068.0	95142.0	89593.0	50337.0	43175.0	40659.0	64296.0	41667.0	65705.0	67753.0	88997.0	64353.0	60289.0	59169.0	78339.0	65044.0	63056.0	67682.0	59433.0	62613.0	60105.0	4111.0	66593.0	48524.0	77937.0	65526.0	58418.0	64790.0	37763.0	38146.0	63864.0	59402.0	67393.0	70068.0	51785.0	80691.0	39019.0	49744.0	48909.0	65082.0	60353.0	66889.0
HMP_2012__SRS058808__bin.54	60966.0	77378.0	0.0	54327.0	67975.0	19219.0	76142.0	66872.0	51960.0	46520.0	77615.0	48812.0	77069.0	79055.0	78084.0	74789.0	76797.0	70473.0	67916.0	75747.0	78090.0	2196.0	70105.0	76780.0	69760.0	65359.0	78108.0	59781.0	65371.0	77793.0	69303.0	76576.0	46748.0	45467.0	76534.0	72394.0	76187.0	62658.0	64550.0	4316.0	50081.0	60270.0	56564.0	78450.0	72423.0	76288.0
HMP_2012__SRS013836__bin.41	34916.0	43512.0	54327.0	0.0	40437.0	62371.0	63078.0	34739.0	27462.0	27024.0	41564.0	29536.0	43250.0	29587.0	59239.0	43418.0	41150.0	39237.0	56617.0	41967.0	44980.0	49358.0	26265.0	42049.0	39514.0	39365.0	44854.0	32364.0	53573.0	44284.0	41192.0	43963.0	26197.0	25330.0	42974.0	39515.0	45854.0	51262.0	35326.0	57076.0	29330.0	33235.0	34062.0	28582.0	38600.0	44987.0
HMP_2012__SRS064493__bin.7	41448.0	58068.0	67975.0	40437.0	0.0	81438.0	82710.0	44270.0	34902.0	35893.0	54780.0	38881.0	57021.0	59782.0	77470.0	58451.0	53060.0	52889.0	72321.0	48532.0	55658.0	60858.0	52368.0	49049.0	51349.0	49586.0	57784.0	41659.0	69186.0	56977.0	54534.0	57383.0	33590.0	31533.0	54624.0	51036.0	61039.0	64983.0	44409.0	71332.0	9124.0	42739.0	44205.0	59211.0	44755.0	58251.0
HMP_2012__SRS018337__bin.9	67278.0	95142.0	19219.0	62371.0	81438.0	0.0	91534.0	73424.0	60129.0	53814.0	92121.0	58779.0	91941.0	96049.0	92564.0	91752.0	87092.0	85083.0	79665.0	88906.0	93441.0	14992.0	83068.0	92512.0	82572.0	79744.0	91988.0	67330.0	76075.0	91958.0	81426.0	91272.0	54810.0	51061.0	91328.0	87737.0	91482.0	70838.0	75837.0	16595.0	57043.0	72552.0	69351.0	95458.0	83164.0	90335.0
HMP_2012__SRS019333__bin.20	67135.0	89593.0	76142.0	63078.0	82710.0	91534.0	0.0	71962.0	57226.0	51201.0	88994.0	57100.0	91711.0	95077.0	84611.0	88861.0	87217.0	86007.0	6818.0	87051.0	91732.0	68661.0	83114.0	86428.0	83171.0	76744.0	91497.0	66407.0	61936.0	91814.0	82174.0	92534.0	53109.0	52824.0	91050.0	86001.0	92855.0	38971.0	76162.0	80415.0	57614.0	69809.0	68584.0	92779.0	85550.0	90871.0
HMP_2012__SRS021477__bin.38	39933.0	50337.0	66872.0	34739.0	44270.0	73424.0	71962.0	0.0	8142.0	31846.0	48091.0	32182.0	51444.0	51668.0	70403.0	49789.0	3101.0	45242.0	63966.0	49039.0	50671.0	55427.0	45570.0	49454.0	46696.0	42715.0	51293.0	40975.0	64294.0	52771.0	46624.0	49823.0	30357.0	31329.0	49852.0	47874.0	51130.0	58976.0	42186.0	68356.0	32866.0	39397.0	36568.0	50965.0	46561.0	52360.0
HMP_2012__SRS024355__bin.63	33538.0	43175.0	51960.0	27462.0	34902.0	60129.0	57226.0	8142.0	0.0	24806.0	37701.0	24920.0	41123.0	41014.0	55065.0	39781.0	8585.0	38126.0	50856.0	41467.0	40888.0	45006.0	35758.0	39109.0	37687.0	34398.0	40793.0	33860.0	48266.0	40934.0	37020.0	41031.0	24152.0	26496.0	39813.0	38184.0	41282.0	46540.0	34587.0	52643.0	25793.0	33433.0	29889.0	41249.0	38832.0	41481.0
HMP_2012__SRS017814__bin.20	29894.0	40659.0	46520.0	27024.0	35893.0	53814.0	51201.0	31846.0	24806.0	0.0	39951.0	19223.0	40967.0	41899.0	51532.0	39256.0	37690.0	36611.0	45384.0	40180.0	38796.0	40391.0	37184.0	38706.0	38796.0	35523.0	42135.0	17502.0	47489.0	41286.0	35736.0	40192.0	17272.0	26598.0	38097.0	37124.0	26649.0	42379.0	32014.0	46703.0	26474.0	30334.0	29225.0	40454.0	38787.0	26462.0
