	HMP_2012__SRS017227__bin.25	HMP_2012__SRS015899__bin.13	HMP_2012__SRS058808__bin.54	HMP_2012__SRS013836__bin.41	HMP_2012__SRS064493__bin.7	HMP_2012__SRS018337__bin.9	HMP_2012__SRS019333__bin.20	HMP_2012__SRS021477__bin.38	HMP_2012__SRS024355__bin.63	HMP_2012__SRS017814__bin.20	HMP_2012__SRS051930__bin.22	CM_periimplantitis__SP_201SPT_T016__bin.1	HMP_2012__SRS015060__bin.20	HMP_2012__SRS020226__bin.6	HMP_2012__SRS023595__bin.37	CM_periimplantitis__SP_288SPT_T016__bin.1	HMP_2012__SRS022536__bin.57	BritoIL_2016__W2.45.SA__bin.3	HMP_2012__SRS019225__bin.19	HMP_2012__SRS015378__bin.10	CM_periimplantitis__SP_344SPT_T016__bin.16	HMP_2012__SRS050628__bin.29	HMP_2012__SRS020222__bin.2	HMP_2012__SRS016746__bin.20	HMP_2012__SRS043755__bin.6	HMP_2012__SRS015921__bin.3	HMP_2012__SRS045049__bin.7	HMP_2012__SRS015755__bin.4	HMP_2012__SRS051941__bin.9	HMP_2012__SRS015063__bin.12	HMP_2012__SRS075406__bin.3	HMP_2012__SRS064809__bin.7	HMP_2012__SRS057022__bin.11	HMP_2012__SRS063603__bin.9	HMP_2012__SRS023938__bin.2	BritoIL_2016__W1.18.SA__bin.7	HMP_2012__SRS017304__bin.21	HMP_2012__SRS022602__bin.49	BritoIL_2016__W2.43.SA__bin.7	HMP_2012__SRS024561__bin.12	HMP_2012__SRS024381__bin.8	HMP_2012__SRS019073__bin.17	BritoIL_2016__W3.20.SA__bin.4	HMP_2012__SRS013945__bin.4	HMP_2012__SRS042984__bin.28	HMP_2012__SRS053584__bin.16
HMP_2012__SRS017227__bin.25	1740102.0	1393135.0	1259780.0	973191.0	1230059.0	1378221.0	1354387.0	1226528.0	978152.0	868963.0	1337243.0	875099.0	1384943.0	1421165.0	1387765.0	1347253.0	1393100.0	1326093.0	1229644.0	1355858.0	1423058.0	1066390.0	1275129.0	1353767.0	1330128.0	1158993.0	1409086.0	1140179.0	1220658.0	1383735.0	1252723.0	1399420.0	879408.0	871296.0	1340499.0	1318518.0	1381710.0	1188732.0	1245414.0	1308592.0	879117.0	1131030.0	1013724.0	1416754.0	1319585.0	1354762.0
HMP_2012__SRS015899__bin.13	1393135.0	2513104.0	1660443.0	1375489.0	1796970.0	2028201.0	1905516.0	1544275.0	1187893.0	1210985.0	1890480.0	1270049.0	1976480.0	2089833.0	1974846.0	1955529.0	1866963.0	1848183.0	1670749.0	1936433.0	2014064.0	1453446.0	1831909.0	1965872.0	1833728.0	1899354.0	2037116.0	1433771.0	1757816.0	1982452.0	1770276.0	1961508.0	1173205.0	1119708.0	1906564.0	1848589.0	1948045.0	1516946.0	1658054.0	1716577.0	1187072.0	1533946.0	1474931.0	2017143.0	1811325.0	1918192.0
HMP_2012__SRS058808__bin.54	1259780.0	1660443.0	2038996.0	1164260.0	1487575.0	1878456.0	1651154.0	1451955.0	1051481.0	1018193.0	1630430.0	1060276.0	1645575.0	1689257.0	1691765.0	1620755.0	1654756.0	1521953.0	1486146.0	1643510.0	1685011.0	1446549.0	1512587.0	1692030.0	1532086.0	1399470.0	1700051.0	1278603.0	1477807.0	1659775.0	1498318.0	1641336.0	1018415.0	965672.0	1605940.0	1579065.0	1627927.0	1338875.0	1403996.0	1741969.0	1054440.0	1306373.0	1219770.0	1674409.0	1558262.0	1637274.0
HMP_2012__SRS013836__bin.41	973191.0	1375489.0	1164260.0	1667348.0	1288738.0	1373356.0	1358689.0	1073056.0	804443.0	813886.0	1285317.0	910738.0	1351648.0	1520050.0	1352832.0	1358189.0	1276355.0	1260017.0	1221840.0	1312340.0	1426926.0	1082640.0	1402185.0	1318167.0	1246420.0	1243505.0	1403459.0	976064.0	1219002.0	1389748.0	1299843.0	1380754.0	895984.0	790873.0	1311726.0	1273143.0	1360183.0	1092817.0	1150423.0	1203448.0	908366.0	1062521.0	1054641.0	1468639.0	1214097.0	1318804.0
HMP_2012__SRS064493__bin.7	1230059.0	1796970.0	1487575.0	1288738.0	2148437.0	1808077.0	1753926.0	1394058.0	1030943.0	1093963.0	1700802.0	1165853.0	1778148.0	1914472.0	1754783.0	1796841.0	1674471.0	1670054.0	1550273.0	1734124.0	1801035.0	1343788.0	1681558.0	1766802.0	1644509.0	1562399.0	1840699.0	1264107.0	1548719.0	1785028.0	1657980.0	1798120.0	1095314.0	980029.0	1675061.0	1649160.0	1804593.0	1398792.0	1489713.0	1542397.0	1212871.0	1346714.0	1355157.0	1878646.0	1612841.0	1717247.0
HMP_2012__SRS018337__bin.9	1378221.0	2028201.0	1878456.0	1373356.0	1808077.0	2559197.0	2013532.0	1576957.0	1190332.0	1198045.0	1952591.0	1283238.0	1975668.0	2100114.0	2033797.0	2009000.0	1889838.0	1851688.0	1763175.0	1914985.0	2048128.0	1674038.0	1810425.0	2020361.0	1836607.0	1734785.0	2063963.0	1447716.0	1768275.0	2007801.0	1795449.0	1980547.0	1171300.0	1097886.0	1893856.0	1897754.0	1969841.0	1564766.0	1663730.0	1935384.0	1209876.0	1546318.0	1513557.0	2071677.0	1788192.0	1953598.0
HMP_2012__SRS019333__bin.20	1354387.0	1905516.0	1651154.0	1358689.0	1753926.0	2013532.0	2393786.0	1500497.0	1129015.0	1162898.0	1862138.0	1246010.0	1933632.0	2017102.0	2005860.0	1892906.0	1833134.0	1842225.0	1911068.0	1834816.0	1959318.0	1507870.0	1771095.0	1870381.0	1790862.0	1637454.0	1982942.0	1352808.0	1782129.0	1952010.0	1726016.0	1970639.0	1141842.0	1112242.0	1838208.0	1798952.0	1949827.0	1629706.0	1648253.0	1721918.0	1189231.0	1493311.0	1465294.0	1987472.0	1761690.0	1904231.0
HMP_2012__SRS021477__bin.38	1226528.0	1544275.0	1451955.0	1073056.0	1394058.0	1576957.0	1500497.0	1843642.0	1082719.0	954210.0	1504090.0	980231.0	1562387.0	1596658.0	1555391.0	1529288.0	1644311.0	1444902.0	1352259.0	1535325.0	1604157.0	1188375.0	1422611.0	1553530.0	1443334.0	1332877.0	1590923.0	1238661.0	1398608.0	1586262.0	1404656.0	1547431.0	966634.0	943943.0	1536522.0	1490556.0	1521739.0	1254120.0	1367869.0	1463762.0	997990.0	1240475.0	1154859.0	1564947.0	1465846.0	1535155.0
HMP_2012__SRS024355__bin.63	978152.0	1187893.0	1051481.0	804443.0	1030943.0	1190332.0	1129015.0	1082719.0	1644628.0	725262.0	1106589.0	724467.0	1163086.0	1203256.0	1162892.0	1133557.0	1235908.0	1106571.0	1013062.0	1171998.0	1184627.0	897626.0	1058611.0	1149504.0	1093420.0	982532.0	1176525.0	952473.0	1021066.0	1172217.0	1045829.0	1183883.0	724969.0	783059.0	1129606.0	1104387.0	1149620.0	976735.0	1046064.0	1062202.0	756305.0	962896.0	864402.0	1179192.0	1139671.0	1139747.0
HMP_2012__SRS017814__bin.20	868963.0	1210985.0	1018193.0	813886.0	1093963.0	1198045.0	1162898.0	954210.0	725262.0	1548423.0	1200166.0	829602.0	1196620.0	1244399.0	1190731.0	1173305.0	1130950.0	1132007.0	1034701.0	1186900.0	1175976.0	896279.0	1117339.0	1175118.0	1147867.0	1039517.0	1247713.0	845011.0	1105924.0	1209189.0	1073057.0	1211355.0	765382.0	779552.0	1110202.0	1139674.0	1246100.0	941506.0	1028842.0	1020937.0	785898.0	949484.0	898519.0	1218722.0	1108396.0	1217469.0
