	LiJ_2014__MH0354__bin.30	KarlssonFH_2013__S378__bin.10	XieH_2016__YSZC12003_37192R1__bin.46	ZeeviD_2015__PNP_Main_449__bin.40	LiJ_2014__O2.UC44-1__bin.35	ZeeviD_2015__PNP_Validation_9__bin.68	ZeeviD_2015__PNP_DietIntervention_27__bin.7	SchirmerM_2016__G89100__bin.16	NielsenHB_2014__O2_UC44_2__bin.59	BritoIL_2016__M1.16.ST__bin.6	LeChatelierE_2013__MH0276__bin.40	LeChatelierE_2013__MH0431__bin.40	SchirmerM_2016__G88821__bin.18	ChengpingW_2017__AS9raw__bin.41	BackhedF_2015__SID566_M__bin.44	ZellerG_2014__CCIS74726977ST-3-0__bin.44	BritoIL_2016__W1.2.ST__bin.63	CosteaPI_2017__SID713A077-11-0-0__bin.12	ZeeviD_2015__PNP_Main_429__bin.15	ZeeviD_2015__PNP_Main_33__bin.23	SchirmerM_2016__G88815__bin.7	SchirmerM_2016__G89006__bin.4	CosteaPI_2017__SID713B016-11-90-0__bin.98	FengQ_2015__SID530026__bin.5	ZeeviD_2015__PNP_Main_268__bin.20	ZeeviD_2015__PNP_Main_739__bin.6	SchirmerM_2016__G89002__bin.2	YuJ_2015__SZAXPI017592-142__bin.73	ZellerG_2014__CCIS16383318ST-4-0__bin.93	LiJ_2014__MH0303__bin.32	KarlssonFH_2013__S393__bin.2	KarlssonFH_2013__S297__bin.3	LiSS_2016__FAT_014-22-84-0__bin.22	CosteaPI_2017__SID713B005-11-90-0__bin.33	ZeeviD_2015__PNP_DietIntervention_22__bin.1	LiJ_2014__MH0332__bin.43	LoombaR_2017__SID0008_kcu__bin.47	LiSS_2016__FAT_014-22-0-0__bin.39	ZeeviD_2015__PNP_Main_667__bin.5	LiJ_2014__MH0396__bin.28	XieH_2016__YSZC12003_37293__bin.39	ZeeviD_2015__PNP_DietIntervention_55__bin.7
LiJ_2014__MH0354__bin.30	1.0	0.994700836788767	0.9944640630515637	0.9932413876439055	0.9928721086988291	0.9945030446898545	0.9942237565758011	0.9946756550968485	0.9938634234188676	0.993836718023504	0.9948966099890445	0.9938688805045733	0.9945929093056065	0.9928981235750824	0.9947265649036587	0.993812065971292	0.9938798350730802	0.9938338690887124	0.9938172867834416	0.9941478409975745	0.9942924758593689	0.9942841997223892	0.9945899496398255	0.9948179441550641	0.9934838284996764	0.9943293690309147	0.9942444908739702	0.9937378000950916	0.9940887252462275	0.9946723991651649	0.9947004753517039	0.9946997631879259	0.9943557661848443	0.9938780628952321	0.9941052065040763	0.9936507480923542	0.9940492425181622	0.9939962082358386	0.9938942217908793	0.994772615187491	0.9942480108097961	0.994242745873304
KarlssonFH_2013__S378__bin.10	0.994700836788767	1.0	0.9942945058790789	0.9930233746232261	0.9925871094205828	0.9946312237973551	0.9942539201960762	0.9945041590318051	0.9940100500547474	0.9935450568479809	0.9946373913552483	0.9941029202362334	0.9946747923582191	0.9928753389760868	0.9945493144692982	0.9938328892614435	0.9938465164081985	0.9937891808937392	0.9935602848435249	0.994278195615364	0.9943945869890032	0.9942854105458482	0.9945891255766167	0.9945664661222614	0.9933847934275708	0.9941668457505091	0.9941710586482195	0.993704164733928	0.9944229450767713	0.9946884876122766	0.9946662436030178	0.9946087807280858	0.9945342593393082	0.993613595568806	0.9942351689330252	0.9933972489702869	0.9941650418625989	0.9940012643258473	0.9940000735090332	0.9944257078984486	0.993955564571494	0.9942491261856201
XieH_2016__YSZC12003_37192R1__bin.46	0.9944640630515637	0.9942945058790789	1.0	0.9925173121196649	0.9928028644290461	0.9941349195746456	0.9940674620506497	0.994334593144605	0.9938625275682333	0.9937557267973023	0.99452268099919	0.9936377675258905	0.9943133043592606	0.9927359694311683	0.9943951446826037	0.9936423748136455	0.9936878164712248	0.9934845643728843	0.9938263758889933	0.9939455839168417	0.994094472468822	0.9941171450085555	0.9941623697676336	0.9942684529250457	0.9935109747715428	0.9939811852307385	0.994173558212103	0.9934315925910042	0.9939122330239664	0.9943526815859793	0.9940412130175561	0.9940167735730645	0.993881430899356	0.993654477019234	0.9938771802825662	0.9932628094654161	0.99339343674132	0.9935706995585234	0.9936696148686939	0.9942100815231287	0.9939734236359864	0.9940484416935379
ZeeviD_2015__PNP_Main_449__bin.40	0.9932413876439055	0.9930233746232261	0.9925173121196649	1.0	0.9927998608491861	0.9934479354850725	0.9938092421883054	0.9932910843167332	0.9936723937981519	0.9938827593291989	0.9931171246605337	0.9943303061080209	0.9935987649855833	0.9955424207872138	0.9929442589140668	0.9941173903225378	0.9941168586053623	0.9938927772118716	0.9932553693653293	0.9939868843450009	0.9933726468880154	0.992873199093263	0.9934720254868256	0.9935970009228078	0.9956283511695627	0.9939258783532755	0.993665257502084	0.9962089353811706	0.9936931541715013	0.9929668021370839	0.9932379932190419	0.9930473387462273	0.9926376256188424	0.9939800128663013	0.9936754260913354	0.9918639769899207	0.9936123681278627	0.992685242635696	0.9934877326063767	0.9930985806480147	0.9934572737509674	0.993830019742138
LiJ_2014__O2.UC44-1__bin.35	0.9928721086988291	0.9925871094205828	0.9928028644290461	0.9927998608491861	1.0	0.993278182194252	0.9938708344070326	0.9932621453320184	0.9988472975872957	0.9932854349558765	0.9931925371853497	0.9938552440370034	0.9935609567368144	0.9928445072407223	0.993160118954453	0.9934923414983259	0.9934462699996756	0.9934918546262652	0.9933079078137461	0.9934235193339774	0.9930879869055703	0.9931859631019051	0.9931774083225149	0.9933512161854967	0.9934213172756226	0.993669413518403	0.9933393564094605	0.9932585592746328	0.9936618390148334	0.993128396227884	0.993236285760507	0.9931790944645569	0.9932128472170488	0.993522673259987	0.993824197907466	0.991838706396827	0.9934617678433839	0.9929262271960717	0.9934344181302972	0.9930659564277463	0.993180997575695	0.9938323160383102
ZeeviD_2015__PNP_Validation_9__bin.68	0.9945030446898545	0.9946312237973551	0.9941349195746456	0.9934479354850725	0.993278182194252	1.0	0.9944530490220798	0.9945833592209978	0.9940127145563458	0.9942264312731341	0.994734405291528	0.9940316224129009	0.9943596865144104	0.9933666648238573	0.9945328266540914	0.9939645329090675	0.9940873549602465	0.994196981988394	0.9940815014499632	0.9943699040184705	0.9945527778757701	0.9944263949204447	0.9945946800584209	0.9947444168016663	0.9939011630063613	0.9943936371778357	0.9942676612306692	0.9939188050927423	0.994288999486899	0.9943979301082275	0.9944109735679192	0.9944970312145125	0.9943037949269805	0.9941273931209642	0.9943132623148657	0.9933568132007634	0.9942093120258609	0.993861253925408	0.9941861059768117	0.9944448767257287	0.994328615703536	0.9944721886306926
ZeeviD_2015__PNP_DietIntervention_27__bin.7	0.9942237565758011	0.9942539201960762	0.9940674620506497	0.9938092421883054	0.9938708344070326	0.9944530490220798	1.0	0.9942069814647806	0.9946960258404853	0.994499952276415	0.9943320012539943	0.9949955676030032	0.994522738820021	0.9940411908888469	0.994016508094783	0.9947207140713469	0.9946024410716199	0.9946292962246017	0.9943209166144837	0.9947443289556348	0.994301998183779	0.9939744257322285	0.9944709914201687	0.9943282855431603	0.9947796917460433	0.9947006034349374	0.9943104052000503	0.9945834046570107	0.994673035151075	0.9938778795951418	0.9942913169745403	0.994083388263565	0.993973587657084	0.9946099046218	0.9998881074587176	0.992872399195583	0.9942700318486354	0.9932881712944368	0.9998733819409795	0.9940709516966799	0.9942569465188681	0.9999750080102531
SchirmerM_2016__G89100__bin.16	0.9946756550968485	0.9945041590318051	0.994334593144605	0.9932910843167332	0.9932621453320184	0.9945833592209978	0.9942069814647806	1.0	0.9941004291675731	0.9937460163705145	0.9946028526825623	0.993861293068208	0.9943740249969575	0.9932278093139288	0.994491801663167	0.9934267767848627	0.9938153568121061	0.9937066637995994	0.9938216427760924	0.9943744117450153	0.9947661491661425	0.9943128684741058	0.9944072292313835	0.9945905835801214	0.9936942022382621	0.9942092443310329	0.9941456224014968	0.9939031669706516	0.9944352335087473	0.9946039237262853	0.9942178592408955	0.9943693102851625	0.9944892245459165	0.9938741134666101	0.9941901574659029	0.9933095842669984	0.9940131600753899	0.9938042587891717	0.993835423486784	0.9942934453488012	0.9940111438678153	0.9942695531695098
NielsenHB_2014__O2_UC44_2__bin.59	0.9938634234188676	0.9940100500547474	0.9938625275682333	0.9936723937981519	0.9988472975872957	0.9940127145563458	0.9946960258404853	0.9941004291675731	1.0	0.9940183432258226	0.9939785641420447	0.9947516229849216	0.9943208167600004	0.9937472657377155	0.993791056716134	0.9944024330040518	0.994038624686693	0.9940539621477106	0.993861034143802	0.9942436465311593	0.9940047834174861	0.9936925193714244	0.9942411724105635	0.9941428616035024	0.9941786303528775	0.9944327462307212	0.9940946381317249	0.9942249045448946	0.9946004766975662	0.993736076474896	0.9941249199306191	0.9936657982242638	0.9938801217705444	0.9941614918231944	0.9945535591285695	0.9925266892563582	0.9941255447263259	0.9934669989264345	0.9944690741617527	0.9937943830921956	0.9940313992106562	0.994688414422284
BritoIL_2016__M1.16.ST__bin.6	0.993836718023504	0.9935450568479809	0.9937557267973023	0.9938827593291989	0.9932854349558765	0.9942264312731341	0.994499952276415	0.9937460163705145	0.9940183432258226	1.0	0.9936729949631926	0.9946978363434935	0.9941625105314551	0.9939960012479327	0.9937730283434042	0.9946809922914215	0.9956103735832963	0.9947077807283478	0.9941180482924833	0.994074350801612	0.9936832235488327	0.9938817318244277	0.9939500611933331	0.9941014303218065	0.994469457080496	0.9949037592443618	0.994579336113083	0.994580958173449	0.9939945003148533	0.9938034771162089	0.9936544602524977	0.9938146809262196	0.9930964165273696	0.9949825439775188	0.9944596211694974	0.9922356172814365	0.9942901857777463	0.9931984220856305	0.9941289202931456	0.9936159334509427	0.994176175756387	0.9944792024803185
