	LiJ_2014__MH0354__bin.30	KarlssonFH_2013__S378__bin.10	XieH_2016__YSZC12003_37192R1__bin.46	ZeeviD_2015__PNP_Main_449__bin.40	LiJ_2014__O2.UC44-1__bin.35	ZeeviD_2015__PNP_Validation_9__bin.68	ZeeviD_2015__PNP_DietIntervention_27__bin.7	SchirmerM_2016__G89100__bin.16	NielsenHB_2014__O2_UC44_2__bin.59	BritoIL_2016__M1.16.ST__bin.6	LeChatelierE_2013__MH0276__bin.40	LeChatelierE_2013__MH0431__bin.40	SchirmerM_2016__G88821__bin.18	ChengpingW_2017__AS9raw__bin.41	BackhedF_2015__SID566_M__bin.44	ZellerG_2014__CCIS74726977ST-3-0__bin.44	BritoIL_2016__W1.2.ST__bin.63	CosteaPI_2017__SID713A077-11-0-0__bin.12	ZeeviD_2015__PNP_Main_429__bin.15	ZeeviD_2015__PNP_Main_33__bin.23	SchirmerM_2016__G88815__bin.7	SchirmerM_2016__G89006__bin.4	CosteaPI_2017__SID713B016-11-90-0__bin.98	FengQ_2015__SID530026__bin.5	ZeeviD_2015__PNP_Main_268__bin.20	ZeeviD_2015__PNP_Main_739__bin.6	SchirmerM_2016__G89002__bin.2	YuJ_2015__SZAXPI017592-142__bin.73	ZellerG_2014__CCIS16383318ST-4-0__bin.93	LiJ_2014__MH0303__bin.32	KarlssonFH_2013__S393__bin.2	KarlssonFH_2013__S297__bin.3	LiSS_2016__FAT_014-22-84-0__bin.22	CosteaPI_2017__SID713B005-11-90-0__bin.33	ZeeviD_2015__PNP_DietIntervention_22__bin.1	LiJ_2014__MH0332__bin.43	LoombaR_2017__SID0008_kcu__bin.47	LiSS_2016__FAT_014-22-0-0__bin.39	ZeeviD_2015__PNP_Main_667__bin.5	LiJ_2014__MH0396__bin.28	XieH_2016__YSZC12003_37293__bin.39	ZeeviD_2015__PNP_DietIntervention_55__bin.7
LiJ_2014__MH0354__bin.30	0.0	5664.0	8249.0	7383.0	8243.0	7989.0	8503.0	5734.0	8737.0	8013.0	7430.0	8637.0	7995.0	9342.0	7713.0	8662.0	9001.0	9146.0	9269.0	8365.0	8499.0	8281.0	5641.0	7350.0	9424.0	8018.0	8468.0	6243.0	7162.0	8000.0	7988.0	6428.0	7234.0	8738.0	8543.0	6194.0	5520.0	6058.0	8468.0	7727.0	8518.0	8527.0
KarlssonFH_2013__S378__bin.10	5664.0	0.0	6130.0	5599.0	6289.0	5641.0	6058.0	4364.0	6127.0	6240.0	5680.0	6063.0	5671.0	6936.0	5782.0	6180.0	6580.0	6625.0	6956.0	5775.0	5920.0	5913.0	4150.0	5510.0	6928.0	6053.0	6157.0	4289.0	4897.0	5642.0	5749.0	4772.0	5121.0	6632.0	5992.0	4721.0	4070.0	4403.0	6040.0	5932.0	6436.0	6068.0
XieH_2016__YSZC12003_37192R1__bin.46	8249.0	6130.0	0.0	8236.0	8382.0	8517.0	8761.0	6053.0	8830.0	8130.0	8006.0	9142.0	8433.0	9604.0	8233.0	9062.0	9519.0	9934.0	9277.0	8548.0	8874.0	8547.0	5946.0	8026.0	9337.0	8691.0	8520.0	6892.0	7296.0	8405.0	9025.0	7341.0	7885.0	9188.0	8898.0	6505.0	6316.0	6501.0	8825.0	8605.0	9208.0	8828.0
ZeeviD_2015__PNP_Main_449__bin.40	7383.0	5599.0	8236.0	0.0	6292.0	7036.0	6846.0	5489.0	6853.0	6014.0	7431.0	6135.0	6991.0	4531.0	7718.0	6200.0	6496.0	6691.0	7490.0	6215.0	7178.0	7514.0	5180.0	6668.0	4768.0	6507.0	6824.0	2709.0	5729.0	7701.0	7493.0	6305.0	7162.0	6513.0	6983.0	5878.0	4644.0	5647.0	6868.0	7490.0	7135.0	6860.0
LiJ_2014__O2.UC44-1__bin.35	8243.0	6289.0	8382.0	6292.0	0.0	7702.0	7088.0	5937.0	1316.0	7026.0	7774.0	6922.0	7456.0	7556.0	7866.0	7238.0	7677.0	7503.0	7854.0	7209.0	7939.0	7607.0	5865.0	7312.0	7523.0	7156.0	7682.0	5038.0	6150.0	7944.0	7902.0	6568.0	6833.0	7427.0	7013.0	6420.0	5032.0	5843.0	7236.0	7977.0	7932.0	7141.0
ZeeviD_2015__PNP_Validation_9__bin.68	7989.0	5641.0	8517.0	7036.0	7702.0	0.0	8008.0	5754.0	8350.0	7420.0	7472.0	8246.0	8180.0	8519.0	7756.0	8304.0	8625.0	8398.0	8580.0	8052.0	7875.0	7888.0	5470.0	7267.0	8714.0	7856.0	8292.0	5884.0	6745.0	8167.0	8145.0	6445.0	7093.0	8287.0	8072.0	6332.0	5331.0	6013.0	7958.0	7996.0	8317.0	8004.0
ZeeviD_2015__PNP_DietIntervention_27__bin.7	8503.0	6058.0	8761.0	6846.0	7088.0	8008.0	0.0	6173.0	7565.0	7203.0	8154.0	7130.0	8096.0	7918.0	8641.0	7353.0	7961.0	7935.0	8389.0	7345.0	8364.0	8621.0	5687.0	7945.0	7613.0	7535.0	8368.0	5411.0	6337.0	9050.0	8425.0	7091.0	7728.0	7753.0	171.0	6851.0	5347.0	6768.0	185.0	8673.0	8517.0	39.0
SchirmerM_2016__G89100__bin.16	5734.0	4364.0	6053.0	5489.0	5937.0	5754.0	6173.0	0.0	5966.0	6211.0	5663.0	6217.0	6102.0	6564.0	5813.0	6754.0	6598.0	6790.0	6670.0	5714.0	5633.0	5893.0	5421.0	5657.0	6602.0	5991.0	6283.0	3677.0	5632.0	5806.0	6260.0	5044.0	5531.0	6339.0	6031.0	5022.0	5238.0	5045.0	6346.0	6078.0	6464.0	6113.0
NielsenHB_2014__O2_UC44_2__bin.59	8737.0	6127.0	8830.0	6853.0	1316.0	8350.0	7565.0	5966.0	0.0	7645.0	8494.0	7352.0	8107.0	8061.0	8879.0	7699.0	8636.0	8498.0	8962.0	7852.0	8460.0	8710.0	5657.0	8066.0	8274.0	7789.0	8373.0	5861.0	6257.0	8947.0	8539.0	7391.0	7613.0	8271.0	7749.0	7029.0	5198.0	6347.0	7453.0	8806.0	8549.0	7613.0
BritoIL_2016__M1.16.ST__bin.6	8013.0	6240.0	8130.0	6014.0	7026.0	7420.0	7203.0	6211.0	7645.0	0.0	8165.0	6753.0	7670.0	7159.0	8102.0	6611.0	5805.0	7035.0	7761.0	7455.0	8273.0	7783.0	5754.0	7433.0	7105.0	6563.0	7132.0	4642.0	6447.0	8106.0	8340.0	6584.0	8037.0	6542.0	7218.0	6863.0	4991.0	6314.0	7331.0	8316.0	7749.0	7242.0
LeChatelierE_2013__MH0276__bin.40	7430.0	5680.0	8006.0	7431.0	7774.0	7472.0	8154.0	5663.0	8494.0	8165.0	0.0	8653.0	7859.0	9039.0	7666.0	8641.0	9036.0	9003.0	8866.0	8140.0	7801.0	7641.0	5456.0	7228.0	8862.0	8135.0	8314.0	6030.0	6660.0	7808.0	7669.0	6244.0	7214.0	8975.0	8139.0	6213.0	5371.0	5992.0	7987.0	7653.0	8231.0	8183.0
LeChatelierE_2013__MH0431__bin.40	8637.0	6063.0	9142.0	6135.0	6922.0	8246.0	7130.0	6217.0	7352.0	6753.0	8653.0	0.0	8149.0	7494.0	8664.0	6926.0	7491.0	7697.0	8547.0	7710.0	8631.0	8853.0	5671.0	8057.0	7228.0	7032.0	8191.0	5420.0	6569.0	8826.0	8694.0	7198.0	8049.0	7340.0	7264.0	7037.0	5217.0	6709.0	7016.0	8601.0	8458.0	7073.0
SchirmerM_2016__G88821__bin.18	7995.0	5671.0	8433.0	6991.0	7456.0	8180.0	8096.0	6102.0	8107.0	7670.0	7859.0	8149.0	0.0	8628.0	8145.0	8052.0	8610.0	8798.0	8983.0	7947.0	8193.0	8370.0	5673.0	7601.0	8617.0	7920.0	8168.0	6039.0	6465.0	8743.0	8101.0	6642.0	7292.0	8402.0	8244.0	6594.0	5105.0	6133.0	7898.0	8226.0	8384.0	8097.0
ChengpingW_2017__AS9raw__bin.41	9342.0	6936.0	9604.0	4531.0	7556.0	8519.0	7918.0	6564.0	8061.0	7159.0	9039.0	7494.0	8628.0	0.0	9418.0	7561.0	8139.0	8147.0	9237.0	7950.0	8909.0	9388.0	6104.0	8566.0	5702.0	7817.0	8810.0	3470.0	7113.0	9599.0	9134.0	7774.0	8191.0	7852.0	7895.0	7249.0	5391.0	6671.0	7779.0	9426.0	8944.0	7907.0
BackhedF_2015__SID566_M__bin.44	7713.0	5782.0	8233.0	7718.0	7866.0	7756.0	8641.0	5813.0	8879.0	8102.0	7666.0	8664.0	8145.0	9418.0	0.0	8870.0	9147.0	9071.0	9232.0	8434.0	8311.0	7989.0	5321.0	7561.0	9340.0	8226.0	8726.0	6270.0	6788.0	8215.0	7962.0	6477.0	7370.0	9044.0	8605.0	6381.0	5446.0	6231.0	8672.0	8058.0	8633.0	8680.0
ZellerG_2014__CCIS74726977ST-3-0__bin.44	8662.0	6180.0	9062.0	6200.0	7238.0	8304.0	7353.0	6754.0	7699.0	6611.0	8641.0	6926.0	8052.0	7561.0	8870.0	0.0	7599.0	7157.0	8548.0	7726.0	8936.0	8647.0	5842.0	8400.0	7447.0	6695.0	8322.0	5730.0	6654.0	8989.0	8978.0	7419.0	7956.0	6927.0	7244.0	7020.0	5722.0	6769.0	7289.0	8900.0	8559.0	7388.0
BritoIL_2016__W1.2.ST__bin.63	9001.0	6580.0	9519.0	6496.0	7677.0	8625.0	7961.0	6598.0	8636.0	5805.0	9036.0	7491.0	8610.0	8139.0	9147.0	7599.0	0.0	7963.0	8924.0	8200.0	9187.0	8925.0	6028.0	8675.0	8212.0	7337.0	8039.0	5764.0	6986.0	9041.0	9280.0	7639.0	8198.0	7725.0	7901.0	7239.0	5532.0	6797.0	7842.0	9458.0	8575.0	8005.0
CosteaPI_2017__SID713A077-11-0-0__bin.12	9146.0	6625.0	9934.0	6691.0	7503.0	8398.0	7935.0	6790.0	8498.0	7035.0	9003.0	7697.0	8798.0	8147.0	9071.0	7157.0	7963.0	0.0	9196.0	8226.0	9911.0	9448.0	6060.0	8560.0	8146.0	6924.0	8529.0	6046.0	7267.0	9659.0	9273.0	7747.0	8286.0	7255.0	8171.0	7655.0	6235.0	6702.0	8023.0	9416.0	9509.0	7986.0
ZeeviD_2015__PNP_Main_429__bin.15	9269.0	6956.0	9277.0	7490.0	7854.0	8580.0	8389.0	6670.0	8962.0	7761.0	8866.0	8547.0	8983.0	9237.0	9232.0	8548.0	8924.0	9196.0	0.0	8393.0	9270.0	8724.0	6535.0	8424.0	9147.0	8434.0	9039.0	6252.0	7148.0	9679.0	9333.0	7790.0	8350.0	8764.0	8141.0	7055.0	6085.0	6811.0	8239.0	9242.0	9157.0	8476.0
