	LiJ_2014__MH0354__bin.30	KarlssonFH_2013__S378__bin.10	XieH_2016__YSZC12003_37192R1__bin.46	ZeeviD_2015__PNP_Main_449__bin.40	LiJ_2014__O2.UC44-1__bin.35	ZeeviD_2015__PNP_Validation_9__bin.68	ZeeviD_2015__PNP_DietIntervention_27__bin.7	SchirmerM_2016__G89100__bin.16	NielsenHB_2014__O2_UC44_2__bin.59	BritoIL_2016__M1.16.ST__bin.6	LeChatelierE_2013__MH0276__bin.40	LeChatelierE_2013__MH0431__bin.40	SchirmerM_2016__G88821__bin.18	ChengpingW_2017__AS9raw__bin.41	BackhedF_2015__SID566_M__bin.44	ZellerG_2014__CCIS74726977ST-3-0__bin.44	BritoIL_2016__W1.2.ST__bin.63	CosteaPI_2017__SID713A077-11-0-0__bin.12	ZeeviD_2015__PNP_Main_429__bin.15	ZeeviD_2015__PNP_Main_33__bin.23	SchirmerM_2016__G88815__bin.7	SchirmerM_2016__G89006__bin.4	CosteaPI_2017__SID713B016-11-90-0__bin.98	FengQ_2015__SID530026__bin.5	ZeeviD_2015__PNP_Main_268__bin.20	ZeeviD_2015__PNP_Main_739__bin.6	SchirmerM_2016__G89002__bin.2	YuJ_2015__SZAXPI017592-142__bin.73	ZellerG_2014__CCIS16383318ST-4-0__bin.93	LiJ_2014__MH0303__bin.32	KarlssonFH_2013__S393__bin.2	KarlssonFH_2013__S297__bin.3	LiSS_2016__FAT_014-22-84-0__bin.22	CosteaPI_2017__SID713B005-11-90-0__bin.33	ZeeviD_2015__PNP_DietIntervention_22__bin.1	LiJ_2014__MH0332__bin.43	LoombaR_2017__SID0008_kcu__bin.47	LiSS_2016__FAT_014-22-0-0__bin.39	ZeeviD_2015__PNP_Main_667__bin.5	LiJ_2014__MH0396__bin.28	XieH_2016__YSZC12003_37293__bin.39	ZeeviD_2015__PNP_DietIntervention_55__bin.7
LiJ_2014__MH0354__bin.30	1592784.0	1068848.0	1490082.0	1092384.0	1156443.0	1453350.0	1472064.0	1076940.0	1423758.0	1300119.0	1455895.0	1408715.0	1478614.0	1315427.0	1462614.0	1399821.0	1470712.0	1483264.0	1499180.0	1429387.0	1489087.0	1448791.0	1042689.0	1418356.0	1446248.0	1413952.0	1471286.0	996934.0	1211583.0	1501614.0	1507305.0	1212776.0	1281662.0	1427326.0	1449245.0	975548.0	927613.0	1009029.0	1386883.0	1478177.0	1480879.0	1481088.0
KarlssonFH_2013__S378__bin.10	1068848.0	1141010.0	1074403.0	802537.0	848387.0	1050705.0	1054284.0	794055.0	1022880.0	966701.0	1059186.0	1028136.0	1064935.0	973520.0	1060784.0	1002090.0	1069313.0	1066687.0	1080172.0	1009297.0	1056122.0	1034720.0	766974.0	1014073.0	1047284.0	1037689.0	1056281.0	681244.0	878062.0	1062221.0	1077852.0	885143.0	936927.0	1038456.0	1039406.0	715005.0	697520.0	733988.0	1006679.0	1064171.0	1064781.0	1055144.0
XieH_2016__YSZC12003_37192R1__bin.46	1490082.0	1074403.0	1638783.0	1100674.0	1164630.0	1452154.0	1476771.0	1068414.0	1438703.0	1301993.0	1461664.0	1436917.0	1482935.0	1322131.0	1468905.0	1425375.0	1508036.0	1524687.0	1502683.0	1411862.0	1502660.0	1452866.0	1018564.0	1400320.0	1438891.0	1443972.0	1462299.0	1049265.0	1198469.0	1488317.0	1514570.0	1226930.0	1288700.0	1447950.0	1453252.0	965536.0	956019.0	1011152.0	1394070.0	1486204.0	1527899.0	1483309.0
ZeeviD_2015__PNP_Main_449__bin.40	1092384.0	802537.0	1100674.0	1179295.0	873872.0	1073860.0	1105842.0	818165.0	1083032.0	983123.0	1079636.0	1082069.0	1092133.0	1016471.0	1093861.0	1053954.0	1104172.0	1095588.0	1110513.0	1033574.0	1083087.0	1054330.0	793508.0	1041387.0	1090664.0	1071266.0	1077234.0	714575.0	908378.0	1094950.0	1108103.0	906847.0	972784.0	1081896.0	1104106.0	722466.0	727030.0	772001.0	1054625.0	1085284.0	1090524.0	1111835.0
LiJ_2014__O2.UC44-1__bin.35	1156443.0	848387.0	1164630.0	873872.0	1238953.0	1145821.0	1156438.0	881141.0	1141665.0	1046382.0	1141982.0	1126489.0	1157936.0	1055972.0	1150020.0	1112228.0	1171394.0	1152863.0	1173624.0	1096179.0	1148580.0	1116372.0	859644.0	1099750.0	1143542.0	1130385.0	1153342.0	747318.0	970313.0	1156062.0	1168293.0	962922.0	1006755.0	1146615.0	1135561.0	786640.0	769627.0	826009.0	1102111.0	1150411.0	1163220.0	1157809.0
ZeeviD_2015__PNP_Validation_9__bin.68	1453350.0	1050705.0	1452154.0	1073860.0	1145821.0	1533591.0	1443676.0	1062282.0	1394622.0	1285167.0	1419023.0	1381615.0	1450274.0	1284271.0	1418649.0	1375867.0	1458738.0	1447178.0	1449692.0	1430171.0	1445691.0	1415242.0	1011966.0	1382720.0	1428797.0	1401265.0	1446530.0	967573.0	1181054.0	1457854.0	1457320.0	1171186.0	1245215.0	1411128.0	1419443.0	953157.0	920616.0	979516.0	1368790.0	1439392.0	1466485.0	1447951.0
ZeeviD_2015__PNP_DietIntervention_27__bin.7	1472064.0	1054284.0	1476771.0	1105842.0	1156438.0	1443676.0	1562598.0	1065593.0	1426289.0	1309625.0	1438603.0	1424737.0	1478111.0	1328789.0	1444140.0	1392802.0	1474926.0	1477460.0	1477175.0	1397538.0	1467883.0	1430735.0	1028575.0	1400811.0	1458343.0	1421860.0	1470755.0	998967.0	1189608.0	1478246.0	1475822.0	1198490.0	1282355.0	1438379.0	1528252.0	961193.0	933164.0	1008369.0	1461087.0	1462798.0	1483009.0	1560500.0
SchirmerM_2016__G89100__bin.16	1076940.0	794055.0	1068414.0	818165.0	881141.0	1062282.0	1065593.0	1146423.0	1011260.0	993127.0	1049258.0	1012754.0	1084612.0	969258.0	1055336.0	1027502.0	1066836.0	1078919.0	1079575.0	1015716.0	1076263.0	1036199.0	969287.0	1045769.0	1046973.0	1034580.0	1073214.0	603100.0	1012082.0	1075967.0	1082644.0	895805.0	1003670.0	1034789.0	1038066.0	750626.0	874919.0	814269.0	1029430.0	1065091.0	1079338.0	1066758.0
NielsenHB_2014__O2_UC44_2__bin.59	1423758.0	1022880.0	1438703.0	1083032.0	1141665.0	1394622.0	1426289.0	1011260.0	1526855.0	1278074.0	1410627.0	1400814.0	1427494.0	1289196.0	1430034.0	1375419.0	1448659.0	1429187.0	1459855.0	1364058.0	1411125.0	1380900.0	982318.0	1377123.0	1421315.0	1399074.0	1417864.0	1014875.0	1158806.0	1428338.0	1453427.0	1166840.0	1243979.0	1416629.0	1422764.0	940547.0	884848.0	971529.0	1347514.0	1419037.0	1432329.0	1433282.0
BritoIL_2016__M1.16.ST__bin.6	1300119.0	966701.0	1301993.0	983123.0	1046382.0	1285167.0	1309625.0	993127.0	1278074.0	1426212.0	1290500.0	1273631.0	1313921.0	1192372.0	1301114.0	1242901.0	1322436.0	1329310.0	1319460.0	1258090.0	1309687.0	1272092.0	951084.0	1260136.0	1284684.0	1287812.0	1315706.0	856609.0	1073516.0	1308153.0	1314309.0	1064456.0	1164178.0	1303848.0	1302799.0	883908.0	874109.0	928314.0	1248663.0	1302618.0	1330569.0	1311767.0
