	LiJ_2014__MH0354__bin.30	KarlssonFH_2013__S378__bin.10	XieH_2016__YSZC12003_37192R1__bin.46	ZeeviD_2015__PNP_Main_449__bin.40	LiJ_2014__O2.UC44-1__bin.35	ZeeviD_2015__PNP_Validation_9__bin.68	ZeeviD_2015__PNP_DietIntervention_27__bin.7	SchirmerM_2016__G89100__bin.16	NielsenHB_2014__O2_UC44_2__bin.59	BritoIL_2016__M1.16.ST__bin.6	LeChatelierE_2013__MH0276__bin.40	LeChatelierE_2013__MH0431__bin.40	SchirmerM_2016__G88821__bin.18	ChengpingW_2017__AS9raw__bin.41	BackhedF_2015__SID566_M__bin.44	ZellerG_2014__CCIS74726977ST-3-0__bin.44	BritoIL_2016__W1.2.ST__bin.63	CosteaPI_2017__SID713A077-11-0-0__bin.12	ZeeviD_2015__PNP_Main_429__bin.15	ZeeviD_2015__PNP_Main_33__bin.23	SchirmerM_2016__G88815__bin.7	SchirmerM_2016__G89006__bin.4	CosteaPI_2017__SID713B016-11-90-0__bin.98	FengQ_2015__SID530026__bin.5	ZeeviD_2015__PNP_Main_268__bin.20	ZeeviD_2015__PNP_Main_739__bin.6	SchirmerM_2016__G89002__bin.2	YuJ_2015__SZAXPI017592-142__bin.73	ZellerG_2014__CCIS16383318ST-4-0__bin.93	LiJ_2014__MH0303__bin.32	KarlssonFH_2013__S393__bin.2	KarlssonFH_2013__S297__bin.3	LiSS_2016__FAT_014-22-84-0__bin.22	CosteaPI_2017__SID713B005-11-90-0__bin.33	ZeeviD_2015__PNP_DietIntervention_22__bin.1	LiJ_2014__MH0332__bin.43	LoombaR_2017__SID0008_kcu__bin.47	LiSS_2016__FAT_014-22-0-0__bin.39	ZeeviD_2015__PNP_Main_667__bin.5	LiJ_2014__MH0396__bin.28	XieH_2016__YSZC12003_37293__bin.39	ZeeviD_2015__PNP_DietIntervention_55__bin.7
LiJ_2014__MH0354__bin.30	1.0	0.6675004269254338	0.9303414650071825	0.681197827200675	0.720876151443008	0.9074431938040564	0.9188697274708938	0.6725368913801244	0.8883947854825263	0.8112248741825634	0.9093919828426202	0.8790130990768366	0.9233009623401541	0.8200013310028227	0.9134327065063436	0.873413469748566	0.9177082391586053	0.9254977448291796	0.9354130880270017	0.8921624024349818	0.9295598147645884	0.90439758309978	0.651091422314639	0.8858740419291002	0.9020833961164854	0.8826896804588694	0.918403248651418	0.6219870365347718	0.756173467337693	0.9377379481461391	0.9413184713055883	0.7573832986770335	0.8001260685692473	0.8906342605149223	0.90451812675165	0.6085909953892052	0.5789190499151171	0.6296968076022863	0.8654123848556993	0.9231948588132478	0.9243946448482657	0.9245202111522969
KarlssonFH_2013__S378__bin.10	0.9317920088342785	1.0	0.9362520924444133	0.6984496191970272	0.7380285887064969	0.9159113417060325	0.9186825707049018	0.692098228762237	0.8910991139429102	0.8417638758643657	0.9233100498680994	0.895761649766435	0.9283564561222076	0.8471301741439602	0.9246211689643385	0.8728319646628864	0.9313967449890886	0.9290558364957362	0.9405842192443536	0.8795032471231629	0.9204143697250681	0.9016634385325283	0.6685515464369287	0.883921262740905	0.9117851727855146	0.9041428208341733	0.9203460092374299	0.5932945372959045	0.7652562203661667	0.9260032777977406	0.9396087676707479	0.7715716777241217	0.8166501608224292	0.9043075871377114	0.9057010893857197	0.6225046230970807	0.6077510275983559	0.6394203381214889	0.8769765383300759	0.9274581292013216	0.9275510293511888	0.9194275247368559
XieH_2016__YSZC12003_37192R1__bin.46	0.9042277104412239	0.6518697106328293	1.0	0.6666154091176196	0.7055528401258738	0.8809201706388216	0.8957927925783951	0.6482621555141834	0.8725212551021093	0.7895267402700663	0.8870350741983533	0.8712410367937671	0.8997542688690328	0.8009156795011907	0.8913150795437834	0.8642468221845112	0.9144084360162389	0.9243157879963363	0.9112896582402917	0.8563147164694777	0.911521537628838	0.8813363331203705	0.6179085333445611	0.8495902142016363	0.8723265984575139	0.8758212649264728	0.8871089094773377	0.6360652996766504	0.7268643865600265	0.9030554991112307	0.9186969842865101	0.7442040831519487	0.7815647343180886	0.87794540216734	0.8813576904324734	0.5852092680971184	0.5795172393172251	0.6130469989010138	0.8452888515441033	0.9016440858856848	0.9267187907123762	0.8997414544817709
ZeeviD_2015__PNP_Main_449__bin.40	0.9200420590267915	0.6757749333288109	0.9263483691527565	1.0	0.7356768238651059	0.9046286128576819	0.9319093187031234	0.6891201946925918	0.9125613184148157	0.8285535001844322	0.9091915084860022	0.9123535671736079	0.9201616219860171	0.8580889429701644	0.9210104342000941	0.8884579346134767	0.9307900058933516	0.9233457277441184	0.9353240707371777	0.8711637037382505	0.9123323680673623	0.8876625441471386	0.6684739611377983	0.8774047206169788	0.9208009870303868	0.9028775666817886	0.9076694126575623	0.603636918667509	0.7654140821422969	0.9219482826604031	0.9332779330023446	0.7636274214679108	0.8188129348466668	0.9118863388719531	0.930321081663197	0.6076410058551932	0.6125575025756914	0.6498407947120949	0.8884604785062261	0.9139307806782866	0.9186751406560699	0.9369792969528404
LiJ_2014__O2.UC44-1__bin.35	0.9267502479916511	0.6796851857980085	0.9332460553386609	0.7002525519531411	1.0	0.9186135390123759	0.927678451079258	0.7064061348574159	0.9204134458692137	0.8388986507155639	0.9154568413813923	0.903639605376475	0.9285905115044719	0.8462112767796679	0.921870321150197	0.8918740258912162	0.9392745326093888	0.9244579899318214	0.9409315769040472	0.8789437533142904	0.9206491287401539	0.8949209534179263	0.689113307768737	0.8817428909732653	0.9169185594610934	0.9065953268606638	0.924700129867719	0.5991187720599571	0.778207890049098	0.9266840630758391	0.9365900078534053	0.7719049875176863	0.8070701632749588	0.9194763643172905	0.9108884679241263	0.6297414026197927	0.6171299476251318	0.6619831422176629	0.8837098743858726	0.9220963184237014	0.932471207543789	0.9287422525309676
ZeeviD_2015__PNP_Validation_9__bin.68	0.9424683634684867	0.681448965206499	0.9413442045499745	0.6956378851988567	0.7421268121683031	1.0	0.9361479038413762	0.6889242307760023	0.9039385338072538	0.8331732515383828	0.9204220682046256	0.8955249476555354	0.9403380692766193	0.831872383184304	0.9199930098702979	0.8917390621097803	0.9455669732021119	0.9381771280608716	0.9396977420968172	0.9273130841273846	0.9375485380391513	0.917685354178526	0.6563001478229854	0.8968838497356857	0.9259854811354526	0.9085923169867324	0.9378237091897383	0.6270831010354129	0.7657250205563283	0.9452891937941733	0.9449553368531766	0.7594860689714533	0.8073352021497257	0.9147425878216552	0.9203046966238064	0.6173908167171038	0.5968247075002396	0.6347865891231755	0.8873500170514824	0.9333622849899355	0.9508193514437683	0.9389380871431823
ZeeviD_2015__PNP_DietIntervention_27__bin.7	0.9366202951750867	0.67082256600866	0.9394674765998676	0.703313328188056	0.7355378670649777	0.9187698947522012	1.0	0.6779862767007253	0.9079264148552603	0.8334978030177947	0.9154299442338977	0.9072115796897219	0.9407505961226111	0.8453044225066204	0.9186617415355709	0.8866317504566114	0.9387987185443729	0.9404370157903696	0.9399640854525604	0.889667720040599	0.9340335774140246	0.9100958787864825	0.6546072630324626	0.8913783327509699	0.9284089701893897	0.9051112314235652	0.9358689822974303	0.6358359603685657	0.757245945534296	0.9402264689958646	0.939075181204635	0.7624475392903357	0.8157101186613575	0.9155432171294217	0.9779105054530981	0.6107405743511767	0.5937656390191207	0.6409844374560827	0.9349186419027797	0.9305816339199205	0.9436156964235203	0.9986324057755097
SchirmerM_2016__G89100__bin.16	0.9343898369101109	0.6888303880853751	0.9266745346176761	0.7088797067051167	0.7634215294005791	0.9215865348130664	0.9241091638950021	1.0	0.876896224168566	0.8608654920565969	0.910305358493331	0.8779804661979043	0.9407609582152486	0.8397371650778116	0.9154762247442697	0.8903764142903623	0.9248226876118152	0.9351949498570772	0.9358718378818289	0.8810029107929621	0.9338874045618414	0.8987136510694569	0.8407594753419986	0.9072672128873898	0.9074931329884344	0.8972159490868553	0.9306608468252993	0.5228637248205941	0.8779045779786344	0.9334783060004902	0.9389064943742407	0.7769915641957638	0.8706550723424076	0.8970947023917002	0.9002218203926474	0.6503742510399738	0.7586039358945171	0.7058686017290302	0.8924140565916769	0.9237541465933603	0.9358447972519742	0.925177704913457
NielsenHB_2014__O2_UC44_2__bin.59	0.9267553238519702	0.6659132661582142	0.9364825081622027	0.7048337923378448	0.7468613588061734	0.9079264239236863	0.929180570519139	0.6584082967930812	1.0	0.8320560891505743	0.9183144437422022	0.9126354499936142	0.9296147964279515	0.8390678879133906	0.9307727321847851	0.8957759577694018	0.9431301597073724	0.9304675296606424	0.9502493688005738	0.8882349666471275	0.9186628723749145	0.8987035442134321	0.6396553700253135	0.8966516139384552	0.925458540594883	0.9112096433518573	0.9231334999066709	0.6608446774579119	0.7548516394811556	0.9296174161921072	0.9463164478617813	0.7593707326497932	0.8097468325414005	0.9223914517095598	0.9267513942057366	0.6113992487826283	0.5761188848973872	0.632137301839402	0.8776609435735548	0.9236181562754813	0.9324919524119841	0.9337291360345286
BritoIL_2016__M1.16.ST__bin.6	0.9059705008792522	0.6734349451554187	0.9072024355425421	0.6851078240822542	0.7287528081379205	0.8959025726890533	0.9132036471436223	0.6919840809080278	0.8907714982064378	1.0	0.8991194857426525	0.8882816860326515	0.9158883812504732	0.8310216152998292	0.9066057500567938	0.8668346641312793	0.9231664016289304	0.9271237375649622	0.9197082902121143	0.8768927761090217	0.912496879846755	0.886480411046885	0.6628257229640474	0.8783427709204522	0.8957847781395754	0.8983580281192418	0.9175171713602186	0.5973635055657924	0.7481840006955488	0.9115383968161817	0.9156906546852781	0.7417354502696654	0.8106375489758886	0.9096165226488068	0.9084070250425602	0.6149471467075021	0.6093890669830293	0.6464677060633341	0.870369902931682	0.9075102439188565	0.9275058686927329	0.9146781824861941
