	XieH_2016__YSZC12003_37877__bin.27	XieH_2016__YSZC12003_35520__bin.137	CosteaPI_2017__SID713A026-11-0-0__bin.18	QinJ_2012__T2D-016__bin.17	HMP_2012__SRS049959__bin.78	BackhedF_2015__SID7_12M__bin.16	BackhedF_2015__SID39_4M__bin.19	QinJ_2012__DLM022__bin.27	XieH_2016__YSZC12003_36526__bin.42	QinJ_2012__CON-007__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.29	XieH_2016__YSZC12003_36211__bin.8	XieH_2016__YSZC12003_36667__bin.35	QinJ_2012__T2D-049__bin.25	VincentC_2016__MM056.2__bin.9	VatanenT_2016__G80598__bin.6	XieH_2016__YSZC12003_35636__bin.35	RaymondF_2016__P19E0__bin.22	XieH_2016__YSZC12003_36695__bin.43	XieH_2016__YSZC12003_37652__bin.104	LiJ_2014__V1.FI14__bin.22	ChengpingW_2017__AS96raw__bin.56	ZeeviD_2015__PNP_Main_178__bin.27	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	YuJ_2015__SZAXPI015225-18__bin.46	BackhedF_2015__SID39_12M__bin.10	XieH_2016__YSZC12003_36058__bin.76	LeChatelierE_2013__MH0229__bin.61	WenC_2017__N253__bin.60	ZeeviD_2015__PNP_Main_471__bin.17	BackhedF_2015__SID570_B__bin.3	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	ZellerG_2014__CCIS13047523ST-4-0__bin.11	LiuW_2016__SRR3992973__bin.110	HMP_2012__SRS011239__bin.45
XieH_2016__YSZC12003_37877__bin.27	1.0	0.8375421162925275	0.5615725202641121	0.8377501544761139	0.7571012845254728	0.8419061788647914	0.8110658663924202	0.7145680168012487	0.7620474617952502	0.44887106192134785	0.6851754735892013	0.7617573849878143	0.7645586281181009	0.83021845316665	0.7511297878811303	0.8163369296865258	0.846479423585516	0.6053929118955841	0.8300208740904866	0.5800934750041223	0.587224461760441	0.7687568157835776	0.7821029637024848	0.8559055307269783	0.8311334616426126	0.8343520885285	0.854152649692298	0.7102109814417847	0.7856605310383001	0.7984494046398235	0.7795104124499985	0.6998499281508347	0.5417824182077372	0.5852212158418217	0.8204450709740322
XieH_2016__YSZC12003_35520__bin.137	0.8286044204497539	1.0	0.5702848729974364	0.8535181158764199	0.7786185835831823	0.8297652800161421	0.8077196191087186	0.725755819819074	0.7596668236036702	0.4536881704853234	0.6979499996119689	0.7783109072942077	0.7822017269968725	0.8237941288314833	0.7473350350650728	0.8573793482113062	0.8504269635017991	0.6791355056173962	0.9759572726073359	0.5826968546202858	0.597273079440304	0.7777301541518029	0.7958043172334938	0.8621712083545673	0.8455136819749228	0.8349443628142081	0.8553651436878988	0.7289824597029751	0.8012504947395923	0.8017447492931368	0.8058043625037833	0.7249354575015456	0.5478977447635209	0.5960462545949344	0.9601863971834119
CosteaPI_2017__SID713A026-11-0-0__bin.18	0.8560358945563776	0.8786934489096463	1.0	0.8641590532813247	0.8072065132746185	0.8778494455435975	0.8855002812514169	0.7874827923457763	0.808516611769911	0.5280152817421744	0.7807758553256662	0.8249863858370854	0.8731122649034603	0.8727012243031118	0.7783736344110237	0.9008786802457873	0.8751111677987307	0.6600407752275546	0.8685569385895379	0.6944254424665226	0.7044129817084441	0.8349818967754986	0.8594176376774263	0.8837215964717271	0.8719685755724301	0.8906161174749053	0.8809571615977472	0.816065559231947	0.8606515068250178	0.868522062417387	0.8352733619284729	0.7787941414009559	0.5890194364907396	0.7267270057660277	0.8646009842055781
QinJ_2012__T2D-016__bin.17	0.8203391582669768	0.8447945019804156	0.5551194994479864	1.0	0.7700213524179537	0.8230156117652575	0.8005498851725437	0.7111604990349565	0.764333028588364	0.4527354314915119	0.6884483306851513	0.7653452000907034	0.776261769794274	0.8246605304802845	0.7735013020606212	0.8238031051981448	0.8674407391588431	0.606046848578023	0.8374260534705	0.5829411735524467	0.5887018296380139	0.7554963312983752	0.7937906598894117	0.8831243565909808	0.82379398365259	0.8240034591461177	0.8765485223816324	0.7120380877335856	0.7941438397322043	0.8011749510837116	0.7893321444385537	0.7113518914644897	0.546187586024576	0.5947090875077873	0.8267623266086206
HMP_2012__SRS049959__bin.78	0.8137139390439295	0.845866736362062	0.5691363215936639	0.8451652156745787	1.0	0.8379439788131618	0.79129127230279	0.7257849777617591	0.75749304539018	0.4704472554452162	0.7181673132108957	0.7781280111906074	0.7848310993219102	0.8187129326058876	0.7375365909607461	0.827184576521434	0.8396363052588056	0.6190256134090568	0.8373478443080747	0.5780823789736299	0.6027172773269006	0.7795148933509398	0.8093657051582672	0.8471988177075485	0.8443026297716668	0.8132743030197005	0.8442239414221444	0.7314061010871288	0.8099722026379567	0.8124292814805213	0.8002303039372629	0.7329494817283193	0.5775756470799421	0.5895589342365631	0.8343694551499241
BackhedF_2015__SID7_12M__bin.16	0.8774742443197835	0.8741487659330935	0.6002118876824956	0.875991371197753	0.8125833009000968	1.0	0.8346010541582531	0.7501263405856037	0.7795194544062504	0.48331921032662895	0.722872883571636	0.8266748537523623	0.8071880000715377	0.850022185185406	0.7742747232813294	0.8659335193879785	0.861142541306601	0.6360599110718979	0.8678650357219809	0.6035440088502283	0.6315048368814017	0.8037598140702619	0.8428493442808636	0.8798508269836579	0.8658492071670497	0.8553229541298937	0.8696626744688117	0.7523928915429733	0.8452458552878667	0.8481829864751275	0.8334337982996184	0.7472236155975905	0.5837502246196795	0.616821565533164	0.8581408559138209
BackhedF_2015__SID39_4M__bin.19	0.7826574727869835	0.7878356929118027	0.5605549444700706	0.7889056838835073	0.7104511387873699	0.7727230363457877	1.0	0.6789911964265298	0.7194303894782907	0.4423473567595911	0.6652172507461157	0.7137560467894357	0.7580587194013728	0.8167632970230281	0.7245701309299932	0.8122967746513856	0.8034697039586512	0.5707393345870442	0.7813405244296207	0.5539984308901741	0.5804641884193387	0.7278748812325792	0.7717831474450713	0.8104901694086664	0.7918030964292895	0.9663150756760379	0.8103578595449582	0.705662909476556	0.7815310254014437	0.7815553111213616	0.7499282073117364	0.6915325629713736	0.5316338060375246	0.5636685630029135	0.7728502998261363
QinJ_2012__DLM022__bin.27	0.8444396935561153	0.8669119747299091	0.6104920471867499	0.858249907927398	0.7980227420775557	0.8505283625136371	0.8315217191881233	1.0	0.7785070198237575	0.45639080421145006	0.713453067306762	0.8449576562593244	0.8068754237898609	0.8343193357871864	0.7582294173074089	0.848250060496576	0.8737389626338771	0.6261261391751493	0.8605058073816059	0.6081679744162732	0.6165254822393061	0.8694496443496584	0.8162819895561569	0.8862450002211287	0.9726335313449513	0.8436754957870629	0.878410090114309	0.752007491726019	0.8142702007868321	0.8172993749105587	0.8267928471706818	0.7124779764460226	0.5489869696265667	0.632972439633301	0.8543922252291869
XieH_2016__YSZC12003_36526__bin.42	0.7983335909972071	0.8044238747065329	0.5556549687267963	0.8177227546990272	0.7383516668455762	0.7835354667902084	0.7810440882576666	0.6901442113028666	1.0	0.4451722949530581	0.6731889011757177	0.7289026788996229	0.7538822070340354	0.798117872405192	0.7516887256047525	0.783931806901728	0.9090342090309732	0.5930285572038625	0.7949642720362106	0.6185598798002309	0.5862769076842558	0.7425414012771568	0.763762460958787	0.8611736152878054	0.7979261225456232	0.7949926921046824	0.9113136354865986	0.6971168867766728	0.759990980908391	0.7674137549364889	0.7584626318044877	0.6852722240227306	0.5420420983392579	0.6178706075371734	0.7935266617051391
QinJ_2012__CON-007__bin.17	0.670371518387988	0.6848742080034365	0.5173140943659634	0.6904933565034023	0.6537129872792417	0.6925598695707355	0.6846076871259678	0.5767741211156778	0.634628676865402	1.0	0.6575236012535267	0.6249926779978717	0.6752623717429294	0.7020701740683972	0.6252801886147749	0.7004088117854946	0.6904311194853121	0.5633721724868448	0.6771499838915953	0.5122170046177427	0.6118833653874315	0.6464222256933936	0.8098280793900284	0.693639864884654	0.6798220265349357	0.7018678427429196	0.6948260292294325	0.6457986351788033	0.7795249973152659	0.8124029834718005	0.6542179613593541	0.6373785767980397	0.6300924524802062	0.5252853140162647	0.6765942439300603
