	XieH_2016__YSZC12003_37877__bin.27	XieH_2016__YSZC12003_35520__bin.137	CosteaPI_2017__SID713A026-11-0-0__bin.18	QinJ_2012__T2D-016__bin.17	HMP_2012__SRS049959__bin.78	BackhedF_2015__SID7_12M__bin.16	BackhedF_2015__SID39_4M__bin.19	QinJ_2012__DLM022__bin.27	XieH_2016__YSZC12003_36526__bin.42	QinJ_2012__CON-007__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.29	XieH_2016__YSZC12003_36211__bin.8	XieH_2016__YSZC12003_36667__bin.35	QinJ_2012__T2D-049__bin.25	VincentC_2016__MM056.2__bin.9	VatanenT_2016__G80598__bin.6	XieH_2016__YSZC12003_35636__bin.35	RaymondF_2016__P19E0__bin.22	XieH_2016__YSZC12003_36695__bin.43	XieH_2016__YSZC12003_37652__bin.104	LiJ_2014__V1.FI14__bin.22	ChengpingW_2017__AS96raw__bin.56	ZeeviD_2015__PNP_Main_178__bin.27	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	YuJ_2015__SZAXPI015225-18__bin.46	BackhedF_2015__SID39_12M__bin.10	XieH_2016__YSZC12003_36058__bin.76	LeChatelierE_2013__MH0229__bin.61	WenC_2017__N253__bin.60	ZeeviD_2015__PNP_Main_471__bin.17	BackhedF_2015__SID570_B__bin.3	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	ZellerG_2014__CCIS13047523ST-4-0__bin.11	LiuW_2016__SRR3992973__bin.110	HMP_2012__SRS011239__bin.45
XieH_2016__YSZC12003_37877__bin.27	6119069.0	5124978.0	3436301.0	5126251.0	4632755.0	5151682.0	4962968.0	4372491.0	4663021.0	2746673.0	4192636.0	4661246.0	4678387.0	5080164.0	4596215.0	4995222.0	5179666.0	3704441.0	5078955.0	3549632.0	3593267.0	4704076.0	4785742.0	5237345.0	5085763.0	5105458.0	5226619.0	4345830.0	4807511.0	4885767.0	4769878.0	4282430.0	3315204.0	3581009.0	5020360.0
XieH_2016__YSZC12003_35520__bin.137	5124978.0	6185072.0	3527253.0	5279071.0	4815812.0	5132158.0	4995804.0	4488852.0	4698594.0	2806094.0	4316871.0	4813909.0	4837974.0	5095226.0	4622321.0	5302953.0	5259952.0	4200502.0	6036366.0	3604022.0	3694177.0	4810317.0	4922107.0	5332591.0	5229563.0	5164191.0	5290495.0	4508809.0	4955792.0	4958849.0	4983958.0	4483778.0	3388787.0	3686589.0	5938822.0
CosteaPI_2017__SID713A026-11-0-0__bin.18	3436301.0	3527253.0	4014202.0	3468909.0	3240290.0	3523865.0	3554577.0	3161115.0	3245549.0	2119560.0	3134192.0	3311662.0	3504849.0	3503199.0	3124549.0	3616309.0	3512873.0	2649537.0	3486563.0	2787564.0	2827656.0	3351786.0	3449876.0	3547437.0	3500258.0	3575113.0	3536340.0	3275852.0	3454829.0	3486423.0	3352956.0	3126237.0	2364443.0	2917229.0	3470683.0
QinJ_2012__T2D-016__bin.17	5126251.0	5279071.0	3468909.0	6248941.0	4811818.0	5142976.0	5002589.0	4444000.0	4776272.0	2829117.0	4302073.0	4782597.0	4850814.0	5153255.0	4833564.0	5147897.0	5420586.0	3787151.0	5233026.0	3642765.0	3678763.0	4721052.0	4960351.0	5518592.0	5147840.0	5149149.0	5477500.0	4449484.0	4962558.0	5006495.0	4932490.0	4445196.0	3413094.0	3716302.0	5166389.0
HMP_2012__SRS049959__bin.78	4632755.0	4815812.0	3240290.0	4811818.0	5693346.0	4770705.0	4505095.0	4132145.0	4312670.0	2678419.0	4088775.0	4430152.0	4468315.0	4661216.0	4199051.0	4709448.0	4780340.0	3524327.0	4767311.0	3291223.0	3431478.0	4438048.0	4607999.0	4823396.0	4806907.0	4630252.0	4806459.0	4164148.0	4611452.0	4625441.0	4555988.0	4172935.0	3288338.0	3356563.0	4750354.0
BackhedF_2015__SID7_12M__bin.16	5151682.0	5132158.0	3523865.0	5142976.0	4770705.0	5871035.0	4899972.0	4404018.0	4576586.0	2837584.0	4244012.0	4853437.0	4739029.0	4990510.0	4545794.0	5083926.0	5055798.0	3734330.0	5095266.0	3543428.0	3707587.0	4718902.0	4948398.0	5165635.0	5083431.0	5021631.0	5105820.0	4417325.0	4962468.0	4979712.0	4893119.0	4386976.0	3427218.0	3621381.0	5038175.0
BackhedF_2015__SID39_4M__bin.19	4962968.0	4995804.0	3554577.0	5002589.0	4505095.0	4899972.0	6341175.0	4305602.0	4562034.0	2805002.0	4218259.0	4526052.0	4806983.0	5179239.0	4594626.0	5150916.0	5094942.0	3619158.0	4954617.0	3513001.0	3680825.0	4615582.0	4894012.0	5139460.0	5020962.0	6127573.0	5138621.0	4474732.0	4955825.0	4955979.0	4755426.0	4385129.0	3371183.0	3574321.0	4900779.0
QinJ_2012__DLM022__bin.27	4372491.0	4488852.0	3161115.0	4444000.0	4132145.0	4404018.0	4305602.0	5177979.0	4031093.0	2363182.0	3694245.0	4375173.0	4177984.0	4320088.0	3926096.0	4392221.0	4524202.0	3242068.0	4455681.0	3149081.0	3192356.0	4501992.0	4226691.0	4588958.0	5036276.0	4368534.0	4548389.0	3893879.0	4216274.0	4231959.0	4281116.0	3689196.0	2842643.0	3277518.0	4424025.0
XieH_2016__YSZC12003_36526__bin.42	4663021.0	4698594.0	3245549.0	4776272.0	4312670.0	4576586.0	4562034.0	4031093.0	5840943.0	2600226.0	3932058.0	4257479.0	4403383.0	4661761.0	4390571.0	4578901.0	5309617.0	3463846.0	4643341.0	3612973.0	3424410.0	4337142.0	4461093.0	5030066.0	4660641.0	4643507.0	5322931.0	4071820.0	4439064.0	4482420.0	4430137.0	4002636.0	3166037.0	3608947.0	4634944.0
QinJ_2012__CON-007__bin.17	2746673.0	2806094.0	2119560.0	2829117.0	2678419.0	2837584.0	2805002.0	2363182.0	2600226.0	4097240.0	2694032.0	2560745.0	2766712.0	2876550.0	2561923.0	2869743.0	2828862.0	2308271.0	2774446.0	2098676.0	2507033.0	2648547.0	3318060.0	2842009.0	2785394.0	2875721.0	2846869.0	2645992.0	3193901.0	3328610.0	2680488.0	2611493.0	2581640.0	2152220.0	2772169.0
