	XieH_2016__YSZC12003_37877__bin.27	XieH_2016__YSZC12003_35520__bin.137	CosteaPI_2017__SID713A026-11-0-0__bin.18	QinJ_2012__T2D-016__bin.17	HMP_2012__SRS049959__bin.78	BackhedF_2015__SID7_12M__bin.16	BackhedF_2015__SID39_4M__bin.19	QinJ_2012__DLM022__bin.27	XieH_2016__YSZC12003_36526__bin.42	QinJ_2012__CON-007__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.29	XieH_2016__YSZC12003_36211__bin.8	XieH_2016__YSZC12003_36667__bin.35	QinJ_2012__T2D-049__bin.25	VincentC_2016__MM056.2__bin.9	VatanenT_2016__G80598__bin.6	XieH_2016__YSZC12003_35636__bin.35	RaymondF_2016__P19E0__bin.22	XieH_2016__YSZC12003_36695__bin.43	XieH_2016__YSZC12003_37652__bin.104	LiJ_2014__V1.FI14__bin.22	ChengpingW_2017__AS96raw__bin.56	ZeeviD_2015__PNP_Main_178__bin.27	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	YuJ_2015__SZAXPI015225-18__bin.46	BackhedF_2015__SID39_12M__bin.10	XieH_2016__YSZC12003_36058__bin.76	LeChatelierE_2013__MH0229__bin.61	WenC_2017__N253__bin.60	ZeeviD_2015__PNP_Main_471__bin.17	BackhedF_2015__SID570_B__bin.3	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	ZellerG_2014__CCIS13047523ST-4-0__bin.11	LiuW_2016__SRR3992973__bin.110	HMP_2012__SRS011239__bin.45
XieH_2016__YSZC12003_37877__bin.27	1.0	0.8261580315567614	0.5535077313231801	0.8251876224961673	0.7467908925361031	0.8306956499428263	0.7975747617815717	0.7043499591195982	0.7508985435529489	0.44162290047718045	0.6757810706171151	0.7517478557604106	0.7533479357725824	0.8157598811191702	0.7408015827244308	0.8047408846018895	0.8342912949666035	0.5971991817709524	0.8187685087388293	0.5716464383715889	0.5776058416729734	0.7581037246025499	0.7700784220606108	0.8439728331221629	0.8193390203640455	0.82055047916603	0.8419239920321213	0.7002749928134493	0.7731730104694031	0.7859107324986857	0.7683951594597151	0.6895437851738557	0.5330742307367347	0.5764466784081043	0.8094695451219786
XieH_2016__YSZC12003_35520__bin.137	0.8173418191413132	1.0	0.5627514117863138	0.8410957867588283	0.769314245654699	0.8189557049618824	0.7944080521617211	0.7169863180250771	0.7480257303391132	0.4468685247318059	0.689404909110193	0.7692691370448071	0.7725294062866205	0.809063499988359	0.7367705662925186	0.846924983249993	0.8375669676925345	0.6785049551565446	0.9755857328742495	0.5739729464749966	0.588322011449503	0.7686469939234337	0.7845014577033218	0.8495385340704199	0.8352423383268618	0.8214195404677584	0.8425033694029754	0.7204330038518549	0.789878921377148	0.7901395489009667	0.7954942157504391	0.7160154319949711	0.5397542664014259	0.5874052880871881	0.9597653834910895
CosteaPI_2017__SID713A026-11-0-0__bin.18	0.8437422929887436	0.8670859114713211	1.0	0.8506086639386857	0.7968126666271403	0.8652158012974932	0.8719307100140951	0.776527688442186	0.7960864948998582	0.519799202929997	0.770930810158532	0.8142046663321876	0.8615206708581183	0.8567361582700621	0.7670089846001771	0.8890003542422629	0.8620811807676845	0.6510748587141354	0.8571952781648756	0.6836942934112433	0.6929596467741284	0.8235604486271493	0.8469302242388399	0.8710877031101075	0.8596704899255195	0.8769287145988168	0.8679010174375877	0.8055157662718518	0.8479246933761679	0.855604177368254	0.8243486501177568	0.7689209461805858	0.5799892481743569	0.7157502288126009	0.8530318105566187
QinJ_2012__T2D-016__bin.17	0.8080377139102449	0.8324991386540536	0.5464149845549829	1.0	0.7593131380181057	0.8105128532978628	0.7855857496494206	0.7004231597001797	0.753717309860983	0.44473919660947353	0.6782022745934071	0.7542412386354744	0.7642951021621104	0.8100001264214208	0.7631200230567068	0.81116192327628	0.8553826960440177	0.5974245876221267	0.8251852593903511	0.574414448784202	0.5780664275754884	0.7441552096587246	0.7806581947245141	0.8711780124024215	0.8113483548652484	0.8086363753474389	0.8643350929381475	0.7010531864519124	0.7805023283145096	0.7878290097474115	0.7777141758899628	0.7002463297381109	0.5368762483115139	0.5864849740139969	0.814936482837652
HMP_2012__SRS049959__bin.78	0.8026325819649816	0.8357587963211792	0.5618079421134777	0.8334120216828557	1.0	0.8278753829470402	0.7785337479928324	0.717854667536454	0.746441723373215	0.4639147172857578	0.7097550368447658	0.7698151491232045	0.7757151945446491	0.8054316389694215	0.7271432300092072	0.8177103587240262	0.8273877962098211	0.611650161434067	0.8276479244367021	0.5694633700463664	0.5940886079995842	0.7710179567516184	0.7992384443172785	0.8350084467025191	0.8351268305140773	0.8002304795809002	0.8318247301323335	0.7233830510213151	0.7990173089778839	0.8018931222518357	0.7910167412976482	0.7241838103638879	0.5700842703043166	0.5813883435153949	0.8247678957154545
BackhedF_2015__SID7_12M__bin.16	0.8657901034485402	0.8627609952929934	0.5915738877387037	0.8626838368362648	0.8028194347333988	1.0	0.8196742141717771	0.7401304880655625	0.7669192910619678	0.47593737731081487	0.7132755979141667	0.8170356674760072	0.7960867206548761	0.8341134058986193	0.7624425676222335	0.854213269040297	0.8473567267100265	0.6278107693106922	0.856723218308186	0.5937162697888873	0.6212982889728983	0.7934181962805535	0.8307586311442531	0.8662247797875503	0.8546195006502261	0.8401321061788936	0.8558569315291086	0.7425755424724942	0.8326477358762127	0.8356180809686878	0.8224772974441474	0.7373650472191019	0.5749357651589541	0.606879536572342	0.8472334094414358
BackhedF_2015__SID39_4M__bin.19	0.7696389076157021	0.7748518216261182	0.5519648960957552	0.7741592055100198	0.6989969524575493	0.7589028847177376	1.0	0.6671995332095393	0.7083609898796359	0.4342509077576317	0.6548683800715167	0.7017466005905846	0.7459636423848893	0.8014191376203937	0.7128667794217948	0.7987596935899104	0.7911147381991509	0.5618037666520794	0.7688010502785366	0.5451899687360781	0.5695824512018671	0.7159586354263997	0.7584818271061751	0.7973905467046722	0.7783114328180503	0.9661453910355731	0.7978399902226323	0.6944178326571968	0.7672726269185127	0.7679717087132906	0.7377429261927009	0.6805661411331496	0.5223353715991121	0.5550871880999972	0.7604131726375631
QinJ_2012__DLM022__bin.27	0.8323645190527038	0.8564368453406243	0.6019991583588887	0.8452917634467039	0.7893031238635769	0.839194596965341	0.8170811430482818	1.0	0.7670770777556263	0.44958988825563023	0.7049684828771997	0.8349639888458413	0.7960086358017289	0.8195597162522289	0.747703109649537	0.8371005367151934	0.8606805859969691	0.6184791402205378	0.8500225667195638	0.5989489335511017	0.607607330968318	0.8688086606762986	0.8053358269703296	0.873744949525674	0.9717544238785054	0.8288633461047255	0.8652976383256865	0.7427191187913277	0.8026967664411154	0.8060909478389156	0.8163837667167054	0.7032498586803847	0.5410819549480599	0.6233389513553453	0.8440517043425629
XieH_2016__YSZC12003_36526__bin.42	0.7866537988814478	0.7920969268147284	0.5471123412777698	0.8063655132398999	0.7275796048685975	0.7708703885656819	0.7690266794248805	0.6800116008665039	1.0	0.4371318124487775	0.6631085083350411	0.7180188199063062	0.742546879844573	0.7840571291313748	0.7437066240845014	0.771885293179543	0.9084135900658507	0.5839197540534123	0.7829482328452786	0.6163990985702137	0.5756140746451387	0.7315782742615362	0.7510417410339393	0.852833866038412	0.7861561052727274	0.7828271907464256	0.9106916468796219	0.6864569642264956	0.7470709780937771	0.754304741546014	0.7474260577444429	0.67456230954488	0.5326972031742134	0.6157307133454307	0.7814700468742805
QinJ_2012__CON-007__bin.17	0.6595466704415656	0.6745794730111001	0.5092645292928899	0.6782978297585692	0.6446356571740978	0.6819822612295107	0.6720770567503979	0.5681793109507863	0.6231663266003455	1.0	0.6486293212015893	0.615966357840888	0.665850914273999	0.6898351085120715	0.6146293602522673	0.6901914459489803	0.677675459577667	0.5548007927287637	0.6669086995147954	0.5024933857914108	0.6045948004022219	0.6371476896642617	0.8059337505247435	0.6813398775761244	0.6696764163192783	0.6889567123234177	0.6820879421268952	0.6369883140846033	0.7711823080903243	0.8080183245306596	0.6442912790073317	0.6284162021263094	0.6280317970145757	0.5163580849547501	0.666423006706954
