	XieH_2016__YSZC12003_37877__bin.27	XieH_2016__YSZC12003_35520__bin.137	CosteaPI_2017__SID713A026-11-0-0__bin.18	QinJ_2012__T2D-016__bin.17	HMP_2012__SRS049959__bin.78	BackhedF_2015__SID7_12M__bin.16	BackhedF_2015__SID39_4M__bin.19	QinJ_2012__DLM022__bin.27	XieH_2016__YSZC12003_36526__bin.42	QinJ_2012__CON-007__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.29	XieH_2016__YSZC12003_36211__bin.8	XieH_2016__YSZC12003_36667__bin.35	QinJ_2012__T2D-049__bin.25	VincentC_2016__MM056.2__bin.9	VatanenT_2016__G80598__bin.6	XieH_2016__YSZC12003_35636__bin.35	RaymondF_2016__P19E0__bin.22	XieH_2016__YSZC12003_36695__bin.43	XieH_2016__YSZC12003_37652__bin.104	LiJ_2014__V1.FI14__bin.22	ChengpingW_2017__AS96raw__bin.56	ZeeviD_2015__PNP_Main_178__bin.27	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.28	YuJ_2015__SZAXPI015225-18__bin.46	BackhedF_2015__SID39_12M__bin.10	XieH_2016__YSZC12003_36058__bin.76	LeChatelierE_2013__MH0229__bin.61	WenC_2017__N253__bin.60	ZeeviD_2015__PNP_Main_471__bin.17	BackhedF_2015__SID570_B__bin.3	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.26	ZellerG_2014__CCIS13047523ST-4-0__bin.11	LiuW_2016__SRR3992973__bin.110	HMP_2012__SRS011239__bin.45
XieH_2016__YSZC12003_37877__bin.27	0.0	69660.0	49349.0	76871.0	63090.0	68598.0	82553.0	62525.0	68221.0	44352.0	57485.0	61249.0	68599.0	88473.0	63199.0	70957.0	74580.0	50138.0	68854.0	51688.0	58857.0	65187.0	73579.0	73017.0	72171.0	84453.0	74828.0	60799.0	76412.0	76725.0	68015.0	63064.0	53286.0	53692.0	67160.0
XieH_2016__YSZC12003_35520__bin.137	69660.0	0.0	46595.0	76833.0	57548.0	66858.0	82333.0	54240.0	72001.0	42180.0	52852.0	55924.0	59824.0	91110.0	65342.0	64661.0	79540.0	3900.0	2298.0	53958.0	55363.0	56180.0	69909.0	78134.0	63529.0	83652.0	79551.0	52879.0	70334.0	71779.0	63769.0	55171.0	50368.0	53445.0	2604.0
CosteaPI_2017__SID713A026-11-0-0__bin.18	49349.0	46595.0	0.0	54394.0	41723.0	50714.0	54471.0	43976.0	49897.0	32981.0	39520.0	43280.0	46531.0	64087.0	45620.0	47682.0	52305.0	35991.0	45608.0	43077.0	45976.0	45848.0	50127.0	50715.0	49367.0	54944.0	52410.0	42349.0	51088.0	51855.0	43854.0	39633.0	36249.0	44063.0	46441.0
QinJ_2012__T2D-016__bin.17	76871.0	76833.0	54394.0	0.0	66915.0	78129.0	93510.0	67097.0	66337.0	49968.0	64027.0	69388.0	74779.0	91612.0	64872.0	78994.0	75350.0	53880.0	76492.0	53283.0	66460.0	70870.0	82064.0	74652.0	77772.0	96028.0	76321.0	68644.0	85245.0	83398.0	72600.0	69398.0	58186.0	51392.0	73899.0
HMP_2012__SRS049959__bin.78	63090.0	57548.0	41723.0	66915.0	0.0	57324.0	72633.0	45150.0	62919.0	37192.0	47894.0	47328.0	51900.0	75615.0	59173.0	53940.0	69735.0	41991.0	55225.0	49071.0	49126.0	48376.0	57658.0	69404.0	52241.0	74263.0	70593.0	45678.0	62370.0	59986.0	52456.0	49906.0	42651.0	46518.0	54665.0
BackhedF_2015__SID7_12M__bin.16	68598.0	66858.0	50714.0	78129.0	57324.0	0.0	87636.0	58686.0	73976.0	43339.0	56346.0	56592.0	65176.0	93401.0	69467.0	68810.0	80937.0	48431.0	65414.0	57699.0	59923.0	60716.0	70985.0	79999.0	65930.0	89186.0	81054.0	57638.0	73964.0	73769.0	64326.0	57880.0	51750.0	58370.0	64038.0
BackhedF_2015__SID39_4M__bin.19	82553.0	82333.0	54471.0	93510.0	72633.0	87636.0	0.0	74773.0	70193.0	51341.0	65624.0	76154.0	76697.0	97300.0	74213.0	85841.0	78345.0	56662.0	79515.0	55856.0	69003.0	75563.0	84346.0	83067.0	85553.0	1076.0	79378.0	71307.0	90415.0	86136.0	77269.0	69540.0	58963.0	54416.0	78866.0
QinJ_2012__DLM022__bin.27	62525.0	54240.0	43976.0	67097.0	45150.0	58686.0	74773.0	0.0	59184.0	35215.0	43933.0	51747.0	56268.0	76425.0	54505.0	57732.0	67616.0	39596.0	54282.0	47736.0	46178.0	3319.0	56679.0	64725.0	4552.0	76697.0	67896.0	48095.0	59927.0	58037.0	53898.0	47783.0	40932.0	49882.0	53543.0
XieH_2016__YSZC12003_36526__bin.42	68221.0	72001.0	49897.0	66337.0	62919.0	73976.0	70193.0	59184.0	0.0	46964.0	58879.0	63572.0	66209.0	82128.0	46623.0	70363.0	3625.0	53204.0	70185.0	12621.0	62281.0	64035.0	74301.0	48712.0	68748.0	71058.0	3633.0	62264.0	75465.0	76569.0	64464.0	62556.0	54583.0	12499.0	70422.0
QinJ_2012__CON-007__bin.17	44352.0	42180.0	32981.0	49968.0	37192.0	43339.0	51341.0	35215.0	46964.0	0.0	36442.0	36983.0	38561.0	50130.0	43639.0	41863.0	52263.0	35119.0	41961.0	39840.0	29863.0	38000.0	15956.0	50396.0	41569.0	52900.0	52191.0	36098.0	34182.0	17965.0	40672.0	36721.0	8443.0	36577.0	41674.0
