	LoombaR_2017__SID1048_bav__bin.12	ZeeviD_2015__PNP_Main_398__bin.8	Obregon-TitoAJ_2015__NO05__bin.36	LiJ_2014__V1.UC38-4__bin.41	IjazUZ_2017__S45_a_WGS__bin.8	LiJ_2014__V1.CD48-0__bin.29	YuJ_2015__SZAXPI017582-94__bin.3	LiJ_2014__O2.CD1-0-PT__bin.50	XieH_2016__YSZC12003_37179__bin.24	HMP_2012__SRS043411__bin.21	ZeeviD_2015__PNP_Main_155__bin.42	SchirmerM_2016__G88887__bin.20	YuJ_2015__SZAXPI015237-23__bin.30	Obregon-TitoAJ_2015__NO10__bin.25	KarlssonFH_2013__S347__bin.4	QinJ_2012__T2D-068__bin.33	LoombaR_2017__SID1019_aas__bin.1	SchirmerM_2016__G89000__bin.6	NielsenHB_2014__V1_CD21_0__bin.1	NielsenHB_2014__V1_UC32_0__bin.37	LiJ_2014__V1.CD3-0-PN__bin.6	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.15	XieH_2016__YSZC12003_36697__bin.51	HeQ_2017__SZAXPI029564-74__bin.33	LiJ_2014__O2.CD3-0-PT__bin.58	VincentC_2016__MM104__bin.7	IjazUZ_2017__S151_a_WGS__bin.15	BackhedF_2015__SID585_M__bin.15	Obregon-TitoAJ_2015__NO12__bin.20	ZellerG_2014__CCIS95097901ST-4-0__bin.47	KarlssonFH_2013__S640__bin.13	NielsenHB_2014__V1_CD6_4__bin.37	LiJ_2014__MH0358__bin.15	HeQ_2017__RSZAXPI003082-116__bin.8
LoombaR_2017__SID1048_bav__bin.12	1.0	0.9844007023557225	0.9870820985023441	0.9906692723633153	0.9885349930295805	0.9903985351187012	0.9920008916924566	0.9883192370875467	0.9912074458075327	0.9811606641759677	0.9907606707110495	0.9942125920611198	0.9915816475645344	0.9891769926681816	0.9837697163089284	0.9916813585006469	0.9911598654748468	0.9903088206016473	0.9911467936587611	0.9894414108091371	0.9696439650510857	0.9910069906035207	0.9917040365826821	0.9909590648431063	0.9920575382289124	0.9916780643947727	0.9894113143811089	0.9852780629552558	0.9918780075538498	0.9908577608206065	0.9908239017612527	0.9900898437985411	0.9907716674733177	0.9894096634895481
ZeeviD_2015__PNP_Main_398__bin.8	0.9844007023557225	1.0	0.9841314701255787	0.9854527321074228	0.9824621243606978	0.9838409204524152	0.9851964084400061	0.9867233132001767	0.984426480615865	0.9748351197701852	0.9852780583622327	0.9843695871232334	0.9849616298218326	0.9825492660919972	0.980976656655029	0.985739091696071	0.9848332539056172	0.9870505520101953	0.9856844480790546	0.987574845243437	0.9743983639624567	0.9863194121549455	0.985720568887498	0.9842888704722268	0.9865528279662045	0.9857320787285334	0.9877965017994759	0.9805000429544038	0.9858384722138992	0.9850339312991118	0.9867215309316313	0.9845585641041039	0.9867946261217395	0.9849363953379712
Obregon-TitoAJ_2015__NO05__bin.36	0.9870820985023441	0.9841314701255787	1.0	0.9864694278327555	0.9855927689674081	0.9857231101692053	0.9875825070670872	0.9873993501551652	0.9859211475318885	0.9771962184924167	0.9869282191826036	0.9881254391781266	0.9874561284287782	0.9855418010937752	0.9809489828148945	0.987232332402889	0.9871681324792486	0.9877173000780523	0.9868954832228767	0.986727077343092	0.9748812056069764	0.9877567450510815	0.987545076769318	0.9869112824457743	0.9882626503107094	0.9886251367779233	0.9864930441613715	0.9801944439731337	0.9878421602760074	0.9858933110349373	0.9871714844267461	0.9875387932055625	0.9867152966021051	0.9866596116380887
LiJ_2014__V1.UC38-4__bin.41	0.9906692723633153	0.9854527321074228	0.9864694278327555	1.0	0.9878241088712788	0.9894833162137068	0.9903432487032588	0.988712644039553	0.9890397393275024	0.9786922668354259	0.9909746690950011	0.9920918583047486	0.9905148264393123	0.9880483519559928	0.982024375449257	0.9903785766803505	0.9900547078308707	0.9892354184360742	0.9902182513223985	0.9908288572884124	0.97096855937549	0.9898179549018665	0.9901410316416013	0.9895967176799813	0.9925681660668819	0.992556122915388	0.9886452031114953	0.9827454567539495	0.9930178284987334	0.9894356904523876	0.9904516248637443	0.9933823992590739	0.9893321919920739	0.9898018536415907
IjazUZ_2017__S45_a_WGS__bin.8	0.9885349930295805	0.9824621243606978	0.9855927689674081	0.9878241088712788	1.0	0.9939607019149755	0.9876250516900965	0.985323290883703	0.9940229118933556	0.9775714080281598	0.9870012951140961	0.9900706847214464	0.9874722810828522	0.987040885461681	0.9802049860898445	0.9874882969270862	0.9872404271616703	0.9880069793596002	0.9874993877789373	0.9874500241641404	0.9719455724398258	0.9868436224364155	0.9880225668550775	0.9870957245290474	0.98944045490418	0.9887865310096016	0.9860519529871611	0.9849798980153529	0.9879224188858621	0.988290908784258	0.9879236051263518	0.9885886954347047	0.9863563603393026	0.9863626098992228
LiJ_2014__V1.CD48-0__bin.29	0.9903985351187012	0.9838409204524152	0.9857231101692053	0.9894833162137068	0.9939607019149755	1.0	0.9897046623725225	0.986541997543649	0.9960370339097258	0.9789268648740861	0.9880730720712753	0.9919131691648048	0.9894249953288571	0.9893050995940375	0.9810032591527114	0.9893694437650296	0.989493961825287	0.9891143447818985	0.9894604915633464	0.9888020397804126	0.9712416478182068	0.9887459835246386	0.9895977335462887	0.9886087366512814	0.9905190641053184	0.9904079891215806	0.9876881845327471	0.9837663932413183	0.9903224453809839	0.9903230234984269	0.9889283478478418	0.989908277599796	0.9884080448772824	0.9877591825854775
YuJ_2015__SZAXPI017582-94__bin.3	0.9920008916924566	0.9851964084400061	0.9875825070670872	0.9903432487032588	0.9876250516900965	0.9897046623725225	1.0	0.989554376277956	0.9900054946213487	0.9816254849034167	0.9932127528222013	0.9944330883312312	0.9997830961745182	0.9871113088166288	0.9816807535561727	0.9940335048543864	0.9934565828998171	0.9915202817253297	0.9935931279111757	0.9912371661334722	0.9697332566280075	0.9926983861804295	0.9934452231879348	0.9934514325104166	0.992825472862406	0.9926509224661373	0.9900923147193269	0.9822293731749794	0.9917122353840185	0.9907038726051524	0.9926310873756181	0.9897632700865054	0.9914969252536813	0.9935757170477838
LiJ_2014__O2.CD1-0-PT__bin.50	0.9883192370875467	0.9867233132001767	0.9873993501551652	0.988712644039553	0.985323290883703	0.986541997543649	0.989554376277956	1.0	0.9871096829253992	0.9766973516147833	0.9903336362094548	0.9909964300454187	0.9896681196253083	0.9865139618200879	0.9818720014303736	0.9893776890297877	0.9890555909145455	0.9910578691344842	0.988918172729135	0.9904949411435812	0.9728252476234897	0.9904359733638972	0.9890032826696435	0.9887655502090699	0.989269777357284	0.9885073986592999	0.9889518940488561	0.9813498122974463	0.9891036393456124	0.9870275202962516	0.9907975295730804	0.988255790247549	0.9911750921197233	0.988342049650358
XieH_2016__YSZC12003_37179__bin.24	0.9912074458075327	0.984426480615865	0.9859211475318885	0.9890397393275024	0.9940229118933556	0.9960370339097258	0.9900054946213487	0.9871096829253992	1.0	0.9798561106324476	0.9887898750752244	0.9922993269478712	0.9900747422408261	0.9897192395907523	0.9810747051726879	0.9894885570729082	0.9897716408892219	0.9892367040231123	0.9891930061827204	0.9893709510924149	0.9720317895975027	0.9893476654693466	0.9898788294133943	0.9892840908383305	0.9906808437844774	0.9896166538074445	0.9881235083886442	0.9848394712185622	0.9906749284978998	0.9909175113994234	0.989537649628365	0.9896259592588847	0.9886957813041405	0.98800938681643
HMP_2012__SRS043411__bin.21	0.9811606641759677	0.9748351197701852	0.9771962184924167	0.9786922668354259	0.9775714080281598	0.9789268648740861	0.9816254849034167	0.9766973516147833	0.9798561106324476	1.0	0.98135190041514	0.9818424047853224	0.9813340213816346	0.9768232000806063	0.9734247705118565	0.9813308195175933	0.9816050514297475	0.980038836876055	0.9807159102966889	0.9778931414059819	0.9639041883818106	0.9802750505407635	0.9812336285320509	0.9822172183554095	0.9810121978134436	0.9806604356475832	0.9788764061047204	0.974705935974811	0.9807668860355683	0.9789085595397081	0.9801487376077227	0.9789685987697301	0.979741735975558	0.9812110043422861
ZeeviD_2015__PNP_Main_155__bin.42	0.9907606707110495	0.9852780583622327	0.9869282191826036	0.9909746690950011	0.9870012951140961	0.9880730720712753	0.9932127528222013	0.9903336362094548	0.9887898750752244	0.98135190041514	1.0	0.9931989107933035	0.9927963589018525	0.9866010159656023	0.9819579513790795	0.9940505270996836	0.9931130686569288	0.9910100327238089	0.9935583923198861	0.9913654420197938	0.9698834538753698	0.9926581998608375	0.9932547553001215	0.9936096888598295	0.9925923590781036	0.9924135784596361	0.9896060092756463	0.9832391819401948	0.9919249015847381	0.9895806882039974	0.9926180983739328	0.9889718560439479	0.9918407522729286	0.9934445782298489
SchirmerM_2016__G88887__bin.20	0.9942125920611198	0.9843695871232334	0.9881254391781266	0.9920918583047486	0.9900706847214464	0.9919131691648048	0.9944330883312312	0.9909964300454187	0.9922993269478712	0.9818424047853224	0.9931989107933035	1.0	0.9940639717425431	0.9901299554619747	0.9836550299546173	0.9941366224198468	0.9937277685473578	0.9920875322305585	0.9942123505612244	0.9914732490151517	0.9707642817193242	0.9930485155684287	0.994253373652966	0.9935823557712389	0.9938827286598967	0.9934541403415449	0.9909501391603008	0.9843136138183394	0.9934409053269959	0.995667602708109	0.9930043871559522	0.9916762391591523	0.9923806629127208	0.9918608108166335
YuJ_2015__SZAXPI015237-23__bin.30	0.9915816475645344	0.9849616298218326	0.9874561284287782	0.9905148264393123	0.9874722810828522	0.9894249953288571	0.9997830961745182	0.9896681196253083	0.9900747422408261	0.9813340213816346	0.9927963589018525	0.9940639717425431	1.0	0.9872344194127918	0.981664685389639	0.9937673722085592	0.9932799397028833	0.9914077815338959	0.9931844006963375	0.9912409221224372	0.9696422613443013	0.9926317743132888	0.9933674954162245	0.9927510877484739	0.9927781852378736	0.9928848109472548	0.9897148670775068	0.9831283822420205	0.9915977747821904	0.991466438177766	0.992420632098063	0.9894889103738205	0.9914392771983325	0.9932056959401703
Obregon-TitoAJ_2015__NO10__bin.25	0.9891769926681816	0.9825492660919972	0.9855418010937752	0.9880483519559928	0.987040885461681	0.9893050995940375	0.9871113088166288	0.9865139618200879	0.9897192395907523	0.9768232000806063	0.9866010159656023	0.9901299554619747	0.9872344194127918	1.0	0.9793966413439291	0.9876113685774662	0.9877355359586025	0.9873638488193102	0.987373984870207	0.9895244783478606	0.9727058474694931	0.9867784970079594	0.987717878525052	0.9869095900743285	0.9885920448813376	0.9883141831343881	0.9853938652831327	0.9829040596270798	0.9894759786539257	0.9884129311993879	0.9874732527597954	0.9864181411182388	0.987868089886337	0.9863478469289106
