	LoombaR_2017__SID1048_bav__bin.12	ZeeviD_2015__PNP_Main_398__bin.8	Obregon-TitoAJ_2015__NO05__bin.36	LiJ_2014__V1.UC38-4__bin.41	IjazUZ_2017__S45_a_WGS__bin.8	LiJ_2014__V1.CD48-0__bin.29	YuJ_2015__SZAXPI017582-94__bin.3	LiJ_2014__O2.CD1-0-PT__bin.50	XieH_2016__YSZC12003_37179__bin.24	HMP_2012__SRS043411__bin.21	ZeeviD_2015__PNP_Main_155__bin.42	SchirmerM_2016__G88887__bin.20	YuJ_2015__SZAXPI015237-23__bin.30	Obregon-TitoAJ_2015__NO10__bin.25	KarlssonFH_2013__S347__bin.4	QinJ_2012__T2D-068__bin.33	LoombaR_2017__SID1019_aas__bin.1	SchirmerM_2016__G89000__bin.6	NielsenHB_2014__V1_CD21_0__bin.1	NielsenHB_2014__V1_UC32_0__bin.37	LiJ_2014__V1.CD3-0-PN__bin.6	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.15	XieH_2016__YSZC12003_36697__bin.51	HeQ_2017__SZAXPI029564-74__bin.33	LiJ_2014__O2.CD3-0-PT__bin.58	VincentC_2016__MM104__bin.7	IjazUZ_2017__S151_a_WGS__bin.15	BackhedF_2015__SID585_M__bin.15	Obregon-TitoAJ_2015__NO12__bin.20	ZellerG_2014__CCIS95097901ST-4-0__bin.47	KarlssonFH_2013__S640__bin.13	NielsenHB_2014__V1_CD6_4__bin.37	LiJ_2014__MH0358__bin.15	HeQ_2017__RSZAXPI003082-116__bin.8
LoombaR_2017__SID1048_bav__bin.12	2586302.0	1045624.0	1008910.0	1136996.0	1969035.0	1903772.0	1722567.0	1311815.0	1785488.0	1703404.0	1771016.0	1410476.0	1779208.0	1865840.0	1858994.0	1691983.0	1908342.0	1793177.0	1896601.0	1343456.0	1756850.0	1739907.0	1899478.0	1769286.0	1708916.0	1254636.0	1836583.0	1229254.0	1839327.0	1681098.0	1812971.0	1931352.0	1630197.0	1882943.0
ZeeviD_2015__PNP_Main_398__bin.8	1045624.0	1330348.0	643979.0	675797.0	1046649.0	1024192.0	1000568.0	803815.0	1011910.0	977831.0	1000887.0	822691.0	1007423.0	1025401.0	1082407.0	987665.0	1055467.0	1047535.0	1052841.0	829044.0	1037629.0	1028026.0	1048151.0	996682.0	1022148.0	784417.0	1032245.0	744976.0	1051299.0	925694.0	1042816.0	1065704.0	954990.0	1080817.0
Obregon-TitoAJ_2015__NO05__bin.36	1008910.0	643979.0	1236100.0	675729.0	1017614.0	1006942.0	1010671.0	794959.0	991345.0	1004044.0	969493.0	858137.0	1000648.0	1009531.0	1025772.0	960473.0	1019571.0	1021111.0	1011407.0	826344.0	1008886.0	981275.0	1026582.0	973663.0	991280.0	790515.0	1005630.0	825122.0	1017944.0	902905.0	996452.0	1013064.0	930017.0	1033778.0
LiJ_2014__V1.UC38-4__bin.41	1136996.0	675797.0	675729.0	1382654.0	1153509.0	1114705.0	1073653.0	826943.0	1088569.0	1061868.0	1050377.0	875174.0	1067350.0	1100183.0	1122687.0	1044544.0	1146271.0	1113838.0	1124850.0	859762.0	1097052.0	1102529.0	1132370.0	1071681.0	1079276.0	842303.0	1110720.0	806802.0	1153939.0	1019281.0	1121971.0	1174746.0	1053731.0	1122655.0
IjazUZ_2017__S45_a_WGS__bin.8	1969035.0	1046649.0	1017614.0	1153509.0	2296408.0	1922740.0	1695199.0	1286937.0	1800375.0	1717629.0	1745020.0	1392946.0	1745649.0	1799197.0	1854760.0	1676910.0	1899515.0	1770363.0	1857989.0	1365660.0	1776012.0	1725855.0	1884711.0	1720980.0	1760019.0	1309675.0	1842050.0	1268034.0	1863701.0	1660163.0	1798550.0	1939305.0	1641131.0	1851014.0
LiJ_2014__V1.CD48-0__bin.29	1903772.0	1024192.0	1006942.0	1114705.0	1922740.0	2096015.0	1677944.0	1270991.0	1788307.0	1682379.0	1718632.0	1381629.0	1728699.0	1771592.0	1757512.0	1651748.0	1814290.0	1751020.0	1783290.0	1363284.0	1735774.0	1712011.0	1788168.0	1681903.0	1736221.0	1239886.0	1764890.0	1221540.0	1836311.0	1580659.0	1742739.0	1859742.0	1588688.0	1774473.0
YuJ_2015__SZAXPI017582-94__bin.3	1722567.0	1000568.0	1010671.0	1073653.0	1695199.0	1677944.0	1995089.0	1256890.0	1612486.0	1635635.0	1632768.0	1333594.0	1881018.0	1638801.0	1722287.0	1673847.0	1764063.0	1681070.0	1750152.0	1290336.0	1663509.0	1687983.0	1760243.0	1662501.0	1640805.0	1233216.0	1681422.0	1221904.0	1703837.0	1493310.0	1670260.0	1693998.0	1530858.0	1719725.0
LiJ_2014__O2.CD1-0-PT__bin.50	1311815.0	803815.0	794959.0	826943.0	1286937.0	1270991.0	1256890.0	1539018.0	1227976.0	1209605.0	1220521.0	1010377.0	1234722.0	1261082.0	1308749.0	1214425.0	1316654.0	1348560.0	1308268.0	1176847.0	1288549.0	1299139.0	1327578.0	1268954.0	1222901.0	967405.0	1301128.0	1032751.0	1287127.0	1133091.0	1306171.0	1294936.0	1237520.0	1347664.0
XieH_2016__YSZC12003_37179__bin.24	1785488.0	1011910.0	991345.0	1088569.0	1800375.0	1788307.0	1612486.0	1227976.0	1966049.0	1607485.0	1625138.0	1337935.0	1609933.0	1694719.0	1710832.0	1608723.0	1751014.0	1672536.0	1703619.0	1289391.0	1657775.0	1643114.0	1714525.0	1605930.0	1677727.0	1226098.0	1684420.0	1222055.0	1753445.0	1538455.0	1665209.0	1780020.0	1535356.0	1703666.0
HMP_2012__SRS043411__bin.21	1703404.0	977831.0	1004044.0	1061868.0	1717629.0	1682379.0	1635635.0	1209605.0	1607485.0	2290270.0	1641615.0	1293288.0	1623917.0	1597891.0	1731462.0	1610301.0	1768529.0	1654613.0	1734072.0	1291183.0	1688146.0	1654605.0	1708002.0	1609422.0	1622094.0	1221951.0	1674573.0	1217677.0	1697749.0	1454903.0	1651230.0	1737830.0	1508224.0	1716377.0
ZeeviD_2015__PNP_Main_155__bin.42	1771016.0	1000887.0	969493.0	1050377.0	1745020.0	1718632.0	1632768.0	1220521.0	1625138.0	1641615.0	2194413.0	1317289.0	1698169.0	1666395.0	1730901.0	1600646.0	1798624.0	1707014.0	1774557.0	1316570.0	1705076.0	1691547.0	1745526.0	1654849.0	1649513.0	1198457.0	1739178.0	1158595.0	1753539.0	1484647.0	1659464.0	1748617.0	1523915.0	1762358.0
SchirmerM_2016__G88887__bin.20	1410476.0	822691.0	858137.0	875174.0	1392946.0	1381629.0	1333594.0	1010377.0	1337935.0	1293288.0	1317289.0	1671577.0	1345344.0	1339305.0	1358889.0	1310678.0	1396951.0	1349263.0	1379662.0	1046354.0	1332035.0	1318855.0	1390555.0	1292842.0	1311369.0	996355.0	1350960.0	983273.0	1361011.0	1247808.0	1325688.0	1392880.0	1250240.0	1392522.0
YuJ_2015__SZAXPI015237-23__bin.30	1779208.0	1007423.0	1000648.0	1067350.0	1745649.0	1728699.0	1881018.0	1234722.0	1609933.0	1623917.0	1698169.0	1345344.0	2180654.0	1659854.0	1744666.0	1661418.0	1799091.0	1695604.0	1786490.0	1326852.0	1684414.0	1670280.0	1807462.0	1700531.0	1671602.0	1215428.0	1698471.0	1183941.0	1760367.0	1524217.0	1687080.0	1734549.0	1541225.0	1748965.0
