	CM_madagascar__A92_01_1FE__bin.44	BritoIL_2016__W3.18.ST__bin.6	BritoIL_2016__WL.1.ST__bin.16	LiuW_2016__SRR3993004__bin.60	BritoIL_2016__W1.1.ST__bin.29	CM_madagascar__A79_02_1FE__bin.25	CM_madagascar__A28_02_1FE__bin.17	BritoIL_2016__W2.39.ST__bin.64	LeChatelierE_2013__MH0318__bin.90	LiuW_2016__SRR3992977__bin.26	BritoIL_2016__W1.31.ST__bin.33	BritoIL_2016__W1.26.ST__bin.22	BritoIL_2016__W1.53.ST__bin.2	ZeeviD_2015__PNP_Main_293__bin.37	BritoIL_2016__M1.29.ST__bin.37	CM_madagascar__A29_01_1FE__bin.4	LiuW_2016__SRR3992995__bin.68	BritoIL_2016__M1.20.ST__bin.42	BritoIL_2016__M1.26.ST__bin.16	BritoIL_2016__W1.2.ST__bin.84	LiuW_2016__SRR3992958__bin.44	BritoIL_2016__W2.5.ST__bin.28	BritoIL_2016__M2.37.ST__bin.9	BritoIL_2016__W2.19.ST__bin.23	BritoIL_2016__M2.58.ST__bin.49	BritoIL_2016__W2.46.ST__bin.71	BritoIL_2016__W2.9.ST__bin.79	BritoIL_2016__WL.26.ST__bin.9	BritoIL_2016__W1.9.ST__bin.73	BritoIL_2016__WL.3.ST__bin.74	BritoIL_2016__W2.61.ST__bin.104	BritoIL_2016__M1.44.ST__bin.7	BritoIL_2016__M1.1.ST__bin.106	CM_madagascar__A62_01_1FE__bin.43	BritoIL_2016__M1.22.ST__bin.45	BritoIL_2016__M1.52.ST__bin.77	BritoIL_2016__M2.51.ST__bin.49	LiuW_2016__SRR3993048__bin.23	BritoIL_2016__W1.3.ST__bin.9	LiuW_2016__SRR3992980__bin.10	BritoIL_2016__WL.25.ST__bin.8
CM_madagascar__A92_01_1FE__bin.44	3360885.0	3045758.0	3031272.0	2654740.0	3132652.0	3092400.0	1914504.0	2923373.0	2450781.0	2335328.0	3028137.0	3120344.0	3090519.0	3063670.0	2878357.0	3120426.0	3099228.0	3031417.0	2007071.0	3007978.0	2887876.0	3104350.0	2172324.0	3093915.0	3023977.0	3176735.0	2411206.0	2391484.0	3028123.0	3063528.0	2682286.0	3096321.0	3101831.0	3022989.0	3078992.0	3148656.0	3120696.0	2211837.0	3085165.0	2857606.0	2818515.0
BritoIL_2016__W3.18.ST__bin.6	3045758.0	3384359.0	3118860.0	2682350.0	3140478.0	2892852.0	1903550.0	2950027.0	2464959.0	2370894.0	3090507.0	3158386.0	3119581.0	3156560.0	2893997.0	3107601.0	3123847.0	3075501.0	2003888.0	3091352.0	2905800.0	3141216.0	2225689.0	3108763.0	3106125.0	3203840.0	2460521.0	2396577.0	3082168.0	3137303.0	2721800.0	3150756.0	3153807.0	3098771.0	3168671.0	3184530.0	3140250.0	2245183.0	3257330.0	2889280.0	2887521.0
BritoIL_2016__WL.1.ST__bin.16	3031272.0	3118860.0	3433350.0	2675418.0	3276711.0	2899124.0	1912858.0	2999214.0	2499405.0	2383510.0	3212940.0	3281982.0	3116734.0	3163983.0	2988160.0	3141566.0	3111295.0	3120800.0	2007399.0	3078553.0	2933726.0	3251742.0	2229062.0	3240411.0	3204748.0	3196576.0	2470044.0	2403850.0	3215541.0	3274083.0	2769296.0	3270509.0	3309618.0	3161905.0	3161396.0	3173602.0	3159796.0	2282579.0	3140762.0	2931288.0	2929624.0
LiuW_2016__SRR3993004__bin.60	2654740.0	2682350.0	2675418.0	2856253.0	2711352.0	2559475.0	1737334.0	2584247.0	2157687.0	2218881.0	2661209.0	2720619.0	2708567.0	2700934.0	2491011.0	2687000.0	2744322.0	2649366.0	1773938.0	2633681.0	2625740.0	2708791.0	1928307.0	2710827.0	2673713.0	2700153.0	2135390.0	2112063.0	2666597.0	2695282.0	2370255.0	2711875.0	2707507.0	2686079.0	2716898.0	2743892.0	2735426.0	2115235.0	2704755.0	2586456.0	2488014.0
BritoIL_2016__W1.1.ST__bin.29	3132652.0	3140478.0	3276711.0	2711352.0	3482264.0	2982475.0	1944506.0	3048060.0	2527407.0	2397459.0	3232331.0	3343755.0	3184178.0	3205191.0	3030128.0	3191831.0	3128942.0	3177354.0	2036160.0	3143852.0	3007855.0	3297909.0	2252542.0	3293828.0	3223329.0	3245923.0	2511752.0	2452155.0	3278168.0	3342619.0	2798624.0	3307537.0	3324697.0	3169469.0	3172079.0	3233742.0	3254930.0	2289718.0	3194839.0	2932390.0	2933246.0
CM_madagascar__A79_02_1FE__bin.25	3092400.0	2892852.0	2899124.0	2559475.0	2982475.0	3277601.0	1869614.0	2804645.0	2308413.0	2244307.0	2890618.0	2952886.0	2941807.0	2920625.0	2707000.0	2966609.0	2942508.0	2885255.0	1910543.0	2875151.0	2791107.0	2947243.0	2046308.0	2966134.0	2927177.0	2965887.0	2284112.0	2276659.0	2894706.0	2941598.0	2565863.0	2939296.0	2957704.0	2895283.0	2935021.0	2970854.0	2963791.0	2138164.0	2947720.0	2739855.0	2678268.0
CM_madagascar__A28_02_1FE__bin.17	1914504.0	1903550.0	1912858.0	1737334.0	1944506.0	1869614.0	2161021.0	1848693.0	1538036.0	1552138.0	1897866.0	1937579.0	1914894.0	1918206.0	1774751.0	1929255.0	1927024.0	1883090.0	1268024.0	1896941.0	1849733.0	1922013.0	1400908.0	1919952.0	1922739.0	1932177.0	1551882.0	1509177.0	1903605.0	1930167.0	1681095.0	1935393.0	1938378.0	1912206.0	1906204.0	1933766.0	1922939.0	1491355.0	1929930.0	1822729.0	1763422.0
BritoIL_2016__W2.39.ST__bin.64	2923373.0	2950027.0	2999214.0	2584247.0	3048060.0	2804645.0	1848693.0	3167557.0	2372913.0	2286169.0	2975958.0	3026504.0	2997851.0	2985135.0	2766834.0	2994295.0	2996746.0	2933922.0	1952343.0	2971333.0	2809556.0	3014310.0	2139848.0	3021089.0	2985312.0	3090885.0	2428577.0	2313271.0	2981038.0	3008983.0	2620418.0	3042237.0	3042719.0	2964257.0	2991423.0	3018368.0	3002062.0	2168332.0	2973463.0	2788801.0	2737231.0
LeChatelierE_2013__MH0318__bin.90	2450781.0	2464959.0	2499405.0	2157687.0	2527407.0	2308413.0	1538036.0	2372913.0	2857350.0	1890657.0	2462687.0	2503590.0	2489889.0	2477319.0	2326507.0	2506093.0	2512639.0	2436452.0	1678595.0	2424611.0	2366323.0	2500998.0	1819248.0	2479670.0	2436210.0	2512652.0	1991251.0	1968245.0	2441219.0	2470477.0	2193618.0	2497691.0	2518454.0	2489880.0	2490046.0	2532774.0	2505070.0	1780944.0	2507741.0	2323830.0	2297434.0
LiuW_2016__SRR3992977__bin.26	2335328.0	2370894.0	2383510.0	2218881.0	2397459.0	2244307.0	1552138.0	2286169.0	1890657.0	2490261.0	2346475.0	2390964.0	2371268.0	2375456.0	2211353.0	2353901.0	2391347.0	2309603.0	1565134.0	2341728.0	2337286.0	2377969.0	1714294.0	2372100.0	2348542.0	2386397.0	1877166.0	1819188.0	2331516.0	2371987.0	2090422.0	2389809.0	2386655.0	2336700.0	2365405.0	2380284.0	2351958.0	1930359.0	2348650.0	2322932.0	2180192.0
