	WenC_2017__RA005__bin.4	BritoIL_2016__M2.49.ST__bin.10	BritoIL_2016__M1.27.ST__bin.57	BritoIL_2016__W1.37.ST__bin.61	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	BritoIL_2016__WL.15.ST__bin.47	ChengpingW_2017__AS67raw__bin.31	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	CM_madagascar__A94_03_1FE__bin.24	ZeeviD_2015__PNP_Main_606__bin.20	LiJ_2014__O2.UC13-1__bin.109	BritoIL_2016__M1.35.ST__bin.82	XieH_2016__YSZC12003_35838__bin.82	LiJ_2017__H2M513938__bin.69	BritoIL_2016__M2.3.ST__bin.9	LeChatelierE_2013__MH0322__bin.36	BritoIL_2016__W2.6.ST__bin.7	VogtmannE_2016__MMRS86168210ST-27-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.41	CosteaPI_2017__SID713A013-11-0-0__bin.20	LiJ_2017__H1M513729__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.126	BritoIL_2016__W2.67.ST__bin.18	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.9	ZeeviD_2015__PNP_Main_4__bin.44	LeChatelierE_2013__MH0250__bin.33	HMP_2012__SRS017701__bin.15	BritoIL_2016__WL.44.ST__bin.16	QinJ_2012__DOM019__bin.2	BritoIL_2016__W2.34.ST__bin.57	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.127	ZeeviD_2015__PNP_Main_335__bin.29	BritoIL_2016__M1.1.ST__bin.27
WenC_2017__RA005__bin.4	1.0	0.9826940908391302	0.982431442559614	0.9825242832288523	0.981683927557145	0.9823121643436699	0.9860124398517458	0.9814264640532158	0.9813431321117648	0.985224214094334	0.9826497634603739	0.981523637591182	0.9820743416429695	0.9850809187443915	0.9817526719058047	0.9821299517154752	0.9825945780364528	0.980564563761381	0.9833453851664001	0.9825089928057554	0.9858637151522377	0.981684051064367	0.9829014401165062	0.9833657335685032	0.9830797981863401	0.9831109722188834	0.9817889883487922	0.9820516665918637	0.9862273399998995	0.9820686087490704	0.9831344937884248	0.9827357983377293	0.9816049655168498
BritoIL_2016__M2.49.ST__bin.10	0.9826940908391302	1.0	0.9846620966463121	0.9846756908282556	0.98073772974938	0.9849704698711658	0.9821216478827677	0.9822090152366896	0.9834796986908934	0.9813231524449302	0.982775509220366	0.984503791815726	0.9827231475853953	0.982355520652788	0.9850394360789425	0.9864442821014118	0.9832151440160692	0.9807065782481111	0.9808974048557153	0.9829876244666513	0.9818350387625594	0.9809683810071549	0.9856760498982021	0.9819534785173071	0.9827150333531146	0.9837567457360907	0.9806190768754445	0.9854172080781796	0.9825992370429968	0.9861841094903329	0.9820774611010312	0.9825265567501503	0.9835786006220838
BritoIL_2016__M1.27.ST__bin.57	0.982431442559614	0.9846620966463121	1.0	0.9847908664603716	0.980265772339607	0.9884964120987959	0.981822663199078	0.9820187934223021	0.9832813286245712	0.9803242001096011	0.9824723254444855	0.9853804142005289	0.9825206110119747	0.9815475815638972	0.9882432989205288	0.9843203625046608	0.9840689881910384	0.9801344448012608	0.9807696087005225	0.9830438087020682	0.9813341745429466	0.9804018578407686	0.9859035414668983	0.9812235483919801	0.9821242242651635	0.9831120821509053	0.9805719034113414	0.9845788289479573	0.9819507034906694	0.9908172565162919	0.9819452783696232	0.9818520472572589	0.9830075577511259
BritoIL_2016__W1.37.ST__bin.61	0.9825242832288523	0.9846756908282556	0.9847908664603716	1.0	0.9813949670386094	0.9845506066455184	0.9825265884272744	0.9820631942554523	0.983076966946155	0.9808325472511149	0.9824401861534003	0.9842523666331289	0.9828943927802771	0.9822706692302922	0.9846757257232939	0.9849382691392298	0.984169492692044	0.980730450105777	0.9810288806787936	0.9831144527214578	0.9818741297974459	0.9816718123755915	0.9851409066776718	0.9819185820114756	0.98323609649282	0.9829911732307659	0.9808936572433141	0.992794739925786	0.9826830215907199	0.9846859690538444	0.9827500850892664	0.9830193393520762	0.9843533314246348
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	0.981683927557145	0.98073772974938	0.980265772339607	0.9813949670386094	1.0	0.9813935411074902	0.9815727027969159	0.9826980564616516	0.9809716082267969	0.9798640504294642	0.9837005824010612	0.9806878659733853	0.9798457159783127	0.9818801741421946	0.9804516382497109	0.9832243636572211	0.9813861954351439	0.9805853586512993	0.981048632695678	0.9814269867945943	0.981131161360546	0.9997423666477427	0.9821553436969702	0.9819972839039441	0.9832264785498691	0.9839259982903895	0.9807680545240072	0.9824414516721294	0.982260715801308	0.9815269545936808	0.9802774247203	0.9794787616725323	0.9799280509964814
BritoIL_2016__WL.15.ST__bin.47	0.9823121643436699	0.9849704698711658	0.9884964120987959	0.9845506066455184	0.9813935411074902	1.0	0.9820978050745294	0.9819360763321163	0.9828005332982584	0.9809169922575479	0.982710019207474	0.9850181662867309	0.9832549025591173	0.9820806751454157	0.9922788985819235	0.984929531085353	0.9847536840468136	0.9803922914635876	0.9814882802279667	0.9830502917494709	0.9814954322502542	0.9813079196839171	0.9862440558009253	0.9818331263058281	0.982358951933889	0.9830126612640705	0.9808666536086035	0.9851872010205166	0.9824408529572797	0.988367975441653	0.9828252525191797	0.9828737229526529	0.9834293724219747
ChengpingW_2017__AS67raw__bin.31	0.9860124398517458	0.9821216478827677	0.981822663199078	0.9825265884272744	0.9815727027969159	0.9820978050745294	1.0	0.9817509615631231	0.9815234072200376	0.9846565107716694	0.9826256169612881	0.9818008415955384	0.9815649568683119	0.9849748011066849	0.9814106904677578	0.9828544175671495	0.9817464729025044	0.9802249062495181	0.9827885624260175	0.9825080559049351	0.9857900402740071	0.9813486775443531	0.9823022590435033	0.9828033871478131	0.9835760509016812	0.9832385760834795	0.9809283724014487	0.9820670293962731	0.9862952481131244	0.9826150971917299	0.9827007595628632	0.9820209960402105	0.9815032852013356
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	0.9814264640532158	0.9822090152366896	0.9820187934223021	0.9820631942554523	0.9826980564616516	0.9819360763321163	0.9817509615631231	1.0	0.9816484758187447	0.9802662086375367	0.9814069176586621	0.9819216573492062	0.9818343669272233	0.980727553494908	0.9817373037757561	0.98205597559358	0.9816652596127367	0.9813467177198661	0.9812111631915046	0.9819135228468061	0.9814031473897301	0.9823972381873708	0.9817959581670981	0.9816358026142672	0.9815898871638246	0.982464393687141	0.9811048415079803	0.9816137792001057	0.9812380997970921	0.9817202032068383	0.9816322861935708	0.9816724591321455	0.9813001992278352
CM_madagascar__A94_03_1FE__bin.24	0.9813431321117648	0.9834796986908934	0.9832813286245712	0.983076966946155	0.9809716082267969	0.9828005332982584	0.9815234072200376	0.9816484758187447	1.0	0.9801012779729639	0.9814046664673521	0.9829174174483216	0.982375615898491	0.980712550528132	0.9824396630236795	0.9831607048430523	0.9834043148551073	0.9796187587408259	0.9807375329307813	0.982150533824641	0.9810525653915938	0.9809395328158963	0.9839020939793206	0.9807071358361482	0.982395184365293	0.9825065320150047	0.9805540286471986	0.9828539943237289	0.9814300333511325	0.9826436642383762	0.9825482769037716	0.9826083488497236	0.9829546693148926
ZeeviD_2015__PNP_Main_606__bin.20	0.985224214094334	0.9813231524449302	0.9803242001096011	0.9808325472511149	0.9798640504294642	0.9809169922575479	0.9846565107716694	0.9802662086375367	0.9801012779729639	1.0	0.9817002725660067	0.9800612693255901	0.9804152438531345	0.9847274320828577	0.9800774823730264	0.9812233107259483	0.9811061519551328	0.9788401640408025	0.9814101401303781	0.980649825094633	0.9846029777888646	0.9798679351023207	0.9820580175351241	0.9816660292052829	0.9820851361099757	0.9824466070807647	0.9797634896808516	0.9804168918751158	0.9859619930110102	0.9807577143163113	0.981804098124828	0.9807155429717892	0.9807670506355942
