	WenC_2017__RA005__bin.4	BritoIL_2016__M2.49.ST__bin.10	BritoIL_2016__M1.27.ST__bin.57	BritoIL_2016__W1.37.ST__bin.61	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	BritoIL_2016__WL.15.ST__bin.47	ChengpingW_2017__AS67raw__bin.31	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	CM_madagascar__A94_03_1FE__bin.24	ZeeviD_2015__PNP_Main_606__bin.20	LiJ_2014__O2.UC13-1__bin.109	BritoIL_2016__M1.35.ST__bin.82	XieH_2016__YSZC12003_35838__bin.82	LiJ_2017__H2M513938__bin.69	BritoIL_2016__M2.3.ST__bin.9	LeChatelierE_2013__MH0322__bin.36	BritoIL_2016__W2.6.ST__bin.7	VogtmannE_2016__MMRS86168210ST-27-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.41	CosteaPI_2017__SID713A013-11-0-0__bin.20	LiJ_2017__H1M513729__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.126	BritoIL_2016__W2.67.ST__bin.18	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.9	ZeeviD_2015__PNP_Main_4__bin.44	LeChatelierE_2013__MH0250__bin.33	HMP_2012__SRS017701__bin.15	BritoIL_2016__WL.44.ST__bin.16	QinJ_2012__DOM019__bin.2	BritoIL_2016__W2.34.ST__bin.57	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.127	ZeeviD_2015__PNP_Main_335__bin.29	BritoIL_2016__M1.1.ST__bin.27
WenC_2017__RA005__bin.4	1.0	0.7833026223894451	0.862848056532873	0.8023402158164453	0.855390653380069	0.8357540020479282	0.8113338643663481	0.5128240882320729	0.752309604615798	0.7686756750772162	0.5884747483029187	0.8004293348063416	0.8213514770278348	0.6195198320483412	0.8606696641505437	0.7140650537386659	0.8638498776449663	0.7898677225087181	0.8667344521732158	0.8369239902642617	0.8363165539268814	0.744606833090259	0.4426864365749687	0.822810521156439	0.618611969069222	0.7342457047069434	0.7834677971964569	0.5368869456245733	0.8227159645640193	0.7271138634925973	0.799965528735928	0.837962915861988	0.8278585265808754
BritoIL_2016__M2.49.ST__bin.10	0.6443538394207011	1.0	0.9323683602924852	0.8404284385779826	0.8925043925440227	0.8617499383394632	0.8190478628531819	0.5156671916222407	0.7604385996436736	0.7451886320123783	0.562090560497971	0.8398430942414227	0.9257612060948671	0.6275235897706031	0.8967386622149647	0.7225792762505273	0.9077528832762347	0.835806729047602	0.8775370049372737	0.8657085201815798	0.8357186074023167	0.8195416394465961	0.44998407410488833	0.8122408349796656	0.6301741313248819	0.7696313118359185	0.7983318917157284	0.5562848702027241	0.7858097566907221	0.7492318894019198	0.8540296945329627	0.8722556138164894	0.8884389816682363
BritoIL_2016__M1.27.ST__bin.57	0.6053011744702288	0.7951148755733283	1.0	0.7797424352152146	0.8440152397745522	0.829847287383104	0.7793209274011567	0.4619146278745132	0.7186468927443139	0.6992084133631412	0.5275749656265416	0.7854122191084941	0.8178351543394523	0.5758560827901802	0.8811180032956537	0.668298120217891	0.8645570284538766	0.762407716447831	0.8380746664987352	0.818887244560597	0.784924378391427	0.7487431384279523	0.4126637068757413	0.7619362490422662	0.5796962540802083	0.7035015796047315	0.7639245568185397	0.5079689746738458	0.7626596135478656	0.7065356801746487	0.8060606442268334	0.8234898244067299	0.817280141062376
BritoIL_2016__W1.37.ST__bin.61	0.6481514517315048	0.8253227882952591	0.8979081549035732	1.0	0.861211789828283	0.8645654909616376	0.8010690073441076	0.49371054131549974	0.7666985261022566	0.756545083518616	0.5687702112826879	0.8375705415765635	0.8504627353380121	0.6125191627978482	0.8817691027290339	0.7152472297036299	0.8986371993477276	0.8050400756891234	0.866902977624427	0.8640191910797449	0.8325566689437219	0.758901908230322	0.4431545965817098	0.8094636543787869	0.6286669170944001	0.7562825695045737	0.7841544994080141	0.5529589390372842	0.7874743589557647	0.7422958421744477	0.8291773448955528	0.8426119709291111	0.8510303070737133
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	0.5865543832118151	0.7439766514322624	0.8250055708100225	0.7310310327974002	1.0	0.7595453726574385	0.7314611034348609	0.44382961487748934	0.6873361843295884	0.6710029386792318	0.5064061237462599	0.7362247102665822	0.7805704099090245	0.5510637066754104	0.7906286459053623	0.6401453704414256	0.8421070342402708	0.7195139216902103	0.8083834227467152	0.7824503274569324	0.747951111474063	0.7978150934275111	0.3781219619592672	0.7397686892981764	0.5546392844084209	0.6613050099535909	0.7369900554372543	0.47431169205300866	0.728550739922579	0.6423548173041055	0.7691054161405346	0.785305290648549	0.7544272037734594
BritoIL_2016__WL.15.ST__bin.47	0.652547465337874	0.8179373932286896	0.9236227669142577	0.8356291890800752	0.8648555573415673	1.0	0.812342296204642	0.49164894153885264	0.7681188810927402	0.7476374803279118	0.5644422098530528	0.8276164344643772	0.843158785993847	0.6129275992389097	0.9244306776169953	0.6988109834735768	0.8875878001278452	0.8008137983110976	0.8781853830309783	0.8686343739135961	0.83647214507067	0.7759414566129991	0.44355792845901665	0.8188275435402657	0.6172302260467794	0.7506766076908987	0.7909062617985801	0.5413127871377252	0.7923449876827494	0.7486145429533738	0.8402640452168322	0.8460357704916807	0.8575951082385397
ChengpingW_2017__AS67raw__bin.31	0.6861874621970385	0.8420882672261294	0.9395552473673955	0.8386778390498582	0.9021746667645221	0.879930961353036	1.0	0.5231054231274407	0.7914987308327914	0.7772541953378668	0.6075238965331362	0.8279571089813509	0.8735722185245268	0.651399373894382	0.9228634841740037	0.7332830559218102	0.9189823379502506	0.8364204170156982	0.9320743734515021	0.8899992660847647	0.8880460392619343	0.8088444378082761	0.45789528294963067	0.8504503455728463	0.6420594167651548	0.7763324990319911	0.8415750327098429	0.5634024310309484	0.8556874634624096	0.760031482432853	0.8808258317916895	0.8794207637273783	0.8839533229910336
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	0.7183014058273391	0.8780372903434557	0.9222800707146827	0.8560374462577631	0.9065897265883351	0.8819820899726143	0.8663319817965855	1.0	0.7886749211836411	0.7903195656529164	0.6472698650335341	0.8666052509591663	0.886648621960614	0.6505532862293298	0.9096518500573781	0.7757700783678957	0.9113518189583416	0.8750355207998907	0.9277437774683707	0.8904643312491669	0.8802184141503131	0.8248612907525213	0.4793979360633984	0.8749575636461483	0.6885963772556232	0.808774454865742	0.8603569431742645	0.5975407451865649	0.8419473194055473	0.7838591808798764	0.8834330989309811	0.8833853187399776	0.9174215797137044
CM_madagascar__A94_03_1FE__bin.24	0.6557111709230513	0.8057221248539476	0.8928825529961609	0.827223126356201	0.8736578826573194	0.857453889167084	0.8156860290435654	0.49076740110165246	1.0	0.7477888708062094	0.5718932565514939	0.8220351360373894	0.8370879235519947	0.6279513019529294	0.8822770614254716	0.7196091011517276	0.8909264939075279	0.8049146636621599	0.8777077073944249	0.8675581079953263	0.8464039809714572	0.7688068561175095	0.45927902270071774	0.8108318728092139	0.610879861458855	0.7563381530629277	0.8057951510599233	0.5424527416124186	0.8034024995827075	0.7405373685528293	0.8380883825738608	0.8610452136538141	0.846723731430479
ZeeviD_2015__PNP_Main_606__bin.20	0.6578241403222684	0.775243350435895	0.8529746473044773	0.8014631243297172	0.8374276709137971	0.8194530799463671	0.7864779819455129	0.48287097689464054	0.734225882878352	1.0	0.5705432018085217	0.785487986380775	0.8072806926793592	0.616853791022333	0.8485235084254614	0.7042130892471015	0.8433481824132127	0.772570925781574	0.8395864041291983	0.8288649519035264	0.8247707850413872	0.720856589437111	0.4252591760245916	0.8071019505934339	0.6177587688613873	0.7148433778874017	0.7568329155855928	0.5258146593093898	0.7823397697556099	0.7129514774134534	0.7952122728720729	0.8121328489030153	0.8152646765690124
