	WenC_2017__RA005__bin.4	BritoIL_2016__M2.49.ST__bin.10	BritoIL_2016__M1.27.ST__bin.57	BritoIL_2016__W1.37.ST__bin.61	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	BritoIL_2016__WL.15.ST__bin.47	ChengpingW_2017__AS67raw__bin.31	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	CM_madagascar__A94_03_1FE__bin.24	ZeeviD_2015__PNP_Main_606__bin.20	LiJ_2014__O2.UC13-1__bin.109	BritoIL_2016__M1.35.ST__bin.82	XieH_2016__YSZC12003_35838__bin.82	LiJ_2017__H2M513938__bin.69	BritoIL_2016__M2.3.ST__bin.9	LeChatelierE_2013__MH0322__bin.36	BritoIL_2016__W2.6.ST__bin.7	VogtmannE_2016__MMRS86168210ST-27-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.41	CosteaPI_2017__SID713A013-11-0-0__bin.20	LiJ_2017__H1M513729__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.126	BritoIL_2016__W2.67.ST__bin.18	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.9	ZeeviD_2015__PNP_Main_4__bin.44	LeChatelierE_2013__MH0250__bin.33	HMP_2012__SRS017701__bin.15	BritoIL_2016__WL.44.ST__bin.16	QinJ_2012__DOM019__bin.2	BritoIL_2016__W2.34.ST__bin.57	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.127	ZeeviD_2015__PNP_Main_335__bin.29	BritoIL_2016__M1.1.ST__bin.27
WenC_2017__RA005__bin.4	1670957.0	1331915.0	1467565.0	1364522.0	1455989.0	1421655.0	1374936.0	873124.0	1280976.0	1303687.0	1000678.0	1362660.0	1397494.0	1050869.0	1464872.0	1214882.0	1469025.0	1345995.0	1472805.0	1423360.0	1417487.0	1267420.0	752578.0	1398138.0	1051465.0	1247970.0	1333424.0	913511.0	1393921.0	1237160.0	1359639.0	1424798.0	1409239.0
BritoIL_2016__M2.49.ST__bin.10	1331915.0	2031283.0	1923405.0	1733716.0	1848536.0	1777168.0	1694004.0	1066439.0	1570613.0	1542498.0	1161776.0	1732811.0	1913543.0	1297573.0	1849195.0	1487933.0	1875381.0	1731160.0	1817240.0	1788933.0	1728988.0	1697018.0	927328.0	1680213.0	1302577.0	1589152.0	1653688.0	1146694.0	1624469.0	1543223.0	1766435.0	1803308.0	1834801.0
BritoIL_2016__M1.27.ST__bin.57	1467565.0	1923405.0	2381925.0	1885972.0	2050853.0	1999637.0	1890651.0	1120392.0	1740868.0	1698889.0	1279063.0	1898549.0	1982678.0	1397432.0	2123725.0	1617193.0	2092648.0	1852805.0	2035372.0	1984172.0	1905193.0	1819101.0	996988.0	1849604.0	1405925.0	1704473.0	1855663.0	1228895.0	1849989.0	1698512.0	1955278.0	1997746.0	1980351.0
BritoIL_2016__W1.37.ST__bin.61	1364522.0	1733716.0	1885972.0	2068461.0	1815154.0	1816382.0	1686448.0	1039873.0	1613186.0	1595465.0	1197507.0	1760201.0	1789764.0	1289840.0	1852290.0	1502085.0	1888695.0	1697912.0	1827831.0	1817886.0	1753902.0	1599067.0	930474.0	1705176.0	1322544.0	1591409.0	1653587.0	1152075.0	1657564.0	1559289.0	1745226.0	1773017.0	1788304.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	1455989.0	1848536.0	2050853.0	1815154.0	2436809.0	1885958.0	1815893.0	1100570.0	1707396.0	1668707.0	1254462.0	1829368.0	1941225.0	1367618.0	1965024.0	1586527.0	2090975.0	1788032.0	2007929.0	1942765.0	1857666.0	1944624.0	938152.0	1835723.0	1374607.0	1637800.0	1831120.0	1176464.0	1807401.0	1594756.0	1911870.0	1953732.0	1876051.0
BritoIL_2016__WL.15.ST__bin.47	1421655.0	1777168.0	1999637.0	1816382.0	1885958.0	2140088.0	1770174.0	1071528.0	1672610.0	1631137.0	1229209.0	1798111.0	1835164.0	1335653.0	1993757.0	1518400.0	1928925.0	1748088.0	1914841.0	1891006.0	1823874.0	1692214.0	962493.0	1784787.0	1344648.0	1634276.0	1725626.0	1175875.0	1725995.0	1620956.0	1829663.0	1842140.0	1866254.0
ChengpingW_2017__AS67raw__bin.31	1374936.0	1694004.0	1890651.0	1686448.0	1815893.0	1770174.0	1975705.0	1052713.0	1593205.0	1559554.0	1221511.0	1666121.0	1758336.0	1306605.0	1857842.0	1474024.0	1849396.0	1685858.0	1873754.0	1789681.0	1779808.0	1628410.0	920965.0	1709639.0	1289702.0	1559951.0	1695031.0	1133443.0	1714077.0	1528165.0	1770887.0	1769286.0	1779343.0
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	873124.0	1066439.0	1120392.0	1039873.0	1100570.0	1071528.0	1052713.0	1192963.0	958449.0	961802.0	786798.0	1052862.0	1077309.0	791337.0	1105368.0	942375.0	1107515.0	1063727.0	1127957.0	1081858.0	1069966.0	1001661.0	582508.0	1063319.0	836877.0	982059.0	1046141.0	726196.0	1023617.0	952527.0	1073623.0	1073521.0	1115306.0
CM_madagascar__A94_03_1FE__bin.24	1280976.0	1570613.0	1740868.0	1613186.0	1707396.0	1672610.0	1593205.0	958449.0	1917120.0	1462707.0	1117162.0	1603329.0	1633589.0	1227534.0	1721664.0	1403206.0	1736837.0	1575223.0	1715720.0	1693440.0	1653997.0	1502534.0	894899.0	1585042.0	1192117.0	1475808.0	1575442.0	1058089.0	1569362.0	1444775.0	1635254.0	1679944.0	1651420.0
ZeeviD_2015__PNP_Main_606__bin.20	1303687.0	1542498.0	1698889.0	1595465.0	1668707.0	1631137.0	1559554.0	961802.0	1462707.0	1952534.0	1134771.0	1564894.0	1607730.0	1223108.0	1690449.0	1401312.0	1678377.0	1541080.0	1670373.0	1650321.0	1635576.0	1436415.0	845503.0	1605326.0	1228198.0	1420694.0	1508264.0	1047178.0	1549294.0	1419374.0	1581455.0	1616898.0	1623048.0
LiJ_2014__O2.UC13-1__bin.109	1000678.0	1161776.0	1279063.0	1197507.0	1254462.0	1229209.0	1221511.0	786798.0	1117162.0	1134771.0	1404517.0	1187025.0	1214634.0	901379.0	1276170.0	1123756.0	1270810.0	1170725.0	1277991.0	1263264.0	1221053.0	1084729.0	658301.0	1229030.0	963466.0	1143015.0	1200011.0	792022.0	1208524.0	1070037.0	1185450.0	1229730.0	1222251.0
