	WenC_2017__RA005__bin.4	BritoIL_2016__M2.49.ST__bin.10	BritoIL_2016__M1.27.ST__bin.57	BritoIL_2016__W1.37.ST__bin.61	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	BritoIL_2016__WL.15.ST__bin.47	ChengpingW_2017__AS67raw__bin.31	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	CM_madagascar__A94_03_1FE__bin.24	ZeeviD_2015__PNP_Main_606__bin.20	LiJ_2014__O2.UC13-1__bin.109	BritoIL_2016__M1.35.ST__bin.82	XieH_2016__YSZC12003_35838__bin.82	LiJ_2017__H2M513938__bin.69	BritoIL_2016__M2.3.ST__bin.9	LeChatelierE_2013__MH0322__bin.36	BritoIL_2016__W2.6.ST__bin.7	VogtmannE_2016__MMRS86168210ST-27-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.41	CosteaPI_2017__SID713A013-11-0-0__bin.20	LiJ_2017__H1M513729__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.126	BritoIL_2016__W2.67.ST__bin.18	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.9	ZeeviD_2015__PNP_Main_4__bin.44	LeChatelierE_2013__MH0250__bin.33	HMP_2012__SRS017701__bin.15	BritoIL_2016__WL.44.ST__bin.16	QinJ_2012__DOM019__bin.2	BritoIL_2016__W2.34.ST__bin.57	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.127	ZeeviD_2015__PNP_Main_335__bin.29	BritoIL_2016__M1.1.ST__bin.27
WenC_2017__RA005__bin.4	1.0	0.7970971126127123	0.8782781364212244	0.8166110797584857	0.8713503698778604	0.8508028632693719	0.8228434364259524	0.5225293050629071	0.7666121869084602	0.7802037993796369	0.5988652011990734	0.8154967482706018	0.8363434846019376	0.6289024792379457	0.8766664851339682	0.727057608304702	0.879151887211939	0.8055234216080964	0.8814140639166658	0.8518232366242817	0.8483084842997157	0.7584994706626202	0.4503874127221706	0.8367288924849652	0.6292591610675798	0.7468594344438546	0.7980001879162659	0.5466992866961867	0.8342051890024699	0.7403900878358929	0.8136888022851575	0.852683821307191	0.8433723907916242
BritoIL_2016__M2.49.ST__bin.10	0.6557013473750334	1.0	0.9468916935749475	0.8535078568569717	0.9100337077600709	0.8748992631750475	0.8339576513956942	0.525007593722785	0.7732122998124831	0.7593712939063636	0.571941969681231	0.853062325633602	0.9420366339894539	0.6387947912723141	0.910358133258635	0.732508961085186	0.9232494930543897	0.8522495388382614	0.8946266965262841	0.8806911690788531	0.8511802639021742	0.8354414426744082	0.45652329094468863	0.8271683463111738	0.641258258942747	0.7823390438456876	0.8141100969190408	0.5645171056913291	0.7997255921503799	0.7597282111847536	0.8696154105557916	0.887767977184863	0.903271971458433
BritoIL_2016__M1.27.ST__bin.57	0.6161256126872172	0.8075002361535313	1.0	0.7917847959108704	0.8610065388288884	0.8395046023699319	0.7937491734626405	0.4703724928366762	0.7308660012384941	0.7132420206345708	0.5369871007693358	0.7970649789560964	0.8323847308374529	0.5866817804926687	0.891600281285095	0.6789437114938548	0.8785532709888011	0.7778603440494558	0.8545071738194947	0.8330119546165391	0.7998543195104799	0.7637104442835102	0.41856397661555256	0.776516473020771	0.590247383943659	0.7155863429788931	0.7790602139026208	0.5159251445784397	0.7766781069932932	0.713083745290049	0.8208814299358712	0.8387107066763227	0.8314077899178186
BritoIL_2016__W1.37.ST__bin.61	0.659679829593113	0.8381671203856393	0.9117754697816396	1.0	0.8775384210773131	0.8781320991790514	0.8153153479809385	0.5027278735252925	0.77989674448781	0.7713295053665503	0.5789362235981244	0.8509713260245177	0.8652635945275255	0.6235747253634465	0.8954918656914489	0.7261848301708371	0.9130919074616345	0.820857632800425	0.8836671322301943	0.8788592098183142	0.8479260667713822	0.7730708966714867	0.4498387931897193	0.8243694224836726	0.6393855141576273	0.769368627206411	0.7994286573447602	0.5569720676386937	0.8013513428582894	0.753840173926412	0.84373164396138	0.857167236897384	0.864557755742071
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	0.5974982035933059	0.7585887937872849	0.8416141765727227	0.7448897307913751	1.0	0.7739457626756959	0.7451929962504242	0.4516439327005112	0.7006687844636161	0.684791873306443	0.5147970152769462	0.7507227689983088	0.7966258332105635	0.5612331536858244	0.8063922941847309	0.6510674410673959	0.8580791518744391	0.7337596011833508	0.823999336837643	0.7972578072388932	0.7623354969552394	0.7980206901730911	0.38499201209450556	0.7533306877970329	0.5641012488053023	0.672108482856063	0.7514417420487203	0.4827887618602853	0.7417081108942063	0.654444398391503	0.7845793412614612	0.8017583651406409	0.769880199884357
BritoIL_2016__WL.15.ST__bin.47	0.6642974494506768	0.8304181884109438	0.9343713903353507	0.8487417339847707	0.881252546624251	1.0	0.8271500985006224	0.5006934294290702	0.7815613189737992	0.7621822093297098	0.5743731098908083	0.8402042345922224	0.8575180086052536	0.6241112514999383	0.9316238397673366	0.7095035344340981	0.9013297584024582	0.8168299621323983	0.894748720613358	0.8836113281323011	0.8522425246064648	0.7907216899491983	0.4497445899420958	0.833978322386743	0.6283143496902931	0.7636489714441649	0.8063341320543828	0.5494517047897096	0.8065065548706408	0.7574249283207045	0.8549475535585452	0.8607776876464893	0.8720454485983754
ChengpingW_2017__AS67raw__bin.31	0.6959217089595866	0.8574174788240148	0.956950050741381	0.8535930212253348	0.9191114058019796	0.8959708053580874	1.0	0.5328290407727875	0.8063982224066852	0.7893658213144169	0.6182658848360458	0.8433045419230097	0.8899790201472386	0.661336080032191	0.9403438266340369	0.7460749453992372	0.9360688969254013	0.8532943936468248	0.9483976605819189	0.9058442429411273	0.9008470394112481	0.8242171781718425	0.46614499634307754	0.8653311096545284	0.6527806529821001	0.7895667622443634	0.8579372932699973	0.5736904041848353	0.867577396423049	0.7734783279892494	0.89633168919449	0.895521345545008	0.9006116803875073
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	0.7318952892922915	0.8939413879558712	0.9391674343630104	0.8716724659524226	0.9225516633793337	0.8982072369386142	0.8824355826626643	1.0	0.8034188822285352	0.8062295310080866	0.6595326091421109	0.8825604817584451	0.9030531542051179	0.6633374211941192	0.9265735819132698	0.7899448683655738	0.9283733024410649	0.8916680567628669	0.9455087877830243	0.9068663487467759	0.8968978920553278	0.8396412965029092	0.4882867280879625	0.8913260511851583	0.7015112790589482	0.8232099402915263	0.8769266104648678	0.6087330453668722	0.8580458907778363	0.7984547718579704	0.8999633685202307	0.8998778671258035	0.9349041001271624
CM_madagascar__A94_03_1FE__bin.24	0.6681772658988483	0.8192564889000167	0.9080641796027374	0.8414632365214488	0.8906046569854782	0.872459731263562	0.8310408320814555	0.49994210065097644	1.0	0.7629710190285428	0.5827293022867635	0.8363216700050075	0.852105762810883	0.6403010766149224	0.8980470706059088	0.731934359873143	0.9059615464863963	0.8216611375396428	0.8949465865464864	0.8833249874812218	0.862750897179102	0.7837454097813387	0.4667934192956101	0.8267828826573194	0.6218270113503589	0.7698047070605909	0.821775371390419	0.5519158946753464	0.8186039475880488	0.7536174052745785	0.852974253046236	0.8762852612251711	0.8614066933733934
ZeeviD_2015__PNP_Main_606__bin.20	0.6676897815863898	0.7899980230818003	0.8700944516203047	0.8171253355895467	0.8546365901951003	0.8353949278219995	0.7987333383183084	0.4925916783011205	0.7491326655515346	1.0	0.5811786119985619	0.8014682458794572	0.8234069163456309	0.6264208459366136	0.8657718636397624	0.717688910922934	0.8595891287936599	0.7892717873286713	0.8554898403817808	0.8452201088431751	0.8376683837515762	0.735667086975182	0.43302856698013964	0.8221756957881399	0.6290277147542629	0.7276154986289611	0.7724649097019566	0.5363174213611646	0.7934786282850901	0.7269394540632839	0.8099500444038362	0.8281023531472436	0.8312521062373306
