	WenC_2017__RA005__bin.4	BritoIL_2016__M2.49.ST__bin.10	BritoIL_2016__M1.27.ST__bin.57	BritoIL_2016__W1.37.ST__bin.61	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	BritoIL_2016__WL.15.ST__bin.47	ChengpingW_2017__AS67raw__bin.31	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	CM_madagascar__A94_03_1FE__bin.24	ZeeviD_2015__PNP_Main_606__bin.20	LiJ_2014__O2.UC13-1__bin.109	BritoIL_2016__M1.35.ST__bin.82	XieH_2016__YSZC12003_35838__bin.82	LiJ_2017__H2M513938__bin.69	BritoIL_2016__M2.3.ST__bin.9	LeChatelierE_2013__MH0322__bin.36	BritoIL_2016__W2.6.ST__bin.7	VogtmannE_2016__MMRS86168210ST-27-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.41	CosteaPI_2017__SID713A013-11-0-0__bin.20	LiJ_2017__H1M513729__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.126	BritoIL_2016__W2.67.ST__bin.18	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.9	ZeeviD_2015__PNP_Main_4__bin.44	LeChatelierE_2013__MH0250__bin.33	HMP_2012__SRS017701__bin.15	BritoIL_2016__WL.44.ST__bin.16	QinJ_2012__DOM019__bin.2	BritoIL_2016__W2.34.ST__bin.57	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.127	ZeeviD_2015__PNP_Main_335__bin.29	BritoIL_2016__M1.1.ST__bin.27
WenC_2017__RA005__bin.4	0.0	23050.0	25783.0	23846.0	26668.0	25146.0	19232.0	16217.0	23899.0	19263.0	17362.0	25177.0	25051.0	15678.0	26730.0	21710.0	25569.0	26160.0	24529.0	24896.0	20038.0	23214.0	12868.0	23257.0	17791.0	21077.0	24283.0	16396.0	19198.0	22184.0	22931.0	24598.0	25923.0
BritoIL_2016__M2.49.ST__bin.10	23050.0	0.0	29501.0	26568.0	35607.0	26710.0	30286.0	18973.0	25947.0	28809.0	20011.0	26852.0	33060.0	22895.0	27665.0	20170.0	31478.0	33400.0	34714.0	30434.0	31407.0	32297.0	13283.0	30322.0	22515.0	25813.0	32050.0	16722.0	28267.0	21321.0	31659.0	31510.0	30130.0
BritoIL_2016__M1.27.ST__bin.57	25783.0	29501.0	0.0	28684.0	40472.0	23003.0	34367.0	20146.0	29105.0	33427.0	22419.0	27756.0	34656.0	25786.0	24968.0	25357.0	33338.0	36807.0	39141.0	33644.0	35562.0	35651.0	14054.0	34729.0	25132.0	28785.0	36052.0	18951.0	33391.0	15597.0	35302.0	36255.0	33651.0
BritoIL_2016__W1.37.ST__bin.61	23846.0	26568.0	28684.0	0.0	33771.0	28062.0	29468.0	18652.0	27300.0	30581.0	21028.0	27719.0	30615.0	22868.0	28385.0	22624.0	29899.0	32718.0	34676.0	30696.0	31791.0	29308.0	13826.0	30832.0	22171.0	27068.0	31594.0	8301.0	28704.0	23879.0	30105.0	30107.0	27981.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.55	26668.0	35607.0	40472.0	33771.0	0.0	35091.0	33462.0	19042.0	32489.0	33601.0	20447.0	35329.0	39124.0	24781.0	38413.0	26615.0	38921.0	34714.0	38053.0	36083.0	35052.0	501.0	16741.0	33048.0	23057.0	26326.0	35216.0	20657.0	32062.0	29460.0	37707.0	40093.0	37656.0
BritoIL_2016__WL.15.ST__bin.47	25146.0	26710.0	23003.0	28062.0	35091.0	0.0	31690.0	19356.0	28768.0	31127.0	21253.0	26939.0	30730.0	23934.0	15394.0	22883.0	29409.0	34276.0	35447.0	32052.0	33750.0	31631.0	13240.0	32424.0	23721.0	27762.0	33017.0	17418.0	30307.0	18855.0	31424.0	31549.0	30925.0
ChengpingW_2017__AS67raw__bin.31	19232.0	30286.0	34367.0	29468.0	33462.0	31690.0	0.0	19211.0	29437.0	23929.0	21223.0	30322.0	32415.0	19632.0	34536.0	25273.0	33758.0	33338.0	32250.0	31305.0	25291.0	30372.0	16299.0	29400.0	21182.0	26147.0	32327.0	20326.0	23491.0	26567.0	30635.0	31810.0	32912.0
Bengtsson-PalmeJ_2015__TRAVELRES36__bin.99	16217.0	18973.0	20146.0	18652.0	19042.0	19356.0	19211.0	0.0	17589.0	18980.0	14629.0	19034.0	19570.0	15251.0	20187.0	16910.0	20306.0	19842.0	21193.0	19567.0	19898.0	17632.0	10604.0	19527.0	15407.0	17221.0	19767.0	13352.0	19205.0	17412.0	19720.0	19675.0	20856.0
CM_madagascar__A94_03_1FE__bin.24	23899.0	25947.0	29105.0	27300.0	32489.0	28768.0	29437.0	17589.0	0.0	29106.0	20774.0	27389.0	28791.0	23676.0	30233.0	23629.0	28824.0	32105.0	33049.0	30227.0	31339.0	28639.0	14406.0	30580.0	20987.0	25817.0	30636.0	18142.0	29143.0	25076.0	28538.0	29217.0	28149.0
ZeeviD_2015__PNP_Main_606__bin.20	19263.0	28809.0	33427.0	30581.0	33601.0	31127.0	23929.0	18980.0	29106.0	0.0	20766.0	31202.0	31487.0	18680.0	33678.0	26312.0	31711.0	32609.0	31052.0	31934.0	25183.0	28918.0	15170.0	29432.0	22003.0	24938.0	30522.0	20507.0	21749.0	27312.0	28776.0	31181.0	31216.0
LiJ_2014__O2.UC13-1__bin.109	17362.0	20011.0	22419.0	21028.0	20447.0	21253.0	21223.0	14629.0	20774.0	20766.0	0.0	21420.0	21562.0	15945.0	23229.0	19152.0	22294.0	21080.0	22117.0	21982.0	21606.0	17383.0	12071.0	20365.0	15298.0	18352.0	21513.0	13945.0	21351.0	18794.0	21860.0	23781.0	22438.0
BritoIL_2016__M1.35.ST__bin.82	25177.0	26852.0	27756.0	27719.0	35329.0	26939.0	30322.0	19034.0	27389.0	31202.0	21420.0	0.0	30037.0	24314.0	28850.0	23673.0	29574.0	33057.0	34731.0	31408.0	33549.0	30759.0	14314.0	31957.0	22721.0	26057.0	31777.0	17123.0	30050.0	21884.0	30688.0	31764.0	29952.0
XieH_2016__YSZC12003_35838__bin.82	25051.0	33060.0	34656.0	30615.0	39124.0	30730.0	32415.0	19570.0	28791.0	31487.0	21562.0	30037.0	0.0	24889.0	32198.0	25558.0	33427.0	35686.0	37155.0	32729.0	35269.0	34338.0	14710.0	33159.0	25132.0	27819.0	34600.0	19375.0	29884.0	26472.0	33638.0	33325.0	33449.0
LiJ_2017__H2M513938__bin.69	15678.0	22895.0	25786.0	22868.0	24781.0	23934.0	19632.0	15251.0	23676.0	18680.0	15945.0	24314.0	24889.0	0.0	26021.0	20356.0	25023.0	27089.0	23740.0	24291.0	20274.0	22535.0	12569.0	21925.0	17010.0	20420.0	24127.0	16222.0	17663.0	22152.0	22834.0	24622.0	25466.0
BritoIL_2016__M2.3.ST__bin.9	26730.0	27665.0	24968.0	28385.0	38413.0	15394.0	34536.0	20187.0	30233.0	33678.0	23229.0	28850.0	32198.0	26021.0	0.0	25294.0	31997.0	36151.0	39434.0	33636.0	35261.0	33937.0	12827.0	35443.0	24833.0	28635.0	35877.0	17793.0	32260.0	18851.0	33997.0	33427.0	32251.0
LeChatelierE_2013__MH0322__bin.36	21710.0	20170.0	25357.0	22624.0	26615.0	22883.0	25273.0	16910.0	23629.0	26312.0	19152.0	23673.0	25558.0	20356.0	25294.0	0.0	24042.0	27048.0	26605.0	24944.0	26562.0	22450.0	12751.0	26016.0	19486.0	22512.0	26440.0	15783.0	25311.0	21282.0	24265.0	25602.0	25322.0
BritoIL_2016__W2.6.ST__bin.7	25569.0	31478.0	33338.0	29899.0	38921.0	29409.0	33758.0	20306.0	28824.0	31711.0	22294.0	29574.0	33427.0	25023.0	31997.0	24042.0	0.0	35586.0	38156.0	33057.0	35157.0	33355.0	14050.0	33643.0	25471.0	29478.0	34337.0	18469.0	32711.0	25291.0	35276.0	35150.0	31594.0
VogtmannE_2016__MMRS86168210ST-27-0-0__bin.40	26160.0	33400.0	36807.0	32718.0	34714.0	34276.0	33338.0	19842.0	32105.0	32609.0	21080.0	33057.0	35686.0	27089.0	36151.0	27048.0	35586.0	0.0	35102.0	33711.0	35293.0	31600.0	17535.0	31850.0	23033.0	28059.0	29199.0	21785.0	31751.0	30303.0	35502.0	36197.0	36057.0
Bengtsson-PalmeJ_2015__TRAVELRES49__bin.41	24529.0	34714.0	39141.0	34676.0	38053.0	35447.0	32250.0	21193.0	33049.0	31052.0	22117.0	34731.0	37155.0	23740.0	39434.0	26605.0	38156.0	35102.0	0.0	36491.0	33684.0	33299.0	17001.0	451.0	24521.0	28338.0	35890.0	20514.0	31932.0	29465.0	37834.0	38971.0	37124.0
CosteaPI_2017__SID713A013-11-0-0__bin.20	24896.0	30434.0	33644.0	30696.0	36083.0	32052.0	31305.0	19567.0	30227.0	31934.0	21982.0	31408.0	32729.0	24291.0	33636.0	24944.0	33057.0	33711.0	36491.0	0.0	33220.0	31751.0	15348.0	32808.0	23351.0	27108.0	33128.0	18997.0	30660.0	27210.0	33297.0	33871.0	32989.0
LiJ_2017__H1M513729__bin.15	20038.0	31407.0	35562.0	31791.0	35052.0	33750.0	25291.0	19898.0	31339.0	25183.0	21606.0	33549.0	35269.0	20274.0	35261.0	26562.0	35157.0	35293.0	33684.0	33220.0	0.0	31251.0	15695.0	31241.0	22862.0	27205.0	32657.0	21149.0	23007.0	28903.0	30982.0	33412.0	34388.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.126	23214.0	32297.0	35651.0	29308.0	501.0	31631.0	30372.0	17632.0	28639.0	28918.0	17383.0	30759.0	34338.0	22535.0	33937.0	22450.0	33355.0	31600.0	33299.0	31751.0	31251.0	0.0	14893.0	28665.0	20187.0	23424.0	30055.0	18515.0	27378.0	25962.0	34061.0	35240.0	34424.0
