	ZeeviD_2015__PNP_Main_470__bin.8	BritoIL_2016__W2.8.ST__bin.43	HMP_2012__SRS020233__bin.61	XieH_2016__YSZC12003_35561__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	XieH_2016__YSZC12003_37101__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	NielsenHB_2014__MH0124__bin.30	LeChatelierE_2013__MH0457__bin.66	NielsenHB_2014__O2_UC52_0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	LiJ_2014__O2.UC29-1__bin.53	LeChatelierE_2013__MH0124__bin.49	ZeeviD_2015__PNP_Main_82__bin.19	ZeeviD_2015__PNP_Main_511__bin.22	ZeeviD_2015__PNP_Validation_42__bin.67	XieH_2016__YSZC12003_37314__bin.50	NielsenHB_2014__O2_UC52_2__bin.42	CosteaPI_2017__SID713A052-11-0-0__bin.55	LeChatelierE_2013__MH0147__bin.53	ZeeviD_2015__PNP_Main_179__bin.32	BritoIL_2016__W1.5.ST__bin.38	ZeeviD_2015__PNP_Main_283__bin.6	ZeeviD_2015__PNP_Main_225__bin.46	XieH_2016__YSZC12003_37332__bin.63	ZeeviD_2015__PNP_Main_500__bin.24	ZeeviD_2015__PNP_Main_473__bin.11	ZeeviD_2015__PNP_Main_89__bin.4	NielsenHB_2014__MH0147__bin.44
ZeeviD_2015__PNP_Main_470__bin.8	1.0	0.739217775793735	0.8315939489769615	0.9226713862302387	0.9119086677537201	0.6643449087082466	0.9005721351514978	0.8134916441404294	0.9326652332835896	0.9218363434707162	0.8647196162457544	0.5746289220096729	0.8566610338728108	0.9164186887606504	0.9120800218859226	0.8969302425722675	0.7326870599482679	0.7218522443440791	0.814666926084642	0.9111847335813607	0.5735440083830194	0.92612908546275	0.7612508555361212	0.8806353040869195	0.7282595062038096	0.8979228126175899	0.4469750316782927	0.4909750198267101	0.9093847744693206
BritoIL_2016__W2.8.ST__bin.43	0.7652128840185805	1.0	0.8271982202710999	0.9321381232386609	0.9386996467225865	0.6669791688498369	0.8904425961263701	0.8223230839773792	0.9337636798512258	0.9405956182559209	0.8814401818169736	0.573779056185473	0.8550944075229533	0.9324197841485738	0.9270748722174483	0.9070462767341443	0.7090110532737841	0.70878357758429	0.8129924912575214	0.9014304387009247	0.5669046897308273	0.938792681723683	0.7548093216981648	0.9018552303817553	0.7238286663330357	0.9060806552117747	0.4858415552589568	0.4948107427822475	0.8986143407831195
HMP_2012__SRS020233__bin.61	0.758376171722835	0.728740787776029	1.0	0.9527721673185308	0.948499361646075	0.679118058323257	0.9325925275437897	0.8366255283026091	0.9503687141277743	0.9526929078541175	0.8911609935353999	0.6092440853750526	0.8807082013280464	0.9583667146276494	0.9522470733667935	0.9251718601881062	0.7682777503822242	0.7507253817176337	0.8502743683448507	0.9379033619973385	0.5850352727133532	0.9606485765945901	0.790066447352126	0.9226319546239566	0.7398997097572454	0.9163497413934805	0.474796616161275	0.5009297225243239	0.9309415889270926
XieH_2016__YSZC12003_35561__bin.34	0.7364338579877832	0.7187156358167117	0.8338777736699509	1.0	0.9330724644307301	0.6655787056561623	0.9099048464386587	0.8202732028936268	0.9390862704076445	0.9258920005896352	0.8763709215257047	0.5770873125168988	0.8677214935427852	0.9342477934006579	0.9339131675470467	0.8943130158815243	0.7577249698679075	0.7153055264110056	0.8245772244736441	0.9228716968013867	0.5627618575400388	0.9420423291851289	0.7506264873902415	0.8816575370433579	0.7330828697576268	0.893104973194459	0.45501745651243397	0.48843629220365115	0.9171598029609461
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	0.7461424301770669	0.7419714182854608	0.8510088531474918	0.9565310498561783	1.0	0.6729810310476338	0.9183163706257003	0.8267225980115065	0.9472871856639699	0.9496666382484579	0.9416122983233122	0.5854035190362268	0.8717681526696214	0.9547718145780563	0.9516278987078065	0.9121065206051543	0.7659877677793271	0.7256582889517681	0.8351280577016241	0.9300192853237998	0.565598586470212	0.9558086078081116	0.7704040382409425	0.9037636887212169	0.7351158957857143	0.924311265853421	0.46565511311591923	0.4928646726242546	0.9256466523013295
XieH_2016__YSZC12003_37101__bin.25	0.7584001163535343	0.735541494917425	0.8501130839098395	0.9519573776258468	0.9389386347851969	1.0	0.9234930413370734	0.8298476129486151	0.9439535623122784	0.9308863388323156	0.8855349556684015	0.5954848740405343	0.8708627975358306	0.9404776132192046	0.9407245262426828	0.913193160396504	0.7542674237162778	0.7372535379592131	0.8408149482722853	0.9357282017516168	0.5748185922124309	0.9516997537634505	0.7668481496180176	0.9063850129432033	0.7476114829212854	0.9037332347184515	0.47976271545698074	0.5139370563457775	0.927561468940822
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	0.7642378427849988	0.7299718099031177	0.8678179054678395	0.9674294797089552	0.9524275876577076	0.6864973752241441	1.0	0.841602414450159	0.9617089057155034	0.9500796002512678	0.8950215375357405	0.6000995684111673	0.8902656372902138	0.9596680885337504	0.9561077635283759	0.922349211058631	0.7865946388109788	0.7400786741309451	0.8564257873803743	0.9521199983740511	0.5855536125188	0.9660030029765758	0.7752197021412656	0.9215810759674291	0.7477625393967814	0.9190939609830956	0.4762672238474726	0.5032076868824904	0.9457029483731921
NielsenHB_2014__MH0124__bin.30	0.7557620642180158	0.7380140026452805	0.8522946180056163	0.9547811174865155	0.9386883060340931	0.6753448017209464	0.9213591034857054	1.0	0.9611442879878297	0.9382483434882561	0.8828213206124976	0.5996831719143325	0.9717258689260281	0.939460419657288	0.9412207286128426	0.907947356806872	0.7596749323655075	0.7420567033271537	0.839975666722178	0.9348410423121019	0.576942751192693	0.9587788584921717	0.7703436800229019	0.9010272368471155	0.7343415311338877	0.9146454310187817	0.4676191695213767	0.5043305802413234	0.9272047789383185
LeChatelierE_2013__MH0457__bin.66	0.7171045937157811	0.6935596551258043	0.8012637388505914	0.9046394296848778	0.8901598164153921	0.6357737116196847	0.8713453556344285	0.7954507831353663	1.0	0.8914940245397096	0.8423105720616667	0.5518590827148288	0.8414513481045436	0.8947536081331262	0.8902482826911365	0.8572108747454221	0.7441691991561912	0.6879881781718388	0.7910601221366163	0.8811989040812949	0.5428169180931379	0.9080691115252193	0.7188834113203421	0.8539626816596122	0.69943108211341	0.8571436707505433	0.4365636053538423	0.4698284437681014	0.8808609856889662
NielsenHB_2014__O2_UC52_0__bin.44	0.7286610047363175	0.7182320506685257	0.8257551213822834	0.916949333816307	0.9174290547740628	0.6445603390600592	0.8849559663781575	0.7982841681154578	0.9165020106124112	1.0	0.8642175005640332	0.5595150641748761	0.8410039244218953	0.9176101699281707	0.9178127534733905	0.8877554445791532	0.7391090851889179	0.727002083604941	0.802281972874883	0.8956015560289878	0.5553915717438501	0.9169571405039841	0.7442447146772755	0.8770844831933724	0.7064790823707037	0.8881219685655914	0.4417539129070309	0.47511774436688936	0.892964847266059
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	0.7436770777105868	0.732305097112221	0.8404113228012522	0.9443007805416268	0.989716505276587	0.667129297937228	0.9070527344438466	0.8172405460351382	0.9421599076209725	0.9402870154209951	1.0	0.5704167121441133	0.8641325005404207	0.9443113978443478	0.9417993440205686	0.9017211497094894	0.7441603773304448	0.7167061559545869	0.8230520328524827	0.9208611736706181	0.5635001764595712	0.9438204537665306	0.7610032416748668	0.8927915734290532	0.7270563273390873	0.9166881490091721	0.4618756017356317	0.48686873234077127	0.9144708315089268
LiJ_2014__O2.UC29-1__bin.53	0.7753453956683535	0.7478983085856684	0.9014168968193947	0.9755792685973954	0.9653674836672075	0.7038395804945979	0.9541595732985078	0.8709587790633756	0.9684544730696322	0.95509773023324	0.8949337526610541	1.0	0.9068812611814248	0.9707538903862235	0.961238393806032	0.9355963259962087	0.7898735020638786	0.782108387775975	0.879330230574721	0.9634378654264516	0.6076711653335022	0.9824208846526721	0.8029364045535259	0.9382682076072001	0.7561631513544308	0.9254525041394176	0.4952395864913397	0.5374346605011278	0.9543787875254445
LeChatelierE_2013__MH0124__bin.49	0.7543818452062574	0.7274219625830904	0.8504345534575113	0.9573613173062121	0.9382375732844205	0.6717801602190292	0.9238294278749105	0.9210728639129727	0.9637280712053651	0.9369329997103847	0.8848170248590843	0.591868071083605	1.0	0.9390946781225621	0.9477835729834989	0.903435029192008	0.7688404341272969	0.7443118417882747	0.8377710577743454	0.9386402516609396	0.5747838104158893	0.960267037513448	0.7655933505015216	0.8995391376420789	0.7357790608983642	0.9087942174341473	0.4634736793584281	0.5020460062219463	0.9267895053143979
ZeeviD_2015__PNP_Main_82__bin.19	0.7359190968426054	0.723332107984555	0.8439068243202784	0.9399646512653411	0.9370555384376843	0.6615761157712698	0.9081281865512222	0.8120497388500201	0.9345076853954685	0.9322290918420719	0.881743532517941	0.5777467937698351	0.8563736576185168	1.0	0.9429090573102366	0.9162725921202539	0.7591047578032708	0.7256943742215168	0.8258089383839909	0.9387674577502517	0.5720971031406601	0.9381777834352673	0.7596785699981481	0.8936488467643853	0.7255690634726701	0.9023052022598762	0.4535317208695138	0.4936045914492862	0.9338498039640232
ZeeviD_2015__PNP_Main_511__bin.22	0.7232327140120064	0.7101499441815917	0.8279829760707208	0.9278225495405504	0.9222356182921486	0.6534356220512276	0.8933917348032376	0.8033496526963365	0.9181202098662512	0.9207198479765778	0.8683492200106743	0.5648959968549039	0.8534382064180793	0.931062405802765	1.0	0.8866081633883712	0.749148039973107	0.7135432961719653	0.8082689558413935	0.9080082872030376	0.5490272012442552	0.9277309219885371	0.7447969059646795	0.8735770808949898	0.7175514142164454	0.8899929008225727	0.44809005500394117	0.48040012263995424	0.9049293665129491
ZeeviD_2015__PNP_Validation_42__bin.67	0.7393596646447821	0.7222984109461011	0.8362692790375715	0.923634067798059	0.9189084672877642	0.6594091310048485	0.895947234797093	0.8056116964006221	0.9190265157112275	0.9258033093450796	0.864291532386585	0.5715811039481499	0.84569117148406	0.9405581410874051	0.9216874900015021	1.0	0.7396686258634326	0.7157919074956272	0.8119215881665004	0.9220192467777869	0.576309553903149	0.9198329085625406	0.7593798631371003	0.887834865723989	0.7188017352304122	0.8993063230399179	0.45316021735564205	0.4849526931119559	0.912144699686846
XieH_2016__YSZC12003_37314__bin.50	0.7292719838350793	0.681732725362971	0.838524788784038	0.9449218959277552	0.9317994484227062	0.6576450864057479	0.9225968270788963	0.8138920605211329	0.9633541718992454	0.9306959989265329	0.8612484756914254	0.5826675363192169	0.8690104687620575	0.940885089374494	0.9403586776103954	0.8931226834318902	1.0	0.7149374621841222	0.8253045299428025	0.9229949536231727	0.5585273053370092	0.9412689620054568	0.7503476234548635	0.8802189597690669	0.7104868006305145	0.8897567938328724	0.4420649693368834	0.48266257202526974	0.9231645260401793
NielsenHB_2014__O2_UC52_2__bin.42	0.7307980924451208	0.6931909249661419	0.8334064072766649	0.9073064111261703	0.8978646243957652	0.6538244835538634	0.8829110459305979	0.8086380900054343	0.9058855937012094	0.931135849043398	0.8436865862736639	0.5868245930397944	0.8557005424802913	0.9148854372213171	0.911012434902115	0.8791010355169361	0.7271870564632444	1.0	0.8117381916423739	0.901586646115974	0.5663367257307436	0.9073119104195111	0.7552319526940788	0.8666901303182541	0.7079925229607995	0.8779571825020485	0.4465901131704576	0.500917132148519	0.8912084797103572
CosteaPI_2017__SID713A052-11-0-0__bin.55	0.7604168299133724	0.7330748120089347	0.870276715841952	0.9643091230402329	0.952695944444803	0.6874914151438246	0.9420009421447529	0.843929849856051	0.9603386558673401	0.947386009242606	0.8932845913239715	0.608297326871683	0.8880036948299115	0.9598758802646487	0.9514422097442842	0.9193664214816378	0.7739534772239732	0.7484081717690289	1.0	0.9457524666769301	0.5866026463020818	0.9609295705313347	0.7864332077447618	0.9159361664664686	0.7518176848498146	0.9182661770955576	0.47976186415600147	0.5065728885402195	0.9408767293011627
LeChatelierE_2013__MH0147__bin.53	0.7506778794263543	0.7174134765481179	0.847289682441204	0.952580783089568	0.9364158251740314	0.6752928052633955	0.9243338067471023	0.8289970069563752	0.9442009118673346	0.9334484117991907	0.8821293286135703	0.5882516630167293	0.8781407735372145	0.963094881150904	0.9433913214346593	0.9214888490105706	0.7639685878912122	0.7336781076576271	0.8347434717109168	1.0	0.5840678298460599	0.949721586325326	0.7650942847390576	0.8993727911708265	0.7397679363946701	0.908116774673082	0.4633916631713244	0.5010123948702072	0.9730467410323621
ZeeviD_2015__PNP_Main_179__bin.32	0.7299048100253953	0.6969468445657755	0.8164097285197258	0.8972995257154959	0.8797056884603759	0.640804429755681	0.8781245306330476	0.7903149683988389	0.8984546004717079	0.8941843431439275	0.8338433132923464	0.5731395472333194	0.830657116875592	0.9066362752546915	0.8811467039206555	0.8897299525715496	0.7141227684841812	0.7119100273434726	0.7997824336884654	0.9022265040009703	1.0	0.90226735267298	0.7455448238762373	0.8671852562688571	0.7018373732669951	0.8679846333580311	0.4502372050961546	0.48464247042713254	0.8960313315598726
BritoIL_2016__W1.5.ST__bin.38	0.744291869577658	0.7288389516081345	0.8465701213160022	0.9485396163082297	0.9387983012822929	0.6699878521285365	0.9148295706415989	0.8293888799154531	0.9491480020303336	0.932285835724743	0.8819664232991492	0.5851424507586566	0.8763580038439818	0.9389030722089958	0.9402615225199947	0.8967752381851929	0.7600015556895177	0.7202433701632244	0.8273545777553067	0.9264476345780569	0.5697804136308563	1.0	0.7609313976640052	0.9004755568237424	0.7304946497376956	0.8985809492325331	0.46431061722378475	0.4932349333256078	0.9249633797831004
ZeeviD_2015__PNP_Main_283__bin.6	0.7703518326218991	0.7378850464889197	0.8767011706432691	0.9516965982084051	0.9528169696800095	0.6797761455823284	0.9244343923059164	0.8391002647514745	0.9461567060878847	0.9528079747261786	0.8954446555482375	0.6021916704728647	0.8797864398072681	0.9573154460347745	0.9505042671061534	0.9322305186790211	0.7628740276704769	0.7549054980156132	0.8526121845644593	0.9397862798969778	0.5928374182083851	0.9581534759000201	1.0	0.9192313112343975	0.7400708202698286	0.9248051842916124	0.47715481614814087	0.5016930501988385	0.9275036704408827
ZeeviD_2015__PNP_Main_225__bin.46	0.7562776925843245	0.7481904401636619	0.8688410505031314	0.9486334366963638	0.9485706724929942	0.6818567347686545	0.9326285648371184	0.8328966697652959	0.9538220855357349	0.952916669493883	0.8915099540633884	0.5971789186915191	0.8772493333423804	0.9556876242561594	0.9461092979230138	0.9249543687278204	0.7594600073281448	0.7351906165819633	0.8427112100259878	0.9375139947210216	0.5851909558479275	0.9622443630960055	0.780097131845539	1.0	0.7360057030608576	0.9137496861789831	0.4764155024189663	0.4975933320667404	0.931310516566357
XieH_2016__YSZC12003_37332__bin.63	0.7702466967991151	0.7395534868368137	0.8581104301655962	0.9714267508871036	0.9502307983984607	0.6926516380471082	0.9319601725216723	0.8360067437631159	0.9621258731324341	0.9453035476831894	0.8941340960108802	0.5927225645519983	0.8837082131639176	0.9556223618003842	0.9570873753955015	0.9222649684695648	0.7549682502044751	0.7396448869719814	0.8518920872552697	0.9497121679171946	0.5832848477378205	0.9613664685808119	0.7734916627408133	0.9064412547828385	1.0	0.9222816816371383	0.45911959211514536	0.5080996188353221	0.9411853187357743
ZeeviD_2015__PNP_Main_500__bin.24	0.7442106129111078	0.7254606154691162	0.8328077478597655	0.9274119052579148	0.9362777579731077	0.6561336745648418	0.8976493743929846	0.8159764614107028	0.9239612541526709	0.9312317281455011	0.8834243916134976	0.5684643804483023	0.8553427792741559	0.9312669263420438	0.9302469972050176	0.9042060617024386	0.7408958432157727	0.7187553590277439	0.8153682693169544	0.9135900646132475	0.5652875385696517	0.9267067134829966	0.7574357213399708	0.8818584811487055	0.7227311181116413	1.0	0.4488871026031522	0.4874291278173394	0.9092295810555121
ZeeviD_2015__PNP_Main_473__bin.11	0.726490169875152	0.7628361485334072	0.8462150307203943	0.926590497746636	0.92499729114747	0.6830746880806475	0.9121938495001666	0.8181007532616591	0.9228631166652621	0.9083541012027305	0.8728958235513659	0.5965599579425562	0.85543957653612	0.9179478535855174	0.9184735716320936	0.8935136024528157	0.7218742851639157	0.7169790876584679	0.8354117255189961	0.9142132488973967	0.5750271888531722	0.9390383774174	0.7663805315771943	0.901669054470008	0.7055513417849533	0.8802919942371671	1.0	0.509349353687852	0.9065425811552152
ZeeviD_2015__PNP_Main_89__bin.4	0.760118377756847	0.7400329965382686	0.8504039705936319	0.9474211324632115	0.9325650450759012	0.6969907095937664	0.9180346417780822	0.8404369671319005	0.9460289476581326	0.9305750082567797	0.8764449364533767	0.6166514782693789	0.8826390502868466	0.9516229159276339	0.937950300302137	0.9108023143447787	0.7507484617925163	0.7660173881665057	0.840218315372289	0.9415060672040709	0.5895814730095045	0.9501756859243312	0.7675357182175142	0.897038721238884	0.7437500764516642	0.9104926851047693	0.4851668481119497	1.0	0.9349281660163179
NielsenHB_2014__MH0147__bin.44	0.7465181261748296	0.7126169559765968	0.8379956276169539	0.9433025234236254	0.9286830516850052	0.6670073174380089	0.9148236595135409	0.8192875358706884	0.9404665145426531	0.9273749040779586	0.8728778071765294	0.5806383614387111	0.8639558918733103	0.9546266955348265	0.9368331315237629	0.9083627805048307	0.761378796496094	0.7226414933719035	0.8274728834013622	0.9695700625129974	0.5779847716538561	0.9448121427879395	0.7523968855790408	0.8902295115992196	0.7305065940449489	0.9005532163121588	0.4578617968605268	0.4957344334691207	1.0
