	ZeeviD_2015__PNP_Main_470__bin.8	BritoIL_2016__W2.8.ST__bin.43	HMP_2012__SRS020233__bin.61	XieH_2016__YSZC12003_35561__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	XieH_2016__YSZC12003_37101__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	NielsenHB_2014__MH0124__bin.30	LeChatelierE_2013__MH0457__bin.66	NielsenHB_2014__O2_UC52_0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	LiJ_2014__O2.UC29-1__bin.53	LeChatelierE_2013__MH0124__bin.49	ZeeviD_2015__PNP_Main_82__bin.19	ZeeviD_2015__PNP_Main_511__bin.22	ZeeviD_2015__PNP_Validation_42__bin.67	XieH_2016__YSZC12003_37314__bin.50	NielsenHB_2014__O2_UC52_2__bin.42	CosteaPI_2017__SID713A052-11-0-0__bin.55	LeChatelierE_2013__MH0147__bin.53	ZeeviD_2015__PNP_Main_179__bin.32	BritoIL_2016__W1.5.ST__bin.38	ZeeviD_2015__PNP_Main_283__bin.6	ZeeviD_2015__PNP_Main_225__bin.46	XieH_2016__YSZC12003_37332__bin.63	ZeeviD_2015__PNP_Main_500__bin.24	ZeeviD_2015__PNP_Main_473__bin.11	ZeeviD_2015__PNP_Main_89__bin.4	NielsenHB_2014__MH0147__bin.44
ZeeviD_2015__PNP_Main_470__bin.8	2025046.0	1496950.0	1684016.0	1868452.0	1846657.0	1345329.0	1823700.0	1647358.0	1888690.0	1866761.0	1751097.0	1163650.0	1734778.0	1855790.0	1847004.0	1816325.0	1483725.0	1461784.0	1649738.0	1845191.0	1161453.0	1875454.0	1541568.0	1783327.0	1474759.0	1818335.0	905145.0	994247.0	1841546.0
BritoIL_2016__W2.8.ST__bin.43	1496950.0	1956253.0	1618209.0	1823498.0	1836334.0	1304780.0	1741931.0	1608672.0	1826678.0	1840043.0	1724320.0	1122457.0	1672781.0	1824049.0	1813593.0	1774412.0	1387005.0	1386560.0	1590419.0	1763426.0	1109009.0	1836516.0	1476598.0	1764257.0	1415992.0	1772523.0	950429.0	967975.0	1757917.0
HMP_2012__SRS020233__bin.61	1684016.0	1618209.0	2220555.0	2115683.0	2106195.0	1508019.0	2070873.0	1857773.0	2110346.0	2115507.0	1978872.0	1352860.0	1955661.0	2128106.0	2114517.0	2054395.0	1706003.0	1667027.0	1888081.0	2082666.0	1299103.0	2133173.0	1754386.0	2048755.0	1642988.0	2034805.0	1054312.0	1112342.0	2067207.0
XieH_2016__YSZC12003_35561__bin.34	1868452.0	1823498.0	2115683.0	2537162.0	2367356.0	1688681.0	2308576.0	2081166.0	2382614.0	2349138.0	2223495.0	1464164.0	2201550.0	2370338.0	2369489.0	2269017.0	1922471.0	1814846.0	2092086.0	2341475.0	1427818.0	2390114.0	1904461.0	2236908.0	1859950.0	2265952.0	1154453.0	1239242.0	2326983.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	1846657.0	1836334.0	2106195.0	2367356.0	2474939.0	1665587.0	2272777.0	2046088.0	2344478.0	2350367.0	2330433.0	1448838.0	2157573.0	2363002.0	2355221.0	2257408.0	1895773.0	1795960.0	2066891.0	2301741.0	1399822.0	2365568.0	1906703.0	2236760.0	1819367.0	2287614.0	1152468.0	1219810.0	2290919.0
XieH_2016__YSZC12003_37101__bin.25	1345329.0	1304780.0	1508019.0	1688681.0	1665587.0	1773904.0	1638188.0	1472070.0	1674483.0	1651303.0	1570854.0	1056333.0	1544827.0	1668317.0	1668755.0	1619917.0	1337998.0	1307817.0	1491525.0	1659892.0	1019673.0	1688224.0	1360315.0	1607840.0	1326191.0	1603136.0	851053.0	911675.0	1645405.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	1823700.0	1741931.0	2070873.0	2308576.0	2272777.0	1638188.0	2386299.0	2008315.0	2294925.0	2267174.0	2135789.0	1432017.0	2124440.0	2290055.0	2281559.0	2201001.0	1877050.0	1766049.0	2043688.0	2272043.0	1397306.0	2305172.0	1849906.0	2199168.0	1784385.0	2193233.0	1136516.0	1200804.0	2256730.0
NielsenHB_2014__MH0124__bin.30	1647358.0	1608672.0	1857773.0	2081166.0	2046088.0	1472070.0	2008315.0	2179731.0	2095036.0	2045129.0	1924313.0	1307148.0	2118101.0	2047771.0	2051608.0	1979081.0	1655887.0	1617484.0	1830921.0	2037702.0	1257580.0	2089880.0	1679142.0	1963997.0	1600667.0	1993681.0	1019284.0	1099305.0	2021057.0
LeChatelierE_2013__MH0457__bin.66	1888690.0	1826678.0	2110346.0	2382614.0	2344478.0	1674483.0	2294925.0	2095036.0	2633772.0	2347992.0	2218454.0	1453471.0	2216191.0	2356577.0	2344711.0	2257698.0	1959972.0	1812004.0	2083472.0	2320877.0	1429656.0	2391647.0	1893375.0	2249143.0	1842142.0	2257521.0	1149809.0	1237421.0	2319987.0
NielsenHB_2014__O2_UC52_0__bin.44	1866761.0	1840043.0	2115507.0	2349138.0	2350367.0	1651303.0	2267174.0	2045129.0	2347992.0	2561906.0	2214044.0	1433425.0	2154573.0	2350831.0	2351350.0	2274346.0	1893528.0	1862511.0	2055371.0	2294447.0	1422861.0	2349158.0	1906685.0	2247008.0	1809933.0	2275285.0	1131732.0	1217207.0	2287692.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	1751097.0	1724320.0	1978872.0	2223495.0	2330433.0	1570854.0	2135789.0	1924313.0	2218454.0	2214044.0	2354647.0	1343130.0	2034727.0	2223520.0	2217605.0	2123235.0	1752235.0	1687590.0	1937997.0	2168303.0	1326844.0	2222364.0	1791894.0	2102209.0	1711961.0	2158477.0	1087554.0	1146404.0	2153256.0
LiJ_2014__O2.UC29-1__bin.53	1163650.0	1122457.0	1352860.0	1464164.0	1448838.0	1056333.0	1432017.0	1307148.0	1453471.0	1433425.0	1343130.0	1500815.0	1361061.0	1456922.0	1442641.0	1404157.0	1185454.0	1173800.0	1319712.0	1445942.0	912002.0	1474432.0	1205059.0	1408167.0	1134861.0	1388933.0	743263.0	806590.0	1432346.0
LeChatelierE_2013__MH0124__bin.49	1734778.0	1672781.0	1955661.0	2201550.0	2157573.0	1544827.0	2124440.0	2118101.0	2216191.0	2154573.0	2034727.0	1361061.0	2299602.0	2159544.0	2179525.0	2077541.0	1768027.0	1711621.0	1926540.0	2158499.0	1321774.0	2208232.0	1760560.0	2068582.0	1691999.0	2089865.0	1065805.0	1154506.0	2131247.0
ZeeviD_2015__PNP_Main_82__bin.19	1855790.0	1824049.0	2128106.0	2370338.0	2363002.0	1668317.0	2290055.0	2047771.0	2356577.0	2350831.0	2223520.0	1456922.0	2159544.0	2521731.0	2377763.0	2310593.0	1914258.0	1830006.0	2082468.0	2367319.0	1442675.0	2365832.0	1915705.0	2253542.0	1829690.0	2275371.0	1143685.0	1244738.0	2354918.0
ZeeviD_2015__PNP_Main_511__bin.22	1847004.0	1813593.0	2114517.0	2369489.0	2355221.0	1668755.0	2281559.0	2051608.0	2344711.0	2351350.0	2217605.0	1442641.0	2179525.0	2377763.0	2553817.0	2264235.0	1913187.0	1822259.0	2064171.0	2318887.0	1402115.0	2369255.0	1902075.0	2230956.0	1832495.0	2272879.0	1144340.0	1226854.0	2311024.0
