	ZeeviD_2015__PNP_Main_470__bin.8	BritoIL_2016__W2.8.ST__bin.43	HMP_2012__SRS020233__bin.61	XieH_2016__YSZC12003_35561__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	XieH_2016__YSZC12003_37101__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	NielsenHB_2014__MH0124__bin.30	LeChatelierE_2013__MH0457__bin.66	NielsenHB_2014__O2_UC52_0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	LiJ_2014__O2.UC29-1__bin.53	LeChatelierE_2013__MH0124__bin.49	ZeeviD_2015__PNP_Main_82__bin.19	ZeeviD_2015__PNP_Main_511__bin.22	ZeeviD_2015__PNP_Validation_42__bin.67	XieH_2016__YSZC12003_37314__bin.50	NielsenHB_2014__O2_UC52_2__bin.42	CosteaPI_2017__SID713A052-11-0-0__bin.55	LeChatelierE_2013__MH0147__bin.53	ZeeviD_2015__PNP_Main_179__bin.32	BritoIL_2016__W1.5.ST__bin.38	ZeeviD_2015__PNP_Main_283__bin.6	ZeeviD_2015__PNP_Main_225__bin.46	XieH_2016__YSZC12003_37332__bin.63	ZeeviD_2015__PNP_Main_500__bin.24	ZeeviD_2015__PNP_Main_473__bin.11	ZeeviD_2015__PNP_Main_89__bin.4	NielsenHB_2014__MH0147__bin.44
ZeeviD_2015__PNP_Main_470__bin.8	0.0	12157.0	15072.0	9709.0	9433.0	9113.0	9631.0	9694.0	10918.0	10580.0	9047.0	9701.0	10056.0	10222.0	10256.0	10454.0	7461.0	10497.0	9434.0	11003.0	7510.0	15940.0	15056.0	11240.0	9493.0	11109.0	7013.0	5874.0	11196.0
BritoIL_2016__W2.8.ST__bin.43	12157.0	0.0	8616.0	14073.0	14547.0	11143.0	13651.0	14345.0	15162.0	15112.0	14078.0	8586.0	14555.0	14561.0	14222.0	13935.0	10783.0	12339.0	12553.0	13902.0	8536.0	9027.0	9033.0	12228.0	12375.0	14012.0	5620.0	7916.0	13677.0
HMP_2012__SRS020233__bin.61	15072.0	8616.0	0.0	16983.0	17137.0	13353.0	17427.0	16776.0	17387.0	18166.0	16570.0	9503.0	17302.0	17607.0	18086.0	17185.0	14076.0	16134.0	16369.0	17176.0	10856.0	10629.0	8518.0	13872.0	15175.0	17341.0	6454.0	9009.0	16729.0
XieH_2016__YSZC12003_35561__bin.34	9709.0	14073.0	16983.0	0.0	10558.0	9576.0	10213.0	10935.0	10516.0	10478.0	10425.0	10971.0	11060.0	11116.0	11225.0	11213.0	8042.0	9986.0	9844.0	11746.0	7075.0	18425.0	16884.0	12257.0	10597.0	10593.0	8282.0	5574.0	11639.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	9433.0	14547.0	17137.0	10558.0	0.0	9451.0	9348.0	10192.0	10061.0	11036.0	154.0	11164.0	10116.0	10864.0	11576.0	10987.0	8301.0	10150.0	9788.0	10607.0	7320.0	18423.0	17212.0	12190.0	10121.0	11701.0	8303.0	5505.0	10470.0
XieH_2016__YSZC12003_37101__bin.25	9113.0	11143.0	13353.0	9576.0	9451.0	0.0	9144.0	9462.0	9636.0	9638.0	8940.0	9430.0	9476.0	10094.0	9965.0	10388.0	7397.0	9475.0	9055.0	10452.0	6672.0	14536.0	12722.0	10871.0	9290.0	9940.0	7352.0	5690.0	10414.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	9631.0	13651.0	17427.0	10213.0	9348.0	9144.0	0.0	10538.0	9925.0	10924.0	9203.0	10943.0	10953.0	10435.0	10635.0	10689.0	7851.0	10464.0	9812.0	11083.0	7150.0	18383.0	16588.0	12817.0	9839.0	10633.0	8749.0	5476.0	11071.0
NielsenHB_2014__MH0124__bin.30	9694.0	14345.0	16776.0	10935.0	10192.0	9462.0	10538.0	0.0	11249.0	10790.0	10101.0	10584.0	934.0	10855.0	11881.0	11015.0	8345.0	9987.0	9942.0	11105.0	7650.0	19240.0	15823.0	12460.0	10197.0	11483.0	8749.0	5853.0	10704.0
LeChatelierE_2013__MH0457__bin.66	10918.0	15162.0	17387.0	10516.0	10061.0	9636.0	9925.0	11249.0	0.0	10632.0	10214.0	11130.0	11287.0	11015.0	11052.0	10835.0	9092.0	10243.0	9823.0	10977.0	7598.0	19635.0	16393.0	12958.0	9921.0	10896.0	8527.0	5577.0	11719.0
NielsenHB_2014__O2_UC52_0__bin.44	10580.0	15112.0	18166.0	10478.0	11036.0	9638.0	10924.0	10790.0	10632.0	0.0	10659.0	11007.0	10820.0	12226.0	12364.0	12776.0	8770.0	2661.0	10569.0	12311.0	8238.0	18954.0	17816.0	13507.0	10733.0	12469.0	8606.0	5943.0	12097.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	9047.0	14078.0	16570.0	10425.0	154.0	8940.0	9203.0	10101.0	10214.0	10659.0	0.0	10433.0	10169.0	10480.0	11229.0	10713.0	7864.0	9786.0	9399.0	10445.0	7043.0	17400.0	16624.0	11833.0	9090.0	10701.0	8098.0	5323.0	9967.0
LiJ_2014__O2.UC29-1__bin.53	9701.0	8586.0	9503.0	10971.0	11164.0	9430.0	10943.0	10584.0	11130.0	11007.0	10433.0	0.0	10769.0	11102.0	11142.0	10770.0	8849.0	9767.0	10473.0	11244.0	6831.0	11019.0	8975.0	10388.0	10078.0	10346.0	5850.0	6000.0	11193.0
LeChatelierE_2013__MH0124__bin.49	10056.0	14555.0	17302.0	11060.0	10116.0	9476.0	10953.0	934.0	11287.0	10820.0	10169.0	10769.0	0.0	10853.0	12008.0	11096.0	8771.0	10623.0	10040.0	11350.0	7751.0	19581.0	16354.0	12708.0	10513.0	11607.0	8901.0	5935.0	11213.0
ZeeviD_2015__PNP_Main_82__bin.19	10222.0	14561.0	17607.0	11116.0	10864.0	10094.0	10435.0	10855.0	11015.0	12226.0	10480.0	11102.0	10853.0	0.0	12179.0	10290.0	9090.0	11708.0	11034.0	12347.0	6174.0	18180.0	17181.0	12217.0	10735.0	11883.0	8555.0	6090.0	12319.0
ZeeviD_2015__PNP_Main_511__bin.22	10256.0	14222.0	18086.0	11225.0	11576.0	9965.0	10635.0	11881.0	11052.0	12364.0	11229.0	11142.0	12008.0	12179.0	0.0	12072.0	8814.0	11946.0	10628.0	12394.0	7540.0	18935.0	17077.0	12599.0	11406.0	11979.0	9160.0	6068.0	12563.0
ZeeviD_2015__PNP_Validation_42__bin.67	10454.0	13935.0	17185.0	11213.0	10987.0	10388.0	10689.0	11015.0	10835.0	12776.0	10713.0	10770.0	11096.0	10290.0	12072.0	0.0	8690.0	11226.0	10984.0	11991.0	6992.0	16853.0	16465.0	10857.0	10627.0	11695.0	8194.0	6039.0	11710.0
XieH_2016__YSZC12003_37314__bin.50	7461.0	10783.0	14076.0	8042.0	8301.0	7397.0	7851.0	8345.0	9092.0	8770.0	7864.0	8849.0	8771.0	9090.0	8814.0	8690.0	0.0	8379.0	7894.0	8814.0	5693.0	14713.0	13751.0	9463.0	7688.0	8446.0	6288.0	4714.0	8941.0
NielsenHB_2014__O2_UC52_2__bin.42	10497.0	12339.0	16134.0	9986.0	10150.0	9475.0	10464.0	9987.0	10243.0	2661.0	9786.0	9767.0	10623.0	11708.0	11946.0	11226.0	8379.0	0.0	10366.0	11627.0	7663.0	16617.0	15316.0	12061.0	10863.0	11444.0	7592.0	6261.0	11663.0
CosteaPI_2017__SID713A052-11-0-0__bin.55	9434.0	12553.0	16369.0	9844.0	9788.0	9055.0	9812.0	9942.0	9823.0	10569.0	9399.0	10473.0	10040.0	11034.0	10628.0	10984.0	7894.0	10366.0	0.0	11084.0	6996.0	17010.0	15641.0	11658.0	9634.0	10365.0	8618.0	5295.0	11103.0
LeChatelierE_2013__MH0147__bin.53	11003.0	13902.0	17176.0	11746.0	10607.0	10452.0	11083.0	11105.0	10977.0	12311.0	10445.0	11244.0	11350.0	12347.0	12394.0	11991.0	8814.0	11627.0	11084.0	0.0	8261.0	18511.0	16865.0	12347.0	11163.0	12282.0	8633.0	6477.0	710.0
ZeeviD_2015__PNP_Main_179__bin.32	7510.0	8536.0	10856.0	7075.0	7320.0	6672.0	7150.0	7650.0	7598.0	8238.0	7043.0	6831.0	7751.0	6174.0	7540.0	6992.0	5693.0	7663.0	6996.0	8261.0	0.0	12076.0	10405.0	8161.0	6782.0	8002.0	5677.0	4030.0	8078.0
BritoIL_2016__W1.5.ST__bin.38	15940.0	9027.0	10629.0	18425.0	18423.0	14536.0	18383.0	19240.0	19635.0	18954.0	17400.0	11019.0	19581.0	18180.0	18935.0	16853.0	14713.0	16617.0	17010.0	18511.0	12076.0	0.0	10183.0	15435.0	16224.0	17526.0	6621.0	9775.0	19020.0
ZeeviD_2015__PNP_Main_283__bin.6	15056.0	9033.0	8518.0	16884.0	17212.0	12722.0	16588.0	15823.0	16393.0	17816.0	16624.0	8975.0	16354.0	17181.0	17077.0	16465.0	13751.0	15316.0	15641.0	16865.0	10405.0	10183.0	0.0	13540.0	14369.0	17393.0	6174.0	9119.0	16193.0
ZeeviD_2015__PNP_Main_225__bin.46	11240.0	12228.0	13872.0	12257.0	12190.0	10871.0	12817.0	12460.0	12958.0	13507.0	11833.0	10388.0	12708.0	12217.0	12599.0	10857.0	9463.0	12061.0	11658.0	12347.0	8161.0	15435.0	13540.0	0.0	10955.0	12212.0	6945.0	6620.0	12532.0
XieH_2016__YSZC12003_37332__bin.63	9493.0	12375.0	15175.0	10597.0	10121.0	9290.0	9839.0	10197.0	9921.0	10733.0	9090.0	10078.0	10513.0	10735.0	11406.0	10627.0	7688.0	10863.0	9634.0	11163.0	6782.0	16224.0	14369.0	10955.0	0.0	10898.0	7804.0	5371.0	11016.0
ZeeviD_2015__PNP_Main_500__bin.24	11109.0	14012.0	17341.0	10593.0	11701.0	9940.0	10633.0	11483.0	10896.0	12469.0	10701.0	10346.0	11607.0	11883.0	11979.0	11695.0	8446.0	11444.0	10365.0	12282.0	8002.0	17526.0	17393.0	12212.0	10898.0	0.0	8171.0	6285.0	12008.0
ZeeviD_2015__PNP_Main_473__bin.11	7013.0	5620.0	6454.0	8282.0	8303.0	7352.0	8749.0	8749.0	8527.0	8606.0	8098.0	5850.0	8901.0	8555.0	9160.0	8194.0	6288.0	7592.0	8618.0	8633.0	5677.0	6621.0	6174.0	6945.0	7804.0	8171.0	0.0	5178.0	8704.0
ZeeviD_2015__PNP_Main_89__bin.4	5874.0	7916.0	9009.0	5574.0	5505.0	5690.0	5476.0	5853.0	5577.0	5943.0	5323.0	6000.0	5935.0	6090.0	6068.0	6039.0	4714.0	6261.0	5295.0	6477.0	4030.0	9775.0	9119.0	6620.0	5371.0	6285.0	5178.0	0.0	6370.0
NielsenHB_2014__MH0147__bin.44	11196.0	13677.0	16729.0	11639.0	10470.0	10414.0	11071.0	10704.0	11719.0	12097.0	9967.0	11193.0	11213.0	12319.0	12563.0	11710.0	8941.0	11663.0	11103.0	710.0	8078.0	19020.0	16193.0	12532.0	11016.0	12008.0	8704.0	6370.0	0.0
