	HMP_2012__SRS016541__bin.7	HMP_2012__SRS017445__bin.7	ZellerG_2014__CCIS76845094ST-20-0__bin.28	CM_cf__CF_TNFC018SA_t5M17__bin.3	HMP_2012__SRS015947__bin.20	HMP_2012__SRS024447__bin.10	HMP_2012__SRS019128__bin.8	HMP_2012__SRS064493__bin.1	HMP_2012__SRS023538__bin.14	HMP_2012__SRS053630__bin.9	HMP_2012__SRS024021__bin.38	HMP_2012__SRS015440__bin.36	HMP_2012__SRS018337__bin.12	CM_cf__CF_TNFC045IS_t1M15__bin.8	HMP_2012__SRS016360__bin.21	HMP_2012__SRS022602__bin.6	HMP_2012__SRS015470__bin.32	CM_periimplantitis__SP_162SPT_T016__bin.2	OhJ_2014__MET0094__bin.3	HMP_2012__SRS018975__bin.43	HMP_2012__SRS018394__bin.51	HMP_2012__SRS014690__bin.46	HMP_2012__SRS024144__bin.27	CM_periimplantitis__SP_163SPT_T016__bin.41	VincentC_2016__MM001.2__bin.8	CM_periimplantitis__SP_283SPT_T016__bin.19	VincentC_2016__MM017__bin.13	HMP_2012__SRS019225__bin.27	HMP_2012__SRS015989__bin.17	OhJ_2014__MET0103__bin.10
HMP_2012__SRS016541__bin.7	1.0	0.9559517284902088	0.9533885574207231	0.9564069878538268	0.9536861830139804	0.9495500116150207	0.9502366411661599	0.9544279708843736	0.9504628589999121	0.9514149773768927	0.9524771294275804	0.9490991233099231	0.9502748570880228	0.9520180076362287	0.9547408961900336	0.9582172935610509	0.9482389119517295	0.9508700532731649	0.9512812156115442	0.950596018341938	0.9557353415153108	0.9478060877652704	0.9527125176451293	0.950127875076277	0.9483334045288624	0.9471653557276024	0.9488827682802435	0.9535598578965563	0.9554081734321401	0.9512822615051295
HMP_2012__SRS017445__bin.7	0.9559517284902088	1.0	0.9544200610234537	0.9554598501867869	0.9543118880674838	0.9534693474566112	0.9516656112834002	0.9551088815132915	0.951745410700537	0.9540166153531807	0.9602251415507171	0.9535308244303398	0.9519054570446993	0.9624761641070527	0.9556734305984844	0.9601436265709156	0.9525075582335344	0.9520665731058884	0.9532313999691111	0.952550104094576	0.9571754556262886	0.949710775879399	0.9544743449462177	0.9504206661997684	0.9510290509857801	0.9511332047829814	0.9494721694918756	0.9539701330350999	0.9589851566494688	0.95350322242333
ZellerG_2014__CCIS76845094ST-20-0__bin.28	0.9533885574207231	0.9544200610234537	1.0	0.9520834009451508	0.9513374515363694	0.950707180411226	0.9494864585294681	0.9522020706366107	0.948980542678256	0.9499336009546142	0.9514485066037487	0.9494507530986339	0.9490845989052117	0.9532297868826891	0.9522426996284296	0.9573550047738697	0.9491716004512589	0.9495244837706388	0.9511339250563416	0.9503239199454991	0.9530110575373463	0.9477527702621193	0.9520012087838292	0.9494950401357436	0.9497099779691359	0.9473597775271796	0.9475485635599795	0.950878585491154	0.9571766022172554	0.950373802620064
CM_cf__CF_TNFC018SA_t5M17__bin.3	0.9564069878538268	0.9554598501867869	0.9520834009451508	1.0	0.9511842268059458	0.9503364866896166	0.9505455953533398	0.9532008508936202	0.950293484216408	0.9509173411245745	0.9497058830443358	0.9500641200015544	0.9505751405303426	0.9518745121827195	0.9712867503045038	0.9584129450381786	0.9494602225419908	0.9498574232492686	0.9515049165185671	0.9490165940185398	0.9535373914681823	0.9478473757761229	0.9534135554519607	0.950283930044814	0.9496040024172276	0.947257004810812	0.9503362323297726	0.9486870909613672	0.9550011890096402	0.9509527539840674
HMP_2012__SRS015947__bin.20	0.9536861830139804	0.9543118880674838	0.9513374515363694	0.9511842268059458	1.0	0.9510442075101864	0.9639528151686206	0.9611653549519695	0.9608514289534875	0.962559029530322	0.9533629481041238	0.9489485317596905	0.9669646316858407	0.950275098884494	0.9497758073772301	0.9705567143725978	0.950094698789521	0.9674964296860961	0.9709271096309824	0.9485493640697303	0.9518563100292646	0.9562179494806478	0.9512907483562256	0.9595462774206108	0.950665577227506	0.946928581084722	0.9630618954985012	0.9503178060606182	0.9518100659132837	0.9697576355152231
HMP_2012__SRS024447__bin.10	0.9495500116150207	0.9534693474566112	0.950707180411226	0.9503364866896166	0.9510442075101864	1.0	0.9486154270175636	0.9493557525188536	0.947631679468439	0.9479288843950118	0.9497860990942375	0.9491616015183255	0.9485110996838227	0.9496614967402794	0.9487463310587873	0.956553414972537	0.949596979323287	0.9482245178780473	0.9482644948234171	0.9479563964624174	0.9510201072880123	0.9447527543866158	0.9508660173875273	0.949901465762232	0.948036090215482	0.9451172240489748	0.9461459990680374	0.9482492673145149	0.9518413070424442	0.948936594065417
HMP_2012__SRS019128__bin.8	0.9502366411661599	0.9516656112834002	0.9494864585294681	0.9505455953533398	0.9639528151686206	0.9486154270175636	1.0	0.960379578072308	0.9613434601148315	0.9611340880396508	0.9505098420050051	0.9485833717524125	0.9721175241814631	0.9489728331642493	0.9484399334688123	0.9737273160064874	0.9481141721152462	0.9656590311056319	0.9673603762290991	0.946546599579884	0.9513928155763054	0.9574997908662195	0.9480582895685881	0.9712419520905617	0.949786134926218	0.9452997626745464	0.9699697499945809	0.9473277549380764	0.9499789727028176	0.9667382100881282
HMP_2012__SRS064493__bin.1	0.9544279708843736	0.9551088815132915	0.9522020706366107	0.9532008508936202	0.9611653549519695	0.9493557525188536	0.960379578072308	1.0	0.9582721432107234	0.9620988570890802	0.9520014852915891	0.9480375091154394	0.9617609014113968	0.952262058492626	0.9519157786614874	0.9675974435187968	0.9471244601678572	0.9595839674398162	0.9613226046385828	0.9489322226229802	0.9512374379126085	0.958493999189207	0.9506616871247404	0.957146504216772	0.9487574072693998	0.9475473566735402	0.962847755921582	0.9507607021074314	0.9541748999230346	0.9607587384960862
HMP_2012__SRS023538__bin.14	0.9504628589999121	0.951745410700537	0.948980542678256	0.950293484216408	0.9608514289534875	0.947631679468439	0.9613434601148315	0.9582721432107234	1.0	0.958069775111881	0.9508969715334693	0.9476638101059964	0.9622906016794347	0.9502026230744479	0.9494520634415301	0.9706501389165231	0.9471249001495683	0.9603910798139802	0.9628690560533129	0.9477743220035628	0.9500618161392367	0.9535162919880815	0.9488778111215561	0.9606797637420658	0.9474797518524901	0.9449223060301234	0.9619087160334954	0.9492507596413156	0.9502554811879347	0.9623473177133823
HMP_2012__SRS053630__bin.9	0.9514149773768927	0.9540166153531807	0.9499336009546142	0.9509173411245745	0.962559029530322	0.9479288843950118	0.9611340880396508	0.9620988570890802	0.958069775111881	1.0	0.9493345346445448	0.9478307541994867	0.9624048384749427	0.9501339518424957	0.9491972873782692	0.9679406194384982	0.9468669514538932	0.9627346506253803	0.9652498279282415	0.9468796365709952	0.9492453444090276	0.957518939859964	0.9487263896228404	0.9591765035425414	0.9482096109662882	0.9468159142801118	0.9628101481757171	0.9490113355182004	0.9509681529588492	0.9642409321233288
