	HMP_2012__SRS016541__bin.7	HMP_2012__SRS017445__bin.7	ZellerG_2014__CCIS76845094ST-20-0__bin.28	CM_cf__CF_TNFC018SA_t5M17__bin.3	HMP_2012__SRS015947__bin.20	HMP_2012__SRS024447__bin.10	HMP_2012__SRS019128__bin.8	HMP_2012__SRS064493__bin.1	HMP_2012__SRS023538__bin.14	HMP_2012__SRS053630__bin.9	HMP_2012__SRS024021__bin.38	HMP_2012__SRS015440__bin.36	HMP_2012__SRS018337__bin.12	CM_cf__CF_TNFC045IS_t1M15__bin.8	HMP_2012__SRS016360__bin.21	HMP_2012__SRS022602__bin.6	HMP_2012__SRS015470__bin.32	CM_periimplantitis__SP_162SPT_T016__bin.2	OhJ_2014__MET0094__bin.3	HMP_2012__SRS018975__bin.43	HMP_2012__SRS018394__bin.51	HMP_2012__SRS014690__bin.46	HMP_2012__SRS024144__bin.27	CM_periimplantitis__SP_163SPT_T016__bin.41	VincentC_2016__MM001.2__bin.8	CM_periimplantitis__SP_283SPT_T016__bin.19	VincentC_2016__MM017__bin.13	HMP_2012__SRS019225__bin.27	HMP_2012__SRS015989__bin.17	OhJ_2014__MET0103__bin.10
HMP_2012__SRS016541__bin.7	0.0	46695.0	71209.0	69900.0	50420.0	60592.0	61920.0	61976.0	71032.0	72889.0	59106.0	68186.0	72546.0	76696.0	71472.0	34867.0	67530.0	65432.0	63531.0	73080.0	66197.0	71327.0	64586.0	59008.0	74989.0	80411.0	77225.0	63544.0	68923.0	64175.0
HMP_2012__SRS017445__bin.7	46695.0	0.0	49551.0	48752.0	37415.0	39588.0	44653.0	43633.0	49826.0	49511.0	35630.0	45414.0	51363.0	42013.0	48602.0	26085.0	44943.0	46075.0	43303.0	50119.0	45529.0	48781.0	45892.0	43325.0	51041.0	51648.0	53794.0	46426.0	43556.0	43980.0
ZellerG_2014__CCIS76845094ST-20-0__bin.28	71209.0	49551.0	0.0	76776.0	53820.0	61907.0	64118.0	65096.0	74463.0	75817.0	62515.0	69283.0	76932.0	76470.0	75716.0	36134.0	68303.0	69087.0	64420.0	77293.0	71434.0	72762.0	68616.0	61911.0	77224.0	81736.0	80791.0	69437.0	65373.0	66971.0
CM_cf__CF_TNFC018SA_t5M17__bin.3	69900.0	48752.0	76776.0	0.0	55237.0	60462.0	63858.0	66924.0	73302.0	77243.0	64185.0	69390.0	74218.0	79972.0	48232.0	35652.0	67681.0	69054.0	66363.0	78214.0	71022.0	73706.0	65656.0	61460.0	75639.0	83640.0	78159.0	72101.0	71339.0	66931.0
HMP_2012__SRS015947__bin.20	50420.0	37415.0	53820.0	55237.0	0.0	42509.0	34867.0	39376.0	42158.0	43321.0	41291.0	49242.0	37086.0	55943.0	55748.0	18929.0	46744.0	34367.0	28145.0	55271.0	52035.0	44157.0	47864.0	36156.0	51141.0	56139.0	41983.0	49564.0	51982.0	30273.0
HMP_2012__SRS024447__bin.10	60592.0	39588.0	61907.0	60462.0	42509.0	0.0	52948.0	54402.0	59363.0	61798.0	50155.0	54216.0	59977.0	62666.0	62741.0	27432.0	53502.0	60504.0	52889.0	62495.0	58472.0	59572.0	53391.0	47844.0	62005.0	65696.0	64142.0	57035.0	56919.0	53829.0
HMP_2012__SRS019128__bin.8	61920.0	44653.0	64118.0	63858.0	34867.0	52948.0	0.0	45468.0	48469.0	51347.0	51675.0	58328.0	37454.0	68103.0	64292.0	19536.0	58359.0	41449.0	38061.0	65984.0	60432.0	50297.0	60420.0	31115.0	61316.0	69215.0	40176.0	61626.0	62683.0	39456.0
HMP_2012__SRS064493__bin.1	61976.0	43633.0	65096.0	66924.0	39376.0	54402.0	45468.0	0.0	55720.0	54369.0	52481.0	63703.0	52650.0	68908.0	67785.0	25760.0	62295.0	50485.0	48048.0	67820.0	64490.0	52830.0	62567.0	48679.0	66697.0	70970.0	53974.0	61269.0	62755.0	49069.0
HMP_2012__SRS023538__bin.14	71032.0	49826.0	74463.0	73302.0	42158.0	59363.0	48469.0	55720.0	0.0	62550.0	58660.0	68064.0	55923.0	74749.0	73672.0	24487.0	66921.0	52423.0	48898.0	74992.0	71212.0	62995.0	67869.0	47439.0	73146.0	78965.0	58075.0	68310.0	70621.0	50493.0
HMP_2012__SRS053630__bin.9	72889.0	49511.0	75817.0	77243.0	43321.0	61798.0	51347.0	54369.0	62550.0	0.0	61407.0	69788.0	58381.0	79591.0	78861.0	28066.0	68285.0	52539.0	48014.0	78157.0	74408.0	62152.0	71024.0	51592.0	75019.0	80012.0	59255.0	69856.0	74192.0	49964.0
