	CosteaPI_2017__daisy-11-390-0__bin.44	CosteaPI_2017__daisy-11-0-0__bin.1	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	BackhedF_2015__SID397_M__bin.71	CosteaPI_2017__daisy-11-7-0__bin.39	GeversD_2014__SKBSTL013__bin.105	CosteaPI_2017__daisy-11-403-0__bin.29	CosteaPI_2017__daisy-11-386-0__bin.46	CosteaPI_2017__daisy-11-388-0__bin.6	LiJ_2014__O2.UC2-1__bin.14	LiJ_2014__MH0246__bin.46	QinN_2014__LD-49__bin.29	CosteaPI_2017__daisy-11-60-0__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.92	HMP_2012__SRS053398__bin.18	VogtmannE_2016__MMRS88581325ST-27-0-0__bin.75	CosteaPI_2017__daisy-11-2-0__bin.7	CosteaPI_2017__SID713A037-11-0-0__bin.69	ZellerG_2014__CCIS48174381ST-4-0__bin.47	XieH_2016__YSZC12003_37202R1__bin.10	QinN_2014__LD-86__bin.32	LiJ_2017__H1M413815__bin.7	HMP_2012__SRS058770__bin.26	LiJ_2014__V1.CD49-0__bin.19	ChengpingW_2017__AS97raw__bin.74	ZeeviD_2015__PNP_Main_480__bin.37	LiJ_2014__MH0359__bin.66	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.36	LeChatelierE_2013__MH0183__bin.3	NielsenHB_2014__O2_UC18_2__bin.57	CosteaPI_2017__daisy-11-392-0__bin.8	ZeeviD_2015__PNP_Main_706__bin.56	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.45	HMP_2012__SRS024132__bin.65	LiJ_2014__V1.CD44-4__bin.36	YuJ_2015__SZAXPI003420-4__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.134	VogtmannE_2016__MMRS62666492ST-27-0-0__bin.17	CosteaPI_2017__SID713A037-11-90-0__bin.47	CosteaPI_2017__daisy-11-389-0__bin.10	NielsenHB_2014__V1_UC26_4__bin.73
CosteaPI_2017__daisy-11-390-0__bin.44	0.0	535.0	38071.0	16564.0	676.0	19873.0	1168.0	179.0	370.0	28994.0	22365.0	9464.0	373.0	22483.0	29227.0	22003.0	929.0	8312.0	17993.0	23772.0	31295.0	11899.0	23694.0	21697.0	27033.0	7453.0	3570.0	22612.0	20083.0	16608.0	441.0	8401.0	15644.0	23399.0	25716.0	19193.0	22782.0	13639.0	8649.0	1507.0	32850.0
CosteaPI_2017__daisy-11-0-0__bin.1	535.0	0.0	36018.0	16081.0	944.0	18869.0	1247.0	385.0	495.0	27875.0	20899.0	8241.0	597.0	20563.0	27049.0	20198.0	1166.0	7339.0	17436.0	21961.0	29469.0	11592.0	22540.0	20683.0	26059.0	7396.0	3561.0	21003.0	19006.0	15532.0	504.0	8251.0	15144.0	21261.0	24636.0	18491.0	20772.0	13010.0	7556.0	1338.0	31300.0
VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	38071.0	36018.0	0.0	22306.0	36705.0	30388.0	35084.0	37825.0	37656.0	34658.0	33270.0	37140.0	37566.0	32342.0	38901.0	31155.0	37046.0	34993.0	18217.0	34361.0	38784.0	18345.0	34724.0	25806.0	37406.0	28682.0	24647.0	32494.0	24091.0	22175.0	37413.0	28147.0	22681.0	34233.0	32960.0	24081.0	32517.0	18017.0	36702.0	33588.0	41856.0
BackhedF_2015__SID397_M__bin.71	16564.0	16081.0	22306.0	0.0	16114.0	4653.0	15722.0	16452.0	16436.0	19633.0	5027.0	16562.0	16547.0	9783.0	19361.0	5659.0	16262.0	15793.0	16600.0	5280.0	21306.0	8932.0	17513.0	8671.0	18941.0	14020.0	11822.0	9783.0	14023.0	5372.0	16434.0	12769.0	5427.0	4939.0	17846.0	13399.0	9520.0	7727.0	16354.0	15117.0	21218.0
CosteaPI_2017__daisy-11-7-0__bin.39	676.0	944.0	36705.0	16114.0	0.0	18973.0	1596.0	642.0	739.0	27854.0	20889.0	8640.0	819.0	20997.0	27613.0	21216.0	1127.0	7548.0	18019.0	21785.0	30201.0	11511.0	23146.0	21180.0	25983.0	7298.0	3560.0	21000.0	19737.0	16257.0	626.0	8516.0	15260.0	21793.0	25169.0	18363.0	20627.0	13256.0	7649.0	1729.0	31570.0
GeversD_2014__SKBSTL013__bin.105	19873.0	18869.0	30388.0	4653.0	18973.0	0.0	18538.0	19487.0	19984.0	26711.0	795.0	19926.0	19759.0	7615.0	25985.0	2980.0	19120.0	18753.0	21560.0	793.0	28193.0	10923.0	21372.0	8406.0	24689.0	16790.0	13333.0	7444.0	17631.0	4182.0	19894.0	16012.0	3357.0	499.0	23736.0	16822.0	7339.0	7721.0	20094.0	17961.0	28221.0
CosteaPI_2017__daisy-11-403-0__bin.29	1168.0	1247.0	35084.0	15722.0	1596.0	18538.0	0.0	1053.0	1138.0	26574.0	20775.0	9121.0	1275.0	20331.0	26169.0	20576.0	1627.0	7629.0	17353.0	21445.0	28992.0	11353.0	22376.0	20570.0	25371.0	7808.0	3827.0	20266.0	18563.0	16065.0	1323.0	8333.0	14940.0	21397.0	23961.0	18400.0	20070.0	13053.0	7699.0	2117.0	29974.0
CosteaPI_2017__daisy-11-386-0__bin.46	179.0	385.0	37825.0	16452.0	642.0	19487.0	1053.0	0.0	215.0	28993.0	22363.0	9267.0	260.0	22416.0	29388.0	21386.0	1037.0	8266.0	18170.0	23933.0	30988.0	12002.0	23996.0	21779.0	27165.0	7444.0	3580.0	22926.0	19990.0	16533.0	139.0	8108.0	15149.0	23298.0	25770.0	19339.0	23032.0	13682.0	8612.0	1290.0	32737.0
CosteaPI_2017__daisy-11-388-0__bin.6	370.0	495.0	37656.0	16436.0	739.0	19984.0	1138.0	215.0	0.0	28973.0	22709.0	10283.0	451.0	22603.0	30007.0	21935.0	1089.0	8472.0	18184.0	24090.0	31210.0	12163.0	23950.0	21746.0	27168.0	7684.0	3534.0	23209.0	20050.0	16659.0	561.0	8384.0	15746.0	23816.0	25812.0	19346.0	23095.0	13782.0	8886.0	1597.0	33378.0
LiJ_2014__O2.UC2-1__bin.14	28994.0	27875.0	34658.0	19633.0	27854.0	26711.0	26574.0	28993.0	28973.0	0.0	29290.0	29298.0	28757.0	30240.0	21317.0	27163.0	27953.0	26990.0	22877.0	30533.0	33098.0	13530.0	27151.0	24703.0	30309.0	22030.0	19686.0	30516.0	7014.0	20018.0	28982.0	21995.0	20266.0	30297.0	8994.0	21164.0	30190.0	17486.0	28947.0	25918.0	36150.0
