	CosteaPI_2017__daisy-11-390-0__bin.44	CosteaPI_2017__daisy-11-0-0__bin.1	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	BackhedF_2015__SID397_M__bin.71	CosteaPI_2017__daisy-11-7-0__bin.39	GeversD_2014__SKBSTL013__bin.105	CosteaPI_2017__daisy-11-403-0__bin.29	CosteaPI_2017__daisy-11-386-0__bin.46	CosteaPI_2017__daisy-11-388-0__bin.6	LiJ_2014__O2.UC2-1__bin.14	LiJ_2014__MH0246__bin.46	QinN_2014__LD-49__bin.29	CosteaPI_2017__daisy-11-60-0__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.92	HMP_2012__SRS053398__bin.18	VogtmannE_2016__MMRS88581325ST-27-0-0__bin.75	CosteaPI_2017__daisy-11-2-0__bin.7	CosteaPI_2017__SID713A037-11-0-0__bin.69	ZellerG_2014__CCIS48174381ST-4-0__bin.47	XieH_2016__YSZC12003_37202R1__bin.10	QinN_2014__LD-86__bin.32	LiJ_2017__H1M413815__bin.7	HMP_2012__SRS058770__bin.26	LiJ_2014__V1.CD49-0__bin.19	ChengpingW_2017__AS97raw__bin.74	ZeeviD_2015__PNP_Main_480__bin.37	LiJ_2014__MH0359__bin.66	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.36	LeChatelierE_2013__MH0183__bin.3	NielsenHB_2014__O2_UC18_2__bin.57	CosteaPI_2017__daisy-11-392-0__bin.8	ZeeviD_2015__PNP_Main_706__bin.56	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.45	HMP_2012__SRS024132__bin.65	LiJ_2014__V1.CD44-4__bin.36	YuJ_2015__SZAXPI003420-4__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.134	VogtmannE_2016__MMRS62666492ST-27-0-0__bin.17	CosteaPI_2017__SID713A037-11-90-0__bin.47	CosteaPI_2017__daisy-11-389-0__bin.10	NielsenHB_2014__V1_UC26_4__bin.73
CosteaPI_2017__daisy-11-390-0__bin.44	3854130.0	3477560.0	2172685.0	1893331.0	3569494.0	3055806.0	3280016.0	3712604.0	3817151.0	2626146.0	3405410.0	3490829.0	3787279.0	3506538.0	3292986.0	3009524.0	3612890.0	3289598.0	1635239.0	3510527.0	2823051.0	1321219.0	2937381.0	2143452.0	2949288.0	2360213.0	1985601.0	3558041.0	1784359.0	2071401.0	3810994.0	2372655.0	1986066.0	3556013.0	2253741.0	1811079.0	3550147.0	1684529.0	3623398.0	3110397.0	3292376.0
CosteaPI_2017__daisy-11-0-0__bin.1	3477560.0	3514383.0	2104196.0	1859289.0	3303061.0	2927101.0	3109393.0	3466783.0	3489231.0	2560497.0	3211740.0	3301107.0	3461846.0	3291959.0	3106991.0	2885073.0	3276836.0	3084895.0	1578770.0	3293617.0	2700726.0	1309283.0	2850329.0	2071444.0	2858556.0	2275261.0	1940849.0	3348284.0	1716048.0	1983531.0	3473728.0	2256439.0	1936334.0	3340255.0	2196070.0	1733828.0	3321848.0	1651693.0	3316482.0	3008152.0	3121808.0
VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	2172685.0	2104196.0	2401999.0	1273498.0	2101354.0	1925738.0	2012197.0	2182658.0	2181942.0	1768498.0	2111369.0	2139689.0	2171967.0	2170203.0	2103688.0	1944053.0	2111837.0	1992086.0	1418585.0	2179468.0	1866084.0	958860.0	1915376.0	1411468.0	1987857.0	1648252.0	1301165.0	2188782.0	1157075.0	1384177.0	2140828.0	1461717.0	1371775.0	2189754.0	1549169.0	1219519.0	2176504.0	1159570.0	2101224.0	1927331.0	2105154.0
BackhedF_2015__SID397_M__bin.71	1893331.0	1859289.0	1273498.0	2032198.0	1849227.0	1775496.0	1767695.0	1905591.0	1902658.0	1539688.0	1870666.0	1885377.0	1898045.0	1909415.0	1796943.0	1754736.0	1841751.0	1771361.0	994960.0	1914611.0	1636156.0	819734.0	1672489.0	1315971.0	1717970.0	1362947.0	1193381.0	1928082.0	1056259.0	1266078.0	1878675.0	1255906.0	1219656.0	1941086.0	1338568.0	1082129.0	1914294.0	1058217.0	1854237.0	1737395.0	1794054.0
CosteaPI_2017__daisy-11-7-0__bin.39	3569494.0	3303061.0	2101354.0	1849227.0	3600582.0	2948758.0	3148536.0	3517164.0	3613277.0	2521939.0	3284353.0	3311614.0	3563883.0	3371264.0	3147746.0	2935563.0	3423987.0	3211632.0	1591039.0	3360717.0	2732703.0	1262516.0	2829723.0	2106852.0	2852676.0	2272612.0	1948011.0	3396293.0	1749740.0	2029271.0	3542900.0	2322953.0	1945380.0	3409978.0	2179447.0	1769898.0	3382973.0	1636346.0	3426658.0	2993229.0	3155407.0
GeversD_2014__SKBSTL013__bin.105	3055806.0	2927101.0	1925738.0	1775496.0	2948758.0	3251014.0	2779096.0	3059474.0	3073783.0	2366093.0	3012643.0	3015248.0	3061586.0	3068759.0	2860126.0	2761907.0	2918935.0	2781864.0	1454309.0	3095861.0	2516996.0	1217442.0	2638371.0	2006448.0	2638657.0	2105894.0	1791268.0	3112695.0	1604907.0	1889342.0	3041352.0	2032152.0	1838058.0	3132660.0	2054569.0	1616058.0	3091939.0	1560705.0	2984796.0	2719689.0	2856448.0
CosteaPI_2017__daisy-11-403-0__bin.29	3280016.0	3109393.0	2012197.0	1767695.0	3148536.0	2779096.0	3358753.0	3237437.0	3282887.0	2421916.0	3023236.0	3126613.0	3278376.0	3112356.0	2961267.0	2760040.0	3113384.0	2920745.0	1520839.0	3100531.0	2607438.0	1235775.0	2665215.0	1984732.0	2714847.0	2188243.0	1860430.0	3133836.0	1647979.0	1920342.0	3252575.0	2150663.0	1848692.0	3134109.0	2106199.0	1678702.0	3119360.0	1580786.0	3110435.0	2862779.0	2941986.0
CosteaPI_2017__daisy-11-386-0__bin.46	3712604.0	3466783.0	2182658.0	1905591.0	3517164.0	3059474.0	3237437.0	3770160.0	3783933.0	2646059.0	3402294.0	3525456.0	3724750.0	3499624.0	3313301.0	3011979.0	3536080.0	3286210.0	1637491.0	3502777.0	2830963.0	1328169.0	2943037.0	2151082.0	2965052.0	2372224.0	1999003.0	3559621.0	1793628.0	2076572.0	3729568.0	2368966.0	1988060.0	3552056.0	2271055.0	1823925.0	3547127.0	1692369.0	3633499.0	3086140.0	3289113.0
CosteaPI_2017__daisy-11-388-0__bin.6	3817151.0	3489231.0	2181942.0	1902658.0	3613277.0	3073783.0	3282887.0	3783933.0	3871487.0	2641975.0	3419365.0	3526486.0	3828680.0	3512523.0	3322910.0	3022841.0	3583951.0	3288539.0	1637373.0	3514311.0	2823266.0	1332429.0	2942507.0	2158123.0	2959190.0	2379663.0	2000010.0	3593408.0	1794592.0	2079875.0	3852838.0	2368218.0	1996162.0	3563074.0	2271844.0	1819882.0	3577346.0	1694646.0	3642126.0	3124203.0	3295280.0
LiJ_2014__O2.UC2-1__bin.14	2626146.0	2560497.0	1768498.0	1539688.0	2521939.0	2366093.0	2421916.0	2646059.0	2641975.0	2909840.0	2499930.0	2615606.0	2625115.0	2581062.0	2707882.0	2299071.0	2495110.0	2376936.0	1353837.0	2581927.0	2271430.0	1184624.0	2309810.0	1709701.0	2385925.0	1921767.0	1571748.0	2609885.0	1535457.0	1596250.0	2618625.0	1698191.0	1589152.0	2604708.0	2056722.0	1447565.0	2590026.0	1394980.0	2577717.0	2382993.0	2532194.0
