	ZeeviD_2015__PNP_Main_327__bin.22	RaymondF_2016__P14E7__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	ZellerG_2014__CCIS35100175ST-4-0__bin.31	CosteaPI_2017__SID713A051-11-90-0__bin.26	BritoIL_2016__W1.41.ST__bin.16	XieH_2016__YSZC12003_37292__bin.25	CM_madagascar__A83_02_1FE__bin.32	XieH_2016__YSZC12003_37293__bin.22	ZeeviD_2015__PNP_Main_425__bin.1	ZeeviD_2015__PNP_Main_637__bin.3	QinJ_2012__NOF008__bin.26	RaymondF_2016__P3E7__bin.12	ZeeviD_2015__PNP_Main_557__bin.22	LeChatelierE_2013__MH0426__bin.23	BritoIL_2016__WL.32.ST__bin.40	LeChatelierE_2013__MH0212__bin.34	BritoIL_2016__W2.40.ST__bin.57	CosteaPI_2017__SID713A089-11-90-0__bin.83	BritoIL_2016__W2.17.ST__bin.81	HMP_2012__SRS049959__bin.61	FengQ_2015__SID530743__bin.61	HeQ_2017__SZAXPI029600-27__bin.28	CosteaPI_2017__SID713B066-11-0-0__bin.8	BritoIL_2016__W2.7.ST__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.76	XieH_2016__YSZC12003_37137__bin.8	ZeeviD_2015__PNP_Main_511__bin.42	LiJ_2017__H3M516751__bin.11	HMP_2012__SRS016095__bin.61	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.16	CosteaPI_2017__SID713A055-11-0-0__bin.88	ZeeviD_2015__PNP_Validation_35__bin.21	CosteaPI_2017__SID713A051-11-0-0__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.28	VincentC_2016__MM030.1__bin.12	BritoIL_2016__W3.18.ST__bin.43	CosteaPI_2017__SID713B066-11-90-0__bin.8	ZeeviD_2015__PNP_Main_80__bin.50	CosteaPI_2017__SID713A087-11-90-0__bin.4	RaymondF_2016__P19E7__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.60	ZeeviD_2015__PNP_Main_706__bin.92	CosteaPI_2017__SID713B061-11-90-0__bin.66	CM_madagascar__A75_02_1FE__bin.50
ZeeviD_2015__PNP_Main_327__bin.22	0.0	19954.0	22206.0	29349.0	24469.0	28842.0	45205.0	35180.0	35527.0	21644.0	31775.0	36180.0	32706.0	16657.0	15969.0	28073.0	40039.0	28908.0	36884.0	29425.0	35220.0	29265.0	24273.0	34744.0	29097.0	38692.0	34723.0	26480.0	28427.0	28813.0	24865.0	29519.0	18942.0	28207.0	29723.0	32931.0	19370.0	27188.0	31547.0	28253.0	27056.0	19936.0	23248.0	27961.0	24164.0	32482.0
RaymondF_2016__P14E7__bin.64	19954.0	0.0	17547.0	19571.0	17907.0	19205.0	25743.0	18558.0	22358.0	17066.0	19824.0	21210.0	17774.0	10817.0	18934.0	16954.0	23430.0	20069.0	23815.0	18912.0	23509.0	19746.0	18393.0	19989.0	18288.0	27048.0	19513.0	18706.0	19657.0	17592.0	18097.0	19394.0	14379.0	19325.0	20544.0	19409.0	14518.0	19232.0	18616.0	17162.0	18519.0	16673.0	16093.0	19747.0	16357.0	19385.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	22206.0	17547.0	0.0	26498.0	21404.0	18638.0	36219.0	28620.0	31604.0	18521.0	23193.0	30149.0	27811.0	14750.0	21204.0	21816.0	32321.0	22533.0	31522.0	22265.0	30311.0	23109.0	19400.0	29858.0	25364.0	33255.0	27610.0	20655.0	22928.0	25415.0	18805.0	24447.0	14563.0	22847.0	19532.0	28202.0	12891.0	25071.0	27477.0	22604.0	22184.0	18253.0	20006.0	23631.0	17988.0	28290.0
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	29349.0	19571.0	26498.0	0.0	27525.0	29876.0	39011.0	30298.0	30176.0	26773.0	30127.0	31481.0	29126.0	16459.0	28431.0	27463.0	31851.0	30662.0	32099.0	29547.0	32103.0	30535.0	28047.0	31279.0	27860.0	35411.0	26524.0	29639.0	30121.0	26652.0	26878.0	29842.0	21928.0	29963.0	31151.0	29137.0	21148.0	23857.0	28818.0	26701.0	28376.0	24165.0	25842.0	30050.0	26149.0	29258.0
ZellerG_2014__CCIS35100175ST-4-0__bin.31	24469.0	17907.0	21404.0	27525.0	0.0	23539.0	38560.0	29124.0	32678.0	20589.0	23571.0	31640.0	30181.0	16320.0	22444.0	23913.0	34436.0	24594.0	34744.0	26048.0	33039.0	24806.0	21712.0	30622.0	25935.0	36622.0	29431.0	23189.0	24543.0	26019.0	22287.0	24751.0	17618.0	24943.0	23877.0	29630.0	17585.0	25019.0	27473.0	27077.0	24372.0	18564.0	21049.0	24599.0	22246.0	28554.0
CosteaPI_2017__SID713A051-11-90-0__bin.26	28842.0	19205.0	18638.0	29876.0	23539.0	0.0	44284.0	34874.0	36813.0	20389.0	26792.0	36930.0	32922.0	17063.0	25042.0	27864.0	39118.0	26448.0	37476.0	26843.0	35196.0	28549.0	20302.0	34858.0	28618.0	39399.0	35141.0	26264.0	27945.0	28579.0	21148.0	27945.0	15897.0	27378.0	377.0	34262.0	15678.0	27792.0	31215.0	28915.0	25561.0	19589.0	22044.0	25533.0	21221.0	32069.0
BritoIL_2016__W1.41.ST__bin.16	45205.0	25743.0	36219.0	39011.0	38560.0	44284.0	0.0	43605.0	45053.0	38113.0	46523.0	45027.0	41801.0	21726.0	41178.0	41967.0	43057.0	44694.0	38053.0	42869.0	37319.0	45368.0	40088.0	43401.0	39001.0	38932.0	43421.0	43578.0	45491.0	38298.0	39466.0	43581.0	28572.0	43166.0	46466.0	42850.0	31357.0	30681.0	41699.0	42161.0	42487.0	34287.0	36090.0	45193.0	36448.0	39362.0
XieH_2016__YSZC12003_37292__bin.25	35180.0	18558.0	28620.0	30298.0	29124.0	34874.0	43605.0	0.0	36522.0	29171.0	34598.0	32339.0	24605.0	13646.0	32795.0	31564.0	40931.0	36571.0	39122.0	30018.0	37380.0	36365.0	30857.0	27944.0	26213.0	41848.0	30971.0	34685.0	35281.0	21061.0	31392.0	33075.0	22575.0	33375.0	36418.0	30670.0	24564.0	28932.0	27371.0	29151.0	31362.0	28411.0	25947.0	33871.0	26891.0	29513.0
CM_madagascar__A83_02_1FE__bin.32	35527.0	22358.0	31604.0	30176.0	32678.0	36813.0	45053.0	36522.0	0.0	31743.0	37052.0	37004.0	34317.0	18998.0	34108.0	33217.0	37581.0	36862.0	37434.0	36192.0	35103.0	36583.0	33742.0	36245.0	32836.0	38383.0	34344.0	36288.0	37218.0	31280.0	32866.0	37132.0	25333.0	35754.0	37453.0	35027.0	25836.0	26969.0	34157.0	32633.0	34917.0	28986.0	29760.0	36899.0	31182.0	32232.0
XieH_2016__YSZC12003_37293__bin.22	21644.0	17066.0	18521.0	26773.0	20589.0	20389.0	38113.0	29171.0	31743.0	0.0	21755.0	30150.0	27689.0	15447.0	20443.0	21646.0	33630.0	21343.0	33910.0	23136.0	32626.0	20744.0	18681.0	29571.0	25665.0	34291.0	28216.0	19059.0	22773.0	25897.0	19080.0	22424.0	15941.0	21497.0	21341.0	28069.0	15026.0	24770.0	26801.0	23567.0	21903.0	16129.0	19395.0	22004.0	20485.0	29333.0
