	ZeeviD_2015__PNP_Main_327__bin.22	RaymondF_2016__P14E7__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	ZellerG_2014__CCIS35100175ST-4-0__bin.31	CosteaPI_2017__SID713A051-11-90-0__bin.26	BritoIL_2016__W1.41.ST__bin.16	XieH_2016__YSZC12003_37292__bin.25	CM_madagascar__A83_02_1FE__bin.32	XieH_2016__YSZC12003_37293__bin.22	ZeeviD_2015__PNP_Main_425__bin.1	ZeeviD_2015__PNP_Main_637__bin.3	QinJ_2012__NOF008__bin.26	RaymondF_2016__P3E7__bin.12	ZeeviD_2015__PNP_Main_557__bin.22	LeChatelierE_2013__MH0426__bin.23	BritoIL_2016__WL.32.ST__bin.40	LeChatelierE_2013__MH0212__bin.34	BritoIL_2016__W2.40.ST__bin.57	CosteaPI_2017__SID713A089-11-90-0__bin.83	BritoIL_2016__W2.17.ST__bin.81	HMP_2012__SRS049959__bin.61	FengQ_2015__SID530743__bin.61	HeQ_2017__SZAXPI029600-27__bin.28	CosteaPI_2017__SID713B066-11-0-0__bin.8	BritoIL_2016__W2.7.ST__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.76	XieH_2016__YSZC12003_37137__bin.8	ZeeviD_2015__PNP_Main_511__bin.42	LiJ_2017__H3M516751__bin.11	HMP_2012__SRS016095__bin.61	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.16	CosteaPI_2017__SID713A055-11-0-0__bin.88	ZeeviD_2015__PNP_Validation_35__bin.21	CosteaPI_2017__SID713A051-11-0-0__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.28	VincentC_2016__MM030.1__bin.12	BritoIL_2016__W3.18.ST__bin.43	CosteaPI_2017__SID713B066-11-90-0__bin.8	ZeeviD_2015__PNP_Main_80__bin.50	CosteaPI_2017__SID713A087-11-90-0__bin.4	RaymondF_2016__P19E7__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.60	ZeeviD_2015__PNP_Main_706__bin.92	CosteaPI_2017__SID713B061-11-90-0__bin.66	CM_madagascar__A75_02_1FE__bin.50
ZeeviD_2015__PNP_Main_327__bin.22	1.0	0.5038658619725478	0.6318217217843042	0.7134371560492911	0.6827214523311589	0.8387738852113543	0.8182292610267565	0.8198615487673889	0.7698495230375633	0.6697368058195456	0.8369202821525952	0.8196849154062341	0.7848651041246681	0.4000396552368126	0.7985814176816977	0.7605874420661775	0.7811051872610345	0.8246271587406809	0.696130577434006	0.8107467786228951	0.6889130450718769	0.8344627745191366	0.7264535686396892	0.788890669185612	0.74805380405775	0.7014641369697465	0.8309520991967372	0.8179772268632114	0.849794271005145	0.7153947842891257	0.703432935698824	0.8245576922607011	0.4800538696843743	0.8097026869564641	0.8683104041587731	0.7908936775379962	0.5512674839974016	0.5419191808121714	0.8065051344106573	0.778147800233952	0.7909191602165817	0.6154719653882391	0.609514952921624	0.818261725261119	0.6887933113903035	0.7132381817096504
RaymondF_2016__P14E7__bin.64	0.8733613356906623	1.0	0.7256489007804114	0.8231845965252391	0.7734374527293828	0.8558580471683614	0.8773886410143775	0.9110005457676384	0.8789908502236922	0.7647953250342768	0.8693461316449631	0.9002043905856897	0.8910189155076667	0.49254016716705445	0.8270364333177228	0.7997159830049652	0.8443727242034031	0.8801059829928639	0.7911192351024192	0.8685734650436433	0.8048923046762969	0.8700613171757069	0.828255032013931	0.9011809637215786	0.8675206538562538	0.7916002609035541	0.910662315047092	0.847022299025	0.8856828569665243	0.8298578462871464	0.7939297569216285	0.8835016016041455	0.5642456849867915	0.8703807909153286	0.894493797489953	0.878321649549409	0.6256838734738775	0.6448159940171282	0.8940533109701715	0.837350352570735	0.8767381973210191	0.6992269703603398	0.6998979862263254	0.8628773934815256	0.7810848553715759	0.8080289559380366
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	0.8648171100550529	0.5730298370966956	1.0	0.7938795870606212	0.7538843268998299	0.853439584728926	0.8566313312927816	0.8733139407653885	0.8460216408061931	0.7474200844952787	0.8639919384508944	0.8609812805019642	0.8486242521135765	0.4570690974906565	0.8144988432307738	0.7798984948143673	0.8156584792952165	0.8718991560983861	0.7637605846056521	0.8631027407929102	0.7722378252547425	0.8673843636909204	0.8153125474820082	0.8477379212938232	0.8216592495190879	0.7735737718703921	0.8729899880452846	0.8375969588580046	0.8668019177236541	0.8021518487761945	0.7970727670435921	0.8798355199345597	0.5564375330283654	0.8554869850322376	0.8913473088511719	0.8549499306702955	0.6181213800194754	0.6248020687104675	0.8724763461955624	0.8106529797438766	0.8585927264491628	0.6869039962769328	0.6893775998639208	0.8640401968944497	0.7627189667150525	0.7926473244276596
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	0.8764638629342272	0.5834404016735253	0.7125300834875746	1.0	0.7659599012626916	0.8654734193196457	0.888584742375562	0.8979631570551032	0.8922406473160297	0.7606653789876167	0.8658949741063295	0.8891533910501731	0.8780119939412756	0.47318131058509916	0.8219130439257514	0.8147894970675569	0.8621138463808042	0.88544516700088	0.8252022862592866	0.8750482450798596	0.8168428076663791	0.8701113796634766	0.8188120646149571	0.885156125366877	0.8410596935300989	0.7997353167707617	0.9040694832072814	0.8460047070044137	0.8879693495791313	0.8114526529218936	0.787616152710044	0.8846479438590231	0.5575441581855389	0.8709900833846518	0.9011460457903703	0.8860181041270342	0.6161990253207333	0.6247707822650228	0.8848160511595116	0.8424971824873362	0.8660240564977759	0.6749705383378991	0.6942415530369955	0.862318834364563	0.7827860697370836	0.8178681764303273
ZellerG_2014__CCIS35100175ST-4-0__bin.31	0.8713907510196298	0.5695286400806971	0.7029823002777528	0.7957875498676286	1.0	0.8535658306162512	0.8619590080741671	0.8610844031612311	0.8557628132070243	0.7544971088582374	0.8612024725967524	0.8698678780739266	0.8607636107326454	0.46988427413138767	0.80911513864025	0.7981088395244786	0.844052552928523	0.8696232738471299	0.790204870520156	0.8634181680791929	0.795178935343395	0.8725611978389283	0.8095949906480095	0.8643529215724888	0.8137915793769677	0.7845981317405395	0.8743260017411899	0.8451329996498016	0.8714335233434413	0.7857320438665824	0.7665495477272302	0.8725349106815858	0.5364135050048073	0.8667949539350984	0.8749840717648306	0.8605591055594219	0.6002004061588582	0.6000841189034959	0.8640107429819973	0.840332251847007	0.8616694037983605	0.6527462059612145	0.6779613819381387	0.8733792185318222	0.7671456869903521	0.7849621420379765
CosteaPI_2017__SID713A051-11-90-0__bin.26	0.8729055850339197	0.5138603207494665	0.6488815618826466	0.7331584006556523	0.6959691616672927	1.0	0.8519430896021983	0.8403812578151167	0.799761904588913	0.6871650080394438	0.8418776188133883	0.8615853361708126	0.8035069848344049	0.41101974150263854	0.786647039719139	0.7992384143732031	0.7871581783267059	0.8426525005830685	0.7229432574387561	0.8413900935743303	0.7168328442338697	0.8696531159837801	0.7543563032072766	0.8162723718502491	0.7712227874092066	0.7214410839190054	0.864287068810809	0.8459405713272674	0.8581853743881414	0.7283946760209512	0.7363680023598838	0.8522191843724548	0.49277757877964656	0.8443417646379271	0.981638244647576	0.8241981081695716	0.5725460805804383	0.5619055334477916	0.8464437177178007	0.8266321015389377	0.8120241452142241	0.6221980921851376	0.6293969000369821	0.8359473937743536	0.7192181577358485	0.7281265734677286
BritoIL_2016__W1.41.ST__bin.16	0.7747022535690736	0.4792617772408858	0.5925486962284076	0.6848262106096386	0.6394064736609879	0.7750826683236136	1.0	0.7749488125672377	0.749661311885565	0.6410996663521332	0.7708673687759139	0.8019374381330262	0.7552703638397763	0.3785612654491852	0.7050721416425259	0.7169793548152543	0.7389597920443409	0.778965146274596	0.6844464568711796	0.7566578365935197	0.6767010009436004	0.7713009953249639	0.6890203576427506	0.7613451016229598	0.7046216591834138	0.6881435198114783	0.7952631587644948	0.7417846442659334	0.8015328962915346	0.6723948116847813	0.6636627892565057	0.7628690741974025	0.4523065329871812	0.7590801300218631	0.8102622746554866	0.7655775875887622	0.5177127521569781	0.5292015421505166	0.7582343599463915	0.7367328288678943	0.741935025424331	0.5754501932645766	0.5864914753713671	0.760772331188887	0.652073524818675	0.6862321918136464
XieH_2016__YSZC12003_37292__bin.25	0.8382293843003257	0.5373558398211511	0.6523235155347159	0.7473130905329849	0.689761085085288	0.8256126696070335	0.8368267736600429	1.0	0.8157405034694092	0.6858494788212932	0.820166043403126	0.8626380215266828	0.8434372454868415	0.42010829724495863	0.773683955062211	0.7646273017268885	0.8029710362687273	0.8445397045880715	0.7259541499786932	0.8294493272108606	0.7240561643845395	0.8202798939869047	0.752280759108582	0.8443601847020505	0.7902629555897067	0.7263506640808189	0.8854152762500545	0.7971853566021561	0.8419293498239421	0.7536144883611868	0.7176751782172069	0.8331136028963018	0.4929644622005354	0.8154846073296934	0.859547281540716	0.836993088305939	0.5726673657116303	0.5749211789923903	0.8548066003359127	0.7926627403086028	0.8098159903323368	0.6420644715512731	0.6360428820543641	0.8080554106151573	0.7086399387847896	0.748547245137081
CM_madagascar__A83_02_1FE__bin.32	0.8731018264668446	0.5751278249663984	0.7009883547150241	0.8236880496770477	0.7604016762242594	0.8715602068953231	0.8979751891888682	0.9048752630234984	1.0	0.7482682513069522	0.8694065318904238	0.9042263892490444	0.8748366433549822	0.4569647038795842	0.8103887106256545	0.8155088354121179	0.8616798269142073	0.8883984615475976	0.8134485918964018	0.8754372178002824	0.8038587996824913	0.8746418624538038	0.8199654382669251	0.8916752939033974	0.8364248203126392	0.7971638000486952	0.9161175257283004	0.852951900598397	0.899156543272438	0.7973795634453258	0.7809918386010614	0.892280223206244	0.5384745725806291	0.8715202213851219	0.8941726067583431	0.879284536494696	0.6075913084961292	0.6185295229649453	0.8813705132595515	0.8576321847726468	0.8682402218601972	0.6677204102275809	0.6801852002145756	0.8663090404863188	0.7667213663167605	0.8049427633154718
XieH_2016__YSZC12003_37293__bin.22	0.9050387825446236	0.5962511386166403	0.7379009451874312	0.8367165951930684	0.7988241881563114	0.8922810872415027	0.9150161540867316	0.9065034763481433	0.89158199667248	1.0	0.9062209154501375	0.905343042610089	0.8841538055858374	0.49196965701635503	0.8530291801913018	0.8365123399863295	0.8671119398725504	0.9183663168540735	0.8300073069587814	0.9002234542527302	0.8370647253144846	0.9128561434824427	0.8571147560471098	0.8857826583083989	0.8657769693527563	0.8173986755016871	0.9055439957696058	0.9030684037950901	0.9359341515177388	0.8179397395250808	0.8107195774134309	0.9133396575399654	0.5844439611924542	0.8998918343674245	0.9249520141780473	0.8896285998800885	0.621172160722903	0.6397518369996278	0.8985941298091369	0.8653033614369	0.9155586332732203	0.7136412759676531	0.7236738388704734	0.910265451576185	0.8231682954407691	0.831339918873417
