	HMP_2012__SRS048411__bin.28	HMP_2012__SRS054687__bin.29	HMP_2012__SRS062544__bin.10	HMP_2012__SRS019607__bin.55	HMP_2012__SRS019894__bin.29	HMP_2012__SRS018739__bin.26	HMP_2012__SRS019974__bin.57	HMP_2012__SRS013234__bin.16	HMP_2012__SRS044486__bin.8	HMP_2012__SRS016740__bin.1	HMP_2012__SRS013836__bin.51	HMP_2012__SRS065278__bin.7	HMP_2012__SRS019071__bin.74	HMP_2012__SRS012279__bin.10	HMP_2012__SRS042643__bin.57	Castro-NallarE_2015__ES_209__bin.9	HMP_2012__SRS050244__bin.71	HMP_2012__SRS016086__bin.25	HMP_2012__SRS020220__bin.40	HMP_2012__SRS023926__bin.28	HMP_2012__SRS065335__bin.10	CM_periimplantitis__SP_287SPT_T016__bin.29	HMP_2012__SRS063288__bin.19	HMP_2012__SRS024580__bin.10	HMP_2012__SRS024138__bin.7	BritoIL_2016__W2.8.SA__bin.3	HMP_2012__SRS064329__bin.12	HMP_2012__SRS024081__bin.87	HMP_2012__SRS014271__bin.1	QinN_2014__LD-53__bin.2	HMP_2012__SRS056622__bin.31	HMP_2012__SRS047824__bin.22	HMP_2012__SRS015941__bin.59	HMP_2012__SRS064423__bin.22	BritoIL_2016__WL.34.SA__bin.7	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.33	HMP_2012__SRS047210__bin.59	HMP_2012__SRS016319__bin.15	HMP_2012__SRS015038__bin.1	HMP_2012__SRS017076__bin.2	HMP_2012__SRS018791__bin.48	HMP_2012__SRS023617__bin.38	HMP_2012__SRS022530__bin.14	HMP_2012__SRS057791__bin.18
HMP_2012__SRS048411__bin.28	0.0	20897.0	18835.0	16156.0	15237.0	10951.0	12274.0	16078.0	15830.0	14625.0	14075.0	14634.0	16906.0	12829.0	15943.0	13899.0	10074.0	15742.0	13925.0	16856.0	20208.0	18945.0	19054.0	11500.0	18055.0	7936.0	11294.0	16718.0	8310.0	16830.0	12572.0	8370.0	14384.0	10986.0	17676.0	11959.0	18615.0	10035.0	16960.0	17451.0	18709.0	14133.0	15970.0	15733.0
HMP_2012__SRS054687__bin.29	20897.0	0.0	35703.0	31040.0	32698.0	15620.0	26821.0	32455.0	35011.0	30654.0	24541.0	28725.0	29392.0	34395.0	30735.0	26785.0	16399.0	36057.0	34732.0	37197.0	41391.0	39878.0	41374.0	24065.0	42569.0	19743.0	18576.0	33392.0	18534.0	28639.0	22670.0	20316.0	35510.0	16526.0	44580.0	25168.0	41015.0	18312.0	31501.0	34509.0	41683.0	29293.0	34159.0	25090.0
HMP_2012__SRS062544__bin.10	18835.0	35703.0	0.0	26615.0	24875.0	12914.0	20352.0	24975.0	25977.0	23685.0	21417.0	22074.0	20960.0	23248.0	22240.0	19083.0	13823.0	26903.0	24879.0	26767.0	29855.0	31523.0	33198.0	18777.0	31628.0	15495.0	14347.0	23366.0	1349.0	23971.0	18345.0	13056.0	25806.0	14069.0	34045.0	17403.0	28507.0	14544.0	23231.0	26814.0	31979.0	23516.0	26171.0	19030.0
HMP_2012__SRS019607__bin.55	16156.0	31040.0	26615.0	0.0	21451.0	15352.0	19625.0	24089.0	22907.0	22418.0	20423.0	21899.0	23059.0	15715.0	22614.0	20634.0	16185.0	24509.0	18999.0	26611.0	29856.0	27168.0	28281.0	18399.0	28581.0	13235.0	18341.0	23006.0	9266.0	24540.0	20529.0	9807.0	20185.0	15052.0	27269.0	17040.0	29395.0	16986.0	25272.0	27155.0	30567.0	20471.0	23950.0	19020.0
HMP_2012__SRS019894__bin.29	15237.0	32698.0	24875.0	21451.0	0.0	12177.0	17672.0	23084.0	20340.0	21534.0	20732.0	20021.0	21937.0	20865.0	20304.0	18115.0	11105.0	23500.0	21795.0	25414.0	28192.0	29046.0	27975.0	16993.0	27345.0	12883.0	14580.0	23164.0	10894.0	23513.0	15667.0	12652.0	21613.0	13008.0	29091.0	17617.0	25796.0	13662.0	22458.0	24251.0	26006.0	21793.0	23865.0	16709.0
HMP_2012__SRS018739__bin.26	10951.0	15620.0	12914.0	15352.0	12177.0	0.0	11343.0	13422.0	12896.0	10098.0	11245.0	9787.0	8743.0	10145.0	8411.0	8537.0	7233.0	6551.0	9871.0	11574.0	12978.0	18491.0	14427.0	11115.0	15348.0	8855.0	8980.0	10479.0	3749.0	9151.0	11995.0	3305.0	11486.0	7361.0	16604.0	8571.0	10937.0	9217.0	11594.0	14035.0	10870.0	10072.0	14024.0	7096.0
HMP_2012__SRS019974__bin.57	12274.0	26821.0	20352.0	19625.0	17672.0	11343.0	0.0	18710.0	19568.0	18686.0	16767.0	17321.0	19146.0	13734.0	18577.0	15899.0	11419.0	19456.0	16780.0	22791.0	24539.0	20654.0	25172.0	15401.0	18827.0	10812.0	13005.0	18086.0	7701.0	19795.0	16224.0	7829.0	18703.0	11322.0	21684.0	14122.0	23279.0	12847.0	18685.0	19504.0	24064.0	18519.0	20803.0	15771.0
HMP_2012__SRS013234__bin.16	16078.0	32455.0	24975.0	24089.0	23084.0	13422.0	18710.0	0.0	24771.0	24081.0	20758.0	21036.0	21849.0	20987.0	22889.0	18537.0	13636.0	24976.0	21809.0	26706.0	29770.0	29582.0	29951.0	4228.0	28205.0	13646.0	15429.0	23197.0	11260.0	24318.0	18790.0	11308.0	23780.0	13003.0	28033.0	16656.0	29432.0	15251.0	22304.0	24599.0	28890.0	21466.0	24713.0	19024.0
HMP_2012__SRS044486__bin.8	15830.0	35011.0	25977.0	22907.0	20340.0	12896.0	19568.0	24771.0	0.0	25329.0	19217.0	21361.0	22703.0	22816.0	25378.0	20684.0	13556.0	26419.0	23609.0	28299.0	33073.0	29512.0	30128.0	18385.0	29383.0	14453.0	14614.0	23768.0	11921.0	25059.0	17847.0	13064.0	24781.0	13521.0	30129.0	17535.0	30949.0	14996.0	22722.0	25119.0	32315.0	23449.0	24743.0	17120.0
HMP_2012__SRS016740__bin.1	14625.0	30654.0	23685.0	22418.0	21534.0	10098.0	18686.0	24081.0	25329.0	0.0	17701.0	19424.0	19273.0	23697.0	18980.0	17450.0	10254.0	23609.0	24828.0	27059.0	26829.0	30021.0	30887.0	16990.0	31433.0	13874.0	12436.0	22369.0	11170.0	22279.0	16513.0	13362.0	24503.0	11334.0	32360.0	19260.0	26806.0	12600.0	19855.0	22976.0	27033.0	23631.0	27264.0	15304.0
HMP_2012__SRS013836__bin.51	14075.0	24541.0	21417.0	20423.0	20732.0	11245.0	16767.0	20758.0	19217.0	17701.0	0.0	18084.0	17742.0	18192.0	16362.0	16749.0	9701.0	18227.0	17407.0	20787.0	21140.0	24303.0	26540.0	15206.0	25634.0	11896.0	11260.0	18159.0	9409.0	19438.0	13364.0	10761.0	21244.0	11373.0	25951.0	15160.0	21596.0	11209.0	17124.0	20070.0	21432.0	18473.0	22175.0	15469.0
HMP_2012__SRS065278__bin.7	14634.0	28725.0	22074.0	21899.0	20021.0	9787.0	17321.0	21036.0	21361.0	19424.0	18084.0	0.0	18020.0	20340.0	17741.0	15975.0	10083.0	19946.0	19898.0	22192.0	24907.0	26435.0	25936.0	15248.0	24938.0	12704.0	12562.0	21249.0	10121.0	19407.0	14221.0	10780.0	21017.0	4007.0	27688.0	14776.0	22183.0	11252.0	14514.0	20428.0	24260.0	20081.0	21907.0	15153.0
HMP_2012__SRS019071__bin.74	16906.0	29392.0	20960.0	23059.0	21937.0	8743.0	19146.0	21849.0	22703.0	19273.0	17742.0	18020.0	0.0	24322.0	17383.0	16340.0	9105.0	22206.0	23081.0	25168.0	23621.0	29783.0	30420.0	16547.0	29170.0	13700.0	11517.0	20907.0	10460.0	19072.0	15438.0	14003.0	24146.0	11589.0	32422.0	14956.0	26463.0	11867.0	18852.0	21251.0	23892.0	21068.0	26148.0	14708.0
HMP_2012__SRS012279__bin.10	12829.0	34395.0	23248.0	15715.0	20865.0	10145.0	13734.0	20987.0	22816.0	23697.0	18192.0	20340.0	24322.0	0.0	26070.0	19669.0	7235.0	32269.0	28524.0	27415.0	32081.0	24221.0	29606.0	13522.0	26264.0	9605.0	10361.0	25126.0	18191.0	26845.0	11861.0	16617.0	23915.0	10158.0	28070.0	16101.0	32247.0	9361.0	22162.0	21771.0	33873.0	21081.0	20122.0	20301.0
HMP_2012__SRS042643__bin.57	15943.0	30735.0	22240.0	22614.0	20304.0	8411.0	18577.0	22889.0	25378.0	18980.0	16362.0	17741.0	17383.0	26070.0	0.0	18565.0	9202.0	25345.0	27140.0	24651.0	26161.0	31483.0	30274.0	15240.0	29471.0	12835.0	11394.0	21484.0	11660.0	20428.0	14569.0	13668.0	25947.0	10579.0	33301.0	15918.0	25956.0	11860.0	19435.0	22649.0	25620.0	20663.0	25223.0	13686.0
Castro-NallarE_2015__ES_209__bin.9	13899.0	26785.0	19083.0	20634.0	18115.0	8537.0	15899.0	18537.0	20684.0	17450.0	16749.0	15975.0	16340.0	19669.0	18565.0	0.0	8606.0	20900.0	21314.0	23268.0	24819.0	24679.0	24747.0	12940.0	23864.0	11163.0	10762.0	19123.0	10315.0	19156.0	13693.0	10702.0	21643.0	10226.0	27303.0	13039.0	22815.0	9877.0	17029.0	19493.0	24331.0	17709.0	20519.0	15736.0
