	BritoIL_2016__W1.39.ST__bin.103	BritoIL_2016__M2.45.ST__bin.27	BritoIL_2016__M2.49.ST__bin.71	BritoIL_2016__M1.26.ST__bin.32	BritoIL_2016__M1.22.ST__bin.54	BritoIL_2016__M1.7.ST__bin.59	BritoIL_2016__M2.44.ST__bin.90	BritoIL_2016__W1.36.ST__bin.14	BritoIL_2016__W1.18.ST__bin.8	BritoIL_2016__W2.13.ST__bin.51	BritoIL_2016__W2.62.ST__bin.29	BritoIL_2016__M1.16.ST__bin.19	BritoIL_2016__W1.21.ST__bin.22	BritoIL_2016__W2.67.ST__bin.42	BritoIL_2016__W2.11.ST__bin.73	BritoIL_2016__W1.4.ST__bin.7	BritoIL_2016__M1.52.ST__bin.84	BritoIL_2016__M1.5.ST__bin.28	BritoIL_2016__W2.8.ST__bin.6	BritoIL_2016__M2.39.ST__bin.7	BritoIL_2016__M2.48.ST__bin.36	BritoIL_2016__W2.33.ST__bin.14	BritoIL_2016__M2.37.ST__bin.49	BritoIL_2016__M1.4.ST__bin.64	BritoIL_2016__M2.58.ST__bin.20	BritoIL_2016__W1.38.ST__bin.27	BritoIL_2016__M1.27.ST__bin.64	BritoIL_2016__W1.42.ST__bin.27
BritoIL_2016__W1.39.ST__bin.103	1786285.0	1667257.0	1632187.0	1667902.0	1302131.0	1679657.0	1685509.0	1639975.0	1733690.0	1651817.0	1623716.0	1262985.0	1716607.0	1717816.0	1701123.0	1718022.0	1692005.0	1733556.0	1707881.0	1708495.0	1657240.0	1574151.0	1594214.0	1644068.0	1601298.0	1305647.0	1695857.0	1263215.0
BritoIL_2016__M2.45.ST__bin.27	1667257.0	1854379.0	1665655.0	1733238.0	1351224.0	1728755.0	1723643.0	1702811.0	1782554.0	1724925.0	1641229.0	1293507.0	1761882.0	1793829.0	1764960.0	1793795.0	1739966.0	1796922.0	1778400.0	1814678.0	1697755.0	1629741.0	1602517.0	1711865.0	1649322.0	1337961.0	1766348.0	1297339.0
BritoIL_2016__M2.49.ST__bin.71	1632187.0	1665655.0	2170641.0	1962099.0	1350918.0	1765126.0	1844784.0	1647956.0	1852107.0	1675880.0	1757553.0	1368959.0	1985354.0	1857807.0	1761858.0	1916597.0	1706576.0	1730531.0	1773258.0	1863740.0	1866719.0	1624658.0	1826369.0	1718369.0	1601850.0	1541227.0	1909320.0	1424141.0
BritoIL_2016__M1.26.ST__bin.32	1667902.0	1733238.0	1962099.0	2130124.0	1378325.0	1806632.0	1833491.0	1681469.0	1867832.0	1701750.0	1776730.0	1390058.0	2028554.0	1879229.0	1781594.0	1939466.0	1745104.0	1797883.0	1794687.0	1923564.0	1796302.0	1627427.0	1827184.0	1740237.0	1631487.0	1530785.0	1916737.0	1407543.0
BritoIL_2016__M1.22.ST__bin.54	1302131.0	1351224.0	1350918.0	1378325.0	1442912.0	1365366.0	1395795.0	1368866.0	1394778.0	1321331.0	1301992.0	1042738.0	1360830.0	1396035.0	1369167.0	1394738.0	1370802.0	1407841.0	1375957.0	1409862.0	1383880.0	1326173.0	1304812.0	1417904.0	1314573.0	1071203.0	1404790.0	1079656.0
BritoIL_2016__M1.7.ST__bin.59	1679657.0	1728755.0	1765126.0	1806632.0	1365366.0	2001900.0	1720083.0	1657029.0	1778778.0	1706722.0	1662931.0	1290189.0	1837269.0	1785742.0	1762746.0	1843999.0	1751096.0	1781527.0	1787633.0	1795606.0	1733107.0	1602422.0	1650884.0	1746848.0	1638624.0	1392245.0	1780388.0	1324636.0
BritoIL_2016__M2.44.ST__bin.90	1685509.0	1723643.0	1844784.0	1833491.0	1395795.0	1720083.0	1994169.0	1725818.0	1897645.0	1714441.0	1740251.0	1361609.0	1869771.0	1901748.0	1780819.0	1902945.0	1744196.0	1781753.0	1790747.0	1884423.0	1825361.0	1658002.0	1709925.0	1744685.0	1647844.0	1423380.0	1892671.0	1386284.0
BritoIL_2016__W1.36.ST__bin.14	1639975.0	1702811.0	1647956.0	1681469.0	1368866.0	1657029.0	1725818.0	1821969.0	1730333.0	1669927.0	1617890.0	1300163.0	1717151.0	1753502.0	1718392.0	1752831.0	1684053.0	1721935.0	1727366.0	1768871.0	1663116.0	1678077.0	1593690.0	1659421.0	1595120.0	1337473.0	1720611.0	1289637.0
BritoIL_2016__W1.18.ST__bin.8	1733690.0	1782554.0	1852107.0	1867832.0	1394778.0	1778778.0	1897645.0	1730333.0	2064968.0	1757964.0	1807253.0	1375267.0	1989222.0	2023688.0	1824029.0	2024293.0	1826347.0	1850729.0	1831463.0	1943044.0	1834943.0	1685871.0	1753149.0	1790923.0	1723111.0	1458373.0	1946053.0	1402479.0
BritoIL_2016__W2.13.ST__bin.51	1651817.0	1724925.0	1675880.0	1701750.0	1321331.0	1706722.0	1714441.0	1669927.0	1757964.0	1843429.0	1613738.0	1277283.0	1752828.0	1749258.0	1837829.0	1751861.0	1775249.0	1761305.0	1845290.0	1773598.0	1711812.0	1646244.0	1586377.0	1730522.0	1668047.0	1323938.0	1743053.0	1279869.0
