	BritoIL_2016__W1.39.ST__bin.103	BritoIL_2016__M2.45.ST__bin.27	BritoIL_2016__M2.49.ST__bin.71	BritoIL_2016__M1.26.ST__bin.32	BritoIL_2016__M1.22.ST__bin.54	BritoIL_2016__M1.7.ST__bin.59	BritoIL_2016__M2.44.ST__bin.90	BritoIL_2016__W1.36.ST__bin.14	BritoIL_2016__W1.18.ST__bin.8	BritoIL_2016__W2.13.ST__bin.51	BritoIL_2016__W2.62.ST__bin.29	BritoIL_2016__M1.16.ST__bin.19	BritoIL_2016__W1.21.ST__bin.22	BritoIL_2016__W2.67.ST__bin.42	BritoIL_2016__W2.11.ST__bin.73	BritoIL_2016__W1.4.ST__bin.7	BritoIL_2016__M1.52.ST__bin.84	BritoIL_2016__M1.5.ST__bin.28	BritoIL_2016__W2.8.ST__bin.6	BritoIL_2016__M2.39.ST__bin.7	BritoIL_2016__M2.48.ST__bin.36	BritoIL_2016__W2.33.ST__bin.14	BritoIL_2016__M2.37.ST__bin.49	BritoIL_2016__M1.4.ST__bin.64	BritoIL_2016__M2.58.ST__bin.20	BritoIL_2016__W1.38.ST__bin.27	BritoIL_2016__M1.27.ST__bin.64	BritoIL_2016__W1.42.ST__bin.27
BritoIL_2016__W1.39.ST__bin.103	1.0	0.9333656163490148	0.9137326910319462	0.9337267009463776	0.7289603842611901	0.9403073977556773	0.9435834707227571	0.9180925776121951	0.9705562102352089	0.9247219788555577	0.9089904466532496	0.7070456282172217	0.9609927867053689	0.9616696103925185	0.9523245170843398	0.9617849335352421	0.9472200684661183	0.9704811942103304	0.9561077879509708	0.9564515180948169	0.9277578885788103	0.8812429147644413	0.8924746051162049	0.9203839252974749	0.8964403776553014	0.7309287151826276	0.949376499270833	0.7071743870658938
BritoIL_2016__M2.45.ST__bin.27	0.8990918253496184	1.0	0.8982279242808509	0.9346730091313588	0.7286665778678468	0.9322554882254382	0.9294987702082476	0.9182648207297429	0.9612673568887482	0.9301901067688968	0.885055859670542	0.6975418725082628	0.9501196896643027	0.9673475594794807	0.951779544526766	0.9673292245004932	0.9383011779145471	0.9690155033032621	0.9590272538677369	0.9785906764474792	0.915538301501473	0.8788607938290932	0.8641798683009244	0.9231473177813165	0.8894201239336726	0.7215143182704291	0.9525280430807295	0.6996083324929802
BritoIL_2016__M2.49.ST__bin.71	0.7519377916477207	0.767356278629216	1.0	0.9039260752929664	0.622359017451527	0.8131819126239669	0.8498798281245034	0.7592024659996748	0.8532534859518456	0.7720668687267954	0.8096930814446055	0.6306703872266303	0.9146395004977792	0.85587943837788	0.8116763665663738	0.8829636038386818	0.7862083135811034	0.7972442241715696	0.8169282714184427	0.8586127323679964	0.8599851380306555	0.7484692309783147	0.8413961590147795	0.7916412709425464	0.737961735726912	0.7100331192491066	0.879611137908111	0.656092370871093
BritoIL_2016__M1.26.ST__bin.32	0.7830069986535995	0.8136793914344893	0.9211196155716757	1.0	0.6470632695561385	0.8481346625830234	0.8607437876855996	0.789376111437644	0.8768653843626005	0.7988971534051539	0.8340969821475182	0.6525713995992721	0.952317329883143	0.8822157771096893	0.836380417290261	0.9104944125318526	0.8192499591573073	0.8440273899547632	0.8425270078173853	0.9030291194315448	0.8432851796421241	0.7640057574113056	0.8577829271910931	0.8169651156458497	0.7659117497385128	0.718636567636438	0.8998241416931596	0.6607798419246954
BritoIL_2016__M1.22.ST__bin.54	0.9024327193896786	0.9364562773058925	0.9362442061608747	0.955238434499124	1.0	0.9462572908119137	0.9673458949679536	0.9486829411634251	0.9666410702801003	0.9157391441751126	0.9023363864185757	0.7226622274955091	0.9431136479563549	0.9675122252777716	0.9488915470936551	0.9666133485617973	0.9500246723292897	0.9756942904348983	0.9535973087755871	0.9770949302521568	0.9590882881284514	0.9190948581756891	0.9042907675589363	0.9826683817169724	0.9110555598678228	0.7423896952828725	0.973579816371338	0.7482479874032512
BritoIL_2016__M1.7.ST__bin.59	0.8390314201508566	0.8635571207353014	0.8817253609071383	0.9024586642689445	0.6820350666866477	1.0	0.8592252360257755	0.8277281582496628	0.8885448823617563	0.8525510764773465	0.8306763574604126	0.6444822418702233	0.9177626255057695	0.8920235776012788	0.8805364903341826	0.9211244317897996	0.8747170188321095	0.8899180778260652	0.8929681802287827	0.8969508966481842	0.8657310554972776	0.8004505719566412	0.8246585743543634	0.8725950347170188	0.8185343923272891	0.6954618112792846	0.8893491183375793	0.661689395074679
BritoIL_2016__M2.44.ST__bin.90	0.8452187352225413	0.8643414876071186	0.9250890972630705	0.919426086755937	0.699938169733859	0.8625562828426276	1.0	0.8654321674843005	0.9515968807056975	0.8597270341681171	0.872669768710676	0.6827951893746217	0.9376191285693439	0.9536543793429745	0.8930130796336719	0.9542546293719338	0.8746480363499783	0.8934814451533446	0.8979915944937465	0.9449665499764563	0.9153492005943328	0.8314250196447743	0.8574624317196787	0.8748932512740896	0.8263311685218254	0.7137709993486009	0.9491026086555352	0.6951687645329959
BritoIL_2016__W1.36.ST__bin.14	0.9001113630363634	0.9345993263332142	0.9044917888284597	0.922885625386601	0.7513113560109969	0.9094715662011813	0.9472268737832532	1.0	0.9497049620492994	0.9165507206763671	0.8879898615179512	0.713603250110183	0.9424699322546103	0.9624214242942662	0.9431510634922987	0.9620531414091019	0.9243038712513769	0.9450956629887776	0.9480765040458976	0.9708568038204821	0.9128124572920835	0.9210239032607032	0.8747075279546469	0.9107844315682648	0.8754923931197512	0.7340810957815418	0.9443689766401074	0.7078259838669044
BritoIL_2016__W1.18.ST__bin.8	0.8395723323557557	0.8632356530464395	0.8969180151944243	0.9045331453078207	0.6754477551225976	0.861407053281213	0.9189706571724114	0.8379466413038846	1.0	0.8513274781982094	0.8751966132162823	0.6659991825539185	0.9633185599002019	0.9800093754479489	0.8833207100545868	0.9803023581963498	0.8844432456096172	0.896250692504678	0.8869207658423762	0.940955985758617	0.8886060219819387	0.8164150727759462	0.8489957229361423	0.8672885003544849	0.8344492505452868	0.7062448425350901	0.9424131511965319	0.679177110734888
BritoIL_2016__W2.13.ST__bin.51	0.8960567507617597	0.9357154520190363	0.9091101420233706	0.9231437717427685	0.7167788941152602	0.9258409192868291	0.9300282245749633	0.9058808340326642	0.9536380299973581	1.0	0.8754001374612204	0.692884293346801	0.9508519178118604	0.948915309458623	0.9969621829753139	0.9503273519077762	0.9630145777244472	0.955450413332979	1.0010095316933822	0.9621189641694906	0.9286020779753383	0.8930335803548712	0.8605576889589998	0.9387516416417448	0.9048609954600909	0.7181931064337167	0.9455492997018057	0.694287113851415
