	BritoIL_2016__W1.39.ST__bin.103	BritoIL_2016__M2.45.ST__bin.27	BritoIL_2016__M2.49.ST__bin.71	BritoIL_2016__M1.26.ST__bin.32	BritoIL_2016__M1.22.ST__bin.54	BritoIL_2016__M1.7.ST__bin.59	BritoIL_2016__M2.44.ST__bin.90	BritoIL_2016__W1.36.ST__bin.14	BritoIL_2016__W1.18.ST__bin.8	BritoIL_2016__W2.13.ST__bin.51	BritoIL_2016__W2.62.ST__bin.29	BritoIL_2016__M1.16.ST__bin.19	BritoIL_2016__W1.21.ST__bin.22	BritoIL_2016__W2.67.ST__bin.42	BritoIL_2016__W2.11.ST__bin.73	BritoIL_2016__W1.4.ST__bin.7	BritoIL_2016__M1.52.ST__bin.84	BritoIL_2016__M1.5.ST__bin.28	BritoIL_2016__W2.8.ST__bin.6	BritoIL_2016__M2.39.ST__bin.7	BritoIL_2016__M2.48.ST__bin.36	BritoIL_2016__W2.33.ST__bin.14	BritoIL_2016__M2.37.ST__bin.49	BritoIL_2016__M1.4.ST__bin.64	BritoIL_2016__M2.58.ST__bin.20	BritoIL_2016__W1.38.ST__bin.27	BritoIL_2016__M1.27.ST__bin.64	BritoIL_2016__W1.42.ST__bin.27
BritoIL_2016__W1.39.ST__bin.103	1.0	0.9264982911461497	0.9079211883881911	0.9271594398430262	0.7235944991980563	0.933761969674492	0.9376835163481752	0.9123622490252115	0.9651315439585508	0.9184262309765798	0.9039212667631424	0.702143275009307	0.9550491662864548	0.9559594353644575	0.9461127423675394	0.9560271737152806	0.9418508244764974	0.9638333188712888	0.9496592089168302	0.9499542346266133	0.9220365171291256	0.8752729827547115	0.8903075377109476	0.9134914081459565	0.8911640639651568	0.725683191651948	0.9429396764793971	0.7030630610456898
BritoIL_2016__M2.45.ST__bin.27	0.892476672783719	1.0	0.8914935943515322	0.9290716730506546	0.7226942280946883	0.9263575568964058	0.9230545643582029	0.9123658108725347	0.9547266227669748	0.9228027280291677	0.879176263320497	0.6933490942250747	0.9442967160434841	0.9606445068672584	0.9444266786886607	0.9606245540960073	0.931415314776537	0.9629288295434753	0.9515417290640156	0.9726911273261831	0.9088697617908744	0.8733888811294779	0.8576159458233726	0.9151920939570606	0.8827796259556433	0.716459795974825	0.9469013615878954	0.6948487876534408
BritoIL_2016__M2.49.ST__bin.71	0.7471553333784813	0.76160313934916	1.0	0.8977790431490053	0.6178953590206764	0.8072643057972277	0.8450936843079994	0.7543780846303004	0.8471999745697238	0.767054524446926	0.8043108003580509	0.6263066992653322	0.9085380770012176	0.8500364638832492	0.8066115032379837	0.8768455953794294	0.7806472834522152	0.7915090519344286	0.8117339532423832	0.8526661018565483	0.8599247871941975	0.7433919289279066	0.8360746894580909	0.7857508450268837	0.7327047632473541	0.7058044144563749	0.8732848960284082	0.6547061444061916
BritoIL_2016__M1.26.ST__bin.32	0.7774998075229422	0.8088031494880111	0.9148556609849944	1.0	0.6418682668239032	0.842532641292244	0.855087778927424	0.7842280543292315	0.8713840133250459	0.7927895277458026	0.828947516670391	0.6484106089598539	0.9465486516277926	0.8764616519977241	0.8301986175452696	0.9045318488501138	0.8133733059671644	0.8413411613596204	0.8362738507241833	0.9001274104230552	0.8374747197815714	0.759011681949032	0.8520438246787511	0.8101335884671503	0.7604064364328086	0.7140889450567196	0.8968952042228527	0.6565730445739308
BritoIL_2016__M1.22.ST__bin.54	0.8957899026413253	0.928780826550753	0.9295293129449336	0.9475692211306026	1.0	0.9384002628018895	0.9603385376239161	0.9420553713601384	0.9588193874609124	0.90898751968242	0.89560278104278	0.717399259275687	0.9353564181322215	0.9600765673859528	0.9423117972544411	0.9591763045840633	0.9423152624692289	0.9681428943691646	0.9466793539730767	0.9696474906300592	0.9523255749484376	0.9123321449956754	0.8976618116697345	0.9823724523740879	0.903600496773192	0.7365521944512209	0.9664435530371914	0.7431638242664833
BritoIL_2016__M1.7.ST__bin.59	0.8331909685798491	0.8580938108796643	0.8753089564913333	0.8964978270642889	0.6763719466506819	1.0	0.8527918477446426	0.8218197712173435	0.8825031220340677	0.8458379539437534	0.8250292222388731	0.6399850142364754	0.9116349468005394	0.8857949947549828	0.8737799090863679	0.9146865477796093	0.8686248064338878	0.8839162795344423	0.8854887856536291	0.8909261201858234	0.859632848793646	0.7945636645187072	0.818775663120036	0.8651645936360458	0.8128378040861182	0.690868674758979	0.8833977721164894	0.6575877915979819
BritoIL_2016__M2.44.ST__bin.90	0.8399338270728308	0.8583490165577742	0.9198794084152346	0.9133844724293679	0.6948678873254974	0.8560979535836731	1.0	0.8597696584391795	0.9452749491141422	0.8545183482443063	0.8674239745979403	0.678627037126743	0.93104245427544	0.9474698483428436	0.8879357767571354	0.9480159404744533	0.8685502582780095	0.8878219448802985	0.8926309655801489	0.9389113961755498	0.910220247130509	0.8257549886694657	0.8519558773604444	0.868440939559285	0.820637067369917	0.7086575912071645	0.9433182443413772	0.691427857919765
BritoIL_2016__W1.36.ST__bin.14	0.894493265253141	0.9285953822485453	0.8987441608501571	0.9168668621694441	0.7460626388264564	0.9029796884579266	0.9410291832627229	1.0	0.9437196790944303	0.9102394168067623	0.8829348907692721	0.7106125296314043	0.9361086824199534	0.9565914678021415	0.9369846578070209	0.956227026914289	0.9183410914236192	0.9389424298657113	0.9416603685353593	0.9649280531117709	0.9071180684193859	0.9193186053110673	0.8692458543476865	0.9041169196621895	0.8697370811468252	0.7296880462839928	0.9385889661130349	0.7041552298639548
BritoIL_2016__W1.18.ST__bin.8	0.8348797656912843	0.8573619542772576	0.8905547204605591	0.8988788203981852	0.6699822951251545	0.8555498196582223	0.9128654778185424	0.8326656877975833	1.0	0.8451075270900081	0.8706871002359358	0.661722602965276	0.9592952530014994	0.9747753960351928	0.8771419218118633	0.9749816946315876	0.8794828781850372	0.8907523022148528	0.880487252102696	0.9350890667555138	0.8823734798795914	0.8109404116673963	0.8439244579092751	0.8600225281941415	0.8295934852259211	0.7015542129466412	0.93661354558521	0.6747649358246715
BritoIL_2016__W2.13.ST__bin.51	0.889956163215399	0.928284192122398	0.9032080975182663	0.9160862718336318	0.7114941774269581	0.9185507008949083	0.9243936164614964	0.8996430022528669	0.9466705796643102	1.0	0.8695686137084748	0.6882364332990314	0.9438828400768351	0.941838823193082	0.9967972729082596	0.9430973473890233	0.9556549235148194	0.9477658211951749	1.000874457329249	0.9542922455923173	0.9225096274388653	0.8864740654508527	0.8544587288146166	0.9314825794755318	0.8977823393252466	0.7132544838992985	0.9382834923395477	0.6896924156015772
