	BritoIL_2016__W1.39.ST__bin.103	BritoIL_2016__M2.45.ST__bin.27	BritoIL_2016__M2.49.ST__bin.71	BritoIL_2016__M1.26.ST__bin.32	BritoIL_2016__M1.22.ST__bin.54	BritoIL_2016__M1.7.ST__bin.59	BritoIL_2016__M2.44.ST__bin.90	BritoIL_2016__W1.36.ST__bin.14	BritoIL_2016__W1.18.ST__bin.8	BritoIL_2016__W2.13.ST__bin.51	BritoIL_2016__W2.62.ST__bin.29	BritoIL_2016__M1.16.ST__bin.19	BritoIL_2016__W1.21.ST__bin.22	BritoIL_2016__W2.67.ST__bin.42	BritoIL_2016__W2.11.ST__bin.73	BritoIL_2016__W1.4.ST__bin.7	BritoIL_2016__M1.52.ST__bin.84	BritoIL_2016__M1.5.ST__bin.28	BritoIL_2016__W2.8.ST__bin.6	BritoIL_2016__M2.39.ST__bin.7	BritoIL_2016__M2.48.ST__bin.36	BritoIL_2016__W2.33.ST__bin.14	BritoIL_2016__M2.37.ST__bin.49	BritoIL_2016__M1.4.ST__bin.64	BritoIL_2016__M2.58.ST__bin.20	BritoIL_2016__W1.38.ST__bin.27	BritoIL_2016__M1.27.ST__bin.64	BritoIL_2016__W1.42.ST__bin.27
BritoIL_2016__W1.39.ST__bin.103	1.0	0.9926424060597736	0.9936398219076613	0.9929666131463359	0.9926389894718735	0.9930390549975382	0.9937472893944796	0.9937584414396561	0.9944107654771037	0.9931917397629398	0.9944232858455543	0.9930664259670542	0.9938151248363778	0.9940622278521098	0.9934772500283636	0.9940134643211787	0.9943315770343468	0.993149918433555	0.9932553848892283	0.9932068867629112	0.9938331201274408	0.9932255546005434	0.9975718441815214	0.992511258658401	0.994114149895897	0.992823481385091	0.9932199472007368	0.994186262829368
BritoIL_2016__M2.45.ST__bin.27	0.9926424060597736	1.0	0.9925026491080086	0.9940071703943717	0.9918037275832875	0.993673481783133	0.9930670098158377	0.9935759165286107	0.9931957180539832	0.9920582054292215	0.9933568076118567	0.9939892091809321	0.9938713262295659	0.9930706884546966	0.9922746124558064	0.9930688846830323	0.9926613508539822	0.9937187034273052	0.992194669365722	0.9939713822507354	0.9927162635362582	0.9937738573184328	0.9924044487515578	0.9913824980357681	0.9925339018093495	0.9929945641165924	0.9940928967564715	0.9931968436931288
BritoIL_2016__M2.49.ST__bin.71	0.9936398219076613	0.9925026491080086	1.0	0.9931996295803627	0.9928278400317414	0.9927228991018205	0.9943684463872193	0.9936454614079502	0.9929053774970884	0.9935078883929637	0.9933526897908627	0.9930808738610871	0.9933291493607689	0.9931731337001098	0.9937599965490976	0.9930710524956472	0.9929267726722982	0.9928062542653093	0.9936416471827563	0.9930741412428772	0.9999298233960227	0.9932164184708413	0.993675429225967	0.9925592233100108	0.9928763617067765	0.9940443555686476	0.9928079106697673	0.9978871474102634
BritoIL_2016__M1.26.ST__bin.32	0.9929666131463359	0.9940071703943717	0.9931996295803627	1.0	0.9919714145792901	0.9933948917100992	0.9934289287484913	0.9934783216342377	0.993748902470886	0.9923549287498163	0.9938262988748994	0.9936240070558207	0.9939424831678131	0.9934776442892271	0.9926088659930377	0.9934512902004985	0.9928267885466998	0.9968173679822324	0.9925780930045184	0.9967866938661776	0.9931097332185791	0.9934633012724995	0.9933093766145062	0.9916379205820817	0.9928120787968276	0.9936718742344613	0.9967449890099686	0.9936335870378383
BritoIL_2016__M1.22.ST__bin.54	0.9926389894718735	0.9918037275832875	0.9928278400317414	0.9919714145792901	1.0	0.991696731865302	0.9927560995704957	0.9930139253951811	0.9919083897222354	0.9926271312789906	0.9925375885566117	0.9927172501625529	0.9917748726879919	0.9923146625980007	0.9930658568311974	0.9923060818591019	0.9918850424787825	0.9922604896433617	0.9927454128290346	0.9923779774190665	0.9929488105905137	0.9926419856232935	0.9926694420345613	0.9996988512621446	0.991817114758937	0.9921368778840238	0.9926700788018138	0.9932052431515224
BritoIL_2016__M1.7.ST__bin.59	0.9930390549975382	0.993673481783133	0.9927228991018205	0.9933948917100992	0.991696731865302	1.0	0.992512570614325	0.99286192335801	0.9932003881316275	0.9921258412324913	0.9932017624303113	0.9930219525976427	0.993323242268824	0.9930174683688909	0.9923267447493853	0.993010842196769	0.993035219085647	0.9932557856266001	0.9916241197158477	0.9932830476173503	0.992956003293507	0.9926455078624732	0.9928662462050635	0.9914846626609757	0.9930405022750796	0.9933955589713017	0.993308200235005	0.9938013159841647
BritoIL_2016__M2.44.ST__bin.90	0.9937472893944796	0.9930670098158377	0.9943684463872193	0.9934289287484913	0.9927560995704957	0.992512570614325	1.0	0.9934570157455769	0.993356502401661	0.9939414654689196	0.9939887981676206	0.9938954575065235	0.9929857720544387	0.993514913647865	0.9943144137613087	0.9934622387930288	0.9930283064517978	0.9936657886923721	0.9940304241749393	0.9935922030244801	0.9943967248122426	0.9931803459826948	0.9935780809099815	0.992625029733161	0.9931091778105209	0.9928360662648064	0.9939054383989611	0.9946187072778738
BritoIL_2016__W1.36.ST__bin.14	0.9937584414396561	0.9935759165286107	0.9936454614079502	0.9934783216342377	0.9930139253951811	0.99286192335801	0.9934570157455769	1.0	0.9936977448849441	0.9931140702557657	0.9943074003795066	0.9958089870270113	0.9932504479804047	0.993942407821605	0.9934619109027509	0.9939440824586055	0.993548896620237	0.9934893012802458	0.9932324707097395	0.993893279950884	0.9937617099468709	0.9981484759042643	0.9937560002258908	0.9926793743118835	0.9934261999097247	0.9940155801275988	0.9938794997823448	0.9948140445722323
BritoIL_2016__W1.18.ST__bin.8	0.9944107654771037	0.9931957180539832	0.9929053774970884	0.993748902470886	0.9919083897222354	0.9932003881316275	0.993356502401661	0.9936977448849441	1.0	0.9926938208063418	0.9948474286666006	0.993578701444883	0.9958234928027139	0.9946592557746056	0.9930050454241681	0.9945724260272599	0.9943915367671095	0.9938651201769682	0.9927462362057	0.9937649379015606	0.9929861581531415	0.9932942674736086	0.9940267484395222	0.9916221970458808	0.9941808740121791	0.9933583520813948	0.9938460052218516	0.993503646043898
BritoIL_2016__W2.13.ST__bin.51	0.9931917397629398	0.9920582054292215	0.9935078883929637	0.9923549287498163	0.9926271312789906	0.9921258412324913	0.9939414654689196	0.9931140702557657	0.9926938208063418	1.0	0.993338447752981	0.9932920112457458	0.9926707012895732	0.9925425523279013	0.9998345874398543	0.9923920904683647	0.9923576917942215	0.9919570999911997	0.9998650618601954	0.9918651238894045	0.9934391159776892	0.9926547947934814	0.992912781766251	0.9922566716863467	0.9921770789432193	0.9931235450602671	0.9923157815625802	0.9933821352028996
