	XieH_2016__YSZC12003_36005__bin.99	ZeeviD_2015__PNP_Main_492__bin.1	QinJ_2012__CON-041__bin.12	ZeeviD_2015__PNP_Main_156__bin.4	QinJ_2012__T2D-063__bin.13	XieH_2016__YSZC12003_36157__bin.47	RaymondF_2016__P6C90__bin.56	QinJ_2012__CON-007__bin.27	ZellerG_2014__CCIS85214191ST-3-0__bin.8	ZellerG_2014__CCIS13047523ST-4-0__bin.32	WenC_2017__RA045__bin.55	XieH_2016__YSZC12003_36982__bin.36	HMP_2012__SRS019787__bin.19	ZellerG_2014__CCIS71301801ST-4-0__bin.26	NielsenHB_2014__V1_UC46_0__bin.28	RaymondF_2016__P6C7__bin.53	LiJ_2014__O2.CD3-0-PT__bin.19	ZellerG_2014__CCMD60079086ST-21-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.122	BackhedF_2015__SID70_12M__bin.13	HeQ_2017__SZAXPI029561-52__bin.15	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.36	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_269__bin.27	LiJ_2014__V1.FI35__bin.48	VogtmannE_2016__MMRS97052561ST-27-0-0__bin.1	ZellerG_2014__CCMD11006829ST-21-0__bin.48	FengQ_2015__SID531766__bin.48	ZeeviD_2015__PNP_Main_723__bin.45	KarlssonFH_2013__S526__bin.23	NielsenHB_2014__V1_CD14_0__bin.5	BackhedF_2015__SID587_M__bin.28	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.11
XieH_2016__YSZC12003_36005__bin.99	1.0	0.8562644152283782	0.6708226250212361	0.6729962794946178	0.5588700928050372	0.5079427544817458	0.7836322233594946	0.8640712786973236	0.5902788684159801	0.7216242014773309	0.8524031046934449	0.8385151434738316	0.8111879120982716	0.7862726208392028	0.8683987305071613	0.7594446259667568	0.8359335150963382	0.7446574774255442	0.5480475520262003	0.6725854975105368	0.8387281563972173	0.7401416836806226	0.8510468020682713	0.8184845073213666	0.72031704025162	0.4305261960765908	0.811370036141995	0.7668380999487926	0.7058044818159773	0.7304215148668779	0.6042197820007289	0.7804803541710919	0.7533803766959047
ZeeviD_2015__PNP_Main_492__bin.1	0.8317750308286511	1.0	0.6725688425358813	0.6992653146159079	0.572425849032451	0.5143970628951245	0.7904982482857439	0.9140838761429592	0.6308408092041132	0.716613725233083	0.9107318387631832	0.8362209032380751	0.7995842491652542	0.7774285368582853	0.9251369875424776	0.7478088715203663	0.8301972117922976	0.7720493780591189	0.573660553803181	0.679179004134712	0.8398498090854554	0.7271066699581735	0.81957352903641	0.8119494170467194	0.7004702087775293	0.4257023174923394	0.7980187050855925	0.8106983456670669	0.7344005271606798	0.7252287964249091	0.6326103513735579	0.7789391358937074	0.7815858503651605
QinJ_2012__CON-041__bin.12	0.797105172841154	0.8227098308768852	1.0	0.6625846092245504	0.530800856102351	0.5105489827826186	0.7617153984021965	0.84122018418594	0.5842347989398821	0.7126892386599806	0.8327139779205674	0.8191216847484127	0.7728270921120369	0.7613836349076211	0.8368143077773753	0.7219285659808949	0.8227632181058974	0.7124258775525769	0.542432836959216	0.6580426430491735	0.8254680915972316	0.7302738955516999	0.7973995176082521	0.7902935344252293	0.7048808797452666	0.4160044902472973	0.8270496882567163	0.7216234961008255	0.660636213701451	0.7575800331763495	0.5902506339733445	0.7508780292485747	0.7167495280950293
ZeeviD_2015__PNP_Main_156__bin.4	0.553851433472524	0.5924130600890937	0.45889575332021265	1.0	0.4022133265413484	0.3700262837272481	0.5291594538966785	0.6116203357443669	0.44133040591298855	0.4970116971912579	0.6091083357364437	0.5683225871520228	0.5493962566941136	0.5438083854713367	0.6122139191343323	0.49786625258888023	0.5662858170049757	0.5049706006202254	0.4339008745450941	0.4920550447902906	0.5658465718991086	0.5156727638817383	0.5550242393639876	0.5535378048738214	0.4891257536784095	0.3063557165662423	0.5497740966217083	0.5229593466356979	0.5020195205741186	0.5105754738144055	0.4631837165352095	0.5368098458251329	0.5338584356436592
QinJ_2012__T2D-063__bin.13	0.9023936356263975	0.9514947753788595	0.7212882260124728	0.7891525957285839	1.0	0.6040147191037436	0.8441753182316347	0.9852909361308526	0.6811494555149353	0.7947001121875008	0.9614083417754643	0.9056608051072518	0.8632345625594295	0.8621719551975459	0.9756147641860188	0.8132651355966017	0.888823287845145	0.837115019393151	0.6661595990268447	0.755813087332658	0.9008695179046587	0.8344078158155875	0.886860330447895	0.8848672534271597	0.7751634880208104	0.5993837460261529	0.9116520192454678	0.8369239379108252	0.8995633626195392	0.8044876943525382	0.7266828772855288	0.8741764064244832	0.9792650682322827
XieH_2016__YSZC12003_36157__bin.47	0.7177297302199664	0.7482498931513714	0.60712156029607	0.6353281811699273	0.5285773317658422	1.0	0.6932228493950157	0.7849854153038979	0.5216290533041451	0.672832616663398	0.7849105929220294	0.7189895237328661	0.7138896982050564	0.7448803352042708	0.7783063840496821	0.6354180247117922	0.7295567680812254	0.6945784382301559	0.5249818895825705	0.6527473418215168	0.7419200330125418	0.6966031772304155	0.726154617051114	0.7157506215359222	0.6527909882109402	0.41230958554068803	0.7213631504303987	0.665195915604888	0.6666858446256557	0.6817903295472452	0.5806358542051878	0.6909186601352018	0.6868360222154454
RaymondF_2016__P6C90__bin.56	0.8005852002412276	0.8313773721890336	0.6549076759427538	0.6569029468821868	0.5341248297400901	0.5012125927682135	1.0	0.8403553742090996	0.5771001010442744	0.7097017052527654	0.8363488488514128	0.8297634506609475	0.7872939130199574	0.7693747939309501	0.8380910480428537	0.8263161421455854	0.8845548160578226	0.7127236073318267	0.5402128958395619	0.6556550060358125	0.8058769612292033	0.7293816709251708	0.8083707937580007	0.8067447821626016	0.6950460846726839	0.4503857448680226	0.8019290419605253	0.7090838823214323	0.6892305573787423	0.7199784673851991	0.5914887155614945	0.8118562167228581	0.7269743131151205
QinJ_2012__CON-007__bin.27	0.7430259898044297	0.8091750819102103	0.60877413755396	0.639080742873346	0.5247274316587016	0.4777160763405229	0.7073301100484114	1.0	0.5673529945434588	0.6624483512055928	0.8388228179871993	0.7489725434353511	0.7306185505842548	0.7110672094921325	0.8355579656601491	0.6716616544310164	0.75863360177943	0.6910086080749083	0.5268168405598527	0.6245205950106696	0.7606828231063719	0.6740337561825046	0.7476137549820518	0.7375998048919143	0.6451944285188965	0.3848099938390552	0.7297095869959218	0.7259688654961562	0.6626580854984605	0.6652373343599275	0.5901419363028673	0.7114697751496599	0.7183773809844127
ZellerG_2014__CCIS85214191ST-3-0__bin.8	0.7436582888820773	0.8181595120549684	0.6194349171196445	0.6756152063095051	0.5314635040637237	0.4650844217984293	0.7116591965645533	0.8312183135552724	1.0	0.66126361428953	0.8320749515266729	0.7609277566117163	0.7446455704615055	0.7370796124964022	0.8391698849552893	0.682911538104849	0.7610573894374769	0.6622450838709221	0.5789439902803176	0.6424933875887562	0.7622756347649464	0.6709390748461526	0.7510195634380848	0.7476791807407568	0.6489454634954721	0.3993340461032954	0.7344970638038617	0.7323898354724435	0.6710495028088376	0.67883480052591	0.6417876088707262	0.7247692952649147	0.7248974119172746
ZellerG_2014__CCIS13047523ST-4-0__bin.32	0.7957471110050431	0.8134879409467689	0.6613879163736955	0.6659627988885274	0.5427278411593006	0.5250792431847323	0.7660278478610478	0.8494964510598825	0.5787918673965303	1.0	0.8434931895428857	0.8167452555278909	0.8203219537075149	0.7693353702516296	0.8455012807415008	0.7248558958455581	0.8239473114381574	0.7229674629064925	0.5458570926493334	0.6830692852287961	0.8421899982947039	0.7626356136157386	0.8199421880297947	0.81890109481778	0.731483547874031	0.4154421969875757	0.7926806745717794	0.7179384983087488	0.6979004951994034	0.7369991079819579	0.6010126937286022	0.7840301122996083	0.7386207981095323
