	XieH_2016__YSZC12003_36005__bin.99	ZeeviD_2015__PNP_Main_492__bin.1	QinJ_2012__CON-041__bin.12	ZeeviD_2015__PNP_Main_156__bin.4	QinJ_2012__T2D-063__bin.13	XieH_2016__YSZC12003_36157__bin.47	RaymondF_2016__P6C90__bin.56	QinJ_2012__CON-007__bin.27	ZellerG_2014__CCIS85214191ST-3-0__bin.8	ZellerG_2014__CCIS13047523ST-4-0__bin.32	WenC_2017__RA045__bin.55	XieH_2016__YSZC12003_36982__bin.36	HMP_2012__SRS019787__bin.19	ZellerG_2014__CCIS71301801ST-4-0__bin.26	NielsenHB_2014__V1_UC46_0__bin.28	RaymondF_2016__P6C7__bin.53	LiJ_2014__O2.CD3-0-PT__bin.19	ZellerG_2014__CCMD60079086ST-21-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.122	BackhedF_2015__SID70_12M__bin.13	HeQ_2017__SZAXPI029561-52__bin.15	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.36	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_269__bin.27	LiJ_2014__V1.FI35__bin.48	VogtmannE_2016__MMRS97052561ST-27-0-0__bin.1	ZellerG_2014__CCMD11006829ST-21-0__bin.48	FengQ_2015__SID531766__bin.48	ZeeviD_2015__PNP_Main_723__bin.45	KarlssonFH_2013__S526__bin.23	NielsenHB_2014__V1_CD14_0__bin.5	BackhedF_2015__SID587_M__bin.28	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.11
XieH_2016__YSZC12003_36005__bin.99	1.0	0.9936840934076357	0.9936644813425453	0.99417739522067	0.9941169523751079	0.9938561125498958	0.9937880725702489	0.993708708642902	0.993781483036095	0.9905085438247857	0.9940221864665221	0.9938458049272073	0.9934081778779963	0.99328728966085	0.9938160516384938	0.9938204754005417	0.9936712376778802	0.9937059850554952	0.9933661746528031	0.9929591937052343	0.9925369379086146	0.993219837157661	0.9925201744294575	0.9938929118661497	0.9937795074910736	0.9894205185978718	0.9940682891346578	0.9937988268303677	0.9939861441212511	0.9933437006700216	0.993549395705226	0.9934693337745152	0.9939780127071447
ZeeviD_2015__PNP_Main_492__bin.1	0.9936840934076357	1.0	0.9941323636690381	0.9995145729760019	0.999656337393656	0.9988793267182585	0.9941945846999825	0.9994622887368877	0.9994178318775014	0.9907918120346507	0.9997431258905575	0.9933910814202659	0.993735557214558	0.9935695593937995	0.9993673150669938	0.9942302830225825	0.9941312053800473	0.9997050687802815	0.998892628379112	0.9953073078080573	0.9927445025264	0.9936556583049981	0.9923893023208629	0.9936881813759622	0.9939084267960658	0.9881711185154062	0.994475905444284	0.9996653229933434	0.9997223021601815	0.9936340300031073	0.998640514512969	0.993912212245933	0.9993913581830933
QinJ_2012__CON-041__bin.12	0.9936644813425453	0.9941323636690381	1.0	0.9943668974298903	0.9944359954169856	0.9936705220276967	0.9942438554564691	0.9937999390693376	0.9942389271522802	0.9906335699373142	0.9941345552488248	0.9934783469614231	0.9936220108346757	0.9933417205742793	0.9941158383104172	0.9941611426174557	0.9941748283004218	0.9942103556372284	0.9935296017880685	0.9931682986322569	0.9929684471753376	0.9932895783585984	0.9924912689346127	0.993627790444952	0.9938818106694958	0.9892811416218962	0.9995598609298803	0.9938476981140993	0.9943093586729012	0.9988464300135594	0.9937144267248211	0.9936667818925472	0.9943157565495928
ZeeviD_2015__PNP_Main_156__bin.4	0.99417739522067	0.9995145729760019	0.9943668974298903	1.0	0.9997107528549308	0.9987248978180694	0.9942825169827917	0.9994527012792872	0.9991535551803544	0.9912064151821677	0.9994325794720524	0.9924895237013555	0.9940945275816206	0.9941082963033595	0.9995666321876936	0.9945572174738841	0.994430469569331	0.9993717936320847	0.9975443010593545	0.993636375757495	0.9932992223910577	0.9929606138286258	0.9928799982046446	0.9939369060021844	0.9937834517605448	0.9897971863465437	0.9945955082217078	0.9994299609016902	0.9995881741224789	0.9937610580659505	0.9986593304125931	0.9940638469634071	0.9996692681150663
QinJ_2012__T2D-063__bin.13	0.9941169523751079	0.999656337393656	0.9944359954169856	0.9997107528549308	1.0	0.9988490529457068	0.9942300290996946	0.9996273910307698	0.9993718219870857	0.990376686743657	0.9995272620628142	0.9937173027897592	0.9941022940371742	0.9937495847117171	0.9994711325990681	0.9943733818869545	0.9942786775310929	0.9995792466504089	0.998751616925569	0.9957362435934852	0.9931015671245866	0.9937652238814606	0.9923999363611093	0.9936645652807994	0.9940422990537452	0.9933098071839735	0.9944966814745516	0.9995953900772317	0.9995954935680238	0.9940903018840439	0.9990533844844107	0.9940098326244269	0.9994390753899864
XieH_2016__YSZC12003_36157__bin.47	0.9938561125498958	0.9988793267182585	0.9936705220276967	0.9987248978180694	0.9988490529457068	1.0	0.9935107373818652	0.9987195570265885	0.9985839098520267	0.9902670725633477	0.9987972355532121	0.9931586649472307	0.9934587342167559	0.9934264289985538	0.9988248229687278	0.9935793489739944	0.9935952390234564	0.9987049176453137	0.9980183200332328	0.9946929554252308	0.9927030716723549	0.9932954906415719	0.9923232529794307	0.9930709024303158	0.9933702829791978	0.9911910030905414	0.9940743587520378	0.9987965322425524	0.998887438028812	0.9933681827210189	0.9979006332196785	0.9935536170171143	0.9987100932524278
RaymondF_2016__P6C90__bin.56	0.9937880725702489	0.9941945846999825	0.9942438554564691	0.9942825169827917	0.9942300290996946	0.9935107373818652	1.0	0.9939926103168586	0.9940546006780523	0.9907109725974693	0.9941191930258462	0.9939837306172364	0.9934703410177238	0.9933939173133711	0.9942678928094254	0.9997597574666091	0.9996021656269249	0.9944765266679572	0.9937575862666898	0.9932056706327157	0.9934281904258616	0.9941983396374822	0.9929477190333809	0.9941561904684947	0.9939431874558428	0.9897031070796711	0.9943286770605773	0.9942414648435424	0.9945345238081158	0.99369424735825	0.9940227525918223	0.9955663150509583	0.9942842841355953
QinJ_2012__CON-007__bin.27	0.993708708642902	0.9994622887368877	0.9937999390693376	0.9994527012792872	0.9996273910307698	0.9987195570265885	0.9939926103168586	1.0	0.999335580067159	0.9908587930810302	0.9993646265053903	0.9934302863866209	0.9939324443293144	0.9934618000147478	0.9991595309295712	0.99414947594959	0.9940722901260056	0.9994987958876814	0.9989648574839333	0.9952779414804488	0.9927527162682567	0.9936178846698543	0.9922792880444113	0.9933658921841336	0.9938597071544468	0.9883916732639011	0.99431293254369	0.9990607616257156	0.9992348323458371	0.9936661182541003	0.9983339373175282	0.9936485492016424	0.9993020509481214
ZellerG_2014__CCIS85214191ST-3-0__bin.8	0.993781483036095	0.9994178318775014	0.9942389271522802	0.9991535551803544	0.9993718219870857	0.9985839098520267	0.9940546006780523	0.999335580067159	1.0	0.9907506581116879	0.9994515272401561	0.9932532835570309	0.9935728829743438	0.9930906092343561	0.9993424731076015	0.9940328756441427	0.9940704111038607	0.9993597472851226	0.9981444950011589	0.9957172424461376	0.9929162917061924	0.993507897913472	0.9921023256062372	0.9934343259683404	0.9941114170070576	0.9904719463942002	0.9944635849502024	0.999444812079234	0.9995851945313432	0.9939211278361287	0.9985401884584068	0.9940650391851594	0.9994449964672092
ZellerG_2014__CCIS13047523ST-4-0__bin.32	0.9905085438247857	0.9907918120346507	0.9906335699373142	0.9912064151821677	0.990376686743657	0.9902670725633477	0.9907109725974693	0.9908587930810302	0.9907506581116879	1.0	0.9910940523582089	0.9901637251870898	0.9904695751193606	0.9902777955714988	0.9908411639847663	0.9907450150989815	0.9907076232275113	0.9909219943297707	0.9905267310900862	0.9902393274206891	0.9903516764014271	0.9905197762964818	0.9897654842672321	0.990131903555804	0.9911966295855945	0.9846187153466346	0.9910405043864198	0.9910253728996488	0.99098633377449	0.9903318525484173	0.9909963267580649	0.9907378707583744	0.9907698104474911
