	XieH_2016__YSZC12003_36005__bin.99	ZeeviD_2015__PNP_Main_492__bin.1	QinJ_2012__CON-041__bin.12	ZeeviD_2015__PNP_Main_156__bin.4	QinJ_2012__T2D-063__bin.13	XieH_2016__YSZC12003_36157__bin.47	RaymondF_2016__P6C90__bin.56	QinJ_2012__CON-007__bin.27	ZellerG_2014__CCIS85214191ST-3-0__bin.8	ZellerG_2014__CCIS13047523ST-4-0__bin.32	WenC_2017__RA045__bin.55	XieH_2016__YSZC12003_36982__bin.36	HMP_2012__SRS019787__bin.19	ZellerG_2014__CCIS71301801ST-4-0__bin.26	NielsenHB_2014__V1_UC46_0__bin.28	RaymondF_2016__P6C7__bin.53	LiJ_2014__O2.CD3-0-PT__bin.19	ZellerG_2014__CCMD60079086ST-21-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.122	BackhedF_2015__SID70_12M__bin.13	HeQ_2017__SZAXPI029561-52__bin.15	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.36	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_269__bin.27	LiJ_2014__V1.FI35__bin.48	VogtmannE_2016__MMRS97052561ST-27-0-0__bin.1	ZellerG_2014__CCMD11006829ST-21-0__bin.48	FengQ_2015__SID531766__bin.48	ZeeviD_2015__PNP_Main_723__bin.45	KarlssonFH_2013__S526__bin.23	NielsenHB_2014__V1_CD14_0__bin.5	BackhedF_2015__SID587_M__bin.28	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.11
XieH_2016__YSZC12003_36005__bin.99	4985613.0	4296137.0	3365786.0	3374950.0	2802799.0	2548061.0	3931308.0	4335199.0	2961317.0	3632214.0	4275309.0	4206399.0	4071105.0	3946543.0	4356440.0	3809840.0	4194185.0	3736089.0	2750600.0	3377028.0	4213016.0	3715250.0	4274966.0	4105721.0	3613701.0	2169388.0	4069315.0	3847014.0	3540158.0	3666001.0	3031964.0	3916752.0	3778819.0
ZeeviD_2015__PNP_Main_492__bin.1	4296137.0	5132401.0	3472267.0	3590653.0	2938929.0	2643054.0	4080845.0	4693969.0	3239614.0	3712131.0	4675442.0	4320374.0	4129657.0	4015899.0	4751180.0	3860328.0	4286059.0	3963636.0	2947520.0	3502254.0	4341949.0	3755630.0	4238639.0	4193720.0	3617128.0	2211029.0	4118503.0	4162222.0	3770285.0	3746012.0	3251230.0	4022315.0	4013855.0
QinJ_2012__CON-041__bin.12	3365786.0	3472267.0	4195760.0	2795795.0	2239574.0	2155786.0	3214478.0	3551578.0	2465513.0	3018546.0	3514482.0	3459399.0	3263411.0	3215996.0	3531854.0	3046829.0	3472344.0	3006575.0	2290740.0	2779981.0	3487992.0	3084754.0	3371009.0	3337147.0	2975717.0	1764367.0	3471630.0	3046502.0	2787735.0	3182295.0	2492215.0	3170584.0	3024501.0
ZeeviD_2015__PNP_Main_156__bin.4	3374950.0	3590653.0	2795795.0	6058121.0	2437362.0	2244526.0	3224146.0	3707299.0	2675898.0	3037669.0	3692147.0	3469021.0	3348081.0	3313982.0	3710474.0	3032640.0	3449842.0	3061096.0	2635095.0	3000020.0	3451092.0	3146155.0	3386516.0	3373855.0	2981719.0	1875071.0	3348696.0	3169958.0	3042548.0	3112547.0	2809790.0	3271479.0	3235249.0
QinJ_2012__T2D-063__bin.13	2802799.0	2938929.0	2239574.0	2437362.0	3087688.0	1867158.0	2621677.0	3043405.0	2104499.0	2477629.0	2969933.0	2814078.0	2681212.0	2678862.0	3013988.0	2525318.0	2760201.0	2585838.0	2059464.0	2343708.0	2800926.0	2592555.0	2759319.0	2749614.0	2407808.0	1863175.0	2830474.0	2585206.0	2778695.0	2498774.0	2245896.0	2715450.0	3025362.0
XieH_2016__YSZC12003_36157__bin.47	2548061.0	2643054.0	2155786.0	2244526.0	1867158.0	3528356.0	2461913.0	2773259.0	1843103.0	2397326.0	2772779.0	2554326.0	2535442.0	2645594.0	2749373.0	2256469.0	2590729.0	2453898.0	1856001.0	2315413.0	2637000.0	2474454.0	2581953.0	2543044.0	2318651.0	1467704.0	2560398.0	2349876.0	2354925.0	2421659.0	2053000.0	2453624.0	2426532.0
RaymondF_2016__P6C90__bin.56	3931308.0	4080845.0	3214478.0	3224146.0	2621677.0	2461913.0	4880039.0	4125752.0	2833115.0	3495845.0	4105559.0	4073787.0	3867277.0	3779547.0	4113496.0	4033424.0	4318380.0	3497437.0	2652820.0	3221510.0	3958727.0	3580182.0	3972899.0	3960088.0	3412521.0	2220767.0	3935766.0	3480399.0	3381956.0	3535819.0	2903845.0	3979534.0	3568057.0
QinJ_2012__CON-007__bin.27	4335199.0	4693969.0	3551578.0	3707299.0	3043405.0	2773259.0	4125752.0	5797812.0	3291593.0	3876184.0	4866429.0	4371119.0	4261848.0	4149766.0	4848483.0	3917085.0	4424643.0	4008347.0	3057550.0	3638032.0	4442492.0	3933022.0	4368250.0	4305025.0	3763827.0	2257259.0	4254917.0	4212988.0	3844909.0	3881506.0	3427242.0	4151335.0	4167926.0
ZellerG_2014__CCIS85214191ST-3-0__bin.8	2961317.0	3239614.0	2465513.0	2675898.0	2104499.0	1843103.0	2833115.0	3291593.0	3957331.0	2641269.0	3294603.0	3031697.0	2965871.0	2937162.0	3323058.0	2718730.0	3029721.0	2622402.0	2295332.0	2553495.0	3038098.0	2672478.0	2995692.0	2978369.0	2583304.0	1595499.0	2922830.0	2899919.0	2656667.0	2702804.0	2543479.0	2885276.0	2870252.0
ZellerG_2014__CCIS13047523ST-4-0__bin.32	3632214.0	3712131.0	3018546.0	3037669.0	2477629.0	2397326.0	3495845.0	3876184.0	2641269.0	4521209.0	3847878.0	3729359.0	3744534.0	3512475.0	3858023.0	3307839.0	3760179.0	3298632.0	2491537.0	3118740.0	3844813.0	3481036.0	3745463.0	3739323.0	3336563.0	1907643.0	3616275.0	3275345.0	3184054.0	3364657.0	2741992.0	3577903.0	3370570.0
WenC_2017__RA045__bin.55	4275309.0	4675442.0	3514482.0	3692147.0	2969933.0	2772779.0	4105559.0	4866429.0	3294603.0	3847878.0	5091124.0	4351243.0	4230122.0	4125351.0	4825006.0	3867785.0	4369774.0	3958884.0	3041740.0	3615740.0	4418992.0	3902412.0	4325328.0	4289427.0	3730912.0	2225793.0	4207392.0	4180256.0	3782149.0	3842506.0	3377294.0	4128495.0	4108980.0
XieH_2016__YSZC12003_36982__bin.36	4206399.0	4320374.0	3459399.0	3469021.0	2814078.0	2554326.0	4073787.0	4371119.0	3031697.0	3729359.0	4351243.0	5348175.0	4178385.0	3970891.0	4388408.0	3867969.0	4302261.0	3684532.0	2826536.0	3462996.0	4347468.0	3848763.0	4401496.0	4462917.0	3702462.0	2298358.0	4175908.0	3759185.0	3595381.0	3784473.0	3084311.0	4132872.0	3827278.0
HMP_2012__SRS019787__bin.19	4071105.0	4129657.0	3263411.0	3348081.0	2681212.0	2535442.0	3867277.0	4261848.0	2965871.0	3744534.0	4230122.0	4178385.0	5026163.0	3946748.0	4285794.0	3597999.0	4155221.0	3543059.0	2774250.0	3392947.0	4293382.0	3706432.0	4256070.0	4159330.0	3566265.0	2183714.0	4016926.0	3716250.0	3491990.0	3643230.0	3028135.0	3996910.0	3749591.0
ZellerG_2014__CCIS71301801ST-4-0__bin.26	3946543.0	4015899.0	3215996.0	3313982.0	2678862.0	2645594.0	3779547.0	4149766.0	2937162.0	3512475.0	4125351.0	3970891.0	3946748.0	6267981.0	4165276.0	3521868.0	3980985.0	3449552.0	2798984.0	3317823.0	4114427.0	3597629.0	3990039.0	3895435.0	3432716.0	2150442.0	3960166.0	3533556.0	3403772.0	3564149.0	3021627.0	3857940.0	3629380.0
NielsenHB_2014__V1_UC46_0__bin.28	4356440.0	4751180.0	3531854.0	3710474.0	3013988.0	2749373.0	4113496.0	4848483.0	3323058.0	3858023.0	4825006.0	4388408.0	4285794.0	4165276.0	5223273.0	3901872.0	4399089.0	3963391.0	3079862.0	3635026.0	4490086.0	3897870.0	4382229.0	4301350.0	3745252.0	2269991.0	4261741.0	4206865.0	3867886.0	3889848.0	3378024.0	4157762.0	4183284.0
RaymondF_2016__P6C7__bin.53	3809840.0	3860328.0	3046829.0	3032640.0	2525318.0	2256469.0	4033424.0	3917085.0	2718730.0	3307839.0	3867785.0	3867969.0	3597999.0	3521868.0	3901872.0	4400985.0	4092508.0	3200746.0	2469852.0	3022502.0	3765878.0	3373875.0	3735910.0	3720243.0	3176651.0	1905767.0	3627723.0	3336914.0	3161732.0	3327635.0	2747085.0	3615923.0	3306894.0
