	XieH_2016__YSZC12003_36005__bin.99	ZeeviD_2015__PNP_Main_492__bin.1	QinJ_2012__CON-041__bin.12	ZeeviD_2015__PNP_Main_156__bin.4	QinJ_2012__T2D-063__bin.13	XieH_2016__YSZC12003_36157__bin.47	RaymondF_2016__P6C90__bin.56	QinJ_2012__CON-007__bin.27	ZellerG_2014__CCIS85214191ST-3-0__bin.8	ZellerG_2014__CCIS13047523ST-4-0__bin.32	WenC_2017__RA045__bin.55	XieH_2016__YSZC12003_36982__bin.36	HMP_2012__SRS019787__bin.19	ZellerG_2014__CCIS71301801ST-4-0__bin.26	NielsenHB_2014__V1_UC46_0__bin.28	RaymondF_2016__P6C7__bin.53	LiJ_2014__O2.CD3-0-PT__bin.19	ZellerG_2014__CCMD60079086ST-21-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.122	BackhedF_2015__SID70_12M__bin.13	HeQ_2017__SZAXPI029561-52__bin.15	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.36	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_269__bin.27	LiJ_2014__V1.FI35__bin.48	VogtmannE_2016__MMRS97052561ST-27-0-0__bin.1	ZellerG_2014__CCMD11006829ST-21-0__bin.48	FengQ_2015__SID531766__bin.48	ZeeviD_2015__PNP_Main_723__bin.45	KarlssonFH_2013__S526__bin.23	NielsenHB_2014__V1_CD14_0__bin.5	BackhedF_2015__SID587_M__bin.28	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.11
XieH_2016__YSZC12003_36005__bin.99	0.0	27134.0	21324.0	19651.0	16489.0	15655.0	24421.0	27274.0	18415.0	34475.0	25557.0	25887.0	26836.0	26492.0	26940.0	23543.0	26544.0	23515.0	18247.0	23777.0	31442.0	25190.0	31976.0	25074.0	22479.0	22951.0	24138.0	23856.0	21290.0	24402.0	19558.0	25579.0	22756.0
ZeeviD_2015__PNP_Main_492__bin.1	27134.0	0.0	20374.0	1743.0	1010.0	2962.0	23691.0	2524.0	1886.0	34182.0	1201.0	28553.0	25870.0	25824.0	3006.0	22273.0	25154.0	1169.0	3264.0	16435.0	31503.0	23827.0	32259.0	26470.0	22034.0	26154.0	22751.0	1393.0	1047.0	23847.0	4420.0	24487.0	2443.0
QinJ_2012__CON-041__bin.12	21324.0	20374.0	0.0	15749.0	12461.0	13645.0	18503.0	22020.0	14204.0	28273.0	20614.0	22561.0	20814.0	21413.0	20782.0	17790.0	20227.0	17407.0	14822.0	18992.0	24526.0	20700.0	25312.0	21265.0	18206.0	18912.0	1528.0	18743.0	15864.0	3671.0	15665.0	20080.0	17192.0
ZeeviD_2015__PNP_Main_156__bin.4	19651.0	1743.0	15749.0	0.0	705.0	2862.0	18434.0	2029.0	2265.0	26712.0	2095.0	26054.0	19772.0	19525.0	1608.0	16506.0	19214.0	1923.0	6471.0	19091.0	23125.0	22147.0	24112.0	20456.0	18536.0	19131.0	18098.0	1807.0	1253.0	19419.0	3767.0	19420.0	1070.0
QinJ_2012__T2D-063__bin.13	16489.0	1010.0	12461.0	705.0	0.0	2149.0	15127.0	1134.0	1322.0	23843.0	1404.0	17680.0	15813.0	16744.0	1594.0	14209.0	15792.0	1088.0	2571.0	9993.0	19322.0	16164.0	20971.0	17420.0	14345.0	12465.0	15577.0	1046.0	1124.0	14767.0	2126.0	16266.0	1697.0
XieH_2016__YSZC12003_36157__bin.47	15655.0	2962.0	13645.0	2862.0	2149.0	0.0	15976.0	3551.0	2610.0	23333.0	3335.0	17475.0	16585.0	17391.0	3231.0	14488.0	16593.0	3178.0	3678.0	12288.0	19242.0	16590.0	19821.0	17621.0	15372.0	12929.0	15172.0	2828.0	2620.0	16060.0	4310.0	15817.0	3130.0
RaymondF_2016__P6C90__bin.56	24421.0	23691.0	18503.0	18434.0	15127.0	15976.0	0.0	24785.0	16844.0	32473.0	24144.0	24509.0	25252.0	24968.0	23579.0	969.0	1718.0	19318.0	16560.0	21888.0	26016.0	20771.0	28018.0	23142.0	20669.0	22867.0	22321.0	20042.0	18484.0	22296.0	17357.0	17644.0	20394.0
QinJ_2012__CON-007__bin.27	27274.0	2524.0	22020.0	2029.0	1134.0	3551.0	24785.0	0.0	2187.0	35433.0	3092.0	28717.0	25859.0	27132.0	4075.0	22917.0	26228.0	2009.0	3165.0	17179.0	32196.0	25101.0	33726.0	28560.0	23111.0	26203.0	24198.0	3957.0	2942.0	24585.0	5710.0	26367.0	2909.0
ZellerG_2014__CCIS85214191ST-3-0__bin.8	18415.0	1886.0	14204.0	2265.0	1322.0	2610.0	16844.0	2187.0	0.0	24430.0	1807.0	20454.0	19062.0	20294.0	2185.0	16223.0	17965.0	1679.0	4259.0	10936.0	21521.0	17350.0	23659.0	19555.0	15212.0	15202.0	16182.0	1610.0	1102.0	16430.0	3713.0	17124.0	1593.0
ZellerG_2014__CCIS13047523ST-4-0__bin.32	34475.0	34182.0	28273.0	26712.0	23843.0	23333.0	32473.0	35433.0	24430.0	0.0	34269.0	36683.0	35687.0	34149.0	35335.0	30614.0	34941.0	29945.0	23603.0	30441.0	37096.0	33001.0	38333.0	36900.0	29373.0	29342.0	32400.0	29395.0	28700.0	32530.0	24688.0	33139.0	31111.0
WenC_2017__RA045__bin.55	25557.0	1201.0	20614.0	2095.0	1404.0	3335.0	24144.0	3092.0	1807.0	34269.0	0.0	28224.0	25700.0	25466.0	2228.0	22141.0	25360.0	1321.0	3734.0	16121.0	29831.0	23955.0	32293.0	27208.0	22147.0	23919.0	23170.0	1729.0	1206.0	23349.0	4028.0	25642.0	1848.0
XieH_2016__YSZC12003_36982__bin.36	25887.0	28553.0	22561.0	26054.0	17680.0	17475.0	24509.0	28717.0	20454.0	36683.0	28224.0	0.0	28549.0	26750.0	28360.0	24014.0	26356.0	21133.0	21026.0	26784.0	28555.0	22639.0	29899.0	6827.0	21825.0	26048.0	25544.0	24730.0	23486.0	24807.0	21360.0	24672.0	24914.0
HMP_2012__SRS019787__bin.19	26836.0	25870.0	20814.0	19772.0	15813.0	16585.0	25252.0	25859.0	19062.0	35687.0	25700.0	28549.0	0.0	26820.0	27116.0	22970.0	26797.0	20881.0	17847.0	23027.0	31993.0	24393.0	31043.0	27875.0	21451.0	24322.0	24512.0	22387.0	21304.0	23520.0	18928.0	27164.0	23463.0
