	BritoIL_2016__W1.42.ST__bin.51	BritoIL_2016__W2.54.ST__bin.43	BritoIL_2016__W2.17.ST__bin.72	BritoIL_2016__WL.10.ST__bin.14	BritoIL_2016__W2.63.ST__bin.35	CM_madagascar__A27_02_1FE__bin.38	QinN_2014__LD-50__bin.19	CM_madagascar__A32_01_1FE__bin.61	BritoIL_2016__W1.34.ST__bin.16	BritoIL_2016__W2.65.ST__bin.35	DavidLA_2015__LD-Run2-13__bin.1	QinN_2014__LD-26__bin.28	QinJ_2012__NOM029__bin.22	QinN_2014__LD-31__bin.18	BritoIL_2016__M2.38.ST__bin.53	QinN_2014__LV-8__bin.12	QinN_2014__LD-74__bin.53	BritoIL_2016__W2.1.ST__bin.37	QinN_2014__LD-51__bin.53	BritoIL_2016__W1.54.ST__bin.41	BritoIL_2016__W2.36.ST__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.41	BritoIL_2016__M2.31.ST__bin.70	BritoIL_2016__W2.47.ST__bin.50	BritoIL_2016__W2.4.ST__bin.15	BritoIL_2016__M1.26.ST__bin.43	VincentC_2016__MM091.2__bin.9	BritoIL_2016__W2.45.ST__bin.4	BritoIL_2016__W1.55.ST__bin.4	BritoIL_2016__M2.5.ST__bin.5	BritoIL_2016__W1.39.ST__bin.60	DavidLA_2015__LD-Run1-12__bin.26
BritoIL_2016__W1.42.ST__bin.51	1680623.0	1623158.0	1427750.0	1512025.0	1557649.0	1517947.0	1478013.0	1575725.0	1631140.0	970228.0	1231748.0	1576506.0	1165981.0	1082463.0	1627286.0	1404251.0	1564997.0	1607075.0	1490671.0	1609784.0	1591483.0	1452777.0	983767.0	1526513.0	1224934.0	1548909.0	987540.0	1579473.0	1443024.0	1554116.0	1336632.0	1426198.0
BritoIL_2016__W2.54.ST__bin.43	1623158.0	1787788.0	1463519.0	1519716.0	1611067.0	1551674.0	1481194.0	1624205.0	1619218.0	1012546.0	1255292.0	1594810.0	1186721.0	1100618.0	1663078.0	1424070.0	1602528.0	1624051.0	1492749.0	1666287.0	1611207.0	1495931.0	1041532.0	1619484.0	1246038.0	1547085.0	1008451.0	1603758.0	1483334.0	1566666.0	1356774.0	1457472.0
BritoIL_2016__W2.17.ST__bin.72	1427750.0	1463519.0	1493178.0	1342343.0	1406901.0	1384190.0	1352151.0	1414029.0	1410258.0	928997.0	1160343.0	1409918.0	1069508.0	990888.0	1455527.0	1285364.0	1415412.0	1447154.0	1351034.0	1459353.0	1429942.0	1345563.0	929341.0	1407610.0	1137261.0	1401824.0	939988.0	1430370.0	1337035.0	1404612.0	1218004.0	1308299.0
BritoIL_2016__WL.10.ST__bin.14	1512025.0	1519716.0	1342343.0	1543958.0	1481104.0	1428716.0	1384437.0	1470854.0	1504084.0	871054.0	1156360.0	1462882.0	1099161.0	1002895.0	1530368.0	1311286.0	1460949.0	1492479.0	1383182.0	1500495.0	1478426.0	1373533.0	880282.0	1430692.0	1111987.0	1444176.0	913327.0	1468183.0	1374913.0	1451072.0	1234785.0	1337670.0
BritoIL_2016__W2.63.ST__bin.35	1557649.0	1611067.0	1406901.0	1481104.0	1631074.0	1492719.0	1429964.0	1541008.0	1565099.0	945876.0	1200827.0	1528776.0	1133506.0	1051967.0	1588527.0	1369778.0	1521119.0	1570837.0	1444868.0	1587490.0	1561557.0	1443289.0	950716.0	1520483.0	1170220.0	1492361.0	957760.0	1531746.0	1429797.0	1494067.0	1285247.0	1395434.0
CM_madagascar__A27_02_1FE__bin.38	1517947.0	1551674.0	1384190.0	1428716.0	1492719.0	1684163.0	1477026.0	1627234.0	1505341.0	920164.0	1201244.0	1599289.0	1177073.0	1089848.0	1551706.0	1437700.0	1595031.0	1539851.0	1459288.0	1533809.0	1517029.0	1465354.0	924473.0	1482320.0	1149797.0	1469840.0	1000795.0	1521251.0	1399887.0	1494943.0	1270826.0	1389593.0
QinN_2014__LD-50__bin.19	1478013.0	1481194.0	1352151.0	1384437.0	1429964.0	1477026.0	1587559.0	1505099.0	1451514.0	916060.0	1184743.0	1514868.0	1155143.0	1060302.0	1499243.0	1375237.0	1506465.0	1477531.0	1426958.0	1474269.0	1456931.0	1427450.0	918240.0	1428482.0	1137200.0	1453383.0	992659.0	1458232.0	1375173.0	1439664.0	1256078.0	1342780.0
CM_madagascar__A32_01_1FE__bin.61	1575725.0	1624205.0	1414029.0	1470854.0	1541008.0	1627234.0	1505099.0	1808279.0	1565695.0	950257.0	1222634.0	1656405.0	1196263.0	1123161.0	1648183.0	1476599.0	1638908.0	1595467.0	1505618.0	1587359.0	1569150.0	1491528.0	968059.0	1518567.0	1190164.0	1540402.0	1018541.0	1558295.0	1431255.0	1540174.0	1316719.0	1412302.0
BritoIL_2016__W1.34.ST__bin.16	1631140.0	1619218.0	1410258.0	1504084.0	1565099.0	1505341.0	1451514.0	1565695.0	1677824.0	937957.0	1211096.0	1570198.0	1160056.0	1070998.0	1639543.0	1394189.0	1545760.0	1587581.0	1470829.0	1590693.0	1553178.0	1440044.0	961910.0	1506607.0	1181876.0	1549356.0	967029.0	1552480.0	1430309.0	1540609.0	1351505.0	1408134.0
BritoIL_2016__W2.65.ST__bin.35	970228.0	1012546.0	928997.0	871054.0	945876.0	920164.0	916060.0	950257.0	937957.0	1033186.0	839529.0	943558.0	771574.0	722252.0	1005353.0	889905.0	949217.0	973836.0	909134.0	993961.0	966994.0	922039.0	1001398.0	969015.0	1006598.0	955495.0	817865.0	952903.0	911614.0	963431.0	966987.0	914475.0
DavidLA_2015__LD-Run2-13__bin.1	1231748.0	1255292.0	1160343.0	1156360.0	1200827.0	1201244.0	1184743.0	1222634.0	1211096.0	839529.0	1260666.0	1230267.0	953420.0	882501.0	1245591.0	1116862.0	1227908.0	1243519.0	1181080.0	1247880.0	1232772.0	1160145.0	838087.0	1214136.0	1001332.0	1212964.0	844523.0	1234323.0	1154296.0	1209213.0	1063568.0	1143852.0
QinN_2014__LD-26__bin.28	1576506.0	1594810.0	1409918.0	1462882.0	1528776.0	1599289.0	1514868.0	1656405.0	1570198.0	943558.0	1230267.0	1871355.0	1207209.0	1154710.0	1637887.0	1594123.0	1620886.0	1581615.0	1493109.0	1571200.0	1557401.0	1505320.0	961474.0	1509848.0	1185170.0	1545389.0	1030010.0	1549765.0	1428727.0	1532416.0	1334259.0	1414884.0
QinJ_2012__NOM029__bin.22	1165981.0	1186721.0	1069508.0	1099161.0	1133506.0	1177073.0	1155143.0	1196263.0	1160056.0	771574.0	953420.0	1207209.0	1256266.0	838096.0	1194208.0	1097832.0	1201158.0	1174865.0	1134306.0	1178825.0	1163507.0	1138015.0	782523.0	1143306.0	958937.0	1149213.0	823933.0	1164140.0	1077761.0	1153821.0	1027470.0	1064797.0
QinN_2014__LD-31__bin.18	1082463.0	1100618.0	990888.0	1002895.0	1051967.0	1089848.0	1060302.0	1123161.0	1070998.0	722252.0	882501.0	1154710.0	838096.0	1238286.0	1106548.0	1047567.0	1108280.0	1084046.0	1042345.0	1083230.0	1068868.0	1040250.0	735144.0	1043388.0	857333.0	1052482.0	758817.0	1069821.0	983923.0	1064634.0	949925.0	983815.0
BritoIL_2016__M2.38.ST__bin.53	1627286.0	1663078.0	1455527.0	1530368.0	1588527.0	1551706.0	1499243.0	1648183.0	1639543.0	1005353.0	1245591.0	1637887.0	1194208.0	1106548.0	1793917.0	1455910.0	1592316.0	1625525.0	1503406.0	1637815.0	1617206.0	1488954.0	1014891.0	1569086.0	1256209.0	1604903.0	1009497.0	1591350.0	1473877.0	1606331.0	1386385.0	1455472.0
