	BritoIL_2016__W1.42.ST__bin.51	BritoIL_2016__W2.54.ST__bin.43	BritoIL_2016__W2.17.ST__bin.72	BritoIL_2016__WL.10.ST__bin.14	BritoIL_2016__W2.63.ST__bin.35	CM_madagascar__A27_02_1FE__bin.38	QinN_2014__LD-50__bin.19	CM_madagascar__A32_01_1FE__bin.61	BritoIL_2016__W1.34.ST__bin.16	BritoIL_2016__W2.65.ST__bin.35	DavidLA_2015__LD-Run2-13__bin.1	QinN_2014__LD-26__bin.28	QinJ_2012__NOM029__bin.22	QinN_2014__LD-31__bin.18	BritoIL_2016__M2.38.ST__bin.53	QinN_2014__LV-8__bin.12	QinN_2014__LD-74__bin.53	BritoIL_2016__W2.1.ST__bin.37	QinN_2014__LD-51__bin.53	BritoIL_2016__W1.54.ST__bin.41	BritoIL_2016__W2.36.ST__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.41	BritoIL_2016__M2.31.ST__bin.70	BritoIL_2016__W2.47.ST__bin.50	BritoIL_2016__W2.4.ST__bin.15	BritoIL_2016__M1.26.ST__bin.43	VincentC_2016__MM091.2__bin.9	BritoIL_2016__W2.45.ST__bin.4	BritoIL_2016__W1.55.ST__bin.4	BritoIL_2016__M2.5.ST__bin.5	BritoIL_2016__W1.39.ST__bin.60	DavidLA_2015__LD-Run1-12__bin.26
BritoIL_2016__W1.42.ST__bin.51	1.0	0.9954594685175442	0.9970954298721765	0.9970351019328384	0.9966744754434407	0.9890470484147339	0.9885582873763628	0.9887188437068651	0.9987082653849455	0.995771097102949	0.9947026502174146	0.9858934885119371	0.9861936000672396	0.9857805763337869	0.9977975598634782	0.984648043690195	0.986964831242488	0.9966939937464027	0.9908108496106787	0.9975145733837583	0.9963845042642617	0.9853583860427306	0.9939274238717095	0.995606981401403	0.9959205965382625	0.9979075594499096	0.9871427992790165	0.9963120610482104	0.9974470279080597	0.9979499599772476	0.9985201611213856	0.9941459741214053
BritoIL_2016__W2.54.ST__bin.43	0.9954594685175442	1.0	0.9975442751341117	0.9959518752187909	0.9974991729083893	0.9878879197563406	0.9871542822884781	0.9870170329484271	0.9955021498031766	0.9970351964256439	0.9948936183772381	0.9845348348706116	0.9849695084185752	0.9846677048712632	0.9937663777646027	0.9834039057068824	0.9853793506260109	0.9958030874646178	0.9895735987764855	0.9976276595808525	0.9956957734170718	0.9840928492022694	0.994213331899548	0.9997480679031099	0.9972215935629571	0.9941438253231076	0.9857930628260569	0.9961939394846354	0.9972359562984466	0.9946268062241729	0.9950876122331354	0.9936211467527335
BritoIL_2016__W2.17.ST__bin.72	0.9970954298721765	0.9975442751341117	1.0	0.9970514242633962	0.9976309633726893	0.9893923522059833	0.9886173955423617	0.9891169134437837	0.9969360216357575	0.9966716792411601	0.995266054950993	0.9863261551381002	0.9867537222722972	0.9864656752327206	0.996136107403023	0.9851388400484221	0.9876544779894476	0.9972573755108303	0.9907167399192026	0.9980744891743122	0.9971803052151765	0.9855019794688171	0.9947156103088102	0.9973735622793245	0.9967694311156367	0.9960886673362704	0.98727643331617	0.9968113145549753	0.9974652869969747	0.9962416667378607	0.9963678280202692	0.9947328554099636
BritoIL_2016__WL.10.ST__bin.14	0.9970351019328384	0.9959518752187909	0.9970514242633962	1.0	0.9966086108740507	0.9891741955714082	0.9885310779761015	0.9891858743287913	0.9970161240994518	0.9961563806606709	0.9949617766093604	0.9860590259501449	0.9864005364091338	0.9859038084744665	0.9965694525761124	0.9848591382810462	0.9876422790939314	0.9964234002622483	0.9909939545193619	0.9971775980593071	0.9962216573572164	0.9853967833317437	0.9943847539765666	0.9958586474237642	0.9961528327219653	0.9967289305458614	0.9868261860209979	0.9964350493092482	0.9969358061200964	0.9966535085784854	0.9966868726134509	0.9944470609343111
BritoIL_2016__W2.63.ST__bin.35	0.9966744754434407	0.9974991729083893	0.9976309633726893	0.9966086108740507	1.0	0.9887694870903365	0.9879388572019995	0.9885237454964543	0.9964475090713112	0.9968293941277715	0.9952507730089347	0.985642762576074	0.9856710065937013	0.9853845225182919	0.9954668696219832	0.9844741264642883	0.9873619355224673	0.9975777244870092	0.9902966914624727	0.9976459694234294	0.9976683528042845	0.9845533361648291	0.9941749165891812	0.9973672839485874	0.997070636290612	0.9955185106016574	0.986784789508854	0.9967651294666348	0.9969604076662631	0.9957880068296804	0.9956327460791583	0.9944318398433749
CM_madagascar__A27_02_1FE__bin.38	0.9890470484147339	0.9878879197563406	0.9893923522059833	0.9891741955714082	0.9887694870903365	1.0	0.9912113937060011	0.9958303476943082	0.9889579836063722	0.9877891332414657	0.9877069105027788	0.9890332516512025	0.9901382497092364	0.9897215024480478	0.987888813989248	0.9881776448494123	0.9920697466068058	0.9887969680183343	0.9912320254809195	0.9888252057459567	0.9889329735950994	0.9889514752066736	0.9875853594426229	0.9879762804252793	0.9883579449241909	0.9879973330430523	0.9907263725338356	0.9887086351956383	0.9890491161072287	0.9884062469271404	0.9880794066221497	0.9868400315775914
QinN_2014__LD-50__bin.19	0.9885582873763628	0.9871542822884781	0.9886173955423617	0.9885310779761015	0.9879388572019995	0.9912113937060011	1.0	0.9920496924122599	0.988199218195622	0.9871121978909678	0.9873052636732186	0.9932700406900139	0.9945244874444117	0.9930321738523553	0.9879459167059643	0.9920304645671982	0.9941910366321156	0.9883995665742377	0.9934707258377612	0.9883508369232481	0.9883762511745581	0.9915555711233318	0.987087253876982	0.9872676029519448	0.9874903271192402	0.9880637106667685	0.9929331220489614	0.9885100587560827	0.9884690871621243	0.9880708276375598	0.9880182600125151	0.9866724258627624
CM_madagascar__A32_01_1FE__bin.61	0.9887188437068651	0.9870170329484271	0.9891169134437837	0.9891858743287913	0.9885237454964543	0.9958303476943082	0.9920496924122599	1.0	0.9885194753767497	0.987564416784091	0.9876316215645893	0.9887521469688875	0.9902145264043107	0.9895455771701475	0.9870772845005682	0.9878734849475044	0.9913790157836804	0.9887869821187151	0.9911458284903608	0.9883069929360655	0.9886250517796259	0.9889515986290569	0.9873799014316276	0.9873479405255086	0.9879982926722704	0.9871040157049913	0.9904049026990568	0.9885175785072788	0.9885673761838386	0.9878656567374855	0.9879822498194376	0.9870006556671307
BritoIL_2016__W1.34.ST__bin.16	0.9987082653849455	0.9955021498031766	0.9969360216357575	0.9970161240994518	0.9964475090713112	0.9889579836063722	0.988199218195622	0.9885194753767497	1.0	0.9954123696502079	0.9943274521590361	0.9855228448896254	0.9859472301337177	0.9855163128222462	0.9974462395923742	0.9844461547179041	0.98684207121416	0.996490257819916	0.9905107935728763	0.997352726138859	0.9961318020214038	0.9848303246289697	0.9937655289995946	0.9956013744792106	0.9956357519739804	0.9976196561668202	0.9867821957769622	0.9961223332989797	0.9975739508036375	0.9975029355274441	0.9988464711562295	0.9936717670335352
BritoIL_2016__W2.65.ST__bin.35	0.995771097102949	0.9970351964256439	0.9966716792411601	0.9961563806606709	0.9968293941277715	0.9877891332414657	0.9871121978909678	0.987564416784091	0.9954123696502079	1.0	0.9958095551195968	0.9845934219200092	0.9844059027390762	0.9850121564218584	0.9947829269918128	0.9838106314718987	0.9867069384555902	0.9959561979635174	0.9896131923346834	0.9970833865715053	0.9961499244049085	0.9845657287815375	0.9944547522563456	0.996819450679298	0.9998837669059545	0.994980612143444	0.9858937599726116	0.9962262685708829	0.996465609347816	0.9951309434718211	0.994758978145518	0.994776237732032
