	BritoIL_2016__W1.42.ST__bin.51	BritoIL_2016__W2.54.ST__bin.43	BritoIL_2016__W2.17.ST__bin.72	BritoIL_2016__WL.10.ST__bin.14	BritoIL_2016__W2.63.ST__bin.35	CM_madagascar__A27_02_1FE__bin.38	QinN_2014__LD-50__bin.19	CM_madagascar__A32_01_1FE__bin.61	BritoIL_2016__W1.34.ST__bin.16	BritoIL_2016__W2.65.ST__bin.35	DavidLA_2015__LD-Run2-13__bin.1	QinN_2014__LD-26__bin.28	QinJ_2012__NOM029__bin.22	QinN_2014__LD-31__bin.18	BritoIL_2016__M2.38.ST__bin.53	QinN_2014__LV-8__bin.12	QinN_2014__LD-74__bin.53	BritoIL_2016__W2.1.ST__bin.37	QinN_2014__LD-51__bin.53	BritoIL_2016__W1.54.ST__bin.41	BritoIL_2016__W2.36.ST__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.41	BritoIL_2016__M2.31.ST__bin.70	BritoIL_2016__W2.47.ST__bin.50	BritoIL_2016__W2.4.ST__bin.15	BritoIL_2016__M1.26.ST__bin.43	VincentC_2016__MM091.2__bin.9	BritoIL_2016__W2.45.ST__bin.4	BritoIL_2016__W1.55.ST__bin.4	BritoIL_2016__M2.5.ST__bin.5	BritoIL_2016__W1.39.ST__bin.60	DavidLA_2015__LD-Run1-12__bin.26
BritoIL_2016__W1.42.ST__bin.51	0.0	7370.0	4147.0	4483.0	5180.0	16626.0	16911.0	17776.0	2107.0	4103.0	6525.0	22239.0	16098.0	15392.0	3584.0	21558.0	20400.0	5313.0	13698.0	4001.0	5754.0	21271.0	5974.0	6706.0	4997.0	3241.0	12697.0	5825.0	3684.0	3186.0	1978.0	8349.0
BritoIL_2016__W2.54.ST__bin.43	7370.0	0.0	3594.0	6152.0	4029.0	18794.0	19027.0	21087.0	7283.0	3002.0	6410.0	24664.0	17837.0	16875.0	10367.0	23634.0	23430.0	6816.0	15564.0	3953.0	6935.0	23796.0	6027.0	408.0	3462.0	9060.0	14327.0	6104.0	4100.0	8418.0	6665.0	9297.0
BritoIL_2016__W2.17.ST__bin.72	4147.0	3594.0	0.0	3958.0	3333.0	14683.0	15391.0	15389.0	4321.0	3092.0	5493.0	19279.0	14167.0	13411.0	5624.0	19102.0	17474.0	3969.0	12542.0	2810.0	4032.0	19508.0	4911.0	3697.0	3674.0	5483.0	11960.0	4561.0	3389.0	5279.0	4424.0	6891.0
BritoIL_2016__WL.10.ST__bin.14	4483.0	6152.0	3958.0	0.0	5023.0	15467.0	15878.0	15906.0	4488.0	3348.0	5826.0	20394.0	14948.0	14137.0	5250.0	19854.0	18054.0	5338.0	12457.0	4235.0	5586.0	20058.0	4943.0	5925.0	4278.0	4724.0	12032.0	5234.0	4213.0	4856.0	4091.0	7428.0
BritoIL_2016__W2.63.ST__bin.35	5180.0	4029.0	3333.0	5023.0	0.0	16764.0	17247.0	17685.0	5560.0	2999.0	5703.0	21949.0	16242.0	15375.0	7201.0	21267.0	19224.0	3805.0	14020.0	3737.0	3641.0	22294.0	5538.0	4003.0	3428.0	6688.0	12657.0	4955.0	4346.0	6293.0	5613.0	7770.0
CM_madagascar__A27_02_1FE__bin.38	16626.0	18794.0	14683.0	15467.0	16764.0	0.0	12981.0	6785.0	16622.0	11236.0	14767.0	17539.0	11608.0	11202.0	18793.0	16997.0	12649.0	17251.0	12795.0	17140.0	16789.0	16190.0	11477.0	17823.0	13386.0	17642.0	9281.0	17177.0	15330.0	17332.0	15149.0	18287.0
QinN_2014__LD-50__bin.19	16911.0	19027.0	15391.0	15878.0	17247.0	12981.0	0.0	11966.0	17129.0	11806.0	15040.0	10195.0	6325.0	7388.0	18072.0	10960.0	8751.0	17140.0	9317.0	17174.0	16935.0	12054.0	11857.0	18188.0	14226.0	17348.0	7015.0	16755.0	15857.0	17174.0	15050.0	17896.0
CM_madagascar__A32_01_1FE__bin.61	17776.0	21087.0	15389.0	15906.0	17685.0	6785.0	11966.0	0.0	17975.0	11817.0	15122.0	18631.0	11706.0	11742.0	21299.0	17906.0	14129.0	17890.0	13331.0	18561.0	17849.0	16479.0	12217.0	19213.0	14284.0	19865.0	9773.0	17893.0	16363.0	18689.0	15824.0	18359.0
BritoIL_2016__W1.34.ST__bin.16	2107.0	7283.0	4321.0	4488.0	5560.0	16622.0	17129.0	17975.0	0.0	4303.0	6870.0	22732.0	16302.0	15512.0	4187.0	21685.0	20339.0	5572.0	13957.0	4211.0	6008.0	21845.0	5997.0	6627.0	5158.0	3688.0	12782.0	6020.0	3470.0	3847.0	1559.0	8911.0
BritoIL_2016__W2.65.ST__bin.35	4103.0	3002.0	3092.0	3348.0	2999.0	11236.0	11806.0	11817.0	4303.0	0.0	3518.0	14537.0	12032.0	10825.0	5245.0	14407.0	12618.0	3938.0	9443.0	2899.0	3723.0	14231.0	5553.0	3082.0	117.0	4796.0	11537.0	3596.0	3222.0	4691.0	5068.0	4777.0
DavidLA_2015__LD-Run2-13__bin.1	6525.0	6410.0	5493.0	5826.0	5703.0	14767.0	15040.0	15122.0	6870.0	3518.0	0.0	18268.0	14087.0	12960.0	7577.0	17754.0	16358.0	6229.0	12345.0	5620.0	6397.0	17575.0	5088.0	6459.0	4265.0	7226.0	11566.0	6593.0	5704.0	7018.0	6605.0	6457.0
QinN_2014__LD-26__bin.28	22239.0	24664.0	19279.0	20394.0	21949.0	17539.0	10195.0	18631.0	22732.0	14537.0	18268.0	0.0	10875.0	11118.0	26604.0	2398.0	13861.0	22572.0	12660.0	22841.0	21984.0	15340.0	15181.0	22695.0	17783.0	24491.0	8919.0	21777.0	20449.0	23337.0	20531.0	22281.0
QinJ_2012__NOM029__bin.22	16098.0	17837.0	14167.0	14948.0	16242.0	11608.0	6325.0	11706.0	16302.0	12032.0	14087.0	10875.0	0.0	7560.0	17965.0	11190.0	10204.0	16446.0	10860.0	16780.0	16503.0	13023.0	12207.0	17241.0	14459.0	16941.0	7833.0	16143.0	14672.0	17050.0	15242.0	16554.0
QinN_2014__LD-31__bin.18	15392.0	16875.0	13411.0	14137.0	15375.0	11202.0	7388.0	11742.0	15512.0	10825.0	12960.0	11118.0	7560.0	0.0	16758.0	11376.0	9221.0	15378.0	9385.0	15586.0	15024.0	11129.0	10841.0	15599.0	12520.0	15598.0	6018.0	14950.0	13669.0	15622.0	13784.0	14934.0
BritoIL_2016__M2.38.ST__bin.53	3584.0	10367.0	5624.0	5250.0	7201.0	18793.0	18072.0	21299.0	4187.0	5245.0	7577.0	26604.0	17965.0	16758.0	0.0	24185.0	21698.0	6636.0	14803.0	7400.0	7564.0	22917.0	6658.0	9651.0	6827.0	465.0	13652.0	7207.0	5185.0	2740.0	2571.0	9933.0
QinN_2014__LV-8__bin.12	21558.0	23634.0	19102.0	19854.0	21267.0	16997.0	10960.0	17906.0	21685.0	14407.0	17754.0	2398.0	11190.0	11376.0	24185.0	0.0	14115.0	21638.0	12996.0	21959.0	21154.0	14942.0	14520.0	22252.0	17379.0	22267.0	9437.0	21373.0	19907.0	22496.0	18919.0	21404.0
QinN_2014__LD-74__bin.53	20400.0	23430.0	17474.0	18054.0	19224.0	12649.0	8751.0	14129.0	20339.0	12618.0	16358.0	13861.0	10204.0	9221.0	21698.0	14115.0	0.0	19789.0	11614.0	20330.0	19545.0	14188.0	12787.0	20812.0	15755.0	19908.0	7914.0	19481.0	17992.0	20400.0	16979.0	20330.0
BritoIL_2016__W2.1.ST__bin.37	5313.0	6816.0	3969.0	5338.0	3805.0	17251.0	17140.0	17890.0	5572.0	3938.0	6229.0	22572.0	16446.0	15378.0	6636.0	21638.0	19789.0	0.0	13736.0	5207.0	3134.0	21736.0	5728.0	6616.0	4925.0	6003.0	13031.0	4671.0	5279.0	6189.0	5351.0	7784.0
QinN_2014__LD-51__bin.53	13698.0	15564.0	12542.0	12457.0	14020.0	12795.0	9317.0	13331.0	13957.0	9443.0	12345.0	12660.0	10860.0	9385.0	14803.0	12996.0	11614.0	13736.0	0.0	14266.0	13798.0	14271.0	9674.0	14633.0	11551.0	13876.0	8348.0	13799.0	12807.0	13817.0	12044.0	14686.0
BritoIL_2016__W1.54.ST__bin.41	4001.0	3953.0	2810.0	4235.0	3737.0	17140.0	17174.0	18561.0	4211.0	2899.0	5620.0	22841.0	16780.0	15586.0	7400.0	21959.0	20330.0	5207.0	14266.0	0.0	5684.0	22026.0	5082.0	3961.0	3757.0	6610.0	13267.0	5284.0	2731.0	6404.0	4821.0	7658.0
BritoIL_2016__W2.36.ST__bin.48	5754.0	6935.0	4032.0	5586.0	3641.0	16789.0	16935.0	17849.0	6008.0	3723.0	6397.0	21984.0	16503.0	15024.0	7564.0	21154.0	19545.0	3134.0	13798.0	5684.0	0.0	21419.0	5518.0	6452.0	4568.0	6857.0	12664.0	4748.0	5372.0	6555.0	5884.0	8207.0
CosteaPI_2017__SID713A040-11-0-0__bin.41	21271.0	23796.0	19508.0	20058.0	22294.0	16190.0	12054.0	16479.0	21845.0	14231.0	17575.0	15340.0	13023.0	11129.0	22917.0	14942.0	14188.0	21736.0	14271.0	22026.0	21419.0	0.0	13772.0	22489.0	17455.0	21986.0	9344.0	21746.0	19430.0	21876.0	18588.0	21742.0
BritoIL_2016__M2.31.ST__bin.70	5974.0	6027.0	4911.0	4943.0	5538.0	11477.0	11857.0	12217.0	5997.0	5553.0	5088.0	15181.0	12207.0	10841.0	6658.0	14520.0	12787.0	5728.0	9674.0	5082.0	5518.0	13772.0	0.0	5599.0	5475.0	6271.0	11397.0	5401.0	4963.0	6028.0	6619.0	5633.0
BritoIL_2016__W2.47.ST__bin.50	6706.0	408.0	3697.0	5925.0	4003.0	17823.0	18188.0	19213.0	6627.0	3082.0	6459.0	22695.0	17241.0	15599.0	9651.0	22252.0	20812.0	6616.0	14633.0	3961.0	6452.0	22489.0	5599.0	0.0	3572.0	8624.0	13470.0	5871.0	3999.0	7850.0	6397.0	8912.0
BritoIL_2016__W2.4.ST__bin.15	4997.0	3462.0	3674.0	4278.0	3428.0	13386.0	14226.0	14284.0	5158.0	117.0	4265.0	17783.0	14459.0	12520.0	6827.0	17379.0	15755.0	4925.0	11551.0	3757.0	4568.0	17455.0	5475.0	3572.0	0.0	6208.0	12684.0	4497.0	4006.0	5458.0	6078.0	6155.0
BritoIL_2016__M1.26.ST__bin.43	3241.0	9060.0	5483.0	4724.0	6688.0	17642.0	17348.0	19865.0	3688.0	4796.0	7226.0	24491.0	16941.0	15598.0	465.0	22267.0	19908.0	6003.0	13876.0	6610.0	6857.0	21986.0	6271.0	8624.0	6208.0	0.0	13335.0	6930.0	4972.0	2416.0	2625.0	9131.0
VincentC_2016__MM091.2__bin.9	12697.0	14327.0	11960.0	12032.0	12657.0	9281.0	7015.0	9773.0	12782.0	11537.0	11566.0	8919.0	7833.0	6018.0	13652.0	9437.0	7914.0	13031.0	8348.0	13267.0	12664.0	9344.0	11397.0	13470.0	12684.0	13335.0	0.0	12715.0	12222.0	13296.0	13202.0	13270.0
BritoIL_2016__W2.45.ST__bin.4	5825.0	6104.0	4561.0	5234.0	4955.0	17177.0	16755.0	17893.0	6020.0	3596.0	6593.0	21777.0	16143.0	14950.0	7207.0	21373.0	19481.0	4671.0	13799.0	5284.0	4748.0	21746.0	5401.0	5871.0	4497.0	6930.0	12715.0	0.0	5044.0	6654.0	5654.0	8537.0
BritoIL_2016__W1.55.ST__bin.4	3684.0	4100.0	3389.0	4213.0	4346.0	15330.0	15857.0	16363.0	3470.0	3222.0	5704.0	20449.0	14672.0	13669.0	5185.0	19907.0	17992.0	5279.0	12807.0	2731.0	5372.0	19430.0	4963.0	3999.0	4006.0	4972.0	12222.0	5044.0	0.0	5042.0	3092.0	7312.0
BritoIL_2016__M2.5.ST__bin.5	3186.0	8418.0	5279.0	4856.0	6293.0	17332.0	17174.0	18689.0	3847.0	4691.0	7018.0	23337.0	17050.0	15622.0	2740.0	22496.0	20400.0	6189.0	13817.0	6404.0	6555.0	21876.0	6028.0	7850.0	5458.0	2416.0	13296.0	6654.0	5042.0	0.0	3162.0	8835.0
BritoIL_2016__W1.39.ST__bin.60	1978.0	6665.0	4424.0	4091.0	5613.0	15149.0	15050.0	15824.0	1559.0	5068.0	6605.0	20531.0	15242.0	13784.0	2571.0	18919.0	16979.0	5351.0	12044.0	4821.0	5884.0	18588.0	6619.0	6397.0	6078.0	2625.0	13202.0	5654.0	3092.0	3162.0	0.0	8081.0
DavidLA_2015__LD-Run1-12__bin.26	8349.0	9297.0	6891.0	7428.0	7770.0	18287.0	17896.0	18359.0	8911.0	4777.0	6457.0	22281.0	16554.0	14934.0	9933.0	21404.0	20330.0	7784.0	14686.0	7658.0	8207.0	21742.0	5633.0	8912.0	6155.0	9131.0	13270.0	8537.0	7312.0	8835.0	8081.0	0.0
