	BritoIL_2016__W1.42.ST__bin.51	BritoIL_2016__W2.54.ST__bin.43	BritoIL_2016__W2.17.ST__bin.72	BritoIL_2016__WL.10.ST__bin.14	BritoIL_2016__W2.63.ST__bin.35	CM_madagascar__A27_02_1FE__bin.38	QinN_2014__LD-50__bin.19	CM_madagascar__A32_01_1FE__bin.61	BritoIL_2016__W1.34.ST__bin.16	BritoIL_2016__W2.65.ST__bin.35	DavidLA_2015__LD-Run2-13__bin.1	QinN_2014__LD-26__bin.28	QinJ_2012__NOM029__bin.22	QinN_2014__LD-31__bin.18	BritoIL_2016__M2.38.ST__bin.53	QinN_2014__LV-8__bin.12	QinN_2014__LD-74__bin.53	BritoIL_2016__W2.1.ST__bin.37	QinN_2014__LD-51__bin.53	BritoIL_2016__W1.54.ST__bin.41	BritoIL_2016__W2.36.ST__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.41	BritoIL_2016__M2.31.ST__bin.70	BritoIL_2016__W2.47.ST__bin.50	BritoIL_2016__W2.4.ST__bin.15	BritoIL_2016__M1.26.ST__bin.43	VincentC_2016__MM091.2__bin.9	BritoIL_2016__W2.45.ST__bin.4	BritoIL_2016__W1.55.ST__bin.4	BritoIL_2016__M2.5.ST__bin.5	BritoIL_2016__W1.39.ST__bin.60	DavidLA_2015__LD-Run1-12__bin.26
BritoIL_2016__W1.42.ST__bin.51	1.0	0.9614220440872224	0.8470686168165019	0.8970137859591354	0.9237461346179363	0.8933121824466285	0.8693811759091719	0.9270068302052275	0.9693030501189142	0.5748612270568711	0.729029056486791	0.9248159759803359	0.6842004423359671	0.6349258578515229	0.9661310121306206	0.8227264532259764	0.9190621573071415	0.9530763294325973	0.8788246977460145	0.9554688945706443	0.943536414769999	0.8517710396680279	0.5818038905810524	0.9043116748967496	0.7258837942834294	0.9196994209885263	0.5800485891243902	0.9363480090418851	0.8564324063159912	0.9228304027732573	0.7941424102847574	0.8436448864498463
BritoIL_2016__W2.54.ST__bin.43	0.9037917247458871	1.0	0.8166096875020975	0.8466126856204427	0.8988974084175528	0.8574170986716546	0.8178637511830262	0.8967047547024591	0.9016365475101075	0.5646888780996405	0.6985626931157386	0.8782618520764207	0.6538157768147006	0.6061921212134772	0.9244446209505826	0.7833344893242375	0.8832691571931347	0.9046011048289843	0.8262640760537603	0.9298272502108752	0.8973502451073618	0.8234393563442646	0.5792101748081987	0.9056308689844657	0.6950354292567128	0.8602949566727152	0.5560636943530216	0.8936484639118285	0.8274101851002468	0.8716067005707612	0.7551840598549716	0.8100373198611917
BritoIL_2016__W2.17.ST__bin.72	0.9534047514763812	0.9777300495989092	1.0	0.8963331900148543	0.939987061154129	0.9171759830375213	0.8952449071711477	0.9366867178594916	0.9415736101121233	0.6200901700935856	0.7734175028027469	0.9313283479933403	0.7067750797292754	0.6546285841339746	0.9710181907314466	0.8480315139923037	0.9362165796710104	0.9665190620274341	0.8964048492544091	0.9754650818589612	0.9549497782581848	0.8880756346530688	0.6191023441277598	0.9402181119732543	0.7591774055069122	0.9351470487778416	0.6215119697718557	0.9548821372937454	0.8931594223863465	0.9371508286353001	0.8127497190555982	0.8715692301922476
BritoIL_2016__WL.10.ST__bin.14	0.9764138661802977	0.9803142313456713	0.8668532434172432	1.0	0.9560370165509684	0.9153416090334063	0.8863965211488913	0.9423494680554783	0.9712673531274814	0.5620010388883636	0.745184778342416	0.9342793003436621	0.7022295943283431	0.6404047260352937	0.9877975955304483	0.8364424420871551	0.9345429085506213	0.9632004238457265	0.8877994090512825	0.9691066725908347	0.953937866185479	0.8766268253411038	0.566944826219366	0.9228016565217447	0.7174476248706247	0.9323129256106707	0.5837561643516209	0.9475316038389645	0.8877832169009778	0.9366938737970851	0.7971032890791071	0.8615791362200267
BritoIL_2016__W2.63.ST__bin.35	0.9518078272353062	0.9852636974165488	0.8605176711786222	0.9049748815810932	1.0	0.904897631867101	0.8661268587446063	0.9339386195843965	0.9561423945204203	0.578071258569507	0.732722120516911	0.9238250379811094	0.68498670201352	0.6355272660835743	0.9694998510184087	0.8267626116289021	0.9208012634619888	0.9607363001310794	0.8772428473508865	0.9709878276522096	0.9551473446330454	0.8712020423352956	0.5794819854893156	0.9297432244030621	0.7153519705421091	0.9108556693319861	0.5794360035167012	0.9360648259980846	0.873933984601557	0.9121437776581566	0.7845346072587754	0.8507670406125044
CM_madagascar__A27_02_1FE__bin.38	0.8914344989172663	0.9101731839495346	0.8131677278268197	0.8391402732395854	0.8763730114009155	1.0	0.8693012493446299	0.9621687449492715	0.8839518502662747	0.53969122941188	0.7044905985940791	0.9391905652837641	0.6920143715305467	0.6404641355973263	0.9101927782524614	0.8435662106340064	0.9395658258731489	0.9040692617044787	0.8588794552546279	0.9005476310784645	0.8907926370547269	0.8604654062581828	0.5421066725726666	0.8695696319180507	0.6747630722204442	0.8622668945939318	0.5887280506696798	0.8930691387947605	0.8221039174949218	0.8773562891477844	0.7455792580646885	0.8142359142197043
QinN_2014__LD-50__bin.19	0.9203450076501094	0.9210158488597904	0.8420222492518389	0.8620523709670003	0.8898674002037089	0.9221987970210871	1.0	0.940521265666347	0.9035160268059329	0.5695876499708042	0.7367934042136387	0.9477902868491817	0.7236379876275465	0.663228264272383	0.9329864275910376	0.8593551483755879	0.9434068277147496	0.9198971502791392	0.8929690172144783	0.9178210069673001	0.9070503836392853	0.8915548965424277	0.5709287024923168	0.8883411577144535	0.7073589076059534	0.9045553582575514	0.6208550359388219	0.9079832623543439	0.8562302251443884	0.8960233918865378	0.7817208683267834	0.8345415823915836
CM_madagascar__A32_01_1FE__bin.61	0.8615645041500787	0.886543503519092	0.7734647142393403	0.80460371436045	0.8424159103766621	0.8961277546219361	0.8257204778687359	1.0	0.8559077443248525	0.5189685883649591	0.6677686352603774	0.9057086876527349	0.6550742446270736	0.6146280524189022	0.8996863868905185	0.8066747443287237	0.8985222966146265	0.8724190238342645	0.825252629710349	0.8675641314199856	0.8578880803238881	0.8157198087242069	0.5285921033203393	0.8291607655677028	0.6502757594375645	0.8408752189236285	0.5578608168319159	0.8518608024536037	0.7824522653860383	0.8413994743067856	0.7194105555613929	0.7708672168398792
BritoIL_2016__W1.34.ST__bin.16	0.9709200726655478	0.9607294924855051	0.8379526100472994	0.8937743172108635	0.9295009488480318	0.8872915156774489	0.8549079045239548	0.9224567058285017	1.0	0.5564671860695758	0.7177308227799817	0.9223053192706744	0.6816889018156851	0.6290802849404944	0.9746886443393348	0.8180262053707659	0.9091662772734208	0.9428932951251144	0.8683103829722307	0.945559248169057	0.9221289002898992	0.8452608855279219	0.5697337742218492	0.8940031850778151	0.7013357777693011	0.9212336931644797	0.5687408214449192	0.9217057331400671	0.8504104125343301	0.9159256274794019	0.8045814102075068	0.8339509984360696
BritoIL_2016__W2.65.ST__bin.35	0.9350930035830914	0.9771173825429302	0.8961648725398912	0.8398352281196222	0.9125917308209751	0.8797331748591251	0.875209304036253	0.9082972475430368	0.9036649741672845	1.0	0.8091582735344846	0.899180786421806	0.7351454626756461	0.6885759195343336	0.9679844674627801	0.8473769485842821	0.9065153805800698	0.9387448145832405	0.8707928678863245	0.9592290255578376	0.9323306742445213	0.8786491493303239	0.9638583952937806	0.934907170635297	0.9741527662976462	0.9201624876837279	0.7804286933814434	0.9188151988122177	0.8792143912131988	0.9279452102525586	0.9310221005704683	0.8804784424101759
