	ZeeviD_2015__PNP_Main_444__bin.30	SmitsSA_2017__TZ_86771__bin.6	FengQ_2015__SID31160__bin.36	BackhedF_2015__SID560_M__bin.34	RampelliS_2015__H14__bin.95	ZeeviD_2015__PNP_Main_13__bin.53	LiSS_2016__FAT_012-22-84-0__bin.55	SmitsSA_2017__TZ_65642__bin.20	ZeeviD_2015__PNP_Main_74__bin.14	ZellerG_2014__CCIS51667829ST-4-0__bin.32	WenC_2017__N315__bin.23	ZeeviD_2015__PNP_Main_199__bin.32	ZeeviD_2015__PNP_Main_116__bin.24	ZeeviD_2015__PNP_Main_33__bin.51	FengQ_2015__SID31300__bin.57	NielsenHB_2014__V1_CD34_0__bin.54	ZeeviD_2015__PNP_Main_335__bin.22	LiJ_2014__V1.CD55-0__bin.71	RampelliS_2015__H25__bin.12	ZeeviD_2015__PNP_Main_359__bin.33	NielsenHB_2014__V1_UC27_0__bin.14	ZeeviD_2015__PNP_Main_213__bin.17	ZeeviD_2015__PNP_Main_211__bin.14	ZellerG_2014__CCIS59132091ST-4-0__bin.11	ZeeviD_2015__PNP_Main_46__bin.35	ZeeviD_2015__PNP_Main_163__bin.37	ZeeviD_2015__PNP_Main_228__bin.29	ZellerG_2014__CCIS03473770ST-4-0__bin.27	RampelliS_2015__H21__bin.34	ZellerG_2014__CCIS74239020ST-4-0__bin.85	ZellerG_2014__CCIS03857607ST-4-0__bin.45	ZeeviD_2015__PNP_Main_378__bin.32	YuJ_2015__SZAXPI015210-17__bin.66	YuJ_2015__SZAXPI017591-140__bin.18	ZeeviD_2015__PNP_Main_41__bin.19	RampelliS_2015__H10__bin.95	RampelliS_2015__H24__bin.83	ChengpingW_2017__AS49raw__bin.23	ZeeviD_2015__PNP_Main_310__bin.29	ZeeviD_2015__PNP_Main_455__bin.37
ZeeviD_2015__PNP_Main_444__bin.30	1458036.0	1020952.0	1150934.0	1142983.0	1327433.0	1079235.0	1356330.0	1206007.0	1380662.0	1282727.0	1109802.0	1286353.0	1108636.0	1274303.0	1337073.0	1342740.0	1310731.0	607848.0	884154.0	986383.0	783827.0	1352525.0	1315807.0	1248956.0	1185502.0	1209293.0	1379235.0	1359199.0	1338100.0	736057.0	945903.0	1012088.0	919673.0	772635.0	1308635.0	1354865.0	1123138.0	1137189.0	561308.0	968639.0
SmitsSA_2017__TZ_86771__bin.6	1020952.0	1657604.0	1128886.0	1126389.0	1474961.0	1168909.0	1412452.0	1350171.0	1372059.0	1309128.0	1104368.0	1309269.0	1164676.0	1248648.0	1409330.0	1387514.0	1324180.0	676210.0	896657.0	963138.0	844678.0	1337603.0	1337162.0	1322615.0	1196302.0	1227512.0	1419025.0	1355223.0	1458903.0	773407.0	923764.0	1045275.0	881326.0	831525.0	1358247.0	1514915.0	1241605.0	1148189.0	654520.0	968823.0
FengQ_2015__SID31160__bin.36	1150934.0	1128886.0	1697250.0	1280091.0	1477533.0	1201975.0	1554563.0	1333811.0	1494978.0	1486915.0	1237603.0	1427527.0	1289154.0	1371500.0	1520507.0	1496997.0	1477052.0	670749.0	983047.0	1112379.0	882409.0	1424952.0	1523966.0	1423673.0	1359875.0	1356533.0	1543049.0	1440729.0	1483869.0	845983.0	1077625.0	1110627.0	1079848.0	883894.0	1460818.0	1531084.0	1244995.0	1279263.0	608587.0	1097122.0
BackhedF_2015__SID560_M__bin.34	1142983.0	1126389.0	1280091.0	1742978.0	1540956.0	1287694.0	1595762.0	1419784.0	1562094.0	1500863.0	1229798.0	1502609.0	1320208.0	1439720.0	1538223.0	1561465.0	1522412.0	803602.0	967386.0	1110454.0	964614.0	1515367.0	1528523.0	1484812.0	1373536.0	1399832.0	1578027.0	1524844.0	1580108.0	875738.0	1054031.0	1185145.0	960491.0	954845.0	1537322.0	1589987.0	1314351.0	1287645.0	758643.0	1062337.0
RampelliS_2015__H14__bin.95	1327433.0	1474961.0	1477533.0	1540956.0	2665348.0	1657505.0	1930378.0	1836159.0	1900187.0	1808106.0	1490400.0	1794080.0	1607061.0	1734453.0	1910005.0	1931250.0	1821310.0	1056194.0	1181470.0	1289988.0	1252865.0	1853458.0	1841322.0	1797061.0	1626712.0	1667101.0	1908763.0	1853444.0	2046173.0	1158218.0	1196606.0	1484581.0	1096236.0	1245759.0	1872201.0	2208572.0	1759893.0	1551007.0	991324.0	1236688.0
ZeeviD_2015__PNP_Main_13__bin.53	1079235.0	1168909.0	1201975.0	1287694.0	1657505.0	1947619.0	1733242.0	1595869.0	1669981.0	1630618.0	1243228.0	1586169.0	1344299.0	1506151.0	1655176.0	1707574.0	1559683.0	1083098.0	880431.0	1061886.0	1261597.0	1622013.0	1578884.0	1548979.0	1394928.0	1417467.0	1728325.0	1599445.0	1722431.0	1214481.0	943869.0	1473608.0	810185.0	1289046.0	1695239.0	1732954.0	1377671.0	1307826.0	1100206.0	1011523.0
LiSS_2016__FAT_012-22-84-0__bin.55	1356330.0	1412452.0	1554563.0	1595762.0	1930378.0	1733242.0	2218259.0	1811152.0	1968584.0	1929486.0	1533294.0	1898156.0	1613377.0	1766062.0	1982269.0	1990088.0	1892396.0	1100822.0	1150755.0	1346432.0	1309360.0	1881000.0	1934060.0	1859815.0	1708048.0	1732513.0	2024804.0	1893319.0	1993386.0	1206144.0	1246691.0	1529520.0	1126948.0	1305485.0	1936719.0	1999618.0	1616089.0	1581312.0	1064522.0	1283394.0
SmitsSA_2017__TZ_65642__bin.20	1206007.0	1350171.0	1333811.0	1419784.0	1836159.0	1595869.0	1811152.0	2110854.0	1749151.0	1699197.0	1354394.0	1688209.0	1435038.0	1579081.0	1753637.0	1773141.0	1677476.0	1007111.0	1047338.0	1174630.0	1204840.0	1704129.0	1692801.0	1674069.0	1498182.0	1535515.0	1807540.0	1705743.0	1885004.0	1131017.0	1076819.0	1385374.0	965428.0	1225738.0	1748989.0	1891961.0	1545882.0	1448982.0	1021617.0	1115861.0
ZeeviD_2015__PNP_Main_74__bin.14	1380662.0	1372059.0	1494978.0	1562094.0	1900187.0	1669981.0	1968584.0	1749151.0	2269071.0	1880193.0	1505169.0	1881577.0	1578187.0	1795111.0	1912047.0	1930833.0	1847805.0	1096589.0	1121534.0	1299469.0	1308634.0	1927636.0	1900164.0	1815744.0	1663307.0	1700498.0	1970074.0	1941061.0	1950603.0	1187204.0	1210316.0	1508663.0	1124463.0	1299016.0	1915675.0	1980613.0	1614519.0	1552786.0	1041860.0	1274504.0
ZellerG_2014__CCIS51667829ST-4-0__bin.32	1282727.0	1309128.0	1486915.0	1500863.0	1808106.0	1630618.0	1929486.0	1699197.0	1880193.0	2151425.0	1389880.0	1864754.0	1526034.0	1650399.0	1845926.0	1876810.0	1774742.0	1102166.0	1063499.0	1270756.0	1307633.0	1776368.0	1882720.0	1765119.0	1633614.0	1635833.0	1901690.0	1788426.0	1873145.0	1196438.0	1166570.0	1451700.0	1004853.0	1338915.0	1822467.0	1893017.0	1521658.0	1488981.0	1071628.0	1193533.0
