	ZeeviD_2015__PNP_Main_444__bin.30	SmitsSA_2017__TZ_86771__bin.6	FengQ_2015__SID31160__bin.36	BackhedF_2015__SID560_M__bin.34	RampelliS_2015__H14__bin.95	ZeeviD_2015__PNP_Main_13__bin.53	LiSS_2016__FAT_012-22-84-0__bin.55	SmitsSA_2017__TZ_65642__bin.20	ZeeviD_2015__PNP_Main_74__bin.14	ZellerG_2014__CCIS51667829ST-4-0__bin.32	WenC_2017__N315__bin.23	ZeeviD_2015__PNP_Main_199__bin.32	ZeeviD_2015__PNP_Main_116__bin.24	ZeeviD_2015__PNP_Main_33__bin.51	FengQ_2015__SID31300__bin.57	NielsenHB_2014__V1_CD34_0__bin.54	ZeeviD_2015__PNP_Main_335__bin.22	LiJ_2014__V1.CD55-0__bin.71	RampelliS_2015__H25__bin.12	ZeeviD_2015__PNP_Main_359__bin.33	NielsenHB_2014__V1_UC27_0__bin.14	ZeeviD_2015__PNP_Main_213__bin.17	ZeeviD_2015__PNP_Main_211__bin.14	ZellerG_2014__CCIS59132091ST-4-0__bin.11	ZeeviD_2015__PNP_Main_46__bin.35	ZeeviD_2015__PNP_Main_163__bin.37	ZeeviD_2015__PNP_Main_228__bin.29	ZellerG_2014__CCIS03473770ST-4-0__bin.27	RampelliS_2015__H21__bin.34	ZellerG_2014__CCIS74239020ST-4-0__bin.85	ZellerG_2014__CCIS03857607ST-4-0__bin.45	ZeeviD_2015__PNP_Main_378__bin.32	YuJ_2015__SZAXPI015210-17__bin.66	YuJ_2015__SZAXPI017591-140__bin.18	ZeeviD_2015__PNP_Main_41__bin.19	RampelliS_2015__H10__bin.95	RampelliS_2015__H24__bin.83	ChengpingW_2017__AS49raw__bin.23	ZeeviD_2015__PNP_Main_310__bin.29	ZeeviD_2015__PNP_Main_455__bin.37
ZeeviD_2015__PNP_Main_444__bin.30	1.0	0.6762130701848239	0.7783943606330708	0.77194458847381	0.8786216526889596	0.7269045483101926	0.9171803714037239	0.7990159365063688	0.9385358111871038	0.867581458894019	0.7461564735027119	0.8698530077446648	0.7497764115563675	0.871202768655918	0.9027335401869364	0.9056017821233495	0.8865652151250039	0.41066818651940007	0.5844018940547421	0.6674293364498545	0.5322646354411001	0.9263049746371147	0.8900713013944787	0.8441622840588298	0.8017888447198834	0.8179256204922238	0.9296800627693692	0.9288337187833497	0.8851091468249069	0.4943965718267587	0.6391838061611648	0.682191660562565	0.6182220466435672	0.5195859361497248	0.883323182692334	0.8971431432420051	0.7430927631416508	0.7685125744494649	0.3787711688874623	0.6528467061169957
SmitsSA_2017__TZ_86771__bin.6	0.5948000849418799	1.0	0.6583846322764665	0.6557615691081827	0.8829382651103641	0.6804628849833857	0.8232834862850235	0.8067143901679773	0.7991009915516614	0.7629355382829675	0.6415639682336675	0.7629910400795366	0.6790451760492856	0.7278801209456541	0.8211846737821579	0.8087637336782488	0.77202516403194	0.39337561926732806	0.5294859327076914	0.5613729213973905	0.4914714250206926	0.7793260634023567	0.7796880316408503	0.7709941578326307	0.697521844783193	0.7151207405387535	0.8257472834283702	0.7890750746257851	0.8634692001225867	0.4520235231092589	0.5379849469475219	0.6081488702971276	0.512335877567863	0.48282702020506707	0.7907226333913286	0.9072269371936844	0.7442706460650432	0.6688400848453551	0.3810035448756156	0.5632913530614067
FengQ_2015__SID31160__bin.36	0.6686858152894388	0.6430054499926351	1.0	0.7455837384003536	0.8408342907644718	0.6961508322286051	0.9066525261452351	0.7595463249373988	0.8693840035351305	0.8671892767712476	0.7161685078803947	0.8323464427750773	0.7518650758580055	0.7974258359110326	0.8837378111651201	0.8690687877448814	0.861251436146708	0.3911604065399912	0.558551185741641	0.6491489173663278	0.512726469288555	0.8280653999116218	0.8891954632493739	0.8294293710413905	0.793979083812049	0.7910172337604949	0.8935501546619531	0.8374582412726469	0.8436623950508174	0.4877690381499484	0.6278309029312122	0.6435492708793636	0.6245255560465459	0.5108988068935042	0.8482504050670202	0.8712529091176904	0.7079764324642805	0.7450823390779202	0.3532402415672411	0.6349211960524378
BackhedF_2015__SID560_M__bin.34	0.64574710638918	0.6236412622534536	0.726022933163815	1.0	0.852909216295329	0.7254394490349276	0.9048880708763967	0.7859404995358519	0.8838464972019153	0.8514915277186517	0.6918687441838051	0.8524456418841776	0.7490536311990169	0.8142001792334729	0.8697137886995704	0.8822825072949859	0.86343086372863	0.45574700311765265	0.5347158713420365	0.6300658987089912	0.5454612737510169	0.856538063016286	0.8673637877242283	0.8414971388049648	0.7795049621968837	0.7937753660688776	0.8894552885922828	0.8621158729484825	0.8736851526525292	0.4921226773946659	0.5977103554950206	0.6680434291195874	0.5402845015829231	0.5372798738710415	0.8683328188881327	0.8802365835942851	0.7274222623578726	0.7295915381605506	0.42842078328011024	0.5982106486714117
RampelliS_2015__H14__bin.95	0.4806359244646477	0.5491072835517162	0.5354295198975894	0.5577515581455029	1.0	0.5993401236911653	0.6992216401010299	0.6797277503725592	0.6875578723678859	0.6546548518242271	0.5378535936020362	0.6495759653148482	0.581939394030348	0.6281236071237227	0.6912842150443395	0.6989845228465477	0.6594407184352663	0.38203904330691524	0.4331591972230268	0.46731646299094903	0.4531798474345564	0.6708418562979394	0.6667470814317681	0.6507236578488063	0.5893267971011665	0.603536949021291	0.6901481532617879	0.6705023133939734	0.7514834835826316	0.4201717749427092	0.43309991790940616	0.5367295377564206	0.39599444425268293	0.44948239404385465	0.6772192599240324	0.8277054253328271	0.6572871534974045	0.5611218497547038	0.3585809432764502	0.4469255046620554
ZeeviD_2015__PNP_Main_13__bin.53	0.5441788152610957	0.579136884575474	0.6066597214342231	0.6492157860443957	0.8202066215209444	1.0	0.8747994345916731	0.7902064007385429	0.8432496294193063	0.8233509736760629	0.6251340739641583	0.8010380880449409	0.6789916302931939	0.7603232459736734	0.8355114629709404	0.8618148621470627	0.7876268407732724	0.5467671038329365	0.4352596683437572	0.5361793040630637	0.6369336097049783	0.818222660592241	0.7973073789072709	0.7823475741405275	0.7045397482772554	0.7157616556420943	0.8754571607691237	0.8071157654551532	0.8511777714224394	0.611212459931845	0.4763631901311294	0.7551328057489683	0.40746162365431843	0.6494452970524522	0.8566952776698111	0.8574921481049426	0.6814305056584475	0.6597496738325104	0.5559028742274541	0.5186481544901749
LiSS_2016__FAT_012-22-84-0__bin.55	0.6028520565001653	0.6152022825107438	0.6937043870891542	0.7110080473019607	0.8401494144732422	0.7680690126806653	1.0	0.7883989200539703	0.875885998884711	0.8608963155339391	0.6785943390740216	0.8469069662289209	0.7201314183781065	0.7856760639762985	0.8817608764350781	0.8839828892838933	0.8441805037193583	0.49114553350172363	0.5000854273554171	0.6011637955712116	0.5824288327016818	0.836247255167228	0.8632395946550877	0.8292579901625554	0.7623631866251867	0.7727285226837804	0.8974168480777042	0.8421590986444776	0.8666805814830458	0.533252879848566	0.5558273402700046	0.6780037858518775	0.49857072596121554	0.5780569356418706	0.8605784987235485	0.8704362294934902	0.7028805022317052	0.704915431426177	0.4733112769969602	0.5682208434632746
SmitsSA_2017__TZ_65642__bin.20	0.551906479557563	0.6334938370915278	0.6107196423817091	0.6489681427517014	0.8582834246233989	0.729098743920707	0.8285144306522384	1.0	0.8001652411772676	0.7775161143309769	0.6178627228600367	0.7723400102517749	0.656846944412072	0.7228425082928521	0.8024003554959274	0.8111214702674842	0.7673751950632304	0.46042217983811295	0.4858464867773897	0.5375430986700169	0.5508836707796939	0.7796834835568922	0.7747243532712353	0.7660387691427261	0.6859621745511533	0.7024436555062548	0.8260144946073958	0.7800970602419685	0.8769029028061627	0.5192950341425793	0.4924518701909274	0.6332939180066457	0.4406358753376595	0.5592437942178852	0.7996081206942782	0.8847073269870868	0.7231258059534198	0.6625190562682213	0.4670199833811339	0.5095520580769678
ZeeviD_2015__PNP_Main_74__bin.14	0.6030745622327375	0.5837600498177448	0.6502934460843226	0.6789232245266895	0.8076349307712275	0.7237891630539547	0.8562720161687317	0.7443715952475705	1.0	0.8182176758682298	0.6506451318623349	0.8179955585347484	0.6866484125000936	0.7849511980894384	0.8300062007755596	0.8378129199130393	0.8035808487261967	0.4760776546877555	0.4762883135873668	0.5655957878797093	0.5727877179691601	0.8421331901910517	0.8267877029850542	0.7895469114893277	0.7239645652339658	0.7397066905354658	0.8540539277968825	0.8484679412852221	0.8284077492506845	0.512970726786425	0.52635329612868	0.6541747702033123	0.4860522213716539	0.5607378526277935	0.8315266468083193	0.8417837079580145	0.6857969627217482	0.6748396149789935	0.4519558885552722	0.5525247997969214
ZellerG_2014__CCIS51667829ST-4-0__bin.32	0.5879661154815994	0.5878173768548752	0.684121919193093	0.6898362713085513	0.8110359412947232	0.745354358157965	0.8876400525233276	0.7628539224002696	0.8629601310759147	1.0	0.6343451433352314	0.8580694191059414	0.7023535563638054	0.7570554399990703	0.846619333697433	0.859578651358983	0.8166485004125172	0.5069068175743984	0.47629454896173473	0.5849950614127846	0.5994175953147333	0.814521538050362	0.8689979897044982	0.8113817586018569	0.7523590178602555	0.7525993237040567	0.8690509778402686	0.8203409368209443	0.8396253645839387	0.5450038927687463	0.5363198810090986	0.6637224165378761	0.4583450503735896	0.6104651568146694	0.8347881055579441	0.8493082491836806	0.6821901762785131	0.6841665407811102	0.49088999151725016	0.545048049548555
WenC_2017__N315__bin.23	0.5703767898935501	0.5575507922926576	0.637271833136204	0.6322361191500784	0.7515911912491297	0.6383235397740141	0.7891983541787252	0.6837760357685113	0.7740267257216197	0.7155096845089799	1.0	0.7286345219820318	0.6297274370653715	0.7015669694910704	0.7683083985538247	0.7569110652540453	0.7360724891159373	0.36445095251277143	0.47494306314014645	0.5361239734588251	0.46682090998313913	0.7392302304317554	0.7453622148962763	0.7207074011626443	0.6641412076066806	0.6860031792368154	0.7825132538104705	0.7450371610002433	0.7504896779659594	0.4325728120727114	0.5180955406799708	0.5757952286282305	0.5225828572866598	0.4601594022363708	0.7479788987593426	0.7683246512486265	0.632600494081922	0.6437047545947941	0.34711561852513606	0.5354030878023002
ZeeviD_2015__PNP_Main_199__bin.32	0.6036413325946529	0.601956455933336	0.6723800167916522	0.7071693881708332	0.8240408101876971	0.7425437068428838	0.8941550010375794	0.7759461486765628	0.8834131983908952	0.87864509263014	0.6614711543404136	1.0	0.7215798431636843	0.7828089273713449	0.8497185208877112	0.8619334007283997	0.8490236282533826	0.5105837859654534	0.47740171076855126	0.5882351821285038	0.5779345887092322	0.8362095225040503	0.8542229482105087	0.8317674451367987	0.7547205103748423	0.7706235566699222	0.8818373151633188	0.848468666053638	0.8623731820942351	0.5344847609093384	0.5459957049923753	0.6699931081881199	0.47691909355539436	0.5905564090994763	0.8498137116595369	0.8651227675384238	0.706645362971932	0.6983666215462409	0.48159581617519676	0.5585832567047619
ZeeviD_2015__PNP_Main_116__bin.24	0.565991950206008	0.5827599382441839	0.6606873078543997	0.675950748597706	0.8030487533381172	0.6846658362145465	0.8270547218244266	0.7178481970801635	0.8066641193945776	0.7823340467766136	0.6218693663608904	0.7849279153063095	1.0	0.7474074258158778	0.8055525354158836	0.8195418223764391	0.7880607493328944	0.4159156873648056	0.48453826551480267	0.564213001649514	0.49753919019528053	0.7820006233568283	0.7982881503180466	0.7838479133596137	0.7166020011618046	0.7325840625676295	0.8064622014850803	0.7970683590493912	0.8115986824597536	0.4474992725777876	0.5399041562989586	0.6123600683000272	0.5016044707731592	0.49413454359821857	0.8152761771037517	0.8215175114601356	0.6688934587916612	0.66959188766323	0.3877952531688168	0.5481864147559538
ZeeviD_2015__PNP_Main_33__bin.51	0.6508736421397827	0.6182296577167452	0.6934981553597048	0.7271638655462185	0.8578438204550114	0.7587722894035663	0.8930277720844435	0.781827731092437	0.9126409100225457	0.8345706087312974	0.6856691945070711	0.8427526132404181	0.7397012707522033	1.0	0.8662979094076655	0.8911190817790531	0.8486298421807748	0.47171602787456446	0.5151470588235294	0.6081369133019061	0.5735114777618364	0.8918246566919451	0.8584161713465874	0.8307921705267473	0.7698032383685182	0.7778269112523057	0.8852608116417299	0.8932849969255995	0.8774169911867187	0.5131881533101045	0.5720096331215413	0.6735032793605247	0.5406000204960033	0.550638962902234	0.8633762041401927	0.8827213568354172	0.7185806517729043	0.7078853248616519	0.43814203730272594	0.588430006148801
FengQ_2015__SID31300__bin.57	0.5750077324857015	0.5946582940301716	0.6552621967948192	0.6622380347428883	0.8049268602962635	0.7108897863038018	0.8544938410969819	0.7399377207253334	0.8227640010414828	0.7957199599483452	0.640203071675337	0.7799308357550139	0.6797191316549617	0.7385908702497637	1.0	0.8423171420033866	0.7902801344141921	0.45094196529206076	0.4841466568576227	0.5634754072005607	0.5423853800975429	0.7883487604432243	0.8137899489918062	0.7831098921645893	0.7119011255353763	0.7186497944119904	0.8468037311646259	0.794917878380669	0.8159541712610155	0.5094458647365451	0.5351019901758114	0.6376496039394611	0.4809606106304641	0.5450209781900216	0.8025302265924115	0.8316166050106507	0.6876027721616536	0.6716371550743454	0.4397215606165718	0.5388655700807848
NielsenHB_2014__V1_CD34_0__bin.54	0.5771455771477626	0.5859793488185868	0.6447328909599612	0.67217047212379	0.8143316908608272	0.733665062367477	0.8571088258601781	0.7483830613630236	0.830950196497875	0.8083355661809476	0.6310460086082285	0.7915688839681249	0.6918958777626298	0.7601624434885574	0.8427711030325494	1.0	0.8089741678836233	0.4538613548059695	0.4770590752470375	0.5545729083390193	0.5511849536522029	0.8131729412962873	0.8106814767478607	0.7839174652101945	0.7202845864452964	0.7312448449631548	0.8519619846219816	0.8172226639350891	0.8436501092091961	0.5085608033181063	0.5313384715782904	0.6420412350495736	0.47192316148493035	0.5518047600960044	0.824633241120005	0.8546702502960253	0.6847549906876048	0.6644928274232443	0.4383277289950962	0.5444488202915363
ZeeviD_2015__PNP_Main_335__bin.22	0.563081150448106	0.5574479169842947	0.6367483540695451	0.6555586144650214	0.765634923608092	0.6682155299865573	0.8157172092407331	0.705599082094838	0.7942728502715121	0.7653382771505561	0.6115739163692216	0.7770464467330122	0.6630427301580111	0.7214415711023661	0.7880018922646278	0.8062075340359338	1.0	0.44278948730257334	0.4575930603024313	0.5521270117290786	0.5061881932096276	0.7617262471565936	0.7892377013689298	0.7517086574591556	0.6941061009852496	0.7125974991091893	0.7973281781028742	0.7744794312054649	0.7855128498881804	0.4709796128524147	0.5218228990156216	0.6027420412935353	0.4768715952087023	0.5009500527516682	0.7764797256739014	0.8041780540863593	0.6508671572731527	0.6429840281365462	0.39165608874477165	0.5282659206799607
LiJ_2014__V1.CD55-0__bin.71	0.4932666603508569	0.5371686774282572	0.5469191892147939	0.6543923024009688	0.8388496439119026	0.8772610255501961	0.8975215938906899	0.8006392697825576	0.8899146129987603	0.8984145944632317	0.572661331180466	0.883740222508722	0.6617859187649571	0.7583922694489181	0.8503490857865449	0.8553932209393806	0.8373898680682272	1.0	0.3556069973679549	0.48765492612562145	0.8170601004213743	0.8173962113379768	0.847371044209295	0.8550595814265767	0.7179271512540315	0.7108984788509619	0.8595764837690556	0.8203907289405504	0.8473842250295539	0.7973053460583169	0.44693607714075057	0.7869295691107477	0.2573637535680892	0.8546723948314708	0.8575680562821025	0.8870461369899126	0.7102336712291527	0.676812877661393	0.7558047096718388	0.43239680859389484
RampelliS_2015__H25__bin.12	0.6155763955564127	0.6340701504193406	0.6848743350838068	0.6733131194475931	0.8340720287646918	0.6124272773311892	0.8014169948352727	0.7408995973838984	0.7807645876995832	0.7402934697878987	0.6544552545627537	0.7246381837267383	0.6761140213423378	0.7263135232918435	0.8006324244309156	0.7884867544142923	0.7589085946581302	0.3118530093621067	1.0	0.6038916425913363	0.42203385789739467	0.7646519967894744	0.7710166977677311	0.7454878171242966	0.6910396424786356	0.7093867419160713	0.7961829132702932	0.7656402954203773	0.8387570555347252	0.39990622722054736	0.5652150669305019	0.5601803789489501	0.5694110014687216	0.40754748059705376	0.7732931078451982	0.8420867838898654	0.7217361401592404	0.6762628440893891	0.30377251214964346	0.5780759530615945
ZeeviD_2015__PNP_Main_359__bin.33	0.6821819762286147	0.6523173770859549	0.7723548112344506	0.7698472840964455	0.8731557197486164	0.7320500103399566	0.9348281288884372	0.7954230794844743	0.8996652658069898	0.8822773141348962	0.7168499234142187	0.8663888314446848	0.763940539991097	0.831991475669556	0.9041818991170729	0.8894171418957523	0.8885331632205986	0.41497015432823575	0.5859811216925283	1.0	0.5220051804935839	0.8704329813074613	0.8941132347941297	0.8535932225964857	0.8219901086922233	0.8161857126333241	0.8906221849905889	0.8761897084132197	0.8878882303251653	0.481878437159351	0.6281751553622315	0.6806369413356419	0.5915142253269354	0.5155215018524295	0.8800656149119702	0.8965843092032626	0.7413903210994703	0.76914416703762	0.3901030841111668	0.6477698991591336
NielsenHB_2014__V1_UC27_0__bin.14	0.5524025844145029	0.5798810292387339	0.6194288065269492	0.6767303754120451	0.8597740879489608	0.882994526946372	0.9196338769847738	0.827709496093269	0.9251275729010885	0.9179426329452346	0.6337915684081877	0.8643182386006522	0.6840327628706446	0.7966962373379135	0.883734802115194	0.8975886248178674	0.8271414772618076	0.705978362610979	0.41581968035772376	0.5300391562856124	1.0	0.857912722981202	0.8663297940113162	0.8550897120970216	0.7520839813706908	0.7430490652958289	0.9039421788148906	0.8692140199575338	0.8859670164704108	0.7571698141411064	0.4690305171320316	0.8009620729982497	0.3451910230246932	0.8002794538762303	0.8856481287053798	0.8943363966963798	0.711546086044176	0.7021865877799076	0.6867781872227082	0.5007164297667492
ZeeviD_2015__PNP_Main_213__bin.17	0.5676522297582136	0.5429503175161574	0.5907048820867425	0.6274782504899655	0.7515089845577323	0.6697852977977505	0.7796632466799397	0.6917300375034308	0.8031357793992978	0.7365273664084759	0.5926197720373109	0.7384317488417564	0.634829309584663	0.7315270490814539	0.7584599173941021	0.7819215222954806	0.7349655290387849	0.4170328536441541	0.4448584406255923	0.5218777017453826	0.506574553567113	1.0	0.7472235987069868	0.7192534282876656	0.6681797491561413	0.6821421381284598	0.7783060957470194	0.795716631592574	0.773736586628806	0.45182534488823994	0.491498788062956	0.5976965840901898	0.45011135866821844	0.4949292823071482	0.763162241530836	0.7783069363484024	0.6430625798308626	0.6210051995398549	0.402483304605781	0.5140176585132535
ZeeviD_2015__PNP_Main_211__bin.14	0.6225894708865508	0.6200266833105536	0.7240220317215724	0.7252736814381162	0.8525576783121104	0.7449695339151977	0.9186547620018528	0.7845382640688259	0.9000172227768586	0.8969200014008498	0.6820440317801011	0.8610237045857202	0.7397043535246005	0.8037063991491277	0.8936659040350712	0.889772788876101	0.869209560895949	0.4934690174717635	0.5120005334743138	0.6118916797676508	0.5838914744376091	0.8529021338492809	1.0	0.8448410107419274	0.7928176702812111	0.7845267502347143	0.8947050275636391	0.8652180984039427	0.8684750742282493	0.5417565985063678	0.586231181477695	0.677946066322563	0.5188224801854111	0.5880282990852739	0.8677113232321827	0.889697469211288	0.7227252861547584	0.7246519343960921	0.46252942624165905	0.5860301691238309
